"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Guinea",2020,2710.08278347605,2710.08278347605,0
"IDU harm reduction measures",1.1,"Guinea",2021,2818.93178369286,2818.93178369286,0
"IDU harm reduction measures",1.1,"Guinea",2022,2930.06893153957,2930.06893153957,0
"IDU harm reduction measures",1.1,"Guinea",2023,33093.7568515279,3043.10407830142,30050.6527732265
"IDU harm reduction measures",1.1,"Guinea",2024,65527.1125685087,3157.81981606234,62369.2927524463
"IDU harm reduction measures",1.1,"Guinea",2025,100283.845198403,3274.16871911656,97009.6764792861
"IDU harm reduction measures",1.1,"Guinea",2026,137318.709271192,3389.64503099216,133929.0642402
"IDU harm reduction measures",1.1,"Guinea",2027,176734.274833159,3506.61281087153,173227.662022287
"IDU harm reduction measures",1.1,"Guinea",2028,218567.725895241,3624.79001272983,214942.935882511
"IDU harm reduction measures",1.1,"Guinea",2029,262854.741644484,3744.03673990763,259110.704904576
"IDU harm reduction measures",1.1,"Guinea",2030,309635.185616956,3864.35014481531,305770.835472141
"Pulmonary rehabilitation",1.2,"Guinea",2020,21367.1035658992,21367.1035658992,0
"Pulmonary rehabilitation",1.2,"Guinea",2021,22070.4284184207,22070.4284184207,0
"Pulmonary rehabilitation",1.2,"Guinea",2022,22800.6550975521,22800.6550975521,0
"Pulmonary rehabilitation",1.2,"Guinea",2023,31034.6750694363,23560.8084195564,7473.86664987991
"Pulmonary rehabilitation",1.2,"Guinea",2024,39821.4908536361,24354.3561191947,15467.1347344414
"Pulmonary rehabilitation",1.2,"Guinea",2025,49216.631742043,25183.7600716325,24032.8716704105
"Pulmonary rehabilitation",1.2,"Guinea",2026,59382.5219138667,26092.6222427206,33289.8996711461
"Pulmonary rehabilitation",1.2,"Guinea",2027,70313.9585990923,27038.3830342332,43275.5755648591
"Pulmonary rehabilitation",1.2,"Guinea",2028,82074.2950416119,28021.2196460994,54053.0753955125
"Pulmonary rehabilitation",1.2,"Guinea",2029,94721.6212477269,29042.086780834,65679.5344668929
"Pulmonary rehabilitation",1.2,"Guinea",2030,108306.820735835,30103.4934136004,78203.3273222343
"Depression chronic treatment",2.1,"Guinea",2020,0,0,0
"Depression chronic treatment",2.1,"Guinea",2021,0,0,0
"Depression chronic treatment",2.1,"Guinea",2022,0,0,0
"Depression chronic treatment",2.1,"Guinea",2023,0,0,0
"Depression chronic treatment",2.1,"Guinea",2024,0,0,0
"Depression chronic treatment",2.1,"Guinea",2025,0,0,0
"Depression chronic treatment",2.1,"Guinea",2026,0,0,0
"Depression chronic treatment",2.1,"Guinea",2027,0,0,0
"Depression chronic treatment",2.1,"Guinea",2028,0,0,0
"Depression chronic treatment",2.1,"Guinea",2029,0,0,0
"Depression chronic treatment",2.1,"Guinea",2030,0,0,0
"Bipolar disorder chronic treatment",2.11,"Guinea",2020,302111.241710935,302111.241710935,0
"Bipolar disorder chronic treatment",2.11,"Guinea",2021,312281.410825685,312281.410825685,0
"Bipolar disorder chronic treatment",2.11,"Guinea",2022,322744.711781147,322744.711781147,0
"Bipolar disorder chronic treatment",2.11,"Guinea",2023,1193150.3145302,333496.216337053,859654.098193146
"Bipolar disorder chronic treatment",2.11,"Guinea",2024,2120947.63871174,344545.648373651,1776401.99033809
"Bipolar disorder chronic treatment",2.11,"Guinea",2025,3108848.88799374,355909.013275065,2752939.87471868
"Bipolar disorder chronic treatment",2.11,"Guinea",2026,4155267.68156473,367197.529315114,3788070.15224962
"Bipolar disorder chronic treatment",2.11,"Guinea",2027,5265626.99596983,378811.076468134,4886815.91950169
"Bipolar disorder chronic treatment",2.11,"Guinea",2028,6442867.56515276,390746.707775164,6052120.85737759
"Bipolar disorder chronic treatment",2.11,"Guinea",2029,7690066.28068423,403011.059235463,7287055.22144876
"Bipolar disorder chronic treatment",2.11,"Guinea",2030,9008800.61760556,415540.665662473,8593259.95194308
"Schizophrenia chronic treatment",2.12,"Guinea",2020,707906.201490042,707906.201490042,0
"Schizophrenia chronic treatment",2.12,"Guinea",2021,734607.143169797,734607.143169797,0
"Schizophrenia chronic treatment",2.12,"Guinea",2022,762477.806403264,762477.806403264,0
"Schizophrenia chronic treatment",2.12,"Guinea",2023,1009128.3024165,791473.178365882,217655.124050617
"Schizophrenia chronic treatment",2.12,"Guinea",2024,1273523.35231623,821577.036963852,451946.315352379
"Schizophrenia chronic treatment",2.12,"Guinea",2025,1556681.59221177,852793.141196757,703888.451015008
"Schizophrenia chronic treatment",2.12,"Guinea",2026,1857421.52362159,884064.008947665,973357.514673925
"Schizophrenia chronic treatment",2.12,"Guinea",2027,2178445.99955916,916452.578861014,1261993.42069815
"Schizophrenia chronic treatment",2.12,"Guinea",2028,2520614.81199518,949884.101119247,1570730.71087594
"Schizophrenia chronic treatment",2.12,"Guinea",2029,2884748.2904639,984300.527234426,1900447.76322948
"Schizophrenia chronic treatment",2.12,"Guinea",2030,3271603.0848718,1019647.64018983,2251955.44468197
"Epilepsy acute and chronic treatment",2.13,"Guinea",2020,18085.148380673,18085.148380673,0
"Epilepsy acute and chronic treatment",2.13,"Guinea",2021,18578.1341307977,18578.1341307977,0
"Epilepsy acute and chronic treatment",2.13,"Guinea",2022,19076.1988381085,19076.1988381085,0
"Epilepsy acute and chronic treatment",2.13,"Guinea",2023,82400.5975567662,19580.340013489,62820.2575432772
"Epilepsy acute and chronic treatment",2.13,"Guinea",2024,149030.559433892,20092.7373361409,128937.822097751
"Epilepsy acute and chronic treatment",2.13,"Guinea",2025,219064.778340311,20613.3780161998,198451.400324112
"Epilepsy acute and chronic treatment",2.13,"Guinea",2026,292706.454030141,21149.0292148369,271557.424815304
"Epilepsy acute and chronic treatment",2.13,"Guinea",2027,370000.299822906,21691.8062114096,348308.493611496
"Epilepsy acute and chronic treatment",2.13,"Guinea",2028,451046.592185378,22241.5021435768,428805.090041801
"Epilepsy acute and chronic treatment",2.13,"Guinea",2029,535942.836580144,22798.1041283788,513144.732451765
"Epilepsy acute and chronic treatment",2.13,"Guinea",2030,624752.100098813,23360.7084142712,601391.391684542
"Asthma/COPD chronic treatment",2.14,"Guinea",2020,2652382.52682994,2652382.52682994,0
"Asthma/COPD chronic treatment",2.14,"Guinea",2021,2720992.64393364,2720992.64393364,0
"Asthma/COPD chronic treatment",2.14,"Guinea",2022,2790945.04409835,2790945.04409835,0
"Asthma/COPD chronic treatment",2.14,"Guinea",2023,3770280.75443636,2862310.05623443,907970.698201925
"Asthma/COPD chronic treatment",2.14,"Guinea",2024,4798117.54884184,2935385.48706183,1862732.06178001
"Asthma/COPD chronic treatment",2.14,"Guinea",2025,5875269.95300318,3009486.01731411,2865783.93568907
"Asthma/COPD chronic treatment",2.14,"Guinea",2026,7007761.78714964,3086497.18285002,3921264.60429962
"Asthma/COPD chronic treatment",2.14,"Guinea",2027,8196178.26339528,3165269.05956623,5030909.20382905
"Asthma/COPD chronic treatment",2.14,"Guinea",2028,9442598.35386913,3245675.99196667,6196922.36190246
"Asthma/COPD chronic treatment",2.14,"Guinea",2029,10748993.5853855,3327657.45849743,7421336.12688806
"Asthma/COPD chronic treatment",2.14,"Guinea",2030,12117707.0068142,3411358.94189019,8706348.06492404
"Diabetes screening and treatment",2.3,"Guinea",2020,8658445.96087332,8658445.96087332,0
"Diabetes screening and treatment",2.3,"Guinea",2021,8935912.04476844,8935912.04476844,0
"Diabetes screening and treatment",2.3,"Guinea",2022,9222856.51778126,9222856.51778126,0
"Diabetes screening and treatment",2.3,"Guinea",2023,12541325.6786064,9521084.75374077,3020240.92486564
"Diabetes screening and treatment",2.3,"Guinea",2024,16076490.9625688,9832408.18736716,6244082.77520164
"Diabetes screening and treatment",2.3,"Guinea",2025,19851335.8001683,10158424.5092165,9692911.29095175
"Diabetes screening and treatment",2.3,"Guinea",2026,23891481.0612863,10499523.0673154,13391957.993971
"Diabetes screening and treatment",2.3,"Guinea",2027,28213855.5887435,10852459.1285613,17361396.4601822
"Diabetes screening and treatment",2.3,"Guinea",2028,32845209.9224704,11218877.8035311,21626332.1189393
"Diabetes screening and treatment",2.3,"Guinea",2029,37813300.5069457,11600703.6908825,26212596.8160632
"Diabetes screening and treatment",2.3,"Guinea",2030,43145341.7761011,11999982.3080746,31145359.4680265
"CVD primary prevention",2.4,"Guinea",2020,3175296.96030945,3175296.96030945,0
"CVD primary prevention",2.4,"Guinea",2021,3295740.90058733,3295740.90058733,0
"CVD primary prevention",2.4,"Guinea",2022,3423515.9961817,3423515.9961817,0
"CVD primary prevention",2.4,"Guinea",2023,4687693.23081365,3558788.41630346,1128904.81451019
"CVD primary prevention",2.4,"Guinea",2024,6051292.38409109,3701800.59385444,2349491.79023665
"CVD primary prevention",2.4,"Guinea",2025,7523064.6821497,3852658.29297624,3670406.38917346
"CVD primary prevention",2.4,"Guinea",2026,9103686.98609257,4007638.57669623,5096048.40939634
"CVD primary prevention",2.4,"Guinea",2027,10808218.3581491,4170377.88675393,6637840.47139519
"CVD primary prevention",2.4,"Guinea",2028,12644096.9883691,4340305.2821016,8303791.70626747
"CVD primary prevention",2.4,"Guinea",2029,14617304.3321169,4516704.12802119,10100600.2040957
"CVD primary prevention",2.4,"Guinea",2030,16733213.3553067,4699075.56686558,12034137.7884411
"Aspirin for suspected ACS",2.5,"Guinea",2020,1489.462653847,1489.462653847,0
"Aspirin for suspected ACS",2.5,"Guinea",2021,1536.18532246102,1536.18532246102,0
"Aspirin for suspected ACS",2.5,"Guinea",2022,1586.36710669242,1586.36710669242,0
"Aspirin for suspected ACS",2.5,"Guinea",2023,2160.61835752891,1640.29154729732,520.32681023159
"Aspirin for suspected ACS",2.5,"Guinea",2024,2776.45570458859,1698.28501224084,1078.17069234775
"Aspirin for suspected ACS",2.5,"Guinea",2025,3439.25011881166,1760.65941477535,1678.59070403631
"Aspirin for suspected ACS",2.5,"Guinea",2026,4149.22016735717,1825.1208614092,2324.09930594797
"Aspirin for suspected ACS",2.5,"Guinea",2027,4915.87557417576,1894.07530257093,3021.80027160483
"Aspirin for suspected ACS",2.5,"Guinea",2028,5745.71594578441,1967.84774806825,3777.86819771616
"Aspirin for suspected ACS",2.5,"Guinea",2029,6645.85580321741,2046.89096406815,4598.96483914926
"Aspirin for suspected ACS",2.5,"Guinea",2030,7623.365222495,2131.58669462397,5491.77852787103
"CVD secondary prevention",2.6,"Guinea",2020,3533002.21195083,3533002.21195083,0
"CVD secondary prevention",2.6,"Guinea",2021,3647288.62449097,3647288.62449097,0
"CVD secondary prevention",2.6,"Guinea",2022,3762661.02766665,3762661.02766665,0
"CVD secondary prevention",2.6,"Guinea",2023,5111203.16003321,3880307.3715945,1230895.78843871
"CVD secondary prevention",2.6,"Guinea",2024,6544260.89195711,4001467.72019565,2542793.17176146
"CVD secondary prevention",2.6,"Guinea",2025,8072080.85975605,4127189.19170542,3944891.66805063
"CVD secondary prevention",2.6,"Guinea",2026,9746245.85839562,4274961.44201056,5471284.41638506
