"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Haiti",2020,1815.05685636481,1815.05685636481,0
"IDU harm reduction measures",1.1,"Haiti",2021,1845.48861299912,1845.48861299912,0
"IDU harm reduction measures",1.1,"Haiti",2022,1874.94114378114,1874.94114378114,0
"IDU harm reduction measures",1.1,"Haiti",2023,20697.6825356185,1903.23517568906,18794.4473599295
"IDU harm reduction measures",1.1,"Haiti",2024,40062.0616468205,1930.18945656842,38131.8721902521
"IDU harm reduction measures",1.1,"Haiti",2025,59938.3300625828,1955.58478509554,57982.7452774873
"IDU harm reduction measures",1.1,"Haiti",2026,80306.2063078061,1979.5761157942,78326.6301920119
"IDU harm reduction measures",1.1,"Haiti",2027,101108.719293109,2001.40401078403,99107.3152823247
"IDU harm reduction measures",1.1,"Haiti",2028,122278.303509219,2020.55833124311,120257.745177976
"IDU harm reduction measures",1.1,"Haiti",2029,143728.607540411,2036.46920933869,141692.138331073
"IDU harm reduction measures",1.1,"Haiti",2030,165353.851875208,2048.51900235271,163305.332872856
"Pulmonary rehabilitation",1.2,"Haiti",2020,39127.636286221,39127.636286221,0
"Pulmonary rehabilitation",1.2,"Haiti",2021,40245.8078037039,40245.8078037039,0
"Pulmonary rehabilitation",1.2,"Haiti",2022,41344.6134679191,41344.6134679191,0
"Pulmonary rehabilitation",1.2,"Haiti",2023,52138.4053289585,42420.2899617492,9718.11536720936
"Pulmonary rehabilitation",1.2,"Haiti",2024,63493.5106384643,43469.9440728577,20023.5665656067
"Pulmonary rehabilitation",1.2,"Haiti",2025,75431.3078715871,44487.4762864164,30943.8315851707
"Pulmonary rehabilitation",1.2,"Haiti",2026,88127.5103212987,45543.1244016991,42584.3859195996
"Pulmonary rehabilitation",1.2,"Haiti",2027,101460.278514496,46542.0248276837,54918.2536868125
"Pulmonary rehabilitation",1.2,"Haiti",2028,115422.071062914,47473.9739140629,67948.0971488514
"Pulmonary rehabilitation",1.2,"Haiti",2029,129991.814267951,48328.4986642035,81663.315603747
"Pulmonary rehabilitation",1.2,"Haiti",2030,145137.527003255,49096.2178672021,96041.3091360525
"Depression chronic treatment",2.1,"Haiti",2020,283896.598569969,283896.598569969,0
"Depression chronic treatment",2.1,"Haiti",2021,289041.900638213,289041.900638213,0
"Depression chronic treatment",2.1,"Haiti",2022,294128.888268326,294128.888268326,0
"Depression chronic treatment",2.1,"Haiti",2023,367663.540994949,299134.465639414,68529.075355535
