"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Honduras",2020,3647.69308419077,3647.69308419077,0
"IDU harm reduction measures",1.1,"Honduras",2021,3738.6550319533,3738.6550319533,0
"IDU harm reduction measures",1.1,"Honduras",2022,3830.67233421468,3830.67233421468,0
"IDU harm reduction measures",1.1,"Honduras",2023,42654.0727451732,3922.21358576305,38731.8591594101
"IDU harm reduction measures",1.1,"Honduras",2024,83238.204510332,4011.27369210289,79226.9308182291
"IDU harm reduction measures",1.1,"Honduras",2025,125488.876473696,4096.91042095827,121391.966052738
"IDU harm reduction measures",1.1,"Honduras",2026,169360.00512855,4180.22497320713,165179.780155343
"IDU harm reduction measures",1.1,"Honduras",2027,214742.583457237,4260.16554748907,210482.417909748
"IDU harm reduction measures",1.1,"Honduras",2028,261560.142307717,4336.88328985936,257223.259017858
"IDU harm reduction measures",1.1,"Honduras",2029,309779.773898007,4411.04810132018,305368.725796687
"IDU harm reduction measures",1.1,"Honduras",2030,359372.239136738,4483.03431065029,354889.204826088
"Pulmonary rehabilitation",1.2,"Honduras",2020,153410.553193001,153410.553193001,0
"Pulmonary rehabilitation",1.2,"Honduras",2021,159268.514281682,159268.514281682,0
"Pulmonary rehabilitation",1.2,"Honduras",2022,165391.263523573,165391.263523573,0
"Pulmonary rehabilitation",1.2,"Honduras",2023,179794.329196936,171782.559831756,8011.76936517961
"Pulmonary rehabilitation",1.2,"Honduras",2024,195170.800112686,178430.791426789,16740.0086858978
"Pulmonary rehabilitation",1.2,"Honduras",2025,211618.358562526,185350.884648284,26267.4739142424
"Pulmonary rehabilitation",1.2,"Honduras",2026,229271.816332402,192578.114460609,36693.7018717932
"Pulmonary rehabilitation",1.2,"Honduras",2027,248101.486455373,200012.688646782,48088.7978085916
"Pulmonary rehabilitation",1.2,"Honduras",2028,268216.175846423,207677.585442938,60538.590403485
"Pulmonary rehabilitation",1.2,"Honduras",2029,289755.91286691,215616.717112162,74139.1957547478
"Pulmonary rehabilitation",1.2,"Honduras",2030,312865.09298591,223870.501610952,88994.5913749581
"Depression chronic treatment",2.1,"Honduras",2020,0,0,0
"Depression chronic treatment",2.1,"Honduras",2021,0,0,0
"Depression chronic treatment",2.1,"Honduras",2022,0,0,0
"Depression chronic treatment",2.1,"Honduras",2023,0,0,0
"Depression chronic treatment",2.1,"Honduras",2024,0,0,0
"Depression chronic treatment",2.1,"Honduras",2025,0,0,0
"Depression chronic treatment",2.1,"Honduras",2026,0,0,0
"Depression chronic treatment",2.1,"Honduras",2027,0,0,0
"Depression chronic treatment",2.1,"Honduras",2028,0,0,0
"Depression chronic treatment",2.1,"Honduras",2029,0,0,0
"Depression chronic treatment",2.1,"Honduras",2030,0,0,0
"Bipolar disorder chronic treatment",2.11,"Honduras",2020,784492.674915809,784492.674915809,0
"Bipolar disorder chronic treatment",2.11,"Honduras",2021,801370.688693988,801370.688693988,0
"Bipolar disorder chronic treatment",2.11,"Honduras",2022,818437.441728077,818437.441728077,0
"Bipolar disorder chronic treatment",2.11,"Honduras",2023,2988911.06132576,835427.454346012,2153483.60697975
"Bipolar disorder chronic treatment",2.11,"Honduras",2024,5244680.83820252,852009.390717896,4392671.44748463
"Bipolar disorder chronic treatment",2.11,"Honduras",2025,7581991.1400281,868071.478496277,6713919.66153183
"Bipolar disorder chronic treatment",2.11,"Honduras",2026,10000175.161864,883866.920206067,9116308.24165794
"Bipolar disorder chronic treatment",2.11,"Honduras",2027,12494560.2802859,899165.876465087,11595394.4038208
"Bipolar disorder chronic treatment",2.11,"Honduras",2028,15063368.9620256,914053.883071378,14149315.0789543
"Bipolar disorder chronic treatment",2.11,"Honduras",2029,17707804.9674411,928723.878443006,16779081.088998
"Bipolar disorder chronic treatment",2.11,"Honduras",2030,20427621.9801934,943208.04869522,19484413.9314982
"Schizophrenia chronic treatment",2.12,"Honduras",2020,2580338.39316485,2580338.39316485,0
"Schizophrenia chronic treatment",2.12,"Honduras",2021,2652388.49503673,2652388.49503673,0
"Schizophrenia chronic treatment",2.12,"Honduras",2022,2726425.91847999,2726425.91847999,0
"Schizophrenia chronic treatment",2.12,"Honduras",2023,3151618.02693541,2801438.24616481,350179.7807706
"Schizophrenia chronic treatment",2.12,"Honduras",2024,3595251.44399516,2876065.16273074,719186.281264411
"Schizophrenia chronic treatment",2.12,"Honduras",2025,4056347.58017658,2949617.39606926,1106730.18410732
"Schizophrenia chronic treatment",2.12,"Honduras",2026,4535521.89978855,3022686.62493058,1512835.27485797
"Schizophrenia chronic treatment",2.12,"Honduras",2027,5031737.7702859,3094658.45597853,1937079.31430738
"Schizophrenia chronic treatment",2.12,"Honduras",2028,5544473.45160311,3165384.17410763,2379089.27749548
"Schizophrenia chronic treatment",2.12,"Honduras",2029,6073648.40430034,3234987.7529174,2838660.65138294
"Schizophrenia chronic treatment",2.12,"Honduras",2030,6618852.05039705,3303396.97167998,3315455.07871708
"Epilepsy acute and chronic treatment",2.13,"Honduras",2020,562643.874486615,562643.874486615,0
"Epilepsy acute and chronic treatment",2.13,"Honduras",2021,571928.746283869,571928.746283869,0
"Epilepsy acute and chronic treatment",2.13,"Honduras",2022,581353.006674051,581353.006674051,0
"Epilepsy acute and chronic treatment",2.13,"Honduras",2023,635160.27572091,590846.768112475,44313.5076084356
"Epilepsy acute and chronic treatment",2.13,"Honduras",2024,690421.728563305,600313.366972051,90108.3615912537
"Epilepsy acute and chronic treatment",2.13,"Honduras",2025,747081.685562508,609685.022520072,137396.663042436
"Epilepsy acute and chronic treatment",2.13,"Honduras",2026,805234.201900353,619019.530159044,186214.671741309
"Epilepsy acute and chronic treatment",2.13,"Honduras",2027,864816.987198758,628248.243149492,236568.744049266
"Epilepsy acute and chronic treatment",2.13,"Honduras",2028,925875.566934633,637390.125477744,288485.44145689
"Epilepsy acute and chronic treatment",2.13,"Honduras",2029,988496.916416842,646487.222049703,342009.694367139
"Epilepsy acute and chronic treatment",2.13,"Honduras",2030,1052722.95883477,655544.917044146,397178.041790623
"Asthma/COPD chronic treatment",2.14,"Honduras",2020,8248942.60691616,8248942.60691616,0
"Asthma/COPD chronic treatment",2.14,"Honduras",2021,8344654.66636046,8344654.66636046,0
"Asthma/COPD chronic treatment",2.14,"Honduras",2022,8442826.11344534,8442826.11344534,0
"Asthma/COPD chronic treatment",2.14,"Honduras",2023,8942173.10647804,8543703.2054939,398469.900984144
"Asthma/COPD chronic treatment",2.14,"Honduras",2024,9455066.92094682,8647672.96867383,807393.952272993
"Asthma/COPD chronic treatment",2.14,"Honduras",2025,9980708.77175484,8753342.45955373,1227366.31220111
"Asthma/COPD chronic treatment",2.14,"Honduras",2026,10516026.6124046,8857561.5166581,1658465.0957465
"Asthma/COPD chronic treatment",2.14,"Honduras",2027,11062211.8704816,8961135.84417338,2101076.0263082
"Asthma/COPD chronic treatment",2.14,"Honduras",2028,11619638.9685588,9064115.32494179,2555523.64361698
"Asthma/COPD chronic treatment",2.14,"Honduras",2029,12187727.2518094,9165827.76979243,3021899.48201696
"Asthma/COPD chronic treatment",2.14,"Honduras",2030,12767661.6206,9266975.03254896,3500686.58805101
"Diabetes screening and treatment",2.3,"Honduras",2020,104647067.630766,104647067.630766,0
"Diabetes screening and treatment",2.3,"Honduras",2021,108329545.741129,108329545.741129,0
