"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"India",2020,756405.01567424,756405.01567424,0
"IDU harm reduction measures",1.1,"India",2021,765555.832232475,765555.832232475,0
"IDU harm reduction measures",1.1,"India",2022,774906.005381092,774906.005381092,0
"IDU harm reduction measures",1.1,"India",2023,8528631.68613625,784241.994127471,7744389.69200877
"IDU harm reduction measures",1.1,"India",2024,16461627.8330693,793235.24772322,15668392.5853461
"IDU harm reduction measures",1.1,"India",2025,24561751.4203449,801737.31877528,23760014.1015697
"IDU harm reduction measures",1.1,"India",2026,32824274.8885378,809933.013135215,32014341.8754026
"IDU harm reduction measures",1.1,"India",2027,41236797.3446186,817716.867907617,40419080.476711
"IDU harm reduction measures",1.1,"India",2028,49782427.0435832,824982.889630238,48957444.153953
"IDU harm reduction measures",1.1,"India",2029,58442644.6973555,831665.746792094,57610978.9505634
"IDU harm reduction measures",1.1,"India",2030,67197313.3018472,837715.967033369,66359597.3348138
"Pulmonary rehabilitation",1.2,"India",2020,17596254.4491256,17596254.4491256,0
"Pulmonary rehabilitation",1.2,"India",2021,18152889.4454229,18152889.4454229,0
"Pulmonary rehabilitation",1.2,"India",2022,18714978.5694703,18714978.5694703,0
"Pulmonary rehabilitation",1.2,"India",2023,23313988.0619993,19280631.8497667,4033356.21223253
"Pulmonary rehabilitation",1.2,"India",2024,28186508.1933835,19845611.4868074,8340896.70657612
"Pulmonary rehabilitation",1.2,"India",2025,33345907.4216229,20410121.3610928,12935786.0605302
"Pulmonary rehabilitation",1.2,"India",2026,38951113.1323978,21050744.9584141,17900368.1739837
"Pulmonary rehabilitation",1.2,"India",2027,44887333.232576,21681758.7495102,23205574.4830658
"Pulmonary rehabilitation",1.2,"India",2028,51163104.4389244,22304617.5838141,28858486.8551103
"Pulmonary rehabilitation",1.2,"India",2029,57791359.754178,22923327.1120601,34868032.6421179
"Pulmonary rehabilitation",1.2,"India",2030,64783461.0860073,23541412.5124449,41242048.5735624
"Depression chronic treatment",2.1,"India",2020,41167463.8301091,41167463.8301091,0
"Depression chronic treatment",2.1,"India",2021,41909172.119509,41909172.119509,0
"Depression chronic treatment",2.1,"India",2022,42675332.724337,42675332.724337,0
"Depression chronic treatment",2.1,"India",2023,52546494.1680655,43455868.9125238,9090625.25554166
"Depression chronic treatment",2.1,"India",2024,62765350.5351165,44234058.494542,18531292.0405745
"Depression chronic treatment",2.1,"India",2025,73328327.0479351,45003371.1246839,28324955.9232512
"Depression chronic treatment",2.1,"India",2026,84210686.7900187,45748369.3901243,38462317.3998944
"Depression chronic treatment",2.1,"India",2027,95433250.6259634,46483191.8878907,48950058.7380727
"Depression chronic treatment",2.1,"India",2028,106997708.882307,47208635.3044041,59789073.5779031
"Depression chronic treatment",2.1,"India",2029,118916492.759695,47930054.270275,70986438.4894195
"Depression chronic treatment",2.1,"India",2030,131195727.635885,48649224.3124418,82546503.3234435
"Bipolar disorder chronic treatment",2.11,"India",2020,43650052.4337542,43650052.4337542,0
"Bipolar disorder chronic treatment",2.11,"India",2021,44300969.4598165,44300969.4598165,0
"Bipolar disorder chronic treatment",2.11,"India",2022,44973238.6756584,44973238.6756584,0
"Bipolar disorder chronic treatment",2.11,"India",2023,163336333.332365,45653970.412068,117682362.920297
"Bipolar disorder chronic treatment",2.11,"India",2024,285207798.377731,46323374.305548,238884424.072183
"Bipolar disorder chronic treatment",2.11,"India",2025,410508639.212982,46973562.8320945,363535076.380887
"Bipolar disorder chronic treatment",2.11,"India",2026,538910698.755597,47582431.9433925,491328266.812205
"Bipolar disorder chronic treatment",2.11,"India",2027,670496937.292884,48174570.8475328,622322366.445351
"Bipolar disorder chronic treatment",2.11,"India",2028,805212966.922606,48751309.9750199,756461656.947586
"Bipolar disorder chronic treatment",2.11,"India",2029,943111154.022219,49319266.4817222,893791887.540497
"Bipolar disorder chronic treatment",2.11,"India",2030,1084194115.44327,49879940.721984,1034314174.72129
"Schizophrenia chronic treatment",2.12,"India",2020,383222545.176207,383222545.176207,0
"Schizophrenia chronic treatment",2.12,"India",2021,389553341.731086,389553341.731086,0
"Schizophrenia chronic treatment",2.12,"India",2022,396086816.994889,396086816.994889,0
"Schizophrenia chronic treatment",2.12,"India",2023,453063382.788283,402723006.922918,50340375.8653647
"Schizophrenia chronic treatment",2.12,"India",2024,511740088.493638,409304249.096713,102435839.396924
"Schizophrenia chronic treatment",2.12,"India",2025,572019554.515701,415759212.92293,156260341.592771
"Schizophrenia chronic treatment",2.12,"India",2026,633547466.765691,421870431.716683,211677035.049008
"Schizophrenia chronic treatment",2.12,"India",2027,696602269.95883,427879106.09765,268723163.86118
"Schizophrenia chronic treatment",2.12,"India",2028,761117584.237021,433761963.716895,327355620.520126
"Schizophrenia chronic treatment",2.12,"India",2029,827078997.426003,439530838.522598,387548158.903405
"Schizophrenia chronic treatment",2.12,"India",2030,894442759.884496,445181012.838846,449261747.04565
"Epilepsy acute and chronic treatment",2.13,"India",2020,39820884.9518202,39820884.9518202,0
"Epilepsy acute and chronic treatment",2.13,"India",2021,40264312.7954307,40264312.7954307,0
"Epilepsy acute and chronic treatment",2.13,"India",2022,40708119.4883873,40708119.4883873,0
"Epilepsy acute and chronic treatment",2.13,"India",2023,44236465.8130578,41150200.7563328,3086265.05672497
"Epilepsy acute and chronic treatment",2.13,"India",2024,47841222.4746937,41586788.3949624,6254434.07973134
"Epilepsy acute and chronic treatment",2.13,"India",2025,51519748.7846681,42015227.9819005,9504520.80276761
"Epilepsy acute and chronic treatment",2.13,"India",2026,55301508.406213,42457042.4267411,12844465.9794719
"Epilepsy acute and chronic treatment",2.13,"India",2027,59155268.4615908,42886118.7710257,16269149.690565
"Epilepsy acute and chronic treatment",2.13,"India",2028,63082076.7863687,43304179.1482011,19777897.6381675
"Epilepsy acute and chronic treatment",2.13,"India",2029,67084363.7299435,43713884.6482196,23370479.0817239
"Epilepsy acute and chronic treatment",2.13,"India",2030,71163202.6906596,44116941.2109384,27046261.4797212
"Asthma/COPD chronic treatment",2.14,"India",2020,423164587.86753,423164587.86753,0
"Asthma/COPD chronic treatment",2.14,"India",2021,431834868.983789,431834868.983789,0
"Asthma/COPD chronic treatment",2.14,"India",2022,440727889.843562,440727889.843562,0
"Asthma/COPD chronic treatment",2.14,"India",2023,543905645.638932,449809122.604254,94096523.0346786
"Asthma/COPD chronic treatment",2.14,"India",2024,651523382.929394,458985037.226989,192538345.702406
"Asthma/COPD chronic treatment",2.14,"India",2025,763701068.464452,468181880.485459,295519187.978992
"Asthma/COPD chronic treatment",2.14,"India",2026,881640634.794122,477922896.278415,403717738.515707
"Asthma/COPD chronic treatment",2.14,"India",2027,1004601846.43586,487598607.484873,517003238.950991
"Asthma/COPD chronic treatment",2.14,"India",2028,1132739659.94084,497231083.026466,635508576.914373
"Asthma/COPD chronic treatment",2.14,"India",2029,1266263797.21554,506870953.90277,759392843.312774
"Asthma/COPD chronic treatment",2.14,"India",2030,1405396290.76493,516572106.344324,888824184.420606
"Diabetes screening and treatment",2.3,"India",2020,6880658068.11431,6880658068.11431,0
"Diabetes screening and treatment",2.3,"India",2021,7045680045.72061,7045680045.72061,0
"Diabetes screening and treatment",2.3,"India",2022,7216761108.48402,7216761108.48402,0
"Diabetes screening and treatment",2.3,"India",2023,8939398906.73419,7392868985.80358,1546529920.93062
"Diabetes screening and treatment",2.3,"India",2024,10747210957.5689,7571792660.6074,3175418296.96154
"Diabetes screening and treatment",2.3,"India",2025,12643453373.3876,7752814595.83088,4890638777.55673
"Diabetes screening and treatment",2.3,"India",2026,14624241456.3111,7931488466.97051,6692752989.34061
"Diabetes screening and treatment",2.3,"India",2027,16696688019.605,8110891562.2778,8585796457.3272
"Diabetes screening and treatment",2.3,"India",2028,18864230188.1911,8291445003.23121,10572785184.9599
"Diabetes screening and treatment",2.3,"India",2029,21132101314.3777,8474309141.75427,12657792172.6234
"Diabetes screening and treatment",2.3,"India",2030,23504917943.0302,8660200322.12994,14844717620.9003
"CVD primary prevention",2.4,"India",2020,1009423958.38578,1009423958.38578,0
"CVD primary prevention",2.4,"India",2021,1030569261.55077,1030569261.55077,0
"CVD primary prevention",2.4,"India",2022,1052262603.0352,1052262603.0352,0
"CVD primary prevention",2.4,"India",2023,1299064588.15289,1074324393.0055,224740195.147395
"CVD primary prevention",2.4,"India",2024,1555822237.20087,1096441372.91788,459380864.282986
"CVD primary prevention",2.4,"India",2025,1822604449.27138,1118497524.82591,704106924.445467
"CVD primary prevention",2.4,"India",2026,2098797421.02413,1140047554.56631,958749866.457818
"CVD primary prevention",2.4,"India",2027,2385106685.75665,1161500722.33798,1223605963.41867
"CVD primary prevention",2.4,"India",2028,2681642253.50742,1182861141.64435,1498781111.86307
"CVD primary prevention",2.4,"India",2029,2988747397.84679,1204239313.37189,1784508084.4749
"CVD primary prevention",2.4,"India",2030,3306644986.41048,1225679138.49956,2080965847.91092
"Aspirin for suspected ACS",2.5,"India",2020,736385.92594324,736385.92594324,0
"Aspirin for suspected ACS",2.5,"India",2021,754774.141159131,754774.141159131,0
"Aspirin for suspected ACS",2.5,"India",2022,774222.587061648,774222.587061648,0
"Aspirin for suspected ACS",2.5,"India",2023,960692.789653013,794491.442166276,166201.347486737
"Aspirin for suspected ACS",2.5,"India",2024,1156896.44294173,815157.876316793,341738.566624941
"Aspirin for suspected ACS",2.5,"India",2025,1362979.54209286,836010.673736518,526968.868356337
"Aspirin for suspected ACS",2.5,"India",2026,1578085.84187126,856376.932449535,721708.909421724
"Aspirin for suspected ACS",2.5,"India",2027,1803371.03570196,876871.67986434,926499.355837625
"Aspirin for suspected ACS",2.5,"India",2028,2038996.29521278,897451.990874652,1141544.30433812
"Aspirin for suspected ACS",2.5,"India",2029,2285233.10710727,918148.711145595,1367084.39596168
"Aspirin for suspected ACS",2.5,"India",2030,2542286.40365138,938972.185823615,1603314.21782776
"CVD secondary prevention",2.6,"India",2020,2049023496.14353,2049023496.14353,0
"CVD secondary prevention",2.6,"India",2021,2117106375.63536,2117106375.63536,0
"CVD secondary prevention",2.6,"India",2022,2186250691.37504,2186250691.37504,0
