"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Indonesia",2020,106817.04761306,106817.04761306,0
"IDU harm reduction measures",1.1,"Indonesia",2021,108105.241821978,108105.241821978,0
"IDU harm reduction measures",1.1,"Indonesia",2022,109294.279578965,109294.279578965,0
"IDU harm reduction measures",1.1,"Indonesia",2023,1200770.44444415,110415.673052336,1090354.77139182
"IDU harm reduction measures",1.1,"Indonesia",2024,2314533.87155318,111525.330232933,2203008.54132024
"IDU harm reduction measures",1.1,"Indonesia",2025,3451339.10514228,112643.449021271,3338695.65612101
"IDU harm reduction measures",1.1,"Indonesia",2026,4608879.26048697,113695.731845681,4495183.52864129
"IDU harm reduction measures",1.1,"Indonesia",2027,5788680.61783381,114743.642374045,5673936.97545977
"IDU harm reduction measures",1.1,"Indonesia",2028,6990968.33569337,115787.641103339,6875180.69459003
"IDU harm reduction measures",1.1,"Indonesia",2029,8215265.21187134,116818.801325648,8098446.4105457
"IDU harm reduction measures",1.1,"Indonesia",2030,9461402.48978688,117837.288724297,9343565.20106258
"Pulmonary rehabilitation",1.2,"Indonesia",2020,3195329.90780507,3195329.90780507,0
"Pulmonary rehabilitation",1.2,"Indonesia",2021,3306801.80953065,3306801.80953065,0
"Pulmonary rehabilitation",1.2,"Indonesia",2022,3415875.25276046,3415875.25276046,0
"Pulmonary rehabilitation",1.2,"Indonesia",2023,4965635.41666017,3523788.07553872,1441847.34112145
"Pulmonary rehabilitation",1.2,"Indonesia",2024,6614765.87700637,3632949.74270052,2981816.13430585
"Pulmonary rehabilitation",1.2,"Indonesia",2025,8372676.62871905,3744727.27787364,4627949.35084541
"Pulmonary rehabilitation",1.2,"Indonesia",2026,10274690.6939941,3868897.16413015,6405793.52986395
"Pulmonary rehabilitation",1.2,"Indonesia",2027,12305830.9505783,3994017.24561978,8311813.70495852
"Pulmonary rehabilitation",1.2,"Indonesia",2028,14470913.7446013,4119955.34855176,10350958.3960495
"Pulmonary rehabilitation",1.2,"Indonesia",2029,16770782.8259796,4245925.8535376,12524856.972442
"Pulmonary rehabilitation",1.2,"Indonesia",2030,19206197.3797889,4371771.35807398,14834426.0217149
"Depression chronic treatment",2.1,"Indonesia",2020,2994205.2671511,2994205.2671511,0
"Depression chronic treatment",2.1,"Indonesia",2021,3040677.63607906,3040677.63607906,0
"Depression chronic treatment",2.1,"Indonesia",2022,3083893.80330467,3083893.80330467,0
"Depression chronic treatment",2.1,"Indonesia",2023,4403962.81896738,3125205.61105366,1278757.20791372
"Depression chronic treatment",2.1,"Indonesia",2024,5759947.58567674,3166753.61895442,2593193.96672232
"Depression chronic treatment",2.1,"Indonesia",2025,7154881.1706674,3209357.83430298,3945523.33636443
"Depression chronic treatment",2.1,"Indonesia",2026,8582996.25111083,3249971.84567808,5333024.40543275
"Depression chronic treatment",2.1,"Indonesia",2027,10050542.8298287,3291198.92235028,6759343.90747845
"Depression chronic treatment",2.1,"Indonesia",2028,11557712.0702135,3332685.06309858,8225027.00711491
