"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Iran",2020,1013760.38689374,1013760.38689374,0
"IDU harm reduction measures",1.1,"Iran",2021,1007789.30537783,1007789.30537783,0
"IDU harm reduction measures",1.1,"Iran",2022,1003022.62031524,1003022.62031524,0
"IDU harm reduction measures",1.1,"Iran",2023,3198211.56166553,999259.561501309,2198952.00016422
"IDU harm reduction measures",1.1,"Iran",2024,5379996.88174381,996071.613957302,4383925.26778651
"IDU harm reduction measures",1.1,"Iran",2025,7552208.28816464,993442.507873274,6558765.78029136
"IDU harm reduction measures",1.1,"Iran",2026,9741747.01895218,993713.565329441,8748033.45362274
"IDU harm reduction measures",1.1,"Iran",2027,11935582.8526038,994176.910125672,10941405.9424781
"IDU harm reduction measures",1.1,"Iran",2028,14143539.2100028,995409.11631408,13148130.0936887
"IDU harm reduction measures",1.1,"Iran",2029,16382249.9918302,998091.864843081,15384158.1269871
"IDU harm reduction measures",1.1,"Iran",2030,18665384.6501247,1002425.75024831,17662958.8998764
"Pulmonary rehabilitation",1.2,"Iran",2020,3158782.29708922,3158782.29708922,0
"Pulmonary rehabilitation",1.2,"Iran",2021,3266404.96290201,3266404.96290201,0
"Pulmonary rehabilitation",1.2,"Iran",2022,3374312.48595723,3374312.48595723,0
"Pulmonary rehabilitation",1.2,"Iran",2023,3778342.46999942,3481968.05090436,296374.419095062
"Pulmonary rehabilitation",1.2,"Iran",2024,4199534.85172752,3587967.90964609,611566.942081432
"Pulmonary rehabilitation",1.2,"Iran",2025,4638882.58804245,3692464.68332827,946417.904714177
"Pulmonary rehabilitation",1.2,"Iran",2026,5132088.01303313,3821076.75078159,1311011.26225155
"Pulmonary rehabilitation",1.2,"Iran",2027,5644679.26497872,3944142.20834626,1700537.05663246
"Pulmonary rehabilitation",1.2,"Iran",2028,6181605.21796438,4064816.80666381,2116788.41130057
"Pulmonary rehabilitation",1.2,"Iran",2029,6751074.08248936,4187752.3065383,2563321.77595106
"Pulmonary rehabilitation",1.2,"Iran",2030,7359217.17182993,4315610.32171403,3043606.8501159
"Depression chronic treatment",2.1,"Iran",2020,0,0,0
"Depression chronic treatment",2.1,"Iran",2021,0,0,0
"Depression chronic treatment",2.1,"Iran",2022,0,0,0
"Depression chronic treatment",2.1,"Iran",2023,0,0,0
"Depression chronic treatment",2.1,"Iran",2024,0,0,0
"Depression chronic treatment",2.1,"Iran",2025,0,0,0
"Depression chronic treatment",2.1,"Iran",2026,0,0,0
"Depression chronic treatment",2.1,"Iran",2027,0,0,0
"Depression chronic treatment",2.1,"Iran",2028,0,0,0
"Depression chronic treatment",2.1,"Iran",2029,0,0,0
"Depression chronic treatment",2.1,"Iran",2030,0,0,0
"Bipolar disorder chronic treatment",2.11,"Iran",2020,50170876.307035,50170876.307035,0
"Bipolar disorder chronic treatment",2.11,"Iran",2021,50644746.3654844,50644746.3654844,0
"Bipolar disorder chronic treatment",2.11,"Iran",2022,51187822.7835636,51187822.7835636,0
"Bipolar disorder chronic treatment",2.11,"Iran",2023,90718795.6584857,51774431.5647928,38944364.0936929
"Bipolar disorder chronic treatment",2.11,"Iran",2024,131142711.713447,52364264.0131199,78778447.7003269
"Bipolar disorder chronic treatment",2.11,"Iran",2025,172423829.870251,52942182.5259852,119481647.344266
"Bipolar disorder chronic treatment",2.11,"Iran",2026,214886143.857679,53593262.3746933,161292881.482985
"Bipolar disorder chronic treatment",2.11,"Iran",2027,258123767.155299,54195016.9604626,203928750.194836
"Bipolar disorder chronic treatment",2.11,"Iran",2028,302206707.416483,54777840.9978671,247428866.418616
"Bipolar disorder chronic treatment",2.11,"Iran",2029,347355834.474387,55381486.8612284,291974347.613159
"Bipolar disorder chronic treatment",2.11,"Iran",2030,393706262.098538,56016439.227985,337689822.870553
"Schizophrenia chronic treatment",2.12,"Iran",2020,80366483.2831387,80366483.2831387,0
"Schizophrenia chronic treatment",2.12,"Iran",2021,81340910.148613,81340910.148613,0
"Schizophrenia chronic treatment",2.12,"Iran",2022,82328013.5180006,82328013.5180006,0
"Schizophrenia chronic treatment",2.12,"Iran",2023,88025962.364758,83293383.7429968,4732578.62176119
"Schizophrenia chronic treatment",2.12,"Iran",2024,93750510.6069619,84182718.1066919,9567792.50027002
"Schizophrenia chronic treatment",2.12,"Iran",2025,99470991.2597333,84978803.81756,14492187.4421732
"Schizophrenia chronic treatment",2.12,"Iran",2026,105347673.687006,85822995.1062814,19524678.5807245
"Schizophrenia chronic treatment",2.12,"Iran",2027,111149028.215409,86526592.6715978,24622435.5438111
"Schizophrenia chronic treatment",2.12,"Iran",2028,116930165.830377,87146754.5543466,29783411.2760309
"Schizophrenia chronic treatment",2.12,"Iran",2029,122786933.327487,87760635.9347185,35026297.3927689
"Schizophrenia chronic treatment",2.12,"Iran",2030,128766082.721274,88399769.6852145,40366313.0360592
"Epilepsy acute and chronic treatment",2.13,"Iran",2020,10245928.2756743,10245928.2756743,0
"Epilepsy acute and chronic treatment",2.13,"Iran",2021,10392085.5198602,10392085.5198602,0
"Epilepsy acute and chronic treatment",2.13,"Iran",2022,10536022.4081559,10536022.4081559,0
"Epilepsy acute and chronic treatment",2.13,"Iran",2023,10867446.9595286,10676789.9953263,190656.964202255
"Epilepsy acute and chronic treatment",2.13,"Iran",2024,11200339.6269234,10813722.0045265,386617.622396961
"Epilepsy acute and chronic treatment",2.13,"Iran",2025,11533026.8860353,10944883.3556331,588143.530402174
"Epilepsy acute and chronic treatment",2.13,"Iran",2026,11858289.1596726,11063199.5399624,795089.619710252
"Epilepsy acute and chronic treatment",2.13,"Iran",2027,12181535.7576478,11173766.5916212,1007769.16602658
"Epilepsy acute and chronic treatment",2.13,"Iran",2028,12502682.8197649,11276467.0785535,1226215.74121142
"Epilepsy acute and chronic treatment",2.13,"Iran",2029,12822517.9619245,11372061.4324073,1450456.52951719
"Epilepsy acute and chronic treatment",2.13,"Iran",2030,13144051.477572,11463309.7488895,1680741.72868244
"Asthma/COPD chronic treatment",2.14,"Iran",2020,78471418.8740077,78471418.8740077,0
"Asthma/COPD chronic treatment",2.14,"Iran",2021,79983070.4258225,79983070.4258225,0
"Asthma/COPD chronic treatment",2.14,"Iran",2022,81511469.4997661,81511469.4997661,0
"Asthma/COPD chronic treatment",2.14,"Iran",2023,90104757.3159216,83036910.6823124,7067846.63360913
"Asthma/COPD chronic treatment",2.14,"Iran",2024,98924596.0002097,84528676.1970211,14395919.8031887
"Asthma/COPD chronic treatment",2.14,"Iran",2025,107929284.768489,85952367.9553799,21976916.813109
"Asthma/COPD chronic treatment",2.14,"Iran",2026,117212976.816255,87380793.4894176,29832183.3268372
"Asthma/COPD chronic treatment",2.14,"Iran",2027,126607819.33711,88685903.0403859,37921916.2967238
"Asthma/COPD chronic treatment",2.14,"Iran",2028,136125448.21548,89887512.6822088,46237935.5332708
"Asthma/COPD chronic treatment",2.14,"Iran",2029,145812827.157751,91024167.2535455,54788659.9042058
"Asthma/COPD chronic treatment",2.14,"Iran",2030,155743281.165729,92143534.8456551,63599746.320074
"Diabetes screening and treatment",2.3,"Iran",2020,1735553019.5516,1735553019.5516,0
"Diabetes screening and treatment",2.3,"Iran",2021,1791535063.30775,1791535063.30775,0
"Diabetes screening and treatment",2.3,"Iran",2022,1850871585.97605,1850871585.97605,0
"Diabetes screening and treatment",2.3,"Iran",2023,2075817955.35928,1912990116.02189,162827839.337391
"Diabetes screening and treatment",2.3,"Iran",2024,2313421815.28312,1976699907.22659,336721908.056531
"Diabetes screening and treatment",2.3,"Iran",2025,2563926651.56048,2041580199.10771,522346452.452768
"Diabetes screening and treatment",2.3,"Iran",2026,2830317499.02599,2109283387.6684,721034111.357589
"Diabetes screening and treatment",2.3,"Iran",2027,3108332403.93884,2175980214.89255,932352189.046292
"Diabetes screening and treatment",2.3,"Iran",2028,3400160174.13549,2242972006.38006,1157188167.75543
"Diabetes screening and treatment",2.3,"Iran",2029,3709364540.57425,2312155960.49155,1397208580.0827
"Diabetes screening and treatment",2.3,"Iran",2030,4038369974.69879,2384389397.86092,1653980576.83787
"CVD primary prevention",2.4,"Iran",2020,222400262.348999,222400262.348999,0
"CVD primary prevention",2.4,"Iran",2021,227689987.016424,227689987.016424,0
"CVD primary prevention",2.4,"Iran",2022,232749824.939756,232749824.939756,0
"CVD primary prevention",2.4,"Iran",2023,257725313.472927,237509255.592222,20216057.8807043
"CVD primary prevention",2.4,"Iran",2024,283052731.856879,241866590.429632,41186141.4272473
"CVD primary prevention",2.4,"Iran",2025,308633806.291696,245809348.866521,62824457.4251753
"CVD primary prevention",2.4,"Iran",2026,334925329.541903,249738170.505901,85187159.036002
"CVD primary prevention",2.4,"Iran",2027,361116004.491691,253068542.3665,108047462.125191
"CVD primary prevention",2.4,"Iran",2028,387404836.338756,256016572.260923,131388264.077833
"CVD primary prevention",2.4,"Iran",2029,414196817.796216,258882269.793979,155314548.002237
"CVD primary prevention",2.4,"Iran",2030,441747477.409888,261817472.455886,179930004.954002
"Aspirin for suspected ACS",2.5,"Iran",2020,216568.780754064,216568.780754064,0
"Aspirin for suspected ACS",2.5,"Iran",2021,225174.148675547,225174.148675547,0
"Aspirin for suspected ACS",2.5,"Iran",2022,234555.890516514,234555.890516514,0
"Aspirin for suspected ACS",2.5,"Iran",2023,265297.305559917,244487.298143406,20810.0074165108
"Aspirin for suspected ACS",2.5,"Iran",2024,297947.639236559,254589.16452244,43358.4747141192
"Aspirin for suspected ACS",2.5,"Iran",2025,332278.748125992,264620.541459925,67658.2066660672
"Aspirin for suspected ACS",2.5,"Iran",2026,368705.840799012,274875.199931583,93830.6408674288
"Aspirin for suspected ACS",2.5,"Iran",2027,406525.952067618,284792.414647017,121733.537420601
"Aspirin for suspected ACS",2.5,"Iran",2028,445609.704498147,294317.660992524,151292.043505623
"Aspirin for suspected ACS",2.5,"Iran",2029,485832.208951135,303412.274855182,182419.934095953
"Aspirin for suspected ACS",2.5,"Iran",2030,526984.46177259,311997.715101163,214986.746671427
"CVD secondary prevention",2.6,"Iran",2020,669981232.790976,669981232.790976,0
"CVD secondary prevention",2.6,"Iran",2021,695545239.337305,695545239.337305,0
"CVD secondary prevention",2.6,"Iran",2022,722428524.529678,722428524.529678,0
"CVD secondary prevention",2.6,"Iran",2023,814456265.650243,750570049.795791,63886215.8544515
"CVD secondary prevention",2.6,"Iran",2024,912553231.146606,779645911.678411,132907319.468194
"CVD secondary prevention",2.6,"Iran",2025,1017268213.83607,809664088.53266,207604125.303412
"CVD secondary prevention",2.6,"Iran",2026,1133088512.96312,843488475.645792,289600037.317329
"CVD secondary prevention",2.6,"Iran",2027,1255516794.87201,877001333.566004,378515461.306001
"CVD secondary prevention",2.6,"Iran",2028,1385965734.64216,910926270.023324,475039464.618837
"CVD secondary prevention",2.6,"Iran",2029,1526564898.4102,946298369.971002,580266528.439202
"CVD secondary prevention",2.6,"Iran",2030,1679047453.55071,983733622.52498,695313831.025733
"Heart failure chronic treatment",2.7,"Iran",2020,46290626.6152811,46290626.6152811,0
"Heart failure chronic treatment",2.7,"Iran",2021,48026342.2125557,48026342.2125557,0
"Heart failure chronic treatment",2.7,"Iran",2022,49837389.798314,49837389.798314,0
"Heart failure chronic treatment",2.7,"Iran",2023,56123559.6380128,51721209.2641819,4402350.37383091
"Heart failure chronic treatment",2.7,"Iran",2024,62805790.1495472,53658046.8820448,9147743.26750245
"Heart failure chronic treatment",2.7,"Iran",2025,69921637.7094163,55650012.0771536,14271625.6322627
"Heart failure chronic treatment",2.7,"Iran",2026,77888926.914632,57976272.8656063,19912654.0490256
"Heart failure chronic treatment",2.7,"Iran",2027,86304940.5488788,60274394.3749857,26030546.1738932
"Heart failure chronic treatment",2.7,"Iran",2028,95261734.7303211,62591453.3583375,32670281.3719835
"Heart failure chronic treatment",2.7,"Iran",2029,104896858.08735,64994577.0025955,39902281.0847546
"Heart failure chronic treatment",2.7,"Iran",2030,115319278.783619,67522710.5478145,47796568.2358042
"Alcohol use screening/brief intervention",2.9,"Iran",2020,1147165.47501233,1147165.47501233,0
"Alcohol use screening/brief intervention",2.9,"Iran",2021,1151255.91447137,1151255.91447137,0
"Alcohol use screening/brief intervention",2.9,"Iran",2022,1155732.50351102,1155732.50351102,0
"Alcohol use screening/brief intervention",2.9,"Iran",2023,3713265.20180205,1160184.58621245,2553080.6155896
"Alcohol use screening/brief intervention",2.9,"Iran",2024,6286726.82138872,1163940.11660832,5122786.7047804
"Alcohol use screening/brief intervention",2.9,"Iran",2025,8870703.06427854,1166853.31708544,7703849.7471931
"Alcohol use screening/brief intervention",2.9,"Iran",2026,11485935.3381467,1171556.48677503,10314378.8513717
"Alcohol use screening/brief intervention",2.9,"Iran",2027,14106530.8922633,1174855.80311933,12931675.0891439
"Alcohol use screening/brief intervention",2.9,"Iran",2028,16735709.2247351,1177581.0328788,15558128.1918563
"Alcohol use screening/brief intervention",2.9,"Iran",2029,19387797.435527,1180792.77940726,18207004.6561197
"Alcohol use screening/brief intervention",2.9,"Iran",2030,22074613.7214238,1184917.11606437,20889696.6053594
"Medical management of ACS",3.1,"Iran",2020,314115321.18024,314115321.18024,0
"Medical management of ACS",3.1,"Iran",2021,326108262.648967,326108262.648967,0
"Medical management of ACS",3.1,"Iran",2022,338621856.1682,338621856.1682,0
"Medical management of ACS",3.1,"Iran",2023,364365435.075151,351605556.025827,12759879.0493243
"Medical management of ACS",3.1,"Iran",2024,391451323.127848,364892005.380666,26559317.7471817
"Medical management of ACS",3.1,"Iran",2025,420008313.621388,378469870.332428,41538443.2889596
"Medical management of ACS",3.1,"Iran",2026,452121400.793516,394011861.736442,58109539.0570744
"Medical management of ACS",3.1,"Iran",2027,485577236.334984,409362904.919047,76214331.4159371
"Medical management of ACS",3.1,"Iran",2028,520836036.645183,424830558.943432,96005477.7017512
"Medical management of ACS",3.1,"Iran",2029,558558042.122473,440862051.486808,117695990.635665
"Medical management of ACS",3.1,"Iran",2030,599195630.966179,457711935.145435,141483695.820744
"Heart failure acute treatment",3.2,"Iran",2020,512153277.114188,512153277.114188,0
"Heart failure acute treatment",3.2,"Iran",2021,531364400.564116,531364400.564116,0
"Heart failure acute treatment",3.2,"Iran",2022,551342104.683393,551342104.683393,0
"Heart failure acute treatment",3.2,"Iran",2023,592813812.792858,572053796.002447,20760016.7904114
"Heart failure acute treatment",3.2,"Iran",2024,636475371.645253,593276443.234718,43198928.4105349
"Heart failure acute treatment",3.2,"Iran",2025,682610022.058188,615036679.951674,67573342.106514
"Heart failure acute treatment",3.2,"Iran",2026,735412320.005835,640724554.938613,94687765.0672218
"Heart failure acute treatment",3.2,"Iran",2027,790462425.419828,666053385.802541,124409039.617286
"Heart failure acute treatment",3.2,"Iran",2028,848561956.930534,691554672.176902,157007284.753632
"Heart failure acute treatment",3.2,"Iran",2029,910836912.872296,717986720.565974,192850192.306322
"Heart failure acute treatment",3.2,"Iran",2030,978073578.607538,745794168.588549,232279410.018989
"Cervical cancer screening and treatment",3.3,"Iran",2020,75239259.8853608,75239259.8853608,0
"Cervical cancer screening and treatment",3.3,"Iran",2021,76061776.947271,76061776.947271,0
"Cervical cancer screening and treatment",3.3,"Iran",2022,76965224.4841393,76965224.4841393,0
"Cervical cancer screening and treatment",3.3,"Iran",2023,85120450.1496661,77921208.0972068,7199242.05245931
"Cervical cancer screening and treatment",3.3,"Iran",2024,93455668.0854455,78878375.5445488,14577292.5408967
"Cervical cancer screening and treatment",3.3,"Iran",2025,101952255.445911,79819199.6678145,22133055.7780969
"Cervical cancer screening and treatment",3.3,"Iran",2026,110735765.082002,80835817.7439662,29899947.3380361
"Cervical cancer screening and treatment",3.3,"Iran",2027,119628256.785372,81789273.8138743,37838982.9714979
"Cervical cancer screening and treatment",3.3,"Iran",2028,128687035.890813,82724874.7864322,45962161.1043804
"Cervical cancer screening and treatment",3.3,"Iran",2029,138004823.479217,83699199.1965728,54305624.2826441
"Cervical cancer screening and treatment",3.3,"Iran",2030,147625334.152184,84728720.0221173,62896614.1300665
"Asthma/COPD acute treatment",3.4,"Iran",2020,272714002.902398,272714002.902398,0
"Asthma/COPD acute treatment",3.4,"Iran",2021,278601474.950622,278601474.950622,0
"Asthma/COPD acute treatment",3.4,"Iran",2022,284525394.962279,284525394.962279,0
"Asthma/COPD acute treatment",3.4,"Iran",2023,300960637.30514,290421159.734143,10539477.5709971
"Asthma/COPD acute treatment",3.4,"Iran",2024,317705161.384254,296182551.736591,21522609.6476627
"Asthma/COPD acute treatment",3.4,"Iran",2025,334668091.522412,301707894.527241,32960196.9951715
"Asthma/COPD acute treatment",3.4,"Iran",2026,352444940.068031,307498538.202808,44946401.8652222
"Asthma/COPD acute treatment",3.4,"Iran",2027,370261110.732808,312840395.60126,57420715.1315477
"Asthma/COPD acute treatment",3.4,"Iran",2028,388221645.577854,317830606.601334,70391038.9765205
"Asthma/COPD acute treatment",3.4,"Iran",2029,406532279.114376,322641117.85936,83891161.2550164
"Asthma/COPD acute treatment",3.4,"Iran",2030,425422198.753212,327449594.790073,97972603.9631386
"Management of bowel obstruction",3.6,"Iran",2020,51859003.8018679,51859003.8018679,0
"Management of bowel obstruction",3.6,"Iran",2021,53106794.3834658,53106794.3834658,0
"Management of bowel obstruction",3.6,"Iran",2022,54339931.6115123,54339931.6115123,0
"Management of bowel obstruction",3.6,"Iran",2023,66140585.9806129,55558968.5481398,10581617.432473
"Management of bowel obstruction",3.6,"Iran",2024,78393678.3726836,56765225.947409,21628452.4252746
