"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Kenya",2020,14442.9095595155,14442.9095595155,0
"IDU harm reduction measures",1.1,"Kenya",2021,14892.4059138128,14892.4059138128,0
"IDU harm reduction measures",1.1,"Kenya",2022,15346.3553661851,15346.3553661851,0
"IDU harm reduction measures",1.1,"Kenya",2023,171925.636031033,15809.2538879111,156116.382143122
"IDU harm reduction measures",1.1,"Kenya",2024,337977.817473486,16287.0398937982,321690.777579688
"IDU harm reduction measures",1.1,"Kenya",2025,514037.303825002,16781.8234490087,497255.480375994
"IDU harm reduction measures",1.1,"Kenya",2026,699575.171924457,17267.4286858772,682307.74323858
"IDU harm reduction measures",1.1,"Kenya",2027,895934.202859937,17775.4037469634,878158.799112974
"IDU harm reduction measures",1.1,"Kenya",2028,1103285.52317967,18297.1975659281,1084988.32561374
"IDU harm reduction measures",1.1,"Kenya",2029,1321243.02114612,18821.1611136937,1302421.86003243
"IDU harm reduction measures",1.1,"Kenya",2030,1549406.37880822,19341.2536417221,1530065.12516649
"Pulmonary rehabilitation",1.2,"Kenya",2020,95640.8481029837,95640.8481029837,0
"Pulmonary rehabilitation",1.2,"Kenya",2021,99985.0548612203,99985.0548612203,0
"Pulmonary rehabilitation",1.2,"Kenya",2022,104436.595889032,104436.595889032,0
"Pulmonary rehabilitation",1.2,"Kenya",2023,164638.948607893,109052.118895009,55586.8297128836
"Pulmonary rehabilitation",1.2,"Kenya",2024,230154.433392223,113909.368224504,116245.065167718
"Pulmonary rehabilitation",1.2,"Kenya",2025,301543.660847188,119053.215794571,182490.445052617
"Pulmonary rehabilitation",1.2,"Kenya",2026,379061.84260433,124391.066260547,254670.776343783
"Pulmonary rehabilitation",1.2,"Kenya",2027,463589.680746199,130064.760201932,333524.920544266
"Pulmonary rehabilitation",1.2,"Kenya",2028,555578.678886473,136040.372370695,419538.306515778
"Pulmonary rehabilitation",1.2,"Kenya",2029,655266.998488545,142255.883966225,513011.11452232
"Pulmonary rehabilitation",1.2,"Kenya",2030,762903.008066121,148680.563203939,614222.444862182
"Depression chronic treatment",2.1,"Kenya",2020,820145.685399994,820145.685399994,0
"Depression chronic treatment",2.1,"Kenya",2021,848903.977903242,848903.977903242,0
"Depression chronic treatment",2.1,"Kenya",2022,878124.192405589,878124.192405589,0
"Depression chronic treatment",2.1,"Kenya",2023,1370880.28152014,908031.791476047,462848.49004409
"Depression chronic treatment",2.1,"Kenya",2024,1896420.18283498,938907.442678831,957512.740156153
"Depression chronic treatment",2.1,"Kenya",2025,2456674.65514692,970840.048960287,1485834.60618663
"Depression chronic treatment",2.1,"Kenya",2026,3048341.24683096,1002128.8788543,2046212.36797666
"Depression chronic treatment",2.1,"Kenya",2027,3677991.17746362,1034841.3002186,2643149.87724502
"Depression chronic treatment",2.1,"Kenya",2028,4346446.93456112,1068592.56794321,3277854.3666179
"Depression chronic treatment",2.1,"Kenya",2029,5053076.25995119,1102857.68863489,3950218.5713163
"Depression chronic treatment",2.1,"Kenya",2030,5797405.20286353,1137360.7789143,4660044.42394922
"Bipolar disorder chronic treatment",2.11,"Kenya",2020,2314536.6746778,2314536.6746778,0
"Bipolar disorder chronic treatment",2.11,"Kenya",2021,2388396.51254687,2388396.51254687,0
"Bipolar disorder chronic treatment",2.11,"Kenya",2022,2462912.34669954,2462912.34669954,0
"Bipolar disorder chronic treatment",2.11,"Kenya",2023,9081970.51650247,2538492.23124148,6543478.28526099
"Bipolar disorder chronic treatment",2.11,"Kenya",2024,16101414.9628769,2615601.77765653,13485813.1852204
"Bipolar disorder chronic treatment",2.11,"Kenya",2025,23534805.6483777,2694261.40925521,20840544.2391225
"Bipolar disorder chronic treatment",2.11,"Kenya",2026,31342341.8138488,2769761.37964661,28572580.4342022
"Bipolar disorder chronic treatment",2.11,"Kenya",2027,39580907.1128585,2847855.83784247,36733051.275016
"Bipolar disorder chronic treatment",2.11,"Kenya",2028,48252591.8878677,2927372.4809311,45325219.4069365
"Bipolar disorder chronic treatment",2.11,"Kenya",2029,57341560.5397777,3006837.32183802,54334723.2179397
"Bipolar disorder chronic treatment",2.11,"Kenya",2030,66830842.3226727,3085431.16345806,63745411.1592146
"Schizophrenia chronic treatment",2.12,"Kenya",2020,8423855.73685679,8423855.73685679,0
"Schizophrenia chronic treatment",2.12,"Kenya",2021,8709194.94827873,8709194.94827873,0
"Schizophrenia chronic treatment",2.12,"Kenya",2022,8998258.13521897,8998258.13521897,0
"Schizophrenia chronic treatment",2.12,"Kenya",2023,10455256.9967092,9293561.77485263,1161695.22185658
"Schizophrenia chronic treatment",2.12,"Kenya",2024,11999015.9469713,9598361.85106407,2400654.09590727
"Schizophrenia chronic treatment",2.12,"Kenya",2025,13635038.4212988,9913887.36450424,3721151.05679456
"Schizophrenia chronic treatment",2.12,"Kenya",2026,15339918.7574335,10221695.7819253,5118222.97550819
"Schizophrenia chronic treatment",2.12,"Kenya",2027,17146838.6848458,10543843.3509994,6602995.3338464
"Schizophrenia chronic treatment",2.12,"Kenya",2028,19054261.8113438,10876252.6703077,8178009.14103611
"Schizophrenia chronic treatment",2.12,"Kenya",2029,21055891.897543,11213403.0101667,9842488.88737632
"Schizophrenia chronic treatment",2.12,"Kenya",2030,23148307.2049019,11552596.6005641,11595710.6043378
"Epilepsy acute and chronic treatment",2.13,"Kenya",2020,2151082.62431096,2151082.62431096,0
"Epilepsy acute and chronic treatment",2.13,"Kenya",2021,2197254.21277887,2197254.21277887,0
"Epilepsy acute and chronic treatment",2.13,"Kenya",2022,2243159.37623511,2243159.37623511,0
"Epilepsy acute and chronic treatment",2.13,"Kenya",2023,2460678.34106364,2289003.10796618,171675.233097463
"Epilepsy acute and chronic treatment",2.13,"Kenya",2024,2685607.70161055,2335079.0982479,350528.603362651
"Epilepsy acute and chronic treatment",2.13,"Kenya",2025,2918140.81662176,2381484.15082115,536656.665800617
"Epilepsy acute and chronic treatment",2.13,"Kenya",2026,3160998.55111676,2430184.04769522,730814.503421536
"Epilepsy acute and chronic treatment",2.13,"Kenya",2027,3412667.00578077,2479675.66295351,932991.342827261
"Epilepsy acute and chronic treatment",2.13,"Kenya",2028,3673002.93188633,2529714.70455773,1143288.2273286
"Epilepsy acute and chronic treatment",2.13,"Kenya",2029,3941635.80085011,2579971.44409957,1361664.35675054
"Epilepsy acute and chronic treatment",2.13,"Kenya",2030,4217915.39388236,2630024.32904543,1587891.06483693
"Asthma/COPD chronic treatment",2.14,"Kenya",2020,7706773.99849855,7706773.99849855,0
"Asthma/COPD chronic treatment",2.14,"Kenya",2021,7863902.6612507,7863902.6612507,0
"Asthma/COPD chronic treatment",2.14,"Kenya",2022,8020041.38137209,8020041.38137209,0
"Asthma/COPD chronic treatment",2.14,"Kenya",2023,12344539.8562431,8176669.24801209,4167870.60823098
"Asthma/COPD chronic treatment",2.14,"Kenya",2024,16836212.0535262,8336096.18555004,8500115.86797616
"Asthma/COPD chronic treatment",2.14,"Kenya",2025,21503887.3841718,8499634.17200482,13004253.212167
"Asthma/COPD chronic treatment",2.14,"Kenya",2026,26373744.9413895,8673350.74464082,17700394.1967487
"Asthma/COPD chronic treatment",2.14,"Kenya",2027,31451165.8384441,8854023.85556574,22597141.9828784
"Asthma/COPD chronic treatment",2.14,"Kenya",2028,36747633.9754107,9041569.42250247,27706064.5529082
