"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Kyrgyzstan",2020,3060.32465905413,3060.32465905413,0
"IDU harm reduction measures",1.1,"Kyrgyzstan",2021,3106.43237488502,3106.43237488502,0
"IDU harm reduction measures",1.1,"Kyrgyzstan",2022,3142.72810335775,3142.72810335775,0
"IDU harm reduction measures",1.1,"Kyrgyzstan",2023,34519.3578234174,3174.19382284298,31345.1640005744
"IDU harm reduction measures",1.1,"Kyrgyzstan",2024,66569.3627801848,3207.69736528909,63361.6654148957
"IDU harm reduction measures",1.1,"Kyrgyzstan",2025,99474.7927548744,3246.6138500901,96228.1789047843
"IDU harm reduction measures",1.1,"Kyrgyzstan",2026,133201.661102329,3285.52020204783,129916.140900281
"IDU harm reduction measures",1.1,"Kyrgyzstan",2027,167998.782155508,3328.79573833271,164669.986417176
"IDU harm reduction measures",1.1,"Kyrgyzstan",2028,204065.775640175,3377.09956757316,200688.676072602
"IDU harm reduction measures",1.1,"Kyrgyzstan",2029,241549.061704295,3429.97489121352,238119.086813082
"IDU harm reduction measures",1.1,"Kyrgyzstan",2030,280604.301276781,3487.34348809798,277116.957788683
"Pulmonary rehabilitation",1.2,"Kyrgyzstan",2020,53937.8709356337,53937.8709356337,0
"Pulmonary rehabilitation",1.2,"Kyrgyzstan",2021,55843.9919783879,55843.9919783879,0
"Pulmonary rehabilitation",1.2,"Kyrgyzstan",2022,57586.084899338,57586.084899338,0
"Pulmonary rehabilitation",1.2,"Kyrgyzstan",2023,66109.1167120871,59239.4582146487,6869.65849743837
"Pulmonary rehabilitation",1.2,"Kyrgyzstan",2024,75130.8451613447,60917.7571177227,14213.088043622
"Pulmonary rehabilitation",1.2,"Kyrgyzstan",2025,84801.0573242043,62691.0052130469,22110.0521111574
"Pulmonary rehabilitation",1.2,"Kyrgyzstan",2026,95462.3618568173,64710.7738734493,30751.587983368
"Pulmonary rehabilitation",1.2,"Kyrgyzstan",2027,106882.28701907,66731.8173667999,40150.4696522704
"Pulmonary rehabilitation",1.2,"Kyrgyzstan",2028,119167.970777754,68774.4944410858,50393.4763366684
"Pulmonary rehabilitation",1.2,"Kyrgyzstan",2029,132372.805042526,70829.9293560238,61542.8756865023
