"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Laos",2020,2052.89251277927,2052.89251277927,0
"IDU harm reduction measures",1.1,"Laos",2021,2086.71909098009,2086.71909098009,0
"IDU harm reduction measures",1.1,"Laos",2022,2119.77443968041,2119.77443968041,0
"IDU harm reduction measures",1.1,"Laos",2023,23402.2678135771,2151.93267251284,21250.3351410643
"IDU harm reduction measures",1.1,"Laos",2024,45300.4921858283,2182.9113772257,43117.5808086026
"IDU harm reduction measures",1.1,"Laos",2025,67790.3148236993,2212.85353420064,65577.4612894987
"IDU harm reduction measures",1.1,"Laos",2026,90963.7202345827,2244.63142108902,88719.0888134936
"IDU harm reduction measures",1.1,"Laos",2027,114713.993800618,2274.94265691552,112439.051143703
"IDU harm reduction measures",1.1,"Laos",2028,139020.387473177,2304.08957968935,136716.297893488
"IDU harm reduction measures",1.1,"Laos",2029,163889.549739607,2332.60787464426,161556.941864962
"IDU harm reduction measures",1.1,"Laos",2030,189329.537652045,2360.79955776155,186968.738094284
"Pulmonary rehabilitation",1.2,"Laos",2020,78173.3264010442,78173.3264010442,0
"Pulmonary rehabilitation",1.2,"Laos",2021,80929.7367791222,80929.7367791222,0
"Pulmonary rehabilitation",1.2,"Laos",2022,83767.4698803343,83767.4698803343,0
"Pulmonary rehabilitation",1.2,"Laos",2023,103007.862232331,86668.5312366484,16339.3309956821
"Pulmonary rehabilitation",1.2,"Laos",2024,123516.873093383,89596.9828335356,33919.8902598477
"Pulmonary rehabilitation",1.2,"Laos",2025,145326.097102659,92539.7631784826,52786.3339241764
"Pulmonary rehabilitation",1.2,"Laos",2026,169132.975405908,95850.2647119343,73282.7106939732
"Pulmonary rehabilitation",1.2,"Laos",2027,194422.780632805,99137.9409765775,95284.8396562275
"Pulmonary rehabilitation",1.2,"Laos",2028,221255.372689906,102423.525694461,118831.846995445
"Pulmonary rehabilitation",1.2,"Laos",2029,249723.637239414,105743.014237538,143980.623001876
"Pulmonary rehabilitation",1.2,"Laos",2030,279895.214623765,109120.158466141,170775.056157624
"Depression chronic treatment",2.1,"Laos",2020,133566.729248563,133566.729248563,0
"Depression chronic treatment",2.1,"Laos",2021,135841.658582771,135841.658582771,0
"Depression chronic treatment",2.1,"Laos",2022,138209.345724596,138209.345724596,0
"Depression chronic treatment",2.1,"Laos",2023,167156.509424227,140641.780583383,26514.7288408444
"Depression chronic treatment",2.1,"Laos",2024,197072.510956471,143083.458180024,53989.0527764466
"Depression chronic treatment",2.1,"Laos",2025,227943.084241882,145514.660252671,82428.4239892113
"Depression chronic treatment",2.1,"Laos",2026,259896.141569005,148003.089425012,111893.052143993
"Depression chronic treatment",2.1,"Laos",2027,292779.340496583,150448.603394808,142330.737101775
"Depression chronic treatment",2.1,"Laos",2028,326620.850116488,152871.892070048,173748.95804644
"Depression chronic treatment",2.1,"Laos",2029,361486.039215902,155304.091261485,206181.947954417
"Depression chronic treatment",2.1,"Laos",2030,397383.010114877,157745.370660954,239637.639453923
"Bipolar disorder chronic treatment",2.11,"Laos",2020,241064.835190395,241064.835190395,0
"Bipolar disorder chronic treatment",2.11,"Laos",2021,245766.223270462,245766.223270462,0
"Bipolar disorder chronic treatment",2.11,"Laos",2022,250632.031801421,250632.031801421,0
"Bipolar disorder chronic treatment",2.11,"Laos",2023,914473.135585259,255603.44488502,658869.690700238
"Bipolar disorder chronic treatment",2.11,"Laos",2024,1604218.99250261,260570.025735368,1343648.96676724
"Bipolar disorder chronic treatment",2.11,"Laos",2025,2319803.92584855,265489.331562964,2054314.59428558
"Bipolar disorder chronic treatment",2.11,"Laos",2026,3062009.91364805,270433.365328695,2791576.54831935
"Bipolar disorder chronic treatment",2.11,"Laos",2027,3829483.93295915,275270.530892751,3554213.4020664
"Bipolar disorder chronic treatment",2.11,"Laos",2028,4622443.60858869,280049.040778613,4342394.56781007
"Bipolar disorder chronic treatment",2.11,"Laos",2029,5442148.96216144,284847.674886553,5157301.28727489
"Bipolar disorder chronic treatment",2.11,"Laos",2030,6289337.76995685,289685.307234819,5999652.46272204
"Schizophrenia chronic treatment",2.12,"Laos",2020,2257371.00813778,2257371.00813778,0
"Schizophrenia chronic treatment",2.12,"Laos",2021,2308219.17556897,2308219.17556897,0
"Schizophrenia chronic treatment",2.12,"Laos",2022,2359878.22445045,2359878.22445045,0
"Schizophrenia chronic treatment",2.12,"Laos",2023,2713260.72122993,2411787.30775994,301473.413469993
