"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Lesotho",2020,1726.19278923693,1726.19278923693,0
"IDU harm reduction measures",1.1,"Lesotho",2021,1739.04643637929,1739.04643637929,0
"IDU harm reduction measures",1.1,"Lesotho",2022,1753.18963196257,1753.18963196257,0
"IDU harm reduction measures",1.1,"Lesotho",2023,19229.8645145251,1768.26340363449,17461.6011108906
"IDU harm reduction measures",1.1,"Lesotho",2024,37010.6943921525,1783.54402755375,35227.1503645988
"IDU harm reduction measures",1.1,"Lesotho",2025,55092.226668382,1798.58129989716,53293.6453684848
"IDU harm reduction measures",1.1,"Lesotho",2026,73494.1549520732,1813.90702006903,71680.2479320042
"IDU harm reduction measures",1.1,"Lesotho",2027,92198.6910037576,1828.88340895181,90369.8075948058
"IDU harm reduction measures",1.1,"Lesotho",2028,111221.679286484,1843.85155268602,109377.827733798
"IDU harm reduction measures",1.1,"Lesotho",2029,130618.168879342,1859.52875357074,128758.640125771
"IDU harm reduction measures",1.1,"Lesotho",2030,150453.237933566,1876.41717583094,148576.820757735
"Pulmonary rehabilitation",1.2,"Lesotho",2020,15376.0983140566,15376.0983140566,0
"Pulmonary rehabilitation",1.2,"Lesotho",2021,15702.942986198,15702.942986198,0
"Pulmonary rehabilitation",1.2,"Lesotho",2022,16049.2773217499,16049.2773217499,0
"Pulmonary rehabilitation",1.2,"Lesotho",2023,18131.7739723544,16415.4929977347,1716.28097461965
"Pulmonary rehabilitation",1.2,"Lesotho",2024,20327.3511800257,16800.1937662896,3527.15741373609
"Pulmonary rehabilitation",1.2,"Lesotho",2025,22646.8910074126,17201.1502599303,5445.74074748226
"Pulmonary rehabilitation",1.2,"Lesotho",2026,25152.1431415257,17649.6808921354,7502.46224939029
"Pulmonary rehabilitation",1.2,"Lesotho",2027,27797.8466742129,18100.2027197929,9697.64395442002
"Pulmonary rehabilitation",1.2,"Lesotho",2028,30593.8958475249,18553.7879263492,12040.1079211757
"Pulmonary rehabilitation",1.2,"Lesotho",2029,33551.2959859434,19014.1375948284,14537.158391115
"Pulmonary rehabilitation",1.2,"Lesotho",2030,36677.2272428627,19484.8001081217,17192.427134741
"Depression chronic treatment",2.1,"Lesotho",2020,0,0,0
"Depression chronic treatment",2.1,"Lesotho",2021,0,0,0
"Depression chronic treatment",2.1,"Lesotho",2022,0,0,0
"Depression chronic treatment",2.1,"Lesotho",2023,0,0,0
"Depression chronic treatment",2.1,"Lesotho",2024,0,0,0
"Depression chronic treatment",2.1,"Lesotho",2025,0,0,0
"Depression chronic treatment",2.1,"Lesotho",2026,0,0,0
"Depression chronic treatment",2.1,"Lesotho",2027,0,0,0
"Depression chronic treatment",2.1,"Lesotho",2028,0,0,0
"Depression chronic treatment",2.1,"Lesotho",2029,0,0,0
"Depression chronic treatment",2.1,"Lesotho",2030,0,0,0
"Bipolar disorder chronic treatment",2.11,"Lesotho",2020,61201.0980075024,61201.0980075024,0
"Bipolar disorder chronic treatment",2.11,"Lesotho",2021,61779.6984281179,61779.6984281179,0
"Bipolar disorder chronic treatment",2.11,"Lesotho",2022,62440.3396672368,62440.3396672368,0
"Bipolar disorder chronic treatment",2.11,"Lesotho",2023,226044.942818876,63181.5893053705,162863.353513506
"Bipolar disorder chronic treatment",2.11,"Lesotho",2024,393954.28525172,63993.2696000702,329961.01565165
"Bipolar disorder chronic treatment",2.11,"Lesotho",2025,566693.898012795,64863.1511783831,501830.746834412
"Bipolar disorder chronic treatment",2.11,"Lesotho",2026,743679.567898993,65689.8039921781,677989.763906815
"Bipolar disorder chronic treatment",2.11,"Lesotho",2027,925831.070652315,66554.6049672931,859276.465685022
"Bipolar disorder chronic treatment",2.11,"Lesotho",2028,1113627.09143831,67461.141976293,1046165.94946202
"Bipolar disorder chronic treatment",2.11,"Lesotho",2029,1307708.1788184,68420.092229569,1239288.08658883
"Bipolar disorder chronic treatment",2.11,"Lesotho",2030,1508685.68152429,69436.5700888046,1439249.11143549
"Schizophrenia chronic treatment",2.12,"Lesotho",2020,245450.572065436,245450.572065436,0
"Schizophrenia chronic treatment",2.12,"Lesotho",2021,249193.753485787,249193.753485787,0
"Schizophrenia chronic treatment",2.12,"Lesotho",2022,253231.787541162,253231.787541162,0
"Schizophrenia chronic treatment",2.12,"Lesotho",2023,289711.815963697,257521.614189953,32190.2017737441
"Schizophrenia chronic treatment",2.12,"Lesotho",2024,327514.015039375,261977.041864658,65536.9731747169
"Schizophrenia chronic treatment",2.12,"Lesotho",2025,366631.376253635,266525.771311628,100105.604942007
"Schizophrenia chronic treatment",2.12,"Lesotho",2026,406533.289727044,270769.275586259,135764.014140784
"Schizophrenia chronic treatment",2.12,"Lesotho",2027,447734.145887235,275075.37826207,172658.767625165
"Schizophrenia chronic treatment",2.12,"Lesotho",2028,490292.4281592,279448.121362646,210844.306796555
"Schizophrenia chronic treatment",2.12,"Lesotho",2029,534338.709355678,283931.420787693,250407.288567985
"Schizophrenia chronic treatment",2.12,"Lesotho",2030,579994.33904233,288556.516328645,291437.822713685
"Epilepsy acute and chronic treatment",2.13,"Lesotho",2020,51112.0014380894,51112.0014380894,0
"Epilepsy acute and chronic treatment",2.13,"Lesotho",2021,51567.1479380685,51567.1479380685,0
