"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Madagascar",2020,3267.58930479192,3267.58930479192,0
"IDU harm reduction measures",1.1,"Madagascar",2021,3373.42394894829,3373.42394894829,0
"IDU harm reduction measures",1.1,"Madagascar",2022,3482.86191290226,3482.86191290226,0
"IDU harm reduction measures",1.1,"Madagascar",2023,39096.4740982702,3595.07807800186,35501.3960202683
"IDU harm reduction measures",1.1,"Madagascar",2024,76965.3607480854,3709.03293844224,73256.3278096432
"IDU harm reduction measures",1.1,"Madagascar",2025,117132.421468536,3824.19963820951,113308.221830327
"IDU harm reduction measures",1.1,"Madagascar",2026,159617.840508187,3939.90702458403,155677.933483603
"IDU harm reduction measures",1.1,"Madagascar",2027,204494.768214061,4057.01251270768,200437.755701354
"IDU harm reduction measures",1.1,"Madagascar",2028,251808.355698255,4175.32834854784,247633.027349707
"IDU harm reduction measures",1.1,"Madagascar",2029,301610.557184925,4294.87532716345,297315.681857762
"IDU harm reduction measures",1.1,"Madagascar",2030,353951.852024375,4415.66647383289,349536.185550542
"Pulmonary rehabilitation",1.2,"Madagascar",2020,18327.6916031668,18327.6916031668,0
"Pulmonary rehabilitation",1.2,"Madagascar",2021,19018.9546774424,19018.9546774424,0
"Pulmonary rehabilitation",1.2,"Madagascar",2022,19740.0728423634,19740.0728423634,0
"Pulmonary rehabilitation",1.2,"Madagascar",2023,30822.7975369848,20490.5764505276,10332.2210864571
"Pulmonary rehabilitation",1.2,"Madagascar",2024,42732.632742859,21268.9125569285,21463.7201859305
"Pulmonary rehabilitation",1.2,"Madagascar",2025,55537.2883944315,22075.4260826751,33461.8623117563
"Pulmonary rehabilitation",1.2,"Madagascar",2026,69368.8702828339,22927.3232525279,46441.5470303059
"Pulmonary rehabilitation",1.2,"Madagascar",2027,84276.5914217732,23806.8748876833,60469.7165340899
"Pulmonary rehabilitation",1.2,"Madagascar",2028,100348.803615359,24714.3885663714,75634.4150489873
"Pulmonary rehabilitation",1.2,"Madagascar",2029,117672.381530216,25650.4799928079,92021.9015374077
"Pulmonary rehabilitation",1.2,"Madagascar",2030,136329.339146958,26616.2593800491,109713.079766909
"Depression chronic treatment",2.1,"Madagascar",2020,0,0,0
"Depression chronic treatment",2.1,"Madagascar",2021,0,0,0
"Depression chronic treatment",2.1,"Madagascar",2022,0,0,0
"Depression chronic treatment",2.1,"Madagascar",2023,0,0,0
"Depression chronic treatment",2.1,"Madagascar",2024,0,0,0
"Depression chronic treatment",2.1,"Madagascar",2025,0,0,0
"Depression chronic treatment",2.1,"Madagascar",2026,0,0,0
"Depression chronic treatment",2.1,"Madagascar",2027,0,0,0
