"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Malawi",2020,2585.5298203343,2585.5298203343,0
"IDU harm reduction measures",1.1,"Malawi",2021,2678.65029129961,2678.65029129961,0
"IDU harm reduction measures",1.1,"Malawi",2022,2775.00299395686,2775.00299395686,0
"IDU harm reduction measures",1.1,"Malawi",2023,31266.1833766645,2875.05134498064,28391.1320316838
"IDU harm reduction measures",1.1,"Malawi",2024,61821.3406370517,2979.26882999764,58842.0718070541
"IDU harm reduction measures",1.1,"Malawi",2025,94571.7955609541,3087.79719773023,91483.9983632239
"IDU harm reduction measures",1.1,"Malawi",2026,129477.191184334,3196.36145557066,126280.829728763
"IDU harm reduction measures",1.1,"Malawi",2027,166813.033399255,3310.29176989436,163502.741629361
"IDU harm reduction measures",1.1,"Malawi",2028,206644.942609878,3427.93434998298,203217.008259895
"IDU harm reduction measures",1.1,"Malawi",2029,248943.993493343,3547.22271681114,245396.770776532
"IDU harm reduction measures",1.1,"Malawi",2030,293679.209174117,3667.0950891001,290012.114085017
"Pulmonary rehabilitation",1.2,"Malawi",2020,13612.3694441074,13612.3694441074,0
"Pulmonary rehabilitation",1.2,"Malawi",2021,14142.9952271546,14142.9952271546,0
"Pulmonary rehabilitation",1.2,"Malawi",2022,14696.1319848689,14696.1319848689,0
"Pulmonary rehabilitation",1.2,"Malawi",2023,19728.6909888751,15275.4554997281,4453.23548914699
"Pulmonary rehabilitation",1.2,"Malawi",2024,25152.2372752359,15884.3074356974,9267.92983953847
"Pulmonary rehabilitation",1.2,"Malawi",2025,31003.8489278123,16524.6026439267,14479.2462838856
"Pulmonary rehabilitation",1.2,"Malawi",2026,37359.3492634651,17213.417887515,20145.9313759501
"Pulmonary rehabilitation",1.2,"Malawi",2027,44250.371968841,17941.7665008029,26308.6054680381
"Pulmonary rehabilitation",1.2,"Malawi",2028,51712.3267204922,18706.0866319553,33006.2400885369
"Pulmonary rehabilitation",1.2,"Malawi",2029,59768.4133172539,19501.1161850074,40267.2971322465
"Pulmonary rehabilitation",1.2,"Malawi",2030,68444.7795805464,20325.7149245708,48119.0646559756
"Depression chronic treatment",2.1,"Malawi",2020,0,0,0
"Depression chronic treatment",2.1,"Malawi",2021,0,0,0
"Depression chronic treatment",2.1,"Malawi",2022,0,0,0
"Depression chronic treatment",2.1,"Malawi",2023,0,0,0
"Depression chronic treatment",2.1,"Malawi",2024,0,0,0
"Depression chronic treatment",2.1,"Malawi",2025,0,0,0
"Depression chronic treatment",2.1,"Malawi",2026,0,0,0
"Depression chronic treatment",2.1,"Malawi",2027,0,0,0
"Depression chronic treatment",2.1,"Malawi",2028,0,0,0
"Depression chronic treatment",2.1,"Malawi",2029,0,0,0
"Depression chronic treatment",2.1,"Malawi",2030,0,0,0
"Bipolar disorder chronic treatment",2.11,"Malawi",2020,328680.783681991,328680.783681991,0
"Bipolar disorder chronic treatment",2.11,"Malawi",2021,340207.196525102,340207.196525102,0
"Bipolar disorder chronic treatment",2.11,"Malawi",2022,352162.295140922,352162.295140922,0
"Bipolar disorder chronic treatment",2.11,"Malawi",2023,1304205.98434726,364537.272301027,939668.712046229
