"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Mauritania",2020,2393.41600345155,2393.41600345155,0
"IDU harm reduction measures",1.1,"Mauritania",2021,2461.72981917867,2461.72981917867,0
"IDU harm reduction measures",1.1,"Mauritania",2022,2530.97318883637,2530.97318883637,0
"IDU harm reduction measures",1.1,"Mauritania",2023,28291.7212676895,2601.53758783351,25690.1836798559
"IDU harm reduction measures",1.1,"Mauritania",2024,55490.0675924703,2674.037689609,52816.0299028613
"IDU harm reduction measures",1.1,"Mauritania",2025,84196.7234286012,2748.74876914955,81447.9746594517
"IDU harm reduction measures",1.1,"Mauritania",2026,114349.479601867,2822.40100504266,111527.078596824
"IDU harm reduction measures",1.1,"Mauritania",2027,146090.993107601,2898.36596455479,143192.627143046
"IDU harm reduction measures",1.1,"Mauritania",2028,179499.905113469,2976.74893487732,176523.156178591
"IDU harm reduction measures",1.1,"Mauritania",2029,214655.039200736,3057.60440516135,211597.434795575
"IDU harm reduction measures",1.1,"Mauritania",2030,251635.591071648,3140.97077407092,248494.620297577
"Pulmonary rehabilitation",1.2,"Mauritania",2020,14154.7593292612,14154.7593292612,0
"Pulmonary rehabilitation",1.2,"Mauritania",2021,14686.0302580907,14686.0302580907,0
"Pulmonary rehabilitation",1.2,"Mauritania",2022,15226.6770946882,15226.6770946882,0
"Pulmonary rehabilitation",1.2,"Mauritania",2023,19833.7968632952,15778.4394312943,4055.35743200091
"Pulmonary rehabilitation",1.2,"Mauritania",2024,24768.4188811823,16346.4344099246,8421.98447125771
"Pulmonary rehabilitation",1.2,"Mauritania",2025,30054.4574427539,16933.0259680108,13121.4314747431
"Pulmonary rehabilitation",1.2,"Mauritania",2026,35745.6694180519,17552.1392197631,18193.5301982887
"Pulmonary rehabilitation",1.2,"Mauritania",2027,41835.5050424185,18186.8671576534,23648.6378847651
"Pulmonary rehabilitation",1.2,"Mauritania",2028,48345.3903232244,18838.6075446606,29506.7827785638
"Pulmonary rehabilitation",1.2,"Mauritania",2029,55293.5960197208,19508.0657607849,35785.5302589358
"Pulmonary rehabilitation",1.2,"Mauritania",2030,62696.0363525623,20196.1065427591,42499.9298098031
"Depression chronic treatment",2.1,"Mauritania",2020,80947.1235069481,80947.1235069481,0
"Depression chronic treatment",2.1,"Mauritania",2021,83511.9415833653,83511.9415833653,0
"Depression chronic treatment",2.1,"Mauritania",2022,86133.139098079,86133.139098079,0
"Depression chronic treatment",2.1,"Mauritania",2023,111652.336133851,88823.1151701827,22829.2209636683
"Depression chronic treatment",2.1,"Mauritania",2024,138726.948828526,91601.5230323387,47125.4257961869
"Depression chronic treatment",2.1,"Mauritania",2025,167450.532344723,94473.9661153821,72976.5662293411
"Depression chronic treatment",2.1,"Mauritania",2026,197724.693791515,97346.3061920914,100378.387599424
"Depression chronic treatment",2.1,"Mauritania",2027,229765.018083995,100306.621079599,129458.397004396
"Depression chronic treatment",2.1,"Mauritania",2028,263652.782448169,103355.134706521,160297.647741648
"Depression chronic treatment",2.1,"Mauritania",2029,299451.119056134,106486.641775735,192964.477280399
"Depression chronic treatment",2.1,"Mauritania",2030,337193.892306922,109689.401219967,227504.491086955
"Bipolar disorder chronic treatment",2.11,"Mauritania",2020,169975.543415276,169975.543415276,0
"Bipolar disorder chronic treatment",2.11,"Mauritania",2021,175106.883446911,175106.883446911,0
"Bipolar disorder chronic treatment",2.11,"Mauritania",2022,180353.335150618,180353.335150618,0
"Bipolar disorder chronic treatment",2.11,"Mauritania",2023,664522.514783919,185740.004132238,478782.510651681
"Bipolar disorder chronic treatment",2.11,"Mauritania",2024,1177686.86400426,191303.905272886,986382.958731377
"Bipolar disorder chronic treatment",2.11,"Mauritania",2025,1721448.66118692,197053.971559245,1524394.68962767
"Bipolar disorder chronic treatment",2.11,"Mauritania",2026,2294176.53631359,202705.693571494,2091470.84274209
"Bipolar disorder chronic treatment",2.11,"Mauritania",2027,2899219.01287364,208545.389832291,2690673.62304134
"Bipolar disorder chronic treatment",2.11,"Mauritania",2028,3537982.02555509,214562.69846448,3323419.32709061
"Bipolar disorder chronic treatment",2.11,"Mauritania",2029,4211510.95275594,220734.427258182,3990776.52549775
"Bipolar disorder chronic treatment",2.11,"Mauritania",2030,4920318.89574203,227024.263089317,4693294.63265271
"Schizophrenia chronic treatment",2.12,"Mauritania",2020,694308.786346819,694308.786346819,0
"Schizophrenia chronic treatment",2.12,"Mauritania",2021,716258.991304383,716258.991304383,0
"Schizophrenia chronic treatment",2.12,"Mauritania",2022,738641.272556435,738641.272556435,0
"Schizophrenia chronic treatment",2.12,"Mauritania",2023,856743.011082252,761549.343184224,95193.6678980279
"Schizophrenia chronic treatment",2.12,"Mauritania",2024,981523.919023489,785133.541322172,196390.377701317
"Schizophrenia chronic treatment",2.12,"Mauritania",2025,1113335.09595216,809447.760175739,303887.335776426
"Schizophrenia chronic treatment",2.12,"Mauritania",2026,1250271.40621926,833024.48039349,417246.925825772
"Schizophrenia chronic treatment",2.12,"Mauritania",2027,1394474.67963753,857339.555178376,537135.12445915
"Schizophrenia chronic treatment",2.12,"Mauritania",2028,1546263.02509116,882405.629455175,663857.39563599
"Schizophrenia chronic treatment",2.12,"Mauritania",2029,1705905.16313596,908205.855938071,797699.307197891
"Schizophrenia chronic treatment",2.12,"Mauritania",2030,1873664.92038541,934725.375770158,938939.544615253
"Epilepsy acute and chronic treatment",2.13,"Mauritania",2020,186742.629299928,186742.629299928,0
"Epilepsy acute and chronic treatment",2.13,"Mauritania",2021,191724.730294488,191724.730294488,0
"Epilepsy acute and chronic treatment",2.13,"Mauritania",2022,196741.279443877,196741.279443877,0
"Epilepsy acute and chronic treatment",2.13,"Mauritania",2023,216933.134892692,201798.265016457,15134.8698762343
"Epilepsy acute and chronic treatment",2.13,"Mauritania",2024,237979.012725614,206908.934530328,31070.0781952862
"Epilepsy acute and chronic treatment",2.13,"Mauritania",2025,259896.606002904,212075.190409221,47821.4155936824
"Epilepsy acute and chronic treatment",2.13,"Mauritania",2026,282805.921925364,217373.401064883,65432.5208604801
"Epilepsy acute and chronic treatment",2.13,"Mauritania",2027,306628.672354932,222722.481414973,83906.1909399592
"Epilepsy acute and chronic treatment",2.13,"Mauritania",2028,331382.233092188,228124.384720308,103257.848371881
"Epilepsy acute and chronic treatment",2.13,"Mauritania",2029,357084.184375357,233581.892745486,123502.291629871
