"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Mongolia",2020,2321.82034308415,2321.82034308415,0
"IDU harm reduction measures",1.1,"Mongolia",2021,2334.88506415214,2334.88506415214,0
"IDU harm reduction measures",1.1,"Mongolia",2022,2345.02287050094,2345.02287050094,0
"IDU harm reduction measures",1.1,"Mongolia",2023,25606.5263146899,2354.62310939677,23251.9032052931
"IDU harm reduction measures",1.1,"Mongolia",2024,49111.090578818,2366.51235140918,46744.5782274088
"IDU harm reduction measures",1.1,"Mongolia",2025,72985.8830409827,2382.26801763988,70603.6150233428
"IDU harm reduction measures",1.1,"Mongolia",2026,97350.1085450017,2401.65544172358,94948.4531032782
"IDU harm reduction measures",1.1,"Mongolia",2027,122274.989574643,2423.63516283232,119851.354411811
"IDU harm reduction measures",1.1,"Mongolia",2028,147934.396295283,2449.53536150516,145484.860933778
"IDU harm reduction measures",1.1,"Mongolia",2029,174537.077280198,2480.43304326078,172056.644236938
"IDU harm reduction measures",1.1,"Mongolia",2030,202276.330451517,2516.69155666501,199759.638894852
"Pulmonary rehabilitation",1.2,"Mongolia",2020,47933.4294899645,47933.4294899645,0
"Pulmonary rehabilitation",1.2,"Mongolia",2021,49678.1238859819,49678.1238859819,0
"Pulmonary rehabilitation",1.2,"Mongolia",2022,51361.1829094251,51361.1829094251,0
"Pulmonary rehabilitation",1.2,"Mongolia",2023,56030.6036218912,53001.6606806976,3028.94294119361
"Pulmonary rehabilitation",1.2,"Mongolia",2024,60906.9496406645,54624.0675933918,6282.88204727264
"Pulmonary rehabilitation",1.2,"Mongolia",2025,66022.5639529238,56243.1574938922,9779.40645903158
"Pulmonary rehabilitation",1.2,"Mongolia",2026,71617.4395238844,58032.2739368389,13585.1655870455
"Pulmonary rehabilitation",1.2,"Mongolia",2027,77456.4650143224,59768.5414655383,17687.9235487842
"Pulmonary rehabilitation",1.2,"Mongolia",2028,83580.0396749509,61472.9052740902,22107.1344008607
"Pulmonary rehabilitation",1.2,"Mongolia",2029,90017.3144480265,63158.7919377562,26858.5225102703
