"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Mozambique",2020,4549.55473833831,4549.55473833831,0
"IDU harm reduction measures",1.1,"Mozambique",2021,4710.33401394926,4710.33401394926,0
"IDU harm reduction measures",1.1,"Mozambique",2022,4879.176684334,4879.176684334,0
"IDU harm reduction measures",1.1,"Mozambique",2023,54982.1905498218,5055.83361377672,49926.3569360451
"IDU harm reduction measures",1.1,"Mozambique",2024,108742.962006579,5240.01784664473,103502.944159935
"IDU harm reduction measures",1.1,"Mozambique",2025,166391.954834022,5431.47880325672,160960.476030765
"IDU harm reduction measures",1.1,"Mozambique",2026,227957.320382029,5625.2540030249,222332.066379004
"IDU harm reduction measures",1.1,"Mozambique",2027,293769.33699139,5826.32599520544,287943.010996184
"IDU harm reduction measures",1.1,"Mozambique",2028,364012.440372615,6034.02489728412,357978.415475331
"IDU harm reduction measures",1.1,"Mozambique",2029,438837.334577303,6247.60795853358,432589.726618769
"IDU harm reduction measures",1.1,"Mozambique",2030,518389.85336395,6466.66921661168,511923.184147338
"Pulmonary rehabilitation",1.2,"Mozambique",2020,12133.5063823056,12133.5063823056,0
"Pulmonary rehabilitation",1.2,"Mozambique",2021,12538.3474332894,12538.3474332894,0
"Pulmonary rehabilitation",1.2,"Mozambique",2022,12961.9181992817,12961.9181992817,0
"Pulmonary rehabilitation",1.2,"Mozambique",2023,20367.6877434017,13406.6391337188,6961.04860968283
"Pulmonary rehabilitation",1.2,"Mozambique",2024,28310.6857743129,13874.8159614483,14435.8698128646
"Pulmonary rehabilitation",1.2,"Mozambique",2025,36846.3144843807,14367.9921179323,22478.3223664484
"Pulmonary rehabilitation",1.2,"Mozambique",2026,46127.4383839566,14916.9626427083,31210.4757412483
"Pulmonary rehabilitation",1.2,"Mozambique",2027,56145.5485647741,15491.8827534669,40653.6658113072
"Pulmonary rehabilitation",1.2,"Mozambique",2028,66952.3408067165,16093.4478571812,50858.8929495353
"Pulmonary rehabilitation",1.2,"Mozambique",2029,78596.560997754,16722.7429156157,61873.8180821382
"Pulmonary rehabilitation",1.2,"Mozambique",2030,91121.2147174886,17380.8087058461,73740.4060116425
"Depression chronic treatment",2.1,"Mozambique",2020,354514.692755146,354514.692755146,0
"Depression chronic treatment",2.1,"Mozambique",2021,366381.504050201,366381.504050201,0
"Depression chronic treatment",2.1,"Mozambique",2022,378765.643820534,378765.643820534,0
"Depression chronic treatment",2.1,"Mozambique",2023,595046.147128685,391677.693755319,203368.453373366
"Depression chronic treatment",2.1,"Mozambique",2024,826128.452644203,405132.667538714,420995.785105489
"Depression chronic treatment",2.1,"Mozambique",2025,1073023.70531713,419133.176269038,653890.529048093
"Depression chronic treatment",2.1,"Mozambique",2026,1336101.95655288,433466.338020623,902635.618532261
"Depression chronic treatment",2.1,"Mozambique",2027,1616842.86815407,448366.774869875,1168476.0932842
"Depression chronic treatment",2.1,"Mozambique",2028,1916153.41881806,463818.734264629,1452334.68455343
"Depression chronic treatment",2.1,"Mozambique",2029,2234877.539673,479809.53375751,1755068.00591549
"Depression chronic treatment",2.1,"Mozambique",2030,2573481.22733386,496268.352513068,2077212.87482079
"Bipolar disorder chronic treatment",2.11,"Mozambique",2020,458302.174417467,458302.174417467,0
"Bipolar disorder chronic treatment",2.11,"Mozambique",2021,473762.746686804,473762.746686804,0
"Bipolar disorder chronic treatment",2.11,"Mozambique",2022,489854.84792511,489854.84792511,0
"Bipolar disorder chronic treatment",2.11,"Mozambique",2023,1812367.92066502,506573.092083897,1305794.82858113
"Bipolar disorder chronic treatment",2.11,"Mozambique",2024,3225476.39619613,523924.712390875,2701551.68380526
"Bipolar disorder chronic treatment",2.11,"Mozambique",2025,4734621.03510498,541911.429759917,4192709.60534507
"Bipolar disorder chronic treatment",2.11,"Mozambique",2026,6338989.8948675,559986.326626887,5779003.56824061
"Bipolar disorder chronic treatment",2.11,"Mozambique",2027,8047579.04410396,578721.64175516,7468857.4023488
"Bipolar disorder chronic treatment",2.11,"Mozambique",2028,9865273.36212279,598085.74486517,9267187.61725762
"Bipolar disorder chronic treatment",2.11,"Mozambique",2029,11796660.7486722,618052.068832545,11178608.6798396
"Bipolar disorder chronic treatment",2.11,"Mozambique",2030,13843646.6813838,638485.76220205,13205160.9191817
"Schizophrenia chronic treatment",2.12,"Mozambique",2020,976224.149448012,976224.149448012,0
