"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Myanmar",2020,11988.6463844968,11988.6463844968,0
"IDU harm reduction measures",1.1,"Myanmar",2021,12123.933128505,12123.933128505,0
"IDU harm reduction measures",1.1,"Myanmar",2022,12272.5431805616,12272.5431805616,0
"IDU harm reduction measures",1.1,"Myanmar",2023,135135.749514579,12426.2758174325,122709.473697146
"IDU harm reduction measures",1.1,"Myanmar",2024,260932.251527892,12574.3803391193,248357.871188773
"IDU harm reduction measures",1.1,"Myanmar",2025,389333.064484451,12710.5270380151,376622.537446436
"IDU harm reduction measures",1.1,"Myanmar",2026,520349.698446128,12842.5508018605,507507.147644267
"IDU harm reduction measures",1.1,"Myanmar",2027,653501.592431234,12962.169949608,640539.422481626
"IDU harm reduction measures",1.1,"Myanmar",2028,788457.836209962,13068.9071874555,775388.929022507
"IDU harm reduction measures",1.1,"Myanmar",2029,924980.970299571,13163.8803128983,911817.089986673
"IDU harm reduction measures",1.1,"Myanmar",2030,1062839.0439035,13247.7986311684,1049591.24527233
"Pulmonary rehabilitation",1.2,"Myanmar",2020,620723.702629217,620723.702629217,0
"Pulmonary rehabilitation",1.2,"Myanmar",2021,639822.911910353,639822.911910353,0
"Pulmonary rehabilitation",1.2,"Myanmar",2022,659434.327282028,659434.327282028,0
"Pulmonary rehabilitation",1.2,"Myanmar",2023,791827.148269462,679383.836886587,112443.311382875
"Pulmonary rehabilitation",1.2,"Myanmar",2024,931370.43561833,699402.260194017,231968.175424313
"Pulmonary rehabilitation",1.2,"Myanmar",2025,1078400.10426756,719380.039561761,359020.064705799
"Pulmonary rehabilitation",1.2,"Myanmar",2026,1238825.59580922,742446.756983712,496378.838825512
"Pulmonary rehabilitation",1.2,"Myanmar",2027,1408271.14538637,764965.917722953,643305.227663418
"Pulmonary rehabilitation",1.2,"Myanmar",2028,1587376.21581206,787012.731631627,800363.484180434
"Pulmonary rehabilitation",1.2,"Myanmar",2029,1777029.84674101,808795.634554404,968234.212186606
"Pulmonary rehabilitation",1.2,"Myanmar",2030,1977985.39754273,830488.085121466,1147497.31242126
"Depression chronic treatment",2.1,"Myanmar",2020,0,0,0
"Depression chronic treatment",2.1,"Myanmar",2021,0,0,0
"Depression chronic treatment",2.1,"Myanmar",2022,0,0,0
"Depression chronic treatment",2.1,"Myanmar",2023,0,0,0
"Depression chronic treatment",2.1,"Myanmar",2024,0,0,0
"Depression chronic treatment",2.1,"Myanmar",2025,0,0,0
"Depression chronic treatment",2.1,"Myanmar",2026,0,0,0
"Depression chronic treatment",2.1,"Myanmar",2027,0,0,0
"Depression chronic treatment",2.1,"Myanmar",2028,0,0,0
"Depression chronic treatment",2.1,"Myanmar",2029,0,0,0
"Depression chronic treatment",2.1,"Myanmar",2030,0,0,0
"Bipolar disorder chronic treatment",2.11,"Myanmar",2020,1114556.18523982,1114556.18523982,0
"Bipolar disorder chronic treatment",2.11,"Myanmar",2021,1128004.76691396,1128004.76691396,0
"Bipolar disorder chronic treatment",2.11,"Myanmar",2022,1142383.14796051,1142383.14796051,0
"Bipolar disorder chronic treatment",2.11,"Myanmar",2023,4140063.32446938,1157184.83856746,2982878.48590192
"Bipolar disorder chronic treatment",2.11,"Myanmar",2024,7213362.57341211,1171775.74127244,6041586.83213967
"Bipolar disorder chronic treatment",2.11,"Myanmar",2025,10359114.1182824,1185833.48460214,9173280.63368022
"Bipolar disorder chronic treatment",2.11,"Myanmar",2026,13570910.037021,1198988.7601248,12371921.2768962
"Bipolar disorder chronic treatment",2.11,"Myanmar",2027,16847719.2374069,1211504.50723171,15636214.7301752
"Bipolar disorder chronic treatment",2.11,"Myanmar",2028,20189276.7365811,1223509.44816072,18965767.2884204
"Bipolar disorder chronic treatment",2.11,"Myanmar",2029,23599698.7112646,1235288.75743354,22364409.9538311
"Bipolar disorder chronic treatment",2.11,"Myanmar",2030,27082946.1486328,1246989.7370079,25835956.4116249
"Schizophrenia chronic treatment",2.12,"Myanmar",2020,10743873.0362287,10743873.0362287,0
"Schizophrenia chronic treatment",2.12,"Myanmar",2021,10876171.6250868,10876171.6250868,0
"Schizophrenia chronic treatment",2.12,"Myanmar",2022,11020947.0862357,11020947.0862357,0
"Schizophrenia chronic treatment",2.12,"Myanmar",2023,12569443.0401549,11172838.2579155,1396604.78223943
"Schizophrenia chronic treatment",2.12,"Myanmar",2024,14157029.9792959,11324895.2306141,2832134.74868175
"Schizophrenia chronic treatment",2.12,"Myanmar",2025,15779099.123068,11473091.0617266,4306008.06134141
"Schizophrenia chronic treatment",2.12,"Myanmar",2026,17428687.798765,11613064.8742153,5815622.92454967
"Schizophrenia chronic treatment",2.12,"Myanmar",2027,19110524.9690484,11748965.3333523,7361559.6356961
"Schizophrenia chronic treatment",2.12,"Myanmar",2028,20823844.7869445,11880616.4286181,8943228.35832646
"Schizophrenia chronic treatment",2.12,"Myanmar",2029,22569911.8897328,12009003.0660402,10560908.8236926
"Schizophrenia chronic treatment",2.12,"Myanmar",2030,24348957.9216479,12134401.4562817,12214556.4653662
"Epilepsy acute and chronic treatment",2.13,"Myanmar",2020,1237348.70860299,1237348.70860299,0
"Epilepsy acute and chronic treatment",2.13,"Myanmar",2021,1247564.08044206,1247564.08044206,0
"Epilepsy acute and chronic treatment",2.13,"Myanmar",2022,1258501.6445099,1258501.6445099,0
"Epilepsy acute and chronic treatment",2.13,"Myanmar",2023,1365159.89000648,1269916.17675021,95243.713256266
"Epilepsy acute and chronic treatment",2.13,"Myanmar",2024,1473790.41330065,1281422.13093799,192368.282362662
"Epilepsy acute and chronic treatment",2.13,"Myanmar",2025,1584173.9432915,1292719.99845509,291453.944836411
