"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Nicaragua",2020,2551.03199947248,2551.03199947248,0
"IDU harm reduction measures",1.1,"Nicaragua",2021,2586.06705566215,2586.06705566215,0
"IDU harm reduction measures",1.1,"Nicaragua",2022,2619.82914155669,2619.82914155669,0
"IDU harm reduction measures",1.1,"Nicaragua",2023,28849.9248142645,2652.86664958754,26197.0581646769
"IDU harm reduction measures",1.1,"Nicaragua",2024,55737.1208622752,2685.87335734785,53051.2475049273
"IDU harm reduction measures",1.1,"Nicaragua",2025,83301.0482028092,2719.28571199687,80581.7624908124
"IDU harm reduction measures",1.1,"Nicaragua",2026,111623.458580941,2754.6506374801,108868.807943461
"IDU harm reduction measures",1.1,"Nicaragua",2027,140690.602315035,2790.41205873713,137900.190256298
"IDU harm reduction measures",1.1,"Nicaragua",2028,170514.337879789,2826.46097090017,167687.876908888
"IDU harm reduction measures",1.1,"Nicaragua",2029,201096.256710992,2862.60372058679,198233.652990405
"IDU harm reduction measures",1.1,"Nicaragua",2030,232426.234633882,2898.59483385778,229527.639800025
"Pulmonary rehabilitation",1.2,"Nicaragua",2020,76770.2991409246,76770.2991409246,0
"Pulmonary rehabilitation",1.2,"Nicaragua",2021,79519.600623451,79519.600623451,0
"Pulmonary rehabilitation",1.2,"Nicaragua",2022,82281.1411596024,82281.1411596024,0
"Pulmonary rehabilitation",1.2,"Nicaragua",2023,88476.5759081764,85077.1780273941,3399.39788078237
"Pulmonary rehabilitation",1.2,"Nicaragua",2024,95057.1905177139,87929.3335405072,7127.85697720665
"Pulmonary rehabilitation",1.2,"Nicaragua",2025,102064.197292295,90864.6428071166,11199.5544851787
"Pulmonary rehabilitation",1.2,"Nicaragua",2026,109703.228141982,94037.7452655568,15665.4828764251
"Pulmonary rehabilitation",1.2,"Nicaragua",2027,117757.217393964,97239.3669809305,20517.8504130331
"Pulmonary rehabilitation",1.2,"Nicaragua",2028,126238.23352975,100472.650970118,25765.5825596319
"Pulmonary rehabilitation",1.2,"Nicaragua",2029,135156.737372464,103742.830156872,31413.9072155922
"Pulmonary rehabilitation",1.2,"Nicaragua",2030,144549.705993861,107076.5582655,37473.1477283612
"Depression chronic treatment",2.1,"Nicaragua",2020,367144.802908933,367144.802908933,0
"Depression chronic treatment",2.1,"Nicaragua",2021,373955.628656458,373955.628656458,0
"Depression chronic treatment",2.1,"Nicaragua",2022,380780.167845391,380780.167845391,0
"Depression chronic treatment",2.1,"Nicaragua",2023,403146.978979022,387657.489564248,15489.4894147735
"Depression chronic treatment",2.1,"Nicaragua",2024,426239.582794136,394623.802252654,31615.7805414828
"Depression chronic treatment",2.1,"Nicaragua",2025,450093.34785387,401696.893890377,48396.4539634927
"Depression chronic treatment",2.1,"Nicaragua",2026,474775.013679867,408915.181505422,65859.8321744447
"Depression chronic treatment",2.1,"Nicaragua",2027,500196.329790073,416185.957362041,84010.3724280312
"Depression chronic treatment",2.1,"Nicaragua",2028,526328.92271981,423476.659411889,102852.263307921
"Depression chronic treatment",2.1,"Nicaragua",2029,553117.641523964,430738.65891621,122378.982607754
"Depression chronic treatment",2.1,"Nicaragua",2030,580529.945148572,437946.61955851,142583.325590063
"Bipolar disorder chronic treatment",2.11,"Nicaragua",2020,480545.016951129,480545.016951129,0
"Bipolar disorder chronic treatment",2.11,"Nicaragua",2021,488069.751325742,488069.751325742,0
"Bipolar disorder chronic treatment",2.11,"Nicaragua",2022,495535.648298004,495535.648298004,0
"Bipolar disorder chronic treatment",2.11,"Nicaragua",2023,1799532.70320861,502985.533663596,1296547.16954501
"Bipolar disorder chronic treatment",2.11,"Nicaragua",2024,3142343.20013686,510456.350409138,2631886.84972773
"Bipolar disorder chronic treatment",2.11,"Nicaragua",2025,4524530.98439208,517955.888039402,4006575.09635268
"Bipolar disorder chronic treatment",2.11,"Nicaragua",2026,5948292.98663533,525629.899555485,5422663.08707985
"Bipolar disorder chronic treatment",2.11,"Nicaragua",2027,7412769.94745065,533296.588120848,6879473.3593298
"Bipolar disorder chronic treatment",2.11,"Nicaragua",2028,8917468.49150564,540910.38466653,8376558.10683911
"Bipolar disorder chronic treatment",2.11,"Nicaragua",2029,10460986.2457434,548402.514140389,9912583.73160298
"Bipolar disorder chronic treatment",2.11,"Nicaragua",2030,12041713.9573579,555727.129807434,11485986.8275505
"Schizophrenia chronic treatment",2.12,"Nicaragua",2020,1622713.9521532,1622713.9521532,0
"Schizophrenia chronic treatment",2.12,"Nicaragua",2021,1655656.3191347,1655656.3191347,0
"Schizophrenia chronic treatment",2.12,"Nicaragua",2022,1688023.28130866,1688023.28130866,0
"Schizophrenia chronic treatment",2.12,"Nicaragua",2023,1934937.64963904,1719944.57745692,214993.072182115
"Schizophrenia chronic treatment",2.12,"Nicaragua",2024,2189695.55505062,1751581.7149803,438113.840070317
"Schizophrenia chronic treatment",2.12,"Nicaragua",2025,2452324.69888238,1782990.92800736,669333.770875019
"Schizophrenia chronic treatment",2.12,"Nicaragua",2026,2722807.20170065,1814179.20893224,908627.992768404
"Schizophrenia chronic treatment",2.12,"Nicaragua",2027,3001040.93789184,1845100.1416295,1155940.79626234
"Schizophrenia chronic treatment",2.12,"Nicaragua",2028,3286844.36551289,1875674.48837864,1411169.87713425
"Schizophrenia chronic treatment",2.12,"Nicaragua",2029,3579938.35604575,1905790.54179,1674147.81425575
"Schizophrenia chronic treatment",2.12,"Nicaragua",2030,3879910.35954986,1935296.27464743,1944614.08490244
"Epilepsy acute and chronic treatment",2.13,"Nicaragua",2020,262951.493894509,262951.493894509,0
"Epilepsy acute and chronic treatment",2.13,"Nicaragua",2021,265961.939953441,265961.939953441,0
"Epilepsy acute and chronic treatment",2.13,"Nicaragua",2022,268933.468678937,268933.468678937,0
"Epilepsy acute and chronic treatment",2.13,"Nicaragua",2023,292277.87916453,271886.399222819,20391.4799417114
"Epilepsy acute and chronic treatment",2.13,"Nicaragua",2024,316119.157865217,274846.395952635,41272.761912582
"Epilepsy acute and chronic treatment",2.13,"Nicaragua",2025,340496.052838484,277838.537510207,62657.5153282772
"Epilepsy acute and chronic treatment",2.13,"Nicaragua",2026,365458.082207257,280888.227887848,84569.854319409
"Epilepsy acute and chronic treatment",2.13,"Nicaragua",2027,390936.545907224,283931.203300988,107005.342606236
"Epilepsy acute and chronic treatment",2.13,"Nicaragua",2028,416909.222204813,286948.550199303,129960.67200551
"Epilepsy acute and chronic treatment",2.13,"Nicaragua",2029,443339.895352021,289916.352058271,153423.54329375
"Epilepsy acute and chronic treatment",2.13,"Nicaragua",2030,470207.530962513,292824.887882969,177382.643079544
"Asthma/COPD chronic treatment",2.14,"Nicaragua",2020,5128909.89193479,5128909.89193479,0
"Asthma/COPD chronic treatment",2.14,"Nicaragua",2021,5177696.52631458,5177696.52631458,0
"Asthma/COPD chronic treatment",2.14,"Nicaragua",2022,5225274.68583524,5225274.68583524,0
"Asthma/COPD chronic treatment",2.14,"Nicaragua",2023,5482399.54761854,5271757.83581543,210641.711803119
"Asthma/COPD chronic treatment",2.14,"Nicaragua",2024,5743517.14598978,5317580.71576065,425936.430229129
"Asthma/COPD chronic treatment",2.14,"Nicaragua",2025,6008992.69585711,5363094.852205,645897.843652105
"Asthma/COPD chronic treatment",2.14,"Nicaragua",2026,6279209.58034803,5408539.07386212,870670.506485907
"Asthma/COPD chronic treatment",2.14,"Nicaragua",2027,6553664.26034168,5453448.43092901,1100215.82941266
"Asthma/COPD chronic treatment",2.14,"Nicaragua",2028,6831703.00589608,5497299.25248395,1334403.75341212
"Asthma/COPD chronic treatment",2.14,"Nicaragua",2029,7112789.62319684,5539749.93968631,1573039.68351053
"Asthma/COPD chronic treatment",2.14,"Nicaragua",2030,7396507.54975283,5580602.83534403,1815904.7144088
"Diabetes screening and treatment",2.3,"Nicaragua",2020,66361697.8660987,66361697.8660987,0
"Diabetes screening and treatment",2.3,"Nicaragua",2021,68453898.5241525,68453898.5241525,0
"Diabetes screening and treatment",2.3,"Nicaragua",2022,70599348.3309389,70599348.3309389,0
"Diabetes screening and treatment",2.3,"Nicaragua",2023,75718110.2523596,72808911.056,2909199.19635962
"Diabetes screening and treatment",2.3,"Nicaragua",2024,81130442.5770797,75093904.9618832,6036537.61519648
"Diabetes screening and treatment",2.3,"Nicaragua",2025,86855424.0413848,77461425.108802,9393998.93258283
"Diabetes screening and treatment",2.3,"Nicaragua",2026,92774229.9082082,79797082.6702317,12977147.2379765
"Diabetes screening and treatment",2.3,"Nicaragua",2027,98996301.8874124,82193299.9851658,16803001.9022466
"Diabetes screening and treatment",2.3,"Nicaragua",2028,105532275.930317,84650775.3692245,20881500.5610924
"Diabetes screening and treatment",2.3,"Nicaragua",2029,112390475.592038,87168508.7842836,25221966.8077546
"Diabetes screening and treatment",2.3,"Nicaragua",2030,119576610.241944,89743712.7449447,29832897.4969996
"CVD primary prevention",2.4,"Nicaragua",2020,8958087.83625122,8958087.83625122,0
"CVD primary prevention",2.4,"Nicaragua",2021,9207730.89012842,9207730.89012842,0
"CVD primary prevention",2.4,"Nicaragua",2022,9458253.65805261,9458253.65805261,0
"CVD primary prevention",2.4,"Nicaragua",2023,10096850.5365748,9708914.95063808,387935.585936669
"CVD primary prevention",2.4,"Nicaragua",2024,10756604.5152903,9958283.06918204,798321.446108241
"CVD primary prevention",2.4,"Nicaragua",2025,11436237.8787201,10205218.6799277,1231019.19879247
"CVD primary prevention",2.4,"Nicaragua",2026,12128802.0914064,10443745.3333656,1685056.7580408
"CVD primary prevention",2.4,"Nicaragua",2027,12839673.8865718,10679037.9853415,2160635.90123031
"CVD primary prevention",2.4,"Nicaragua",2028,13569187.1819105,10911528.8682287,2657658.31368184
"CVD primary prevention",2.4,"Nicaragua",2029,14318183.4431399,11142004.512817,3176178.93032293
"CVD primary prevention",2.4,"Nicaragua",2030,15086923.6788842,11370718.6780113,3716205.00087292
"Aspirin for suspected ACS",2.5,"Nicaragua",2020,6133.59469473608,6133.59469473608,0
"Aspirin for suspected ACS",2.5,"Nicaragua",2021,6354.89259413609,6354.89259413609,0
"Aspirin for suspected ACS",2.5,"Nicaragua",2022,6585.40315453841,6585.40315453841,0
"Aspirin for suspected ACS",2.5,"Nicaragua",2023,7096.29560084667,6823.64567085888,272.649929987788
"Aspirin for suspected ACS",2.5,"Nicaragua",2024,7634.47900023879,7067.10415421167,567.374846027125
"Aspirin for suspected ACS",2.5,"Nicaragua",2025,8198.72846724109,7313.98472670825,884.743740532836
"Aspirin for suspected ACS",2.5,"Nicaragua",2026,8777.54825958035,7553.77430411317,1223.77395546717
"Aspirin for suspected ACS",2.5,"Nicaragua",2027,9380.21552821733,7794.76464270455,1585.45088551278
"Aspirin for suspected ACS",2.5,"Nicaragua",2028,10007.2604734044,8037.11704472556,1970.14342867887
"Aspirin for suspected ACS",2.5,"Nicaragua",2029,10659.8358068255,8281.47345108326,2378.36235574229
"Aspirin for suspected ACS",2.5,"Nicaragua",2030,11338.253943188,8527.76667994558,2810.48726324238
"CVD secondary prevention",2.6,"Nicaragua",2020,10818755.858074,10818755.858074,0
"CVD secondary prevention",2.6,"Nicaragua",2021,11223649.9395396,11223649.9395396,0
"CVD secondary prevention",2.6,"Nicaragua",2022,11639617.0705893,11639617.0705893,0
"CVD secondary prevention",2.6,"Nicaragua",2023,12552779.3293669,12070483.4107899,482295.918576969
"CVD secondary prevention",2.6,"Nicaragua",2024,13533506.1437282,12519858.6398942,1013647.50383402
"CVD secondary prevention",2.6,"Nicaragua",2025,14588263.8900057,12991011.860472,1597252.02953374
"CVD secondary prevention",2.6,"Nicaragua",2026,15711875.158726,13475677.3516629,2236197.80706312
"CVD secondary prevention",2.6,"Nicaragua",2027,16905806.8253697,13973119.1831432,2932687.64222646
"CVD secondary prevention",2.6,"Nicaragua",2028,18174832.3280908,14485340.4161474,3689491.91194332
"CVD secondary prevention",2.6,"Nicaragua",2029,19523698.4975782,15014288.169041,4509410.32853715
"CVD secondary prevention",2.6,"Nicaragua",2030,20957845.6464285,15562312.053551,5395533.59287759
"Heart failure chronic treatment",2.7,"Nicaragua",2020,950890.092161165,950890.092161165,0
"Heart failure chronic treatment",2.7,"Nicaragua",2021,989494.102275105,989494.102275105,0
"Heart failure chronic treatment",2.7,"Nicaragua",2022,1029113.11165157,1029113.11165157,0
"Heart failure chronic treatment",2.7,"Nicaragua",2023,1112775.8812915,1070021.4241505,42754.4571409945
"Heart failure chronic treatment",2.7,"Nicaragua",2024,1203074.95734103,1112425.54333822,90649.4140028087
"Heart failure chronic treatment",2.7,"Nicaragua",2025,1300637.53992857,1156664.96777089,143972.572157672
"Heart failure chronic treatment",2.7,"Nicaragua",2026,1408515.28712174,1204938.10469636,203577.182425379
"Heart failure chronic treatment",2.7,"Nicaragua",2027,1523381.70023638,1253992.47233366,269389.227902717
"Heart failure chronic treatment",2.7,"Nicaragua",2028,1645356.72721308,1303785.22937722,341571.497835859
"Heart failure chronic treatment",2.7,"Nicaragua",2029,1774455.53316338,1354259.92381182,420195.60935156
"Heart failure chronic treatment",2.7,"Nicaragua",2030,1911186.35999968,1405776.72726592,505409.632733767
"Alcohol use screening/brief intervention",2.9,"Nicaragua",2020,98226.2198722792,98226.2198722792,0
"Alcohol use screening/brief intervention",2.9,"Nicaragua",2021,100046.082730862,100046.082730862,0
"Alcohol use screening/brief intervention",2.9,"Nicaragua",2022,101808.548671597,101808.548671597,0
"Alcohol use screening/brief intervention",2.9,"Nicaragua",2023,1125819.76840952,103523.656865243,1022296.11154427
"Alcohol use screening/brief intervention",2.9,"Nicaragua",2024,2183200.5586849,105202.668360796,2077997.8903241
"Alcohol use screening/brief intervention",2.9,"Nicaragua",2025,3273428.62336205,106852.591531301,3166576.03183075
"Alcohol use screening/brief intervention",2.9,"Nicaragua",2026,4398211.64593637,108528.707447107,4289682.93848926
"Alcohol use screening/brief intervention",2.9,"Nicaragua",2027,5555676.70964471,110172.239268379,5445504.47037634
"Alcohol use screening/brief intervention",2.9,"Nicaragua",2028,6745146.60499914,111782.952530978,6633363.65246817
"Alcohol use screening/brief intervention",2.9,"Nicaragua",2029,7965823.30526748,113359.17828857,7852464.12697891
"Alcohol use screening/brief intervention",2.9,"Nicaragua",2030,9216641.53548963,114896.866808015,9101744.66868161
"Medical management of ACS",3.1,"Nicaragua",2020,1446987.9759889,1446987.9759889,0
"Medical management of ACS",3.1,"Nicaragua",2021,1501595.66756723,1501595.66756723,0
"Medical management of ACS",3.1,"Nicaragua",2022,1557055.37924206,1557055.37924206,0
"Medical management of ACS",3.1,"Nicaragua",2023,1932631.58507442,1613779.90942241,318851.675652009
"Medical management of ACS",3.1,"Nicaragua",2024,2335531.28549188,1672159.27617119,663372.009320689
"Medical management of ACS",3.1,"Nicaragua",2025,2768442.8216661,1732700.00266062,1035742.81900548
"Medical management of ACS",3.1,"Nicaragua",2026,3237263.47460403,1797314.40915675,1439949.06544728
"Medical management of ACS",3.1,"Nicaragua",2027,3739381.58538547,1863025.49427134,1876356.09111412
"Medical management of ACS",3.1,"Nicaragua",2028,4276694.69295524,1930029.30979582,2346665.38315942
"Medical management of ACS",3.1,"Nicaragua",2029,4851189.23555696,1998580.93256075,2852608.30299622
"Medical management of ACS",3.1,"Nicaragua",2030,5465640.0994571,2069227.62293969,3396412.47651741
"Heart failure acute treatment",3.2,"Nicaragua",2020,3837615.91842924,3837615.91842924,0
"Heart failure acute treatment",3.2,"Nicaragua",2021,3995391.0266375,3995391.0266375,0
"Heart failure acute treatment",3.2,"Nicaragua",2022,4156351.15236621,4156351.15236621,0
"Heart failure acute treatment",3.2,"Nicaragua",2023,5175458.80991719,4321595.23521705,853863.574700143
"Heart failure acute treatment",3.2,"Nicaragua",2024,6276720.07635934,4491992.56386625,1784727.51249309
"Heart failure acute treatment",3.2,"Nicaragua",2025,7468904.50681461,4669050.47672052,2799854.03009409
"Heart failure acute treatment",3.2,"Nicaragua",2026,8783270.65747656,4865480.63283725,3917790.0246393
"Heart failure acute treatment",3.2,"Nicaragua",2027,10200988.9239865,5064356.30833324,5136632.61565324
"Heart failure acute treatment",3.2,"Nicaragua",2028,11725490.8115445,5265204.50086033,6460286.31068414
"Heart failure acute treatment",3.2,"Nicaragua",2029,13358825.076954,5467520.20559556,7891304.87135846
"Heart failure acute treatment",3.2,"Nicaragua",2030,15107381.8956886,5672936.97587124,9434444.91981731
"Cervical cancer screening and treatment",3.3,"Nicaragua",2020,680451.780026394,680451.780026394,0
"Cervical cancer screening and treatment",3.3,"Nicaragua",2021,692880.145285322,692880.145285322,0
"Cervical cancer screening and treatment",3.3,"Nicaragua",2022,705236.934439234,705236.934439234,0
"Cervical cancer screening and treatment",3.3,"Nicaragua",2023,1179862.57462263,717577.23836698,462285.33625565
"Cervical cancer screening and treatment",3.3,"Nicaragua",2024,1670931.47692644,730080.661009007,940850.81591743
"Cervical cancer screening and treatment",3.3,"Nicaragua",2025,2179325.91793777,742893.290429485,1436432.62750828
"Cervical cancer screening and treatment",3.3,"Nicaragua",2026,2704936.41715879,755779.56004955,1949156.85710924
