"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Niger",2020,4768.28429931573,4768.28429931573,0
"IDU harm reduction measures",1.1,"Niger",2021,4972.37983832067,4972.37983832067,0
"IDU harm reduction measures",1.1,"Niger",2022,5187.47281881244,5187.47281881244,0
"IDU harm reduction measures",1.1,"Niger",2023,58877.4237534987,5414.01597733321,53463.4077761655
"IDU harm reduction measures",1.1,"Niger",2024,117303.949429918,5652.67904622399,111651.270383694
"IDU harm reduction measures",1.1,"Niger",2025,180851.006080209,5903.82644233139,174947.179637878
"IDU harm reduction measures",1.1,"Niger",2026,249586.386975708,6159.68916278219,243426.697812926
"IDU harm reduction measures",1.1,"Niger",2027,324098.612014126,6428.96391321493,317669.648100912
"IDU harm reduction measures",1.1,"Niger",2028,404778.464950634,6711.38891522571,398067.076035408
"IDU harm reduction measures",1.1,"Niger",2029,491998.637065951,7006.61386474305,484992.023201208
"IDU harm reduction measures",1.1,"Niger",2030,586134.015827504,7314.51163778788,578819.504189716
"Pulmonary rehabilitation",1.2,"Niger",2020,9308.19842349252,9308.19842349252,0
"Pulmonary rehabilitation",1.2,"Niger",2021,9637.94231010185,9637.94231010185,0
"Pulmonary rehabilitation",1.2,"Niger",2022,9981.10153745128,9981.10153745128,0
"Pulmonary rehabilitation",1.2,"Niger",2023,16783.376772124,10339.174695711,6444.20207641293
"Pulmonary rehabilitation",1.2,"Niger",2024,24092.5604076918,10713.8319622892,13378.7284454027
"Pulmonary rehabilitation",1.2,"Niger",2025,31957.1459025197,11105.8034449433,20851.3424575764
"Pulmonary rehabilitation",1.2,"Niger",2026,40444.2905937445,11519.4155902711,28924.8750034734
"Pulmonary rehabilitation",1.2,"Niger",2027,49595.6319218629,11951.6423404094,37643.9895814535
"Pulmonary rehabilitation",1.2,"Niger",2028,59459.1496993118,12403.090376375,47056.0593229368
"Pulmonary rehabilitation",1.2,"Niger",2029,70078.1128807572,12874.3343665067,57203.7785142505
"Pulmonary rehabilitation",1.2,"Niger",2030,81490.7393339846,13366.2390545582,68124.5002794264
"Depression chronic treatment",2.1,"Niger",2020,177511.957767279,177511.957767279,0
"Depression chronic treatment",2.1,"Niger",2021,184500.886258891,184500.886258891,0
"Depression chronic treatment",2.1,"Niger",2022,191826.204790998,191826.204790998,0
"Depression chronic treatment",2.1,"Niger",2023,323857.394990344,199508.014910596,124349.380079748
"Depression chronic treatment",2.1,"Niger",2024,466467.234090745,207568.898936316,258898.335154429
"Depression chronic treatment",2.1,"Niger",2025,620472.418133979,216010.9353953,404461.48273868
"Depression chronic treatment",2.1,"Niger",2026,785831.414636108,224585.811958637,561245.602677471
"Depression chronic treatment",2.1,"Niger",2027,964071.705002389,233583.895139713,730487.809862676
"Depression chronic treatment",2.1,"Niger",2028,1156047.84045315,243004.390718372,913043.449734781
"Depression chronic treatment",2.1,"Niger",2029,1362556.94182917,252841.049720976,1109715.8921082
"Depression chronic treatment",2.1,"Niger",2030,1583922.27152359,263016.480537138,1320905.79098645
"Bipolar disorder chronic treatment",2.11,"Niger",2020,326906.461343822,326906.461343822,0
"Bipolar disorder chronic treatment",2.11,"Niger",2021,340125.00830673,340125.00830673,0
"Bipolar disorder chronic treatment",2.11,"Niger",2022,354026.64791857,354026.64791857,0
"Bipolar disorder chronic treatment",2.11,"Niger",2023,1318890.10258891,368641.615076787,950248.487512124
"Bipolar disorder chronic treatment",2.11,"Niger",2024,2364027.63706893,384003.235406519,1980024.40166241
"Bipolar disorder chronic treatment",2.11,"Niger",2025,3495655.81168723,400120.541544101,3095535.27014313
"Bipolar disorder chronic treatment",2.11,"Niger",2026,4712943.89259646,416374.388687182,4296569.50390928
"Bipolar disorder chronic treatment",2.11,"Niger",2027,6027024.68664952,433470.389429864,5593554.29721966
"Bipolar disorder chronic treatment",2.11,"Niger",2028,7444387.69414863,451392.717056019,6992994.97709261
"Bipolar disorder chronic treatment",2.11,"Niger",2029,8971084.00772643,470113.223085613,8500970.78464082
"Bipolar disorder chronic treatment",2.11,"Niger",2030,10609611.6885454,489454.782748974,10120156.9057964
"Schizophrenia chronic treatment",2.12,"Niger",2020,742227.872465862,742227.872465862,0
"Schizophrenia chronic treatment",2.12,"Niger",2021,771257.637907806,771257.637907806,0
"Schizophrenia chronic treatment",2.12,"Niger",2022,802055.534799569,802055.534799569,0
"Schizophrenia chronic treatment",2.12,"Niger",2023,1064267.66895903,834719.740360024,229547.928599007
"Schizophrenia chronic treatment",2.12,"Niger",2024,1347725.90207343,869373.692656502,478352.209416931
"Schizophrenia chronic treatment",2.12,"Niger",2025,1654280.58051565,906088.616467028,748191.964048621
"Schizophrenia chronic treatment",2.12,"Niger",2026,1982394.37064139,943290.509333277,1039103.86130811
"Schizophrenia chronic treatment",2.12,"Niger",2027,2336780.78464442,982770.226981489,1354010.55766293
"Schizophrenia chronic treatment",2.12,"Niger",2028,2719366.92473921,1024526.48777277,1694840.43696644
"Schizophrenia chronic treatment",2.12,"Niger",2029,3132026.24990467,1068541.89078534,2063484.35911933
"Schizophrenia chronic treatment",2.12,"Niger",2030,3576546.31726698,1114779.54832117,2461766.76894581
"Epilepsy acute and chronic treatment",2.13,"Niger",2020,17118.6243518009,17118.6243518009,0
"Epilepsy acute and chronic treatment",2.13,"Niger",2021,17760.2320013388,17760.2320013388,0
"Epilepsy acute and chronic treatment",2.13,"Niger",2022,18420.3607600096,18420.3607600096,0
"Epilepsy acute and chronic treatment",2.13,"Niger",2023,80379.0140426384,19099.9637329042,61279.0503097343
"Epilepsy acute and chronic treatment",2.13,"Niger",2024,146872.064703077,19800.5010859158,127071.563617161
"Epilepsy acute and chronic treatment",2.13,"Niger",2025,218108.800452552,20520.7481304796,197588.052322072
"Epilepsy acute and chronic treatment",2.13,"Niger",2026,294409.018247495,21268.4921292396,273140.526118255
"Epilepsy acute and chronic treatment",2.13,"Niger",2027,375961.62078106,22038.2337215269,353923.387059534
"Epilepsy acute and chronic treatment",2.13,"Niger",2028,462992.215813341,22829.9286172349,440162.287196106
"Epilepsy acute and chronic treatment",2.13,"Niger",2029,555724.621916112,23643.6936337885,532080.928282323
"Epilepsy acute and chronic treatment",2.13,"Niger",2030,654354.76416603,24478.7891624751,629875.975003554
"Asthma/COPD chronic treatment",2.14,"Niger",2020,2114379.5690198,2114379.5690198,0
"Asthma/COPD chronic treatment",2.14,"Niger",2021,2191317.68133323,2191317.68133323,0
"Asthma/COPD chronic treatment",2.14,"Niger",2022,2270231.19521318,2270231.19521318,0
"Asthma/COPD chronic treatment",2.14,"Niger",2023,3816595.20230873,2351162.40761654,1465432.79469219
"Asthma/COPD chronic treatment",2.14,"Niger",2024,5469811.24847364,2434302.87589584,3035508.3725778
"Asthma/COPD chronic treatment",2.14,"Niger",2025,7231717.73558648,2518617.03135234,4713100.70423414
"Asthma/COPD chronic treatment",2.14,"Niger",2026,9113997.52589625,2606593.24662863,6507404.27926762
"Asthma/COPD chronic treatment",2.14,"Niger",2027,11119787.4663694,2697187.86416243,8422599.60220698
"Asthma/COPD chronic treatment",2.14,"Niger",2028,13254090.1985373,2790324.96027031,10463765.238267
