"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Nigeria",2020,74318.3149984641,74318.3149984641,0
"IDU harm reduction measures",1.1,"Nigeria",2021,76375.0718125197,76375.0718125197,0
"IDU harm reduction measures",1.1,"Nigeria",2022,78519.6249155887,78519.6249155887,0
"IDU harm reduction measures",1.1,"Nigeria",2023,878259.872893969,80759.5285419741,797500.344351994
"IDU harm reduction measures",1.1,"Nigeria",2024,1724527.24100579,83106.0379627153,1641421.20304307
"IDU harm reduction measures",1.1,"Nigeria",2025,2620781.81205348,85563.9355456537,2535217.87650783
"IDU harm reduction measures",1.1,"Nigeria",2026,3566793.58853806,88040.6942268926,3478752.89431117
"IDU harm reduction measures",1.1,"Nigeria",2027,4567999.25548868,90628.156079151,4477371.09940953
"IDU harm reduction measures",1.1,"Nigeria",2028,5627609.31514784,93320.7040970284,5534288.61105081
"IDU harm reduction measures",1.1,"Nigeria",2029,6748432.67085623,96110.2485116612,6652322.42234457
"IDU harm reduction measures",1.1,"Nigeria",2030,7933202.44643554,98992.1542186864,7834210.29221686
"Pulmonary rehabilitation",1.2,"Nigeria",2020,565954.73749884,565954.73749884,0
"Pulmonary rehabilitation",1.2,"Nigeria",2021,583556.815551043,583556.815551043,0
"Pulmonary rehabilitation",1.2,"Nigeria",2022,601180.072640276,601180.072640276,0
"Pulmonary rehabilitation",1.2,"Nigeria",2023,758272.415911069,618887.579498077,139384.836412992
"Pulmonary rehabilitation",1.2,"Nigeria",2024,924025.851354289,636772.840080198,287253.011274092
"Pulmonary rehabilitation",1.2,"Nigeria",2025,1098929.00888078,654841.160381836,444087.84849894
"Pulmonary rehabilitation",1.2,"Nigeria",2026,1288667.07231617,675693.501443657,612973.570872514
"Pulmonary rehabilitation",1.2,"Nigeria",2027,1490376.44128415,696844.027391265,793532.413892887
"Pulmonary rehabilitation",1.2,"Nigeria",2028,1704736.25888643,718288.937699489,986447.321186941
"Pulmonary rehabilitation",1.2,"Nigeria",2029,1932186.0087098,740018.08200391,1192167.92670589
"Pulmonary rehabilitation",1.2,"Nigeria",2030,2172732.81267222,762012.51774643,1410720.29492579
"Depression chronic treatment",2.1,"Nigeria",2020,0,0,0
"Depression chronic treatment",2.1,"Nigeria",2021,0,0,0
