"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"North Korea",2020,12546.8065669944,12546.8065669944,0
"IDU harm reduction measures",1.1,"North Korea",2021,12617.4644734311,12617.4644734311,0
"IDU harm reduction measures",1.1,"North Korea",2022,12680.889449774,12680.889449774,0
"IDU harm reduction measures",1.1,"North Korea",2023,138497.383919311,12735.3916247643,125761.992294547
"IDU harm reduction measures",1.1,"North Korea",2024,265272.922672996,12780.0582676781,252492.864405318
"IDU harm reduction measures",1.1,"North Korea",2025,392819.120119079,12814.8440301149,380004.276088964
"IDU harm reduction measures",1.1,"North Korea",2026,521411.759012993,12851.1308491812,508560.628163812
"IDU harm reduction measures",1.1,"North Korea",2027,650450.649224392,12874.5711909205,637576.078033472
"IDU harm reduction measures",1.1,"North Korea",2028,779829.418463294,12888.7749425218,766940.643520772
"IDU harm reduction measures",1.1,"North Korea",2029,909636.613778867,12898.4855934561,896738.128185411
"IDU harm reduction measures",1.1,"North Korea",2030,1039987.76479007,12906.8051468745,1027080.95964319
"Pulmonary rehabilitation",1.2,"North Korea",2020,272199.635400076,272199.635400076,0
"Pulmonary rehabilitation",1.2,"North Korea",2021,278495.2818178,278495.2818178,0
"Pulmonary rehabilitation",1.2,"North Korea",2022,284661.518626011,284661.518626011,0
"Pulmonary rehabilitation",1.2,"North Korea",2023,321958.339866739,290687.224386332,31271.115480407
"Pulmonary rehabilitation",1.2,"North Korea",2024,360918.715602273,296567.461511284,64351.2540909885
"Pulmonary rehabilitation",1.2,"North Korea",2025,401601.580200088,302340.941266844,99260.6389332442
"Pulmonary rehabilitation",1.2,"North Korea",2026,446058.817657804,309362.376107148,136696.441550656
"Pulmonary rehabilitation",1.2,"North Korea",2027,492224.136725854,316005.124613031,176219.012112823
"Pulmonary rehabilitation",1.2,"North Korea",2028,540268.697279674,322441.633242212,217827.064037463
"Pulmonary rehabilitation",1.2,"North Korea",2029,590474.885571742,328889.84930484,261585.036266902
"Pulmonary rehabilitation",1.2,"North Korea",2030,643044.006876486,335495.626475918,307548.380400568
"Depression chronic treatment",2.1,"North Korea",2020,509258.727767672,509258.727767672,0
"Depression chronic treatment",2.1,"North Korea",2021,513609.661739515,513609.661739515,0
"Depression chronic treatment",2.1,"North Korea",2022,517787.650860422,517787.650860422,0
"Depression chronic treatment",2.1,"North Korea",2023,577943.641936495,521809.229094002,56134.4128424927
"Depression chronic treatment",2.1,"North Korea",2024,639165.334787947,525746.976652339,113418.358135607
"Depression chronic treatment",2.1,"North Korea",2025,701533.709074979,529659.858682333,171873.850392645
"Depression chronic treatment",2.1,"North Korea",2026,765256.52155126,533653.940153858,231602.581397402
