"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Pakistan",2020,112779.23911682,112779.23911682,0
"IDU harm reduction measures",1.1,"Pakistan",2021,115172.653896631,115172.653896631,0
"IDU harm reduction measures",1.1,"Pakistan",2022,117581.753497056,117581.753497056,0
"IDU harm reduction measures",1.1,"Pakistan",2023,1304824.15402021,119983.830254732,1184840.32376548
"IDU harm reduction measures",1.1,"Pakistan",2024,2539000.47934791,122350.267303335,2416650.21204457
"IDU harm reduction measures",1.1,"Pakistan",2025,3819177.04526192,124675.350166132,3694501.69509579
"IDU harm reduction measures",1.1,"Pakistan",2026,5148101.30610719,127050.138259533,5021051.16784766
"IDU harm reduction measures",1.1,"Pakistan",2027,6521598.27817324,129357.770517842,6392240.5076554
"IDU harm reduction measures",1.1,"Pakistan",2028,7940234.53712732,131637.313304686,7808597.22382263
"IDU harm reduction measures",1.1,"Pakistan",2029,9407403.54139812,133946.726439838,9273456.81495828
"IDU harm reduction measures",1.1,"Pakistan",2030,10926403.1195242,136314.768075467,10790088.3514487
"Pulmonary rehabilitation",1.2,"Pakistan",2020,1195157.10563519,1195157.10563519,0
"Pulmonary rehabilitation",1.2,"Pakistan",2021,1234958.42831174,1234958.42831174,0
"Pulmonary rehabilitation",1.2,"Pakistan",2022,1275159.17853828,1275159.17853828,0
"Pulmonary rehabilitation",1.2,"Pakistan",2023,1530013.37728284,1315576.59138364,214436.785899204
"Pulmonary rehabilitation",1.2,"Pakistan",2024,1800453.3347305,1355889.68371682,444563.651013687
"Pulmonary rehabilitation",1.2,"Pakistan",2025,2086836.8120722,1395977.8666305,690858.945441701
"Pulmonary rehabilitation",1.2,"Pakistan",2026,2404178.12006652,1444274.00173346,959904.118333062
"Pulmonary rehabilitation",1.2,"Pakistan",2027,2740397.53828381,1491603.69028344,1248793.84800037
"Pulmonary rehabilitation",1.2,"Pakistan",2028,3095873.30177634,1538210.30771179,1557662.99406455
"Pulmonary rehabilitation",1.2,"Pakistan",2029,3471457.61246182,1584658.34212439,1886799.27033743
"Pulmonary rehabilitation",1.2,"Pakistan",2030,3867554.92476712,1631353.40376269,2236201.52100442
"Depression chronic treatment",2.1,"Pakistan",2020,6380878.94704409,6380878.94704409,0
"Depression chronic treatment",2.1,"Pakistan",2021,6544056.24481327,6544056.24481327,0
"Depression chronic treatment",2.1,"Pakistan",2022,6713751.97824714,6713751.97824714,0
"Depression chronic treatment",2.1,"Pakistan",2023,8011473.04282773,6888636.7623548,1122836.28047293
"Depression chronic treatment",2.1,"Pakistan",2024,9373320.9117522,7066672.77721457,2306648.13453763
"Depression chronic treatment",2.1,"Pakistan",2025,10800393.6337852,7247056.27229702,3553337.36148822
"Depression chronic treatment",2.1,"Pakistan",2026,12295414.6998548,7430149.72917883,4865264.97067602
"Depression chronic treatment",2.1,"Pakistan",2027,13855460.8583516,7613264.98847561,6242195.86987598
"Depression chronic treatment",2.1,"Pakistan",2028,15484537.3150447,7798158.80631195,7686378.50873273
"Depression chronic treatment",2.1,"Pakistan",2029,17189364.7829052,7987399.50568649,9201965.27721867
"Depression chronic treatment",2.1,"Pakistan",2030,18974186.5605107,8181838.58323266,10792347.977278
"Bipolar disorder chronic treatment",2.11,"Pakistan",2020,4866357.18281148,4866357.18281148,0
"Bipolar disorder chronic treatment",2.11,"Pakistan",2021,4979264.37433886,4979264.37433886,0
"Bipolar disorder chronic treatment",2.11,"Pakistan",2022,5096663.8183328,5096663.8183328,0
"Bipolar disorder chronic treatment",2.11,"Pakistan",2023,18666933.7969731,5217575.45222289,13449358.3447502
"Bipolar disorder chronic treatment",2.11,"Pakistan",2024,32879793.5275527,5340596.28413362,27539197.2434191
"Bipolar disorder chronic treatment",2.11,"Pakistan",2025,47754289.2148927,5465231.87722738,42289057.3376653
"Bipolar disorder chronic treatment",2.11,"Pakistan",2026,63302846.0145825,5590891.96122187,57711954.0533607
"Bipolar disorder chronic treatment",2.11,"Pakistan",2027,79525837.398271,5716622.82050974,73809214.5777612
"Bipolar disorder chronic treatment",2.11,"Pakistan",2028,96450757.8056424,5843756.45778881,90607001.3478536
"Bipolar disorder chronic treatment",2.11,"Pakistan",2029,114127707.711107,5974125.24006763,108153582.471039
"Bipolar disorder chronic treatment",2.11,"Pakistan",2030,132593155.411571,6108089.47906433,126485065.932506
"Schizophrenia chronic treatment",2.12,"Pakistan",2020,36949769.4686634,36949769.4686634,0
"Schizophrenia chronic treatment",2.12,"Pakistan",2021,37924450.7674663,37924450.7674663,0
"Schizophrenia chronic treatment",2.12,"Pakistan",2022,38933131.9215424,38933131.9215424,0
"Schizophrenia chronic treatment",2.12,"Pakistan",2023,44961018.898713,39965350.1321893,4995668.76652367
"Schizophrenia chronic treatment",2.12,"Pakistan",2024,51267403.42184,41006687.8664902,10260715.5553498
"Schizophrenia chronic treatment",2.12,"Pakistan",2025,57848374.3467231,42050498.4911392,15797875.8555839
"Schizophrenia chronic treatment",2.12,"Pakistan",2026,64700360.8885341,43092600.306191,21607760.582343
"Schizophrenia chronic treatment",2.12,"Pakistan",2027,71814052.6229454,44126803.5983869,27687249.0245585
"Schizophrenia chronic treatment",2.12,"Pakistan",2028,79203604.2375544,45162190.248096,34041413.9894584
"Schizophrenia chronic treatment",2.12,"Pakistan",2029,86896994.0548644,46212862.2143684,40684131.8404961
"Schizophrenia chronic treatment",2.12,"Pakistan",2030,94911455.6496687,47284102.9747606,47627352.6749081
"Epilepsy acute and chronic treatment",2.13,"Pakistan",2020,5928492.92842873,5928492.92842873,0
"Epilepsy acute and chronic treatment",2.13,"Pakistan",2021,6043835.31979656,6043835.31979656,0
