"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Papua New Guinea",2020,2888.56930571034,2888.56930571034,0
"IDU harm reduction measures",1.1,"Papua New Guinea",2021,2956.99791691451,2956.99791691451,0
"IDU harm reduction measures",1.1,"Papua New Guinea",2022,3027.00061795634,3027.00061795634,0
"IDU harm reduction measures",1.1,"Papua New Guinea",2023,33692.4225532748,3098.15379800228,30594.2687552725
"IDU harm reduction measures",1.1,"Papua New Guinea",2024,65786.0261765698,3169.89514259763,62616.1310339722
"IDU harm reduction measures",1.1,"Papua New Guinea",2025,99329.0293976164,3241.89606327754,96087.1333343388
"IDU harm reduction measures",1.1,"Papua New Guinea",2026,134295.793679052,3312.99982023174,130982.79385882
"IDU harm reduction measures",1.1,"Papua New Guinea",2027,170725.993324503,3384.28767821182,167341.705646292
"IDU harm reduction measures",1.1,"Papua New Guinea",2028,208617.808735527,3455.46432783193,205162.344407695
"IDU harm reduction measures",1.1,"Papua New Guinea",2029,247960.553225524,3526.29591989823,244434.257305626
"IDU harm reduction measures",1.1,"Papua New Guinea",2030,288740.222294755,3596.64622821706,285143.576066538
"Pulmonary rehabilitation",1.2,"Papua New Guinea",2020,61809.2562022271,61809.2562022271,0
"Pulmonary rehabilitation",1.2,"Papua New Guinea",2021,63990.2290553617,63990.2290553617,0
"Pulmonary rehabilitation",1.2,"Papua New Guinea",2022,66175.6948361498,66175.6948361498,0
"Pulmonary rehabilitation",1.2,"Papua New Guinea",2023,95447.3873387055,68370.7468663715,27076.640472334
"Pulmonary rehabilitation",1.2,"Papua New Guinea",2024,126660.862727036,70576.2204154231,56084.6423116124
"Pulmonary rehabilitation",1.2,"Papua New Guinea",2025,159935.806491974,72798.8163976287,87136.9900943456
"Pulmonary rehabilitation",1.2,"Papua New Guinea",2026,196422.970190954,75420.0291959871,121002.940994967
"Pulmonary rehabilitation",1.2,"Papua New Guinea",2027,235480.279338554,78034.0888551729,157446.190483382
"Pulmonary rehabilitation",1.2,"Papua New Guinea",2028,277159.038007396,80636.129622901,196522.908384495
