"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Rwanda",2020,1508.21455789608,1508.21455789608,0
"IDU harm reduction measures",1.1,"Rwanda",2021,1548.75515310528,1548.75515310528,0
"IDU harm reduction measures",1.1,"Rwanda",2022,1592.03884467291,1592.03884467291,0
"IDU harm reduction measures",1.1,"Rwanda",2023,17805.4590008203,1637.28358628233,16168.175414538
"IDU harm reduction measures",1.1,"Rwanda",2024,34929.6611136608,1683.22535187506,33246.4357617857
"IDU harm reduction measures",1.1,"Rwanda",2025,52974.4095719077,1729.39844375534,51245.0111281523
"IDU harm reduction measures",1.1,"Rwanda",2026,72060.3918470143,1778.53527048131,70281.856576533
"IDU harm reduction measures",1.1,"Rwanda",2027,92110.9615147298,1827.32022658107,90283.6412881487
"IDU harm reduction measures",1.1,"Rwanda",2028,113148.032344515,1876.25471316156,111271.777631354
"IDU harm reduction measures",1.1,"Rwanda",2029,135240.9524591,1926.24037150472,133314.712087595
"IDU harm reduction measures",1.1,"Rwanda",2030,158447.829567303,1977.59943952644,156470.230127777
"Pulmonary rehabilitation",1.2,"Rwanda",2020,7873.15718005892,7873.15718005892,0
"Pulmonary rehabilitation",1.2,"Rwanda",2021,8181.62819920004,8181.62819920004,0
"Pulmonary rehabilitation",1.2,"Rwanda",2022,8508.76127144998,8508.76127144998,0
"Pulmonary rehabilitation",1.2,"Rwanda",2023,16122.66908866,8853.35032723447,7269.31876142554
"Pulmonary rehabilitation",1.2,"Rwanda",2024,24353.5779749258,9210.72477781972,15142.8531971061
"Pulmonary rehabilitation",1.2,"Rwanda",2025,33238.6919755828,9578.67384428302,23660.0181312998
"Pulmonary rehabilitation",1.2,"Rwanda",2026,42919.3732778149,9980.3138643288,32939.0594134861
"Pulmonary rehabilitation",1.2,"Rwanda",2027,53347.7073543145,10387.5634227971,42960.1439315173
"Pulmonary rehabilitation",1.2,"Rwanda",2028,64567.401249954,10803.6943449318,53763.7069050223
"Pulmonary rehabilitation",1.2,"Rwanda",2029,76652.3948207688,11235.3284454658,65417.066375303
"Pulmonary rehabilitation",1.2,"Rwanda",2030,89669.6957221798,11685.7987874371,77983.8969347427
"Depression chronic treatment",2.1,"Rwanda",2020,121615.38629281,121615.38629281,0
"Depression chronic treatment",2.1,"Rwanda",2021,125330.333861183,125330.333861183,0
