"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Senegal",2020,5946.1411134556,5946.1411134556,0
"IDU harm reduction measures",1.1,"Senegal",2021,6137.02033910307,6137.02033910307,0
"IDU harm reduction measures",1.1,"Senegal",2022,6328.8920783785,6328.8920783785,0
"IDU harm reduction measures",1.1,"Senegal",2023,70955.5197598325,6524.64549515702,64430.8742646755
"IDU harm reduction measures",1.1,"Senegal",2024,139615.242345399,6728.29094946158,132886.951395938
"IDU harm reduction measures",1.1,"Senegal",2025,212614.659300327,6941.94134291748,205672.717957409
"IDU harm reduction measures",1.1,"Senegal",2026,290050.755528389,7160.36723659969,282890.388291789
"IDU harm reduction measures",1.1,"Senegal",2027,372312.228482958,7388.17983484207,364924.048648116
"IDU harm reduction measures",1.1,"Senegal",2028,459661.580267696,7624.85417312263,452036.726094574
"IDU harm reduction measures",1.1,"Senegal",2029,552291.108136526,7869.16931290722,544421.938823619
"IDU harm reduction measures",1.1,"Senegal",2030,650394.692741183,8120.55432392018,642274.138417262
"Pulmonary rehabilitation",1.2,"Senegal",2020,33556.9582527031,33556.9582527031,0
"Pulmonary rehabilitation",1.2,"Senegal",2021,34795.3321446806,34795.3321446806,0
"Pulmonary rehabilitation",1.2,"Senegal",2022,36042.3053838695,36042.3053838695,0
"Pulmonary rehabilitation",1.2,"Senegal",2023,50287.1443332781,37310.8545453167,12976.2897879613
"Pulmonary rehabilitation",1.2,"Senegal",2024,65498.8030890114,38619.0057691089,26879.7973199025
"Pulmonary rehabilitation",1.2,"Senegal",2025,81763.7934104987,39976.8476792105,41786.9457312882
"Pulmonary rehabilitation",1.2,"Senegal",2026,99352.2276144796,41459.3215022771,57892.9061122025
"Pulmonary rehabilitation",1.2,"Senegal",2027,118226.073313482,42990.3943333209,75235.6789801614
"Pulmonary rehabilitation",1.2,"Senegal",2028,138476.403241837,44570.6930750667,93905.71016677
"Pulmonary rehabilitation",1.2,"Senegal",2029,160168.823109865,46196.3404665945,113972.482643271
"Pulmonary rehabilitation",1.2,"Senegal",2030,183366.726464284,47869.194077656,135497.532386628
"Depression chronic treatment",2.1,"Senegal",2020,0,0,0
"Depression chronic treatment",2.1,"Senegal",2021,0,0,0
"Depression chronic treatment",2.1,"Senegal",2022,0,0,0
"Depression chronic treatment",2.1,"Senegal",2023,0,0,0
"Depression chronic treatment",2.1,"Senegal",2024,0,0,0
"Depression chronic treatment",2.1,"Senegal",2025,0,0,0
"Depression chronic treatment",2.1,"Senegal",2026,0,0,0
"Depression chronic treatment",2.1,"Senegal",2027,0,0,0
"Depression chronic treatment",2.1,"Senegal",2028,0,0,0
"Depression chronic treatment",2.1,"Senegal",2029,0,0,0
"Depression chronic treatment",2.1,"Senegal",2030,0,0,0
"Bipolar disorder chronic treatment",2.11,"Senegal",2020,518749.082498557,518749.082498557,0
"Bipolar disorder chronic treatment",2.11,"Senegal",2021,535617.71913473,535617.71913473,0
"Bipolar disorder chronic treatment",2.11,"Senegal",2022,552786.789939483,552786.789939483,0
"Bipolar disorder chronic treatment",2.11,"Senegal",2023,2040867.46310319,570440.764002403,1470426.69910079
"Bipolar disorder chronic treatment",2.11,"Senegal",2024,3624422.41029948,588798.249584225,3035624.16071526
"Bipolar disorder chronic treatment",2.11,"Senegal",2025,5309746.85430313,607922.574515056,4701824.27978807
"Bipolar disorder chronic treatment",2.11,"Senegal",2026,7095326.56212502,627115.779688728,6468210.7824363
"Bipolar disorder chronic treatment",2.11,"Senegal",2027,8991634.93200882,647054.974717592,8344579.95729123
"Bipolar disorder chronic treatment",2.11,"Senegal",2028,11003397.6565749,667641.900672877,10335755.7559021
"Bipolar disorder chronic treatment",2.11,"Senegal",2029,13132745.9763503,688696.26760096,12444049.7087493
"Bipolar disorder chronic treatment",2.11,"Senegal",2030,15380495.6809024,710065.930676694,14670429.7502257
"Schizophrenia chronic treatment",2.12,"Senegal",2020,1266758.620546,1266758.620546,0
"Schizophrenia chronic treatment",2.12,"Senegal",2021,1309463.51113912,1309463.51113912,0
"Schizophrenia chronic treatment",2.12,"Senegal",2022,1352700.14629566,1352700.14629566,0
"Schizophrenia chronic treatment",2.12,"Senegal",2023,1781110.5796713,1396949.474252,384161.105419301
"Schizophrenia chronic treatment",2.12,"Senegal",2024,2236515.30402688,1442862.93383086,793652.370196024
"Schizophrenia chronic treatment",2.12,"Senegal",2025,2720954.81609804,1490745.55143678,1230209.26466125
"Schizophrenia chronic treatment",2.12,"Senegal",2026,3232918.77706756,1539037.13028236,1693881.6467852
"Schizophrenia chronic treatment",2.12,"Senegal",2027,3776619.75025195,1589303.70631332,2187316.04393864
"Schizophrenia chronic treatment",2.12,"Senegal",2028,4353649.29849299,1641471.15782253,2712178.14067046
"Schizophrenia chronic treatment",2.12,"Senegal",2029,4965124.50909409,1695334.10692104,3269790.40217305
"Schizophrenia chronic treatment",2.12,"Senegal",2030,5612280.99683845,1750800.08107841,3861480.91576004
