"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Sierra Leone",2020,2820.34728533284,2820.34728533284,0
"IDU harm reduction measures",1.1,"Sierra Leone",2021,2893.81113314043,2893.81113314043,0
"IDU harm reduction measures",1.1,"Sierra Leone",2022,2970.71361914421,2970.71361914421,0
"IDU harm reduction measures",1.1,"Sierra Leone",2023,33175.2151839263,3050.59449967139,30124.6206842549
"IDU harm reduction measures",1.1,"Sierra Leone",2024,65012.2288729491,3132.69211192957,61879.5367610195
"IDU harm reduction measures",1.1,"Sierra Leone",2025,98547.7960036112,3216.64696369812,95331.1490399131
"IDU harm reduction measures",1.1,"Sierra Leone",2026,133768.11381141,3300.49799108351,130467.615820327
"IDU harm reduction measures",1.1,"Sierra Leone",2027,170770.44404136,3386.05236438087,167384.391676979
"IDU harm reduction measures",1.1,"Sierra Leone",2028,209591.242392011,3472.93830681045,206118.3040852
"IDU harm reduction measures",1.1,"Sierra Leone",2029,250256.412872827,3560.85448153458,246695.558391292
"IDU harm reduction measures",1.1,"Sierra Leone",2030,292781.682726842,3649.53180066309,289132.150926179
"Pulmonary rehabilitation",1.2,"Sierra Leone",2020,5773.43263793967,5773.43263793967,0
"Pulmonary rehabilitation",1.2,"Sierra Leone",2021,5944.15435443122,5944.15435443122,0
"Pulmonary rehabilitation",1.2,"Sierra Leone",2022,6120.15172399224,6120.15172399224,0
"Pulmonary rehabilitation",1.2,"Sierra Leone",2023,8611.8815461891,6300.8129427908,2311.0686033983
"Pulmonary rehabilitation",1.2,"Sierra Leone",2024,11254.821535078,6484.84580077014,4769.97573430789
"Pulmonary rehabilitation",1.2,"Sierra Leone",2025,14056.7398127625,6671.46217948565,7385.27763327684
"Pulmonary rehabilitation",1.2,"Sierra Leone",2026,17086.4678605782,6884.23536516112,10202.2324954171
"Pulmonary rehabilitation",1.2,"Sierra Leone",2027,20310.8902863446,7099.6481972709,13211.2420890737
"Pulmonary rehabilitation",1.2,"Sierra Leone",2028,23738.6699000793,7318.3720519103,16420.297848169
"Pulmonary rehabilitation",1.2,"Sierra Leone",2029,27377.572398132,7541.19350266999,19836.378895462
"Pulmonary rehabilitation",1.2,"Sierra Leone",2030,31233.5369244365,7768.83817659155,23464.698747845
"Depression chronic treatment",2.1,"Sierra Leone",2020,111254.229332014,111254.229332014,0
"Depression chronic treatment",2.1,"Sierra Leone",2021,114200.202843915,114200.202843915,0
"Depression chronic treatment",2.1,"Sierra Leone",2022,117269.03494507,117269.03494507,0
"Depression chronic treatment",2.1,"Sierra Leone",2023,164617.67503831,120441.180238075,44176.4948002348
"Depression chronic treatment",2.1,"Sierra Leone",2024,214507.140087357,123682.342808744,90824.7972786132
"Depression chronic treatment",2.1,"Sierra Leone",2025,267021.776764125,126975.220977866,140046.555786259
"Depression chronic treatment",2.1,"Sierra Leone",2026,322334.888434377,130345.709297068,191989.179137308
"Depression chronic treatment",2.1,"Sierra Leone",2027,380479.254479241,133762.282169629,246716.972309612
"Depression chronic treatment",2.1,"Sierra Leone",2028,441549.000658321,137228.886777459,304320.113880862
"Depression chronic treatment",2.1,"Sierra Leone",2029,505649.955758517,140754.020358555,364895.935399962
"Depression chronic treatment",2.1,"Sierra Leone",2030,572828.574509588,144330.821508924,428497.753000665
"Bipolar disorder chronic treatment",2.11,"Sierra Leone",2020,119351.616587255,119351.616587255,0
"Bipolar disorder chronic treatment",2.11,"Sierra Leone",2021,122457.198969112,122457.198969112,0
"Bipolar disorder chronic treatment",2.11,"Sierra Leone",2022,125710.419156631,125710.419156631,0
"Bipolar disorder chronic treatment",2.11,"Sierra Leone",2023,461827.380162073,129084.895682695,332742.484479378
"Bipolar disorder chronic treatment",2.11,"Sierra Leone",2024,815990.995383841,132536.277679039,683454.717704802
"Bipolar disorder chronic treatment",2.11,"Sierra Leone",2025,1188793.26702818,136041.872048124,1052751.39498005
"Bipolar disorder chronic treatment",2.11,"Sierra Leone",2026,1579599.68833466,139492.470140106,1440107.21819455
"Bipolar disorder chronic treatment",2.11,"Sierra Leone",2027,1989594.98153605,142992.706837454,1846602.2746986
"Bipolar disorder chronic treatment",2.11,"Sierra Leone",2028,2419352.94085763,146545.553361331,2272807.3874963
"Bipolar disorder chronic treatment",2.11,"Sierra Leone",2029,2869597.94158356,150161.078475501,2719436.86310806
"Bipolar disorder chronic treatment",2.11,"Sierra Leone",2030,3340663.06019316,153827.070721261,3186835.9894719
"Schizophrenia chronic treatment",2.12,"Sierra Leone",2020,289510.078862863,289510.078862863,0
"Schizophrenia chronic treatment",2.12,"Sierra Leone",2021,297541.378616755,297541.378616755,0
"Schizophrenia chronic treatment",2.12,"Sierra Leone",2022,305972.623562358,305972.623562358,0
"Schizophrenia chronic treatment",2.12,"Sierra Leone",2023,401319.7761849,314760.60877247,86559.1674124294
"Schizophrenia chronic treatment",2.12,"Sierra Leone",2024,502046.254658872,323826.844110344,178219.410548528
"Schizophrenia chronic treatment",2.12,"Sierra Leone",2025,608360.137077166,333133.136887207,275227.000189959
"Schizophrenia chronic treatment",2.12,"Sierra Leone",2026,719849.700777437,342367.803171633,377481.897605804
"Schizophrenia chronic treatment",2.12,"Sierra Leone",2027,837214.5705294,351833.652585427,485380.917943973
"Schizophrenia chronic treatment",2.12,"Sierra Leone",2028,960667.0399768,361524.893151909,599142.146824891
"Schizophrenia chronic treatment",2.12,"Sierra Leone",2029,1090461.74928474,371452.946184457,719008.803100286
"Schizophrenia chronic treatment",2.12,"Sierra Leone",2030,1226807.40468384,381611.226880155,845196.177803683
"Epilepsy acute and chronic treatment",2.13,"Sierra Leone",2020,6809.08856553114,6809.08856553114,0
"Epilepsy acute and chronic treatment",2.13,"Sierra Leone",2021,6945.92119768299,6945.92119768299,0
"Epilepsy acute and chronic treatment",2.13,"Sierra Leone",2022,7083.97702135007,7083.97702135007,0
"Epilepsy acute and chronic treatment",2.13,"Sierra Leone",2023,30396.4084871018,7222.90894743012,23173.4995396716
"Epilepsy acute and chronic treatment",2.13,"Sierra Leone",2024,54614.6508424558,7362.3281024072,47252.3227400485
"Epilepsy acute and chronic treatment",2.13,"Sierra Leone",2025,79749.6789392577,7501.70104231535,72247.9778969423
"Epilepsy acute and chronic treatment",2.13,"Sierra Leone",2026,105853.585399099,7643.9073397952,98209.6780593036
"Epilepsy acute and chronic treatment",2.13,"Sierra Leone",2027,132902.317060147,7785.34142672727,125116.975633419
"Epilepsy acute and chronic treatment",2.13,"Sierra Leone",2028,160898.929367225,7926.09631888944,152972.833048336
"Epilepsy acute and chronic treatment",2.13,"Sierra Leone",2029,189846.033566521,8066.2974194121,181779.736147108
"Epilepsy acute and chronic treatment",2.13,"Sierra Leone",2030,219743.630375609,8206.01818711461,211537.612188495
"Asthma/COPD chronic treatment",2.14,"Sierra Leone",2020,1064112.32214537,1064112.32214537,0
"Asthma/COPD chronic treatment",2.14,"Sierra Leone",2021,1085347.88521466,1085347.88521466,0
"Asthma/COPD chronic treatment",2.14,"Sierra Leone",2022,1106972.29742082,1106972.29742082,0
"Asthma/COPD chronic treatment",2.14,"Sierra Leone",2023,1542927.92943932,1128870.64405881,414057.285380507
"Asthma/COPD chronic treatment",2.14,"Sierra Leone",2024,1995821.56314861,1150943.49543913,844878.067709475
"Asthma/COPD chronic treatment",2.14,"Sierra Leone",2025,2465425.61064982,1172862.01088559,1292563.59976423
"Asthma/COPD chronic treatment",2.14,"Sierra Leone",2026,2954414.77438901,1195643.25827327,1758771.51611574
