"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Somalia",2020,1363.71334051201,1363.71334051201,0
"IDU harm reduction measures",1.1,"Somalia",2021,1413.46024891837,1413.46024891837,0
"IDU harm reduction measures",1.1,"Somalia",2022,1466.18291669365,1466.18291669365,0
"IDU harm reduction measures",1.1,"Somalia",2023,16545.7027921288,1521.4439349084,15024.2588572204
"IDU harm reduction measures",1.1,"Somalia",2024,32756.8896579001,1578.60659636462,31178.2830615355
"IDU harm reduction measures",1.1,"Somalia",2025,50148.4541905992,1637.34112285904,48511.1130677401
"IDU harm reduction measures",1.1,"Somalia",2026,68715.3455484871,1696.27098069347,67019.0745677936
"IDU harm reduction measures",1.1,"Somalia",2027,88546.2869629068,1756.9353843502,86789.3515785566
"IDU harm reduction measures",1.1,"Somalia",2028,109685.050626577,1819.10469384829,107865.945932729
"IDU harm reduction measures",1.1,"Somalia",2029,132175.573055895,1882.67692507186,130292.896130823
"IDU harm reduction measures",1.1,"Somalia",2030,156063.476352741,1947.62490334367,154115.851449397
"Pulmonary rehabilitation",1.2,"Somalia",2020,6846.51982063408,6846.51982063408,0
"Pulmonary rehabilitation",1.2,"Somalia",2021,7045.86707480403,7045.86707480403,0
"Pulmonary rehabilitation",1.2,"Somalia",2022,7256.60832107516,7256.60832107516,0
"Pulmonary rehabilitation",1.2,"Somalia",2023,9372.75181388187,7478.11715538226,1894.63465849962
"Pulmonary rehabilitation",1.2,"Somalia",2024,11617.9825744984,7709.20726808159,3908.77530641681
"Pulmonary rehabilitation",1.2,"Somalia",2025,14002.726891622,7949.22696843111,6053.49992319093
"Pulmonary rehabilitation",1.2,"Somalia",2026,16554.1612415015,8205.14582745891,8349.01541404255
"Pulmonary rehabilitation",1.2,"Somalia",2027,19279.8536825119,8471.80103720577,10808.0526453061
"Pulmonary rehabilitation",1.2,"Somalia",2028,22192.5665820882,8748.06931832421,13444.497263764
"Pulmonary rehabilitation",1.2,"Somalia",2029,25303.5210303968,9032.97946752059,16270.5415628762
"Pulmonary rehabilitation",1.2,"Somalia",2030,28622.1561679045,9325.93095059594,19296.2252173085
"Depression chronic treatment",2.1,"Somalia",2020,0,0,0
"Depression chronic treatment",2.1,"Somalia",2021,0,0,0
"Depression chronic treatment",2.1,"Somalia",2022,0,0,0
"Depression chronic treatment",2.1,"Somalia",2023,0,0,0
"Depression chronic treatment",2.1,"Somalia",2024,0,0,0
"Depression chronic treatment",2.1,"Somalia",2025,0,0,0
"Depression chronic treatment",2.1,"Somalia",2026,0,0,0
"Depression chronic treatment",2.1,"Somalia",2027,0,0,0
"Depression chronic treatment",2.1,"Somalia",2028,0,0,0
"Depression chronic treatment",2.1,"Somalia",2029,0,0,0
"Depression chronic treatment",2.1,"Somalia",2030,0,0,0
"Bipolar disorder chronic treatment",2.11,"Somalia",2020,184641.228416144,184641.228416144,0
"Bipolar disorder chronic treatment",2.11,"Somalia",2021,190537.727577916,190537.727577916,0
"Bipolar disorder chronic treatment",2.11,"Somalia",2022,196791.862916859,196791.862916859,0
"Bipolar disorder chronic treatment",2.11,"Somalia",2023,727524.171199082,203349.532270943,524174.638928139
"Bipolar disorder chronic treatment",2.11,"Somalia",2024,1293456.52739734,210126.451546754,1083330.07585058
"Bipolar disorder chronic treatment",2.11,"Somalia",2025,1896070.96170993,217084.220118516,1678986.74159141
"Bipolar disorder chronic treatment",2.11,"Somalia",2026,2533871.60183383,223949.625332894,2309921.97650094
"Bipolar disorder chronic treatment",2.11,"Somalia",2027,3210980.63111313,231052.813385285,2979927.81772784
"Bipolar disorder chronic treatment",2.11,"Somalia",2028,3929640.7949725,238400.982386108,3691239.81258639
"Bipolar disorder chronic treatment",2.11,"Somalia",2029,4692652.26262036,246026.136802609,4446626.12581776
"Bipolar disorder chronic treatment",2.11,"Somalia",2030,5501047.82697878,253863.778636872,5247184.04834191
"Schizophrenia chronic treatment",2.12,"Somalia",2020,352393.42524223,352393.42524223,0
"Schizophrenia chronic treatment",2.12,"Somalia",2021,364023.877109849,364023.877109849,0
"Schizophrenia chronic treatment",2.12,"Somalia",2022,376534.562571904,376534.562571904,0
"Schizophrenia chronic treatment",2.12,"Somalia",2023,497035.832719037,389832.02566199,107203.807057047
"Schizophrenia chronic treatment",2.12,"Somalia",2024,625864.578535337,403769.584424253,222094.994111084
"Schizophrenia chronic treatment",2.12,"Somalia",2025,763455.574919927,418274.148947395,345181.425972532
"Schizophrenia chronic treatment",2.12,"Somalia",2026,909422.407568588,432913.372928374,476509.034640214
"Schizophrenia chronic treatment",2.12,"Somalia",2027,1065185.22157701,448211.752045068,616973.469531937
"Schizophrenia chronic treatment",2.12,"Somalia",2028,1231265.53222888,464135.109777104,767130.42245178
"Schizophrenia chronic treatment",2.12,"Somalia",2029,1408258.93927571,480687.185622206,927571.753653502
"Schizophrenia chronic treatment",2.12,"Somalia",2030,1596695.42785491,497850.70446321,1098844.7233917
"Epilepsy acute and chronic treatment",2.13,"Somalia",2020,7532.93186051822,7532.93186051822,0
"Epilepsy acute and chronic treatment",2.13,"Somalia",2021,7748.27329800902,7748.27329800902,0
"Epilepsy acute and chronic treatment",2.13,"Somalia",2022,7971.37122975092,7971.37122975092,0
"Epilepsy acute and chronic treatment",2.13,"Somalia",2023,34513.4777891108,8201.22244493722,26312.2553441736
"Epilepsy acute and chronic treatment",2.13,"Somalia",2024,62574.144971149,8436.69417824692,54137.4507929021
"Epilepsy acute and chronic treatment",2.13,"Somalia",2025,92184.9001972892,8675.1207914983,83509.7794057909
"Epilepsy acute and chronic treatment",2.13,"Somalia",2026,123483.841935121,8923.67798457191,114560.163950549
"Epilepsy acute and chronic treatment",2.13,"Somalia",2027,156492.828807246,9177.13843426784,147315.690372979
"Epilepsy acute and chronic treatment",2.13,"Somalia",2028,191269.046548287,9435.24668955602,181833.799858731
"Epilepsy acute and chronic treatment",2.13,"Somalia",2029,227872.985093494,9698.05434826827,218174.930745226
"Epilepsy acute and chronic treatment",2.13,"Somalia",2030,266322.794888643,9964.12749918693,256358.667389456
"Asthma/COPD chronic treatment",2.14,"Somalia",2020,4018321.0410713,4018321.0410713,0
"Asthma/COPD chronic treatment",2.14,"Somalia",2021,4126020.91228469,4126020.91228469,0
"Asthma/COPD chronic treatment",2.14,"Somalia",2022,4238635.0053542,4238635.0053542,0
"Asthma/COPD chronic treatment",2.14,"Somalia",2023,5458928.61191759,4355445.28580457,1103483.32611303
"Asthma/COPD chronic treatment",2.14,"Somalia",2024,6744620.90475861,4476205.69101269,2268415.21374592
"Asthma/COPD chronic treatment",2.14,"Somalia",2025,8097774.80020032,4600118.90963673,3497655.89056358
"Asthma/COPD chronic treatment",2.14,"Somalia",2026,9524586.26086432,4728741.41649098,4795844.84437335
"Asthma/COPD chronic treatment",2.14,"Somalia",2027,11025425.6350643,4860320.05432372,6165105.58074053
