"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"South Sudan",2020,1498.08977837922,1498.08977837922,0
"IDU harm reduction measures",1.1,"South Sudan",2021,1531.52663730316,1531.52663730316,0
"IDU harm reduction measures",1.1,"South Sudan",2022,1572.17544954718,1572.17544954718,0
"IDU harm reduction measures",1.1,"South Sudan",2023,17594.8889012993,1617.92081851028,15976.9680827891
"IDU harm reduction measures",1.1,"South Sudan",2024,34569.501573942,1665.9571717221,32903.54440222
"IDU harm reduction measures",1.1,"South Sudan",2025,52508.527830395,1714.40180962985,50794.1260207651
"IDU harm reduction measures",1.1,"South Sudan",2026,71328.7929044433,1760.81329166795,69567.9796127754
"IDU harm reduction measures",1.1,"South Sudan",2027,91131.2493074956,1808.30223038483,89322.9470771108
"IDU harm reduction measures",1.1,"South Sudan",2028,111955.991830431,1856.92141501163,110099.07041542
"IDU harm reduction measures",1.1,"South Sudan",2029,133854.140433556,1906.85008074212,131947.290352814
"IDU harm reduction measures",1.1,"South Sudan",2030,156880.205766749,1958.22570588348,154921.980060866
"Pulmonary rehabilitation",1.2,"South Sudan",2020,11704.3862245574,11704.3862245574,0
"Pulmonary rehabilitation",1.2,"South Sudan",2021,11986.0279734043,11986.0279734043,0
"Pulmonary rehabilitation",1.2,"South Sudan",2022,12322.1052670715,12322.1052670715,0
"Pulmonary rehabilitation",1.2,"South Sudan",2023,16142.5460307653,12695.5319523093,3447.01407845596
"Pulmonary rehabilitation",1.2,"South Sudan",2024,20193.737306226,13083.9982012893,7109.73910493665
"Pulmonary rehabilitation",1.2,"South Sudan",2025,24468.455542617,13473.135547039,10995.3199955781
"Pulmonary rehabilitation",1.2,"South Sudan",2026,29014.3655779958,13880.839892594,15133.5256854019
"Pulmonary rehabilitation",1.2,"South Sudan",2027,33830.6453304075,14295.9793522997,19534.6659781078
"Pulmonary rehabilitation",1.2,"South Sudan",2028,38937.2426670865,14719.9870126998,24217.2556543868
"Pulmonary rehabilitation",1.2,"South Sudan",2029,44356.4149016119,15155.1760178315,29201.2388837804
"Pulmonary rehabilitation",1.2,"South Sudan",2030,50108.408665622,15603.4822144352,34504.9264511868
"Depression chronic treatment",2.1,"South Sudan",2020,0,0,0
"Depression chronic treatment",2.1,"South Sudan",2021,0,0,0
"Depression chronic treatment",2.1,"South Sudan",2022,0,0,0
"Depression chronic treatment",2.1,"South Sudan",2023,0,0,0
"Depression chronic treatment",2.1,"South Sudan",2024,0,0,0
"Depression chronic treatment",2.1,"South Sudan",2025,0,0,0
"Depression chronic treatment",2.1,"South Sudan",2026,0,0,0
"Depression chronic treatment",2.1,"South Sudan",2027,0,0,0
"Depression chronic treatment",2.1,"South Sudan",2028,0,0,0
"Depression chronic treatment",2.1,"South Sudan",2029,0,0,0
"Depression chronic treatment",2.1,"South Sudan",2030,0,0,0
"Bipolar disorder chronic treatment",2.11,"South Sudan",2020,225799.123163329,225799.123163329,0
"Bipolar disorder chronic treatment",2.11,"South Sudan",2021,230551.148926424,230551.148926424,0
"Bipolar disorder chronic treatment",2.11,"South Sudan",2022,236431.871650879,236431.871650879,0
"Bipolar disorder chronic treatment",2.11,"South Sudan",2023,869757.244921812,243104.952310535,626652.292611277
"Bipolar disorder chronic treatment",2.11,"South Sudan",2024,1539643.2639038,250119.493787203,1289523.7701166
"Bipolar disorder chronic treatment",2.11,"South Sudan",2025,2246211.33910438,257171.806619579,1989039.5324848
"Bipolar disorder chronic treatment",2.11,"South Sudan",2026,2985582.69434017,263875.361692263,2721707.33264791
"Bipolar disorder chronic treatment",2.11,"South Sudan",2027,3762380.13579004,270739.353354489,3491640.78243555
"Bipolar disorder chronic treatment",2.11,"South Sudan",2028,4578297.63957174,277774.568885617,4300523.07068612
"Bipolar disorder chronic treatment",2.11,"South Sudan",2029,5435536.01556007,285012.152348944,5150523.86321113
"Bipolar disorder chronic treatment",2.11,"South Sudan",2030,6336013.98507257,292455.765154209,6043558.21991836
"Schizophrenia chronic treatment",2.12,"South Sudan",2020,524685.317484221,524685.317484221,0
"Schizophrenia chronic treatment",2.12,"South Sudan",2021,536654.377557693,536654.377557693,0
"Schizophrenia chronic treatment",2.12,"South Sudan",2022,551314.26318158,551314.26318158,0
"Schizophrenia chronic treatment",2.12,"South Sudan",2023,724080.581006508,567906.33804432,156174.242962188
"Schizophrenia chronic treatment",2.12,"South Sudan",2024,907430.885749106,585416.802444984,322014.083304122
"Schizophrenia chronic treatment",2.12,"South Sudan",2025,1100935.48792397,603167.159070661,497768.328853311
"Schizophrenia chronic treatment",2.12,"South Sudan",2026,1302802.12083347,620177.849646398,682624.271187071
"Schizophrenia chronic treatment",2.12,"South Sudan",2027,1515429.4647174,637683.520483895,877745.9442335
"Schizophrenia chronic treatment",2.12,"South Sudan",2028,1739413.31831222,655724.168205629,1083689.15010659
"Schizophrenia chronic treatment",2.12,"South Sudan",2029,1975544.73068064,674391.374555608,1301153.35612503
"Schizophrenia chronic treatment",2.12,"South Sudan",2030,2224622.65521593,693748.645517039,1530874.00969889
"Epilepsy acute and chronic treatment",2.13,"South Sudan",2020,12831.3739758133,12831.3739758133,0
"Epilepsy acute and chronic treatment",2.13,"South Sudan",2021,13049.7742939425,13049.7742939425,0
"Epilepsy acute and chronic treatment",2.13,"South Sudan",2022,13318.6858657777,13318.6858657777,0
"Epilepsy acute and chronic treatment",2.13,"South Sudan",2023,57320.4044887229,13620.6901755381,43699.7143131848
"Epilepsy acute and chronic treatment",2.13,"South Sudan",2024,103331.638522336,13931.6032979072,89400.0352244292
"Epilepsy acute and chronic treatment",2.13,"South Sudan",2025,151266.200684485,14234.0173044038,137032.183380082
"Epilepsy acute and chronic treatment",2.13,"South Sudan",2026,201248.234646592,14541.2237323912,186707.010914201
"Epilepsy acute and chronic treatment",2.13,"South Sudan",2027,253189.103350275,14843.7844062211,238345.318944054
"Epilepsy acute and chronic treatment",2.13,"South Sudan",2028,307103.444741436,15143.2920738376,291960.152667599
"Epilepsy acute and chronic treatment",2.13,"South Sudan",2029,363081.547528679,15443.8641838461,347637.683344833
"Epilepsy acute and chronic treatment",2.13,"South Sudan",2030,421204.229459891,15747.6351385308,405456.59432136
"Asthma/COPD chronic treatment",2.14,"South Sudan",2020,2738942.20735634,2738942.20735634,0
"Asthma/COPD chronic treatment",2.14,"South Sudan",2021,2780665.71064662,2780665.71064662,0
"Asthma/COPD chronic treatment",2.14,"South Sudan",2022,2833646.16895504,2833646.16895504,0
"Asthma/COPD chronic treatment",2.14,"South Sudan",2023,3678655.38402185,2893130.17168271,785525.212339133
"Asthma/COPD chronic treatment",2.14,"South Sudan",2024,4559050.9855564,2954469.29393124,1604581.69162516
"Asthma/COPD chronic treatment",2.14,"South Sudan",2025,5470940.42108589,3014513.12819236,2456427.29289353
"Asthma/COPD chronic treatment",2.14,"South Sudan",2026,6417847.21646429,3075241.16631162,3342606.05015266
"Asthma/COPD chronic treatment",2.14,"South Sudan",2027,7397927.29963767,3135428.46018728,4262498.83945039
"Asthma/COPD chronic treatment",2.14,"South Sudan",2028,8411847.15680697,3195308.10621688,5216539.0505901
"Asthma/COPD chronic treatment",2.14,"South Sudan",2029,9462997.23090521,3255982.84898241,6207014.38192279
"Asthma/COPD chronic treatment",2.14,"South Sudan",2030,10554892.8037699,3318250.62268381,7236642.18108606
"Diabetes screening and treatment",2.3,"South Sudan",2020,6351027.85075397,6351027.85075397,0
"Diabetes screening and treatment",2.3,"South Sudan",2021,6493647.30253994,6493647.30253994,0
"Diabetes screening and treatment",2.3,"South Sudan",2022,6666749.38248862,6666749.38248862,0
"Diabetes screening and treatment",2.3,"South Sudan",2023,8724321.53616551,6861365.15352149,1862956.38264402
"Diabetes screening and treatment",2.3,"South Sudan",2024,10904595.1281436,7065582.64524685,3839012.48289675
"Diabetes screening and treatment",2.3,"South Sudan",2025,13204788.0445447,7271868.952128,5932919.09241665
"Diabetes screening and treatment",2.3,"South Sudan",2026,15627513.6922403,7478590.89321898,8148922.79902129
"Diabetes screening and treatment",2.3,"South Sudan",2027,18188341.296238,7690235.95946318,10498105.3367749
"Diabetes screening and treatment",2.3,"South Sudan",2028,20900060.1915279,7908375.90410851,12991684.2874194
"Diabetes screening and treatment",2.3,"South Sudan",2029,23778036.8046544,8135074.12494046,15642962.679714
"Diabetes screening and treatment",2.3,"South Sudan",2030,26837317.8624912,8371909.94910633,18465407.9133849
"CVD primary prevention",2.4,"South Sudan",2020,2910082.44866612,2910082.44866612,0
"CVD primary prevention",2.4,"South Sudan",2021,2980666.70194115,2980666.70194115,0
"CVD primary prevention",2.4,"South Sudan",2022,3066419.24243905,3066419.24243905,0
"CVD primary prevention",2.4,"South Sudan",2023,4022142.57127611,3163270.4923412,858872.078934907
"CVD primary prevention",2.4,"South Sudan",2024,5039712.93572556,3265809.89504423,1773903.04068133
"CVD primary prevention",2.4,"South Sudan",2025,6117835.43826399,3370396.49803227,2747438.94023172
"CVD primary prevention",2.4,"South Sudan",2026,7251496.69480659,3473373.14417494,3778123.55063165
"CVD primary prevention",2.4,"South Sudan",2027,8452506.13278175,3579866.63908383,4872639.49369792
"CVD primary prevention",2.4,"South Sudan",2028,9724521.50463265,3689778.26291308,6034743.24171957
"CVD primary prevention",2.4,"South Sudan",2029,11071035.2967646,3803022.25114968,7268013.04561493
"CVD primary prevention",2.4,"South Sudan",2030,12495759.9707541,3919672.52359992,8576087.4471542
"Aspirin for suspected ACS",2.5,"South Sudan",2020,1082.75633198236,1082.75633198236,0
"Aspirin for suspected ACS",2.5,"South Sudan",2021,1106.19222429945,1106.19222429945,0
"Aspirin for suspected ACS",2.5,"South Sudan",2022,1134.76666492402,1134.76666492402,0
"Aspirin for suspected ACS",2.5,"South Sudan",2023,1484.19449777743,1167.26559949489,316.928898282542
"Aspirin for suspected ACS",2.5,"South Sudan",2024,1855.28487241993,1202.18427738101,653.100595038918
"Aspirin for suspected ACS",2.5,"South Sudan",2025,2248.62213080301,1238.53951140381,1010.0826193992
"Aspirin for suspected ACS",2.5,"South Sudan",2026,2663.74685035644,1275.28306256446,1388.46378779199
"Aspirin for suspected ACS",2.5,"South Sudan",2027,3105.51905443114,1314.0850314823,1791.43402294884
