"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Sri Lanka",2020,15533.3703681598,15533.3703681598,0
"IDU harm reduction measures",1.1,"Sri Lanka",2021,15561.9862023279,15561.9862023279,0
"IDU harm reduction measures",1.1,"Sri Lanka",2022,15598.4823158133,15598.4823158133,0
"IDU harm reduction measures",1.1,"Sri Lanka",2023,170090.231140642,15640.4810244269,154449.750116215
"IDU harm reduction measures",1.1,"Sri Lanka",2024,325443.346561333,15683.1662515462,309760.180309787
"IDU harm reduction measures",1.1,"Sri Lanka",2025,481663.059791962,15724.7973427111,465938.262449251
"IDU harm reduction measures",1.1,"Sri Lanka",2026,639718.627684923,15788.7426222402,623929.885062683
"IDU harm reduction measures",1.1,"Sri Lanka",2027,798797.059749123,15844.492882759,782952.566866364
"IDU harm reduction measures",1.1,"Sri Lanka",2028,958817.01251498,15893.6219553566,942923.390559623
"IDU harm reduction measures",1.1,"Sri Lanka",2029,1119810.20300065,15938.4400386281,1103871.76296202
"IDU harm reduction measures",1.1,"Sri Lanka",2030,1281777.38483222,15979.7801550978,1265797.60467713
"Pulmonary rehabilitation",1.2,"Sri Lanka",2020,634824.536552024,634824.536552024,0
"Pulmonary rehabilitation",1.2,"Sri Lanka",2021,652517.495720667,652517.495720667,0
"Pulmonary rehabilitation",1.2,"Sri Lanka",2022,670029.218906755,670029.218906755,0
"Pulmonary rehabilitation",1.2,"Sri Lanka",2023,793570.228501814,687381.122599823,106189.105901992
"Pulmonary rehabilitation",1.2,"Sri Lanka",2024,922644.676761686,704533.4493993,218111.227362386
"Pulmonary rehabilitation",1.2,"Sri Lanka",2025,1057517.72860261,721454.371308598,336063.357294008
"Pulmonary rehabilitation",1.2,"Sri Lanka",2026,1202216.10614209,740348.271289442,461867.834852653
"Pulmonary rehabilitation",1.2,"Sri Lanka",2027,1352672.94589354,758084.705436244,594588.240457301
"Pulmonary rehabilitation",1.2,"Sri Lanka",2028,1509268.19919468,774844.195240467,734424.00395421
"Pulmonary rehabilitation",1.2,"Sri Lanka",2029,1672807.27262565,790972.690060168,881834.582565483
"Pulmonary rehabilitation",1.2,"Sri Lanka",2030,1843835.20979298,806627.088936136,1037208.12085685
"Depression chronic treatment",2.1,"Sri Lanka",2020,0,0,0
"Depression chronic treatment",2.1,"Sri Lanka",2021,0,0,0
"Depression chronic treatment",2.1,"Sri Lanka",2022,0,0,0
"Depression chronic treatment",2.1,"Sri Lanka",2023,0,0,0
"Depression chronic treatment",2.1,"Sri Lanka",2024,0,0,0
"Depression chronic treatment",2.1,"Sri Lanka",2025,0,0,0
"Depression chronic treatment",2.1,"Sri Lanka",2026,0,0,0
"Depression chronic treatment",2.1,"Sri Lanka",2027,0,0,0
"Depression chronic treatment",2.1,"Sri Lanka",2028,0,0,0
"Depression chronic treatment",2.1,"Sri Lanka",2029,0,0,0
"Depression chronic treatment",2.1,"Sri Lanka",2030,0,0,0
"Bipolar disorder chronic treatment",2.11,"Sri Lanka",2020,1197733.35464276,1197733.35464276,0
"Bipolar disorder chronic treatment",2.11,"Sri Lanka",2021,1205213.25729654,1205213.25729654,0
"Bipolar disorder chronic treatment",2.11,"Sri Lanka",2022,1212957.15922023,1212957.15922023,0
"Bipolar disorder chronic treatment",2.11,"Sri Lanka",2023,4367397.85079039,1220726.87803017,3146670.97276021
"Bipolar disorder chronic treatment",2.11,"Sri Lanka",2024,7560170.36177269,1228110.58307303,6332059.77869966
"Bipolar disorder chronic treatment",2.11,"Sri Lanka",2025,10787699.0992202,1234894.1769254,9552804.92229485
"Bipolar disorder chronic treatment",2.11,"Sri Lanka",2026,14049060.9070972,1241251.74770742,12807809.1593898
"Bipolar disorder chronic treatment",2.11,"Sri Lanka",2027,17336039.4249205,1246684.33809454,16089355.0868259
"Bipolar disorder chronic treatment",2.11,"Sri Lanka",2028,20647575.233018,1251434.28140883,19396140.9516091
"Bipolar disorder chronic treatment",2.11,"Sri Lanka",2029,23986781.2925229,1255834.45908359,22730946.8334393
"Bipolar disorder chronic treatment",2.11,"Sri Lanka",2030,27355746.8738407,1260019.10922972,26095727.764611
"Schizophrenia chronic treatment",2.12,"Sri Lanka",2020,11581557.2001424,11581557.2001424,0
"Schizophrenia chronic treatment",2.12,"Sri Lanka",2021,11620472.8808185,11620472.8808185,0
"Schizophrenia chronic treatment",2.12,"Sri Lanka",2022,11660144.5816633,11660144.5816633,0
"Schizophrenia chronic treatment",2.12,"Sri Lanka",2023,13160869.2015763,11698550.4014011,1462318.80017514
"Schizophrenia chronic treatment",2.12,"Sri Lanka",2024,14666564.1338531,11732496.6120188,2934067.52183437
"Schizophrenia chronic treatment",2.12,"Sri Lanka",2025,16174636.5236271,11760742.3528698,4413894.17075727
"Schizophrenia chronic treatment",2.12,"Sri Lanka",2026,17703693.9359152,11796543.6684726,5907150.26744258
"Schizophrenia chronic treatment",2.12,"Sri Lanka",2027,19233235.7686909,11825025.7398858,7408210.02880508
"Schizophrenia chronic treatment",2.12,"Sri Lanka",2028,20764053.503283,11847772.7779538,8916280.72532919
"Schizophrenia chronic treatment",2.12,"Sri Lanka",2029,22299557.9863887,11867401.7976414,10432156.1887473
"Schizophrenia chronic treatment",2.12,"Sri Lanka",2030,23840991.7034842,11884856.9089291,11956134.7945551
"Epilepsy acute and chronic treatment",2.13,"Sri Lanka",2020,1872808.47912662,1872808.47912662,0
"Epilepsy acute and chronic treatment",2.13,"Sri Lanka",2021,1890020.08192047,1890020.08192047,0
"Epilepsy acute and chronic treatment",2.13,"Sri Lanka",2022,1906904.75559575,1906904.75559575,0
