"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Sudan",2020,13032.8864043059,13032.8864043059,0
"IDU harm reduction measures",1.1,"Sudan",2021,13441.3913479482,13441.3913479482,0
"IDU harm reduction measures",1.1,"Sudan",2022,13863.1792117641,13863.1792117641,0
"IDU harm reduction measures",1.1,"Sudan",2023,155463.263295266,14295.472486921,141167.790808345
"IDU harm reduction measures",1.1,"Sudan",2024,305794.45675234,14734.7976134889,291059.659138851
"IDU harm reduction measures",1.1,"Sudan",2025,465048.857315903,15178.6345605381,449870.222755365
"IDU harm reduction measures",1.1,"Sudan",2026,633078.033067702,15618.6218282293,617459.411239473
"IDU harm reduction measures",1.1,"Sudan",2027,810188.215084784,16062.1304270369,794126.084657747
"IDU harm reduction measures",1.1,"Sudan",2028,996480.112164446,16508.3907806847,979971.721383762
"IDU harm reduction measures",1.1,"Sudan",2029,1192064.75077224,16957.3027125552,1175107.44805969
"IDU harm reduction measures",1.1,"Sudan",2030,1397041.72960968,17408.7621559759,1379632.96745371
"Pulmonary rehabilitation",1.2,"Sudan",2020,49724.924536961,49724.924536961,0
"Pulmonary rehabilitation",1.2,"Sudan",2021,51452.2742439791,51452.2742439791,0
"Pulmonary rehabilitation",1.2,"Sudan",2022,53233.9997061055,53233.9997061055,0
"Pulmonary rehabilitation",1.2,"Sudan",2023,72261.5187390879,55066.6674993257,17194.8512397623
"Pulmonary rehabilitation",1.2,"Sudan",2024,92666.0320954787,56945.8855896082,35720.1465058705
"Pulmonary rehabilitation",1.2,"Sudan",2025,114561.79586465,58871.1099385571,55690.6859260934
"Pulmonary rehabilitation",1.2,"Sudan",2026,138335.872020288,60951.9551721976,77383.9168480902
"Pulmonary rehabilitation",1.2,"Sudan",2027,163896.466001663,63068.9294741232,100827.536527539
"Pulmonary rehabilitation",1.2,"Sudan",2028,191340.378372519,65223.7449066476,126116.633465871
"Pulmonary rehabilitation",1.2,"Sudan",2029,220759.310420196,67422.4496109076,153336.860809289
"Pulmonary rehabilitation",1.2,"Sudan",2030,252222.717475708,69670.4301054812,182552.287370227
"Depression chronic treatment",2.1,"Sudan",2020,888044.586937361,888044.586937361,0
"Depression chronic treatment",2.1,"Sudan",2021,913955.326914293,913955.326914293,0
"Depression chronic treatment",2.1,"Sudan",2022,940707.731223929,940707.731223929,0
"Depression chronic treatment",2.1,"Sudan",2023,1270522.03209322,968197.396244318,302324.635848902
"Depression chronic treatment",2.1,"Sudan",2024,1618937.6717734,996290.596317278,622647.075456118
"Depression chronic treatment",2.1,"Sudan",2025,1986503.66657304,1024869.95137876,961633.715194282
"Depression chronic treatment",2.1,"Sudan",2026,2372392.73897171,1053268.27722993,1319124.46174177
"Depression chronic treatment",2.1,"Sudan",2027,2778364.92764443,1082170.03285702,1696194.89478741
"Depression chronic treatment",2.1,"Sudan",2028,3205076.49094866,1111585.57836835,2093490.91258031
"Depression chronic treatment",2.1,"Sudan",2029,3653308.18219275,1141569.19087152,2511738.99132124
"Depression chronic treatment",2.1,"Sudan",2030,4123170.08021192,1171973.54831626,2951196.53189566
"Bipolar disorder chronic treatment",2.11,"Sudan",2020,1092552.30457019,1092552.30457019,0
"Bipolar disorder chronic treatment",2.11,"Sudan",2021,1124370.48502898,1124370.48502898,0
"Bipolar disorder chronic treatment",2.11,"Sudan",2022,1157173.42586553,1157173.42586553,0
"Bipolar disorder chronic treatment",2.11,"Sudan",2023,4260380.89673151,1190814.67935083,3069566.21738068
"Bipolar disorder chronic treatment",2.11,"Sudan",2024,7542629.50573601,1225106.45252824,6317523.05320777
"Bipolar disorder chronic treatment",2.11,"Sudan",2025,11009587.4903993,1259914.94721455,9749672.54318477
"Bipolar disorder chronic treatment",2.11,"Sudan",2026,14655768.7985745,1294256.86387965,13361511.9346948
"Bipolar disorder chronic treatment",2.11,"Sudan",2027,18492592.4943649,1329110.48756305,17163482.0068018
"Bipolar disorder chronic treatment",2.11,"Sudan",2028,22525554.7459461,1364491.63292818,21161063.1130179
"Bipolar disorder chronic treatment",2.11,"Sudan",2029,26761244.3226425,1400472.81226569,25360771.5103768
"Bipolar disorder chronic treatment",2.11,"Sudan",2030,31201748.4736872,1436890.73403246,29764857.7396547
"Schizophrenia chronic treatment",2.12,"Sudan",2020,3404815.7905789,3404815.7905789,0
"Schizophrenia chronic treatment",2.12,"Sudan",2021,3510472.35735773,3510472.35735773,0
"Schizophrenia chronic treatment",2.12,"Sudan",2022,3620918.66508323,3620918.66508323,0
"Schizophrenia chronic treatment",2.12,"Sudan",2023,4202663.52458842,3735700.91074526,466962.613843158
"Schizophrenia chronic treatment",2.12,"Sudan",2024,4818925.04383949,3854213.03151423,964712.012325258
"Schizophrenia chronic treatment",2.12,"Sudan",2025,5470706.57615408,3976000.62339584,1494705.95275824
"Schizophrenia chronic treatment",2.12,"Sudan",2026,6153619.75098427,4097183.34065381,2056436.41033047
"Schizophrenia chronic treatment",2.12,"Sudan",2027,6873779.28828761,4221554.56877015,2652224.71951746
"Schizophrenia chronic treatment",2.12,"Sudan",2028,7632276.32337426,4348965.16109747,3283311.1622768
"Schizophrenia chronic treatment",2.12,"Sudan",2029,8430353.21958821,4479394.29453783,3950958.92505038
"Schizophrenia chronic treatment",2.12,"Sudan",2030,9269004.15441787,4612710.38020618,4656293.77421169
"Epilepsy acute and chronic treatment",2.13,"Sudan",2020,511881.954657546,511881.954657546,0
"Epilepsy acute and chronic treatment",2.13,"Sudan",2021,523296.745737838,523296.745737838,0
"Epilepsy acute and chronic treatment",2.13,"Sudan",2022,534866.631870577,534866.631870577,0
"Epilepsy acute and chronic treatment",2.13,"Sudan",2023,587568.232283902,546575.099798979,40993.1324849232
"Epilepsy acute and chronic treatment",2.13,"Sudan",2024,642302.981475326,558405.238348462,83897.7431268633
"Epilepsy acute and chronic treatment",2.13,"Sudan",2025,699090.648381218,570339.68416456,128750.964216657
"Epilepsy acute and chronic treatment",2.13,"Sudan",2026,758224.870969398,582565.025197352,175659.845772046
"Epilepsy acute and chronic treatment",2.13,"Sudan",2027,819473.554860062,594855.280573409,224618.274286653
"Epilepsy acute and chronic treatment",2.13,"Sudan",2028,882886.216679348,607227.026346272,275659.190333076
"Epilepsy acute and chronic treatment",2.13,"Sudan",2029,948520.230872367,619702.555476864,328817.675395503
"Epilepsy acute and chronic treatment",2.13,"Sudan",2030,1016443.33003375,632310.867424482,384132.462609273
"Asthma/COPD chronic treatment",2.14,"Sudan",2020,9688171.69372757,9688171.69372757,0
"Asthma/COPD chronic treatment",2.14,"Sudan",2021,9919861.57181178,9919861.57181178,0
"Asthma/COPD chronic treatment",2.14,"Sudan",2022,10156731.2849342,10156731.2849342,0
