"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Swaziland",2020,1977.81569309716,1977.81569309716,0
"IDU harm reduction measures",1.1,"Swaziland",2021,2014.16502556565,2014.16502556565,0
"IDU harm reduction measures",1.1,"Swaziland",2022,2052.22415152319,2052.22415152319,0
"IDU harm reduction measures",1.1,"Swaziland",2023,22741.0067573658,2091.12705814858,20649.8796992172
"IDU harm reduction measures",1.1,"Swaziland",2024,44190.1822321281,2129.52234350312,42060.659888625
"IDU harm reduction measures",1.1,"Swaziland",2025,66383.6896762217,2167.28332166165,64216.40635456
"IDU harm reduction measures",1.1,"Swaziland",2026,89708.5435352987,2214.37621907272,87494.167316226
"IDU harm reduction measures",1.1,"Swaziland",2027,113970.934282218,2261.43851256562,111709.495769652
"IDU harm reduction measures",1.1,"Swaziland",2028,139180.454219488,2308.63182086727,136871.822398621
"IDU harm reduction measures",1.1,"Swaziland",2029,165401.773740879,2356.81733188416,163044.956408994
"IDU harm reduction measures",1.1,"Swaziland",2030,192698.990900781,2406.429488563,190292.561412218
"Pulmonary rehabilitation",1.2,"Swaziland",2020,16493.8325394197,16493.8325394197,0
"Pulmonary rehabilitation",1.2,"Swaziland",2021,16895.021430135,16895.021430135,0
"Pulmonary rehabilitation",1.2,"Swaziland",2022,17342.424101221,17342.424101221,0
"Pulmonary rehabilitation",1.2,"Swaziland",2023,20773.441890337,17828.0578240849,2945.38406625217
"Pulmonary rehabilitation",1.2,"Swaziland",2024,24422.2382355394,18335.2271756609,6087.01105987853
"Pulmonary rehabilitation",1.2,"Swaziland",2025,28293.4812971153,18856.6641068179,9436.81719029742
"Pulmonary rehabilitation",1.2,"Swaziland",2026,32559.4770638279,19485.4303170914,13074.0467467365
"Pulmonary rehabilitation",1.2,"Swaziland",2027,37090.5644290799,20119.6403738131,16970.9240552668
"Pulmonary rehabilitation",1.2,"Swaziland",2028,41909.1584851343,20768.7453141342,21140.4131710001
"Pulmonary rehabilitation",1.2,"Swaziland",2029,47064.7722056678,21453.3773511361,25611.3948545316
"Pulmonary rehabilitation",1.2,"Swaziland",2030,52587.6126593302,22182.3577196453,30405.2549396849
"Depression chronic treatment",2.1,"Swaziland",2020,53711.3057274081,53711.3057274081,0
"Depression chronic treatment",2.1,"Swaziland",2021,54739.3591915325,54739.3591915325,0
"Depression chronic treatment",2.1,"Swaziland",2022,55900.2730985485,55900.2730985485,0
"Depression chronic treatment",2.1,"Swaziland",2023,66607.1378757694,57163.1755495643,9443.96232620504
"Depression chronic treatment",2.1,"Swaziland",2024,77809.7169681477,58467.3747680361,19342.3422001116
"Depression chronic treatment",2.1,"Swaziland",2025,89490.583200094,59784.9501019203,29705.6330981738
"Depression chronic treatment",2.1,"Swaziland",2026,101873.026553869,61242.5486214601,40630.477932409
"Depression chronic treatment",2.1,"Swaziland",2027,114764.519378202,62695.620487782,52068.8988904197
"Depression chronic treatment",2.1,"Swaziland",2028,128220.070039472,64172.6579878597,64047.4120516122
"Depression chronic treatment",2.1,"Swaziland",2029,142361.732378829,65725.2933816784,76636.4389971507
"Depression chronic treatment",2.1,"Swaziland",2030,157276.162286077,67376.3707520978,89899.7915339793
"Bipolar disorder chronic treatment",2.11,"Swaziland",2020,90909.9101097652,90909.9101097652,0
"Bipolar disorder chronic treatment",2.11,"Swaziland",2021,92549.3203952222,92549.3203952222,0
"Bipolar disorder chronic treatment",2.11,"Swaziland",2022,94407.3810851112,94407.3810851112,0
"Bipolar disorder chronic treatment",2.11,"Swaziland",2023,344976.446170332,96424.0113941628,248552.43477617
"Bipolar disorder chronic treatment",2.11,"Swaziland",2024,606303.731940927,98484.5739085339,507819.158032393
"Bipolar disorder chronic treatment",2.11,"Swaziland",2025,878405.694180607,100541.658244848,777864.035935759
"Bipolar disorder chronic treatment",2.11,"Swaziland",2026,1163454.03555351,102782.98531648,1060671.05023703
"Bipolar disorder chronic treatment",2.11,"Swaziland",2027,1459878.07660179,104989.097757162,1354888.97884463
"Bipolar disorder chronic treatment",2.11,"Swaziland",2028,1768337.18538905,107214.379868305,1661122.80552075
"Bipolar disorder chronic treatment",2.11,"Swaziland",2029,2090807.34247426,109553.543819396,1981253.79865486
"Bipolar disorder chronic treatment",2.11,"Swaziland",2030,2429028.50206187,112045.859439971,2316982.6426219
"Schizophrenia chronic treatment",2.12,"Swaziland",2020,369316.252426739,369316.252426739,0
"Schizophrenia chronic treatment",2.12,"Swaziland",2021,377819.813078958,377819.813078958,0
"Schizophrenia chronic treatment",2.12,"Swaziland",2022,387190.066285041,387190.066285041,0
"Schizophrenia chronic treatment",2.12,"Swaziland",2023,446862.128552388,397210.780935456,49651.3476169321
"Schizophrenia chronic treatment",2.12,"Swaziland",2024,509432.574867925,407480.967402345,101951.607465581
"Schizophrenia chronic treatment",2.12,"Swaziland",2025,574745.981148753,417814.107735134,156931.873413618
"Schizophrenia chronic treatment",2.12,"Swaziland",2026,643877.572948468,428906.990678967,214970.582269501
"Schizophrenia chronic treatment",2.12,"Swaziland",2027,716014.880506608,440083.223017395,275931.657489213
"Schizophrenia chronic treatment",2.12,"Swaziland",2028,791482.761086094,451510.649698169,339972.111387925
"Schizophrenia chronic treatment",2.12,"Swaziland",2029,871013.812198586,463530.031385544,407483.780813042
"Schizophrenia chronic treatment",2.12,"Swaziland",2030,955169.17687126,476311.949858523,478857.227012737
