"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Syria",2020,12927.3098580145,12927.3098580145,0
"IDU harm reduction measures",1.1,"Syria",2021,13453.6664055233,13453.6664055233,0
"IDU harm reduction measures",1.1,"Syria",2022,14167.6361577496,14167.6361577496,0
"IDU harm reduction measures",1.1,"Syria",2023,162525.306913302,14944.8558081197,147580.451105182
"IDU harm reduction measures",1.1,"Syria",2024,324690.116138022,15645.6510079143,309044.465130107
"IDU harm reduction measures",1.1,"Syria",2025,496375.477214333,16201.9944751933,480173.48273914
"IDU harm reduction measures",1.1,"Syria",2026,676994.72599804,16703.5261118572,660291.199886183
"IDU harm reduction measures",1.1,"Syria",2027,861380.799980884,17078.8614264988,844301.938554385
"IDU harm reduction measures",1.1,"Syria",2028,1048498.2245553,17372.0938974341,1031126.13065786
"IDU harm reduction measures",1.1,"Syria",2029,1239943.73773412,17640.0356002126,1222303.70213391
"IDU harm reduction measures",1.1,"Syria",2030,1437745.52871819,17916.8443077533,1419828.68441043
"Pulmonary rehabilitation",1.2,"Syria",2020,171611.57422629,171611.57422629,0
"Pulmonary rehabilitation",1.2,"Syria",2021,180903.09653212,180903.09653212,0
"Pulmonary rehabilitation",1.2,"Syria",2022,194197.856316956,194197.856316956,0
"Pulmonary rehabilitation",1.2,"Syria",2023,231079.090104962,209905.639531051,21173.4505739112
"Pulmonary rehabilitation",1.2,"Syria",2024,271932.258115725,226028.171743966,45904.0863717597
"Pulmonary rehabilitation",1.2,"Syria",2025,315436.143221457,241412.582533361,74023.5606880955
"Pulmonary rehabilitation",1.2,"Syria",2026,361778.532119414,256277.13693707,105501.395182344
"Pulmonary rehabilitation",1.2,"Syria",2027,409298.483324257,269601.197022081,139697.286302176
"Pulmonary rehabilitation",1.2,"Syria",2028,458365.420859359,281888.440727988,176476.980131371
"Pulmonary rehabilitation",1.2,"Syria",2029,509971.064142746,293887.81727556,216083.246867186
"Pulmonary rehabilitation",1.2,"Syria",2030,564859.829711898,306041.483111187,258818.34660071
"Depression chronic treatment",2.1,"Syria",2020,928086.074612449,928086.074612449,0
"Depression chronic treatment",2.1,"Syria",2021,970739.074546512,970739.074546512,0
"Depression chronic treatment",2.1,"Syria",2022,1031393.51691832,1031393.51691832,0
"Depression chronic treatment",2.1,"Syria",2023,1212304.95284797,1101223.16267832,111081.790169656
"Depression chronic treatment",2.1,"Syria",2024,1405890.51161741,1169630.60601517,236259.905602237
"Depression chronic treatment",2.1,"Syria",2025,1604120.05089853,1230726.9092732,373393.141625324
"Depression chronic treatment",2.1,"Syria",2026,1808068.42398855,1286794.72955774,521273.69443081
"Depression chronic treatment",2.1,"Syria",2027,2010100.62193816,1333741.39291764,676359.229020526
"Depression chronic treatment",2.1,"Syria",2028,2211837.33906944,1374272.14175118,837565.197318257
"Depression chronic treatment",2.1,"Syria",2029,2417716.72822142,1412101.09683637,1005615.63138505
"Depression chronic treatment",2.1,"Syria",2030,2628999.62333636,1448352.16703717,1180647.45629919
"Bipolar disorder chronic treatment",2.11,"Syria",2020,1248731.15315325,1248731.15315325,0
"Bipolar disorder chronic treatment",2.11,"Syria",2021,1303916.08880649,1303916.08880649,0
"Bipolar disorder chronic treatment",2.11,"Syria",2022,1382166.35397551,1382166.35397551,0
"Bipolar disorder chronic treatment",2.11,"Syria",2023,5264396.43780775,1471446.02983106,3792950.40797669
"Bipolar disorder chronic treatment",2.11,"Syria",2024,9588566.40888109,1557498.22247674,8031068.18640436
"Bipolar disorder chronic treatment",2.11,"Syria",2025,14265811.196334,1632781.09338061,12633030.1029534
"Bipolar disorder chronic treatment",2.11,"Syria",2026,19263988.6462741,1701641.78838446,17562346.8578897
"Bipolar disorder chronic treatment",2.11,"Syria",2027,24453608.6062722,1758208.76655758,22695399.8397146
"Bipolar disorder chronic treatment",2.11,"Syria",2028,29805409.7022426,1806383.86437837,27999025.8378643
"Bipolar disorder chronic treatment",2.11,"Syria",2029,35356224.9338803,1851427.84043696,33504797.0934433
"Bipolar disorder chronic treatment",2.11,"Syria",2030,41123084.1833627,1895176.42035816,39227907.7630046
