"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Tajikistan",2020,1904.08000174098,1904.08000174098,0
"IDU harm reduction measures",1.1,"Tajikistan",2021,1937.94741219077,1937.94741219077,0
"IDU harm reduction measures",1.1,"Tajikistan",2022,1970.00406881507,1970.00406881507,0
"IDU harm reduction measures",1.1,"Tajikistan",2023,21761.8285372343,2001.08768158476,19760.7408556495
"IDU harm reduction measures",1.1,"Tajikistan",2024,42175.691219217,2032.22560412162,40143.4656150954
"IDU harm reduction measures",1.1,"Tajikistan",2025,63250.1643644325,2064.33922933122,61185.8251351013
"IDU harm reduction measures",1.1,"Tajikistan",2026,85159.3907539857,2100.80055924925,83058.5901947365
"IDU harm reduction measures",1.1,"Tajikistan",2027,107795.982241998,2136.78062185295,105659.201620145
"IDU harm reduction measures",1.1,"Tajikistan",2028,131265.840156972,2174.17026059336,129091.669896378
"IDU harm reduction measures",1.1,"Tajikistan",2029,155763.206442092,2215.06772380056,153548.138718292
"IDU harm reduction measures",1.1,"Tajikistan",2030,181473.758032022,2260.44248179758,179213.315550224
"Pulmonary rehabilitation",1.2,"Tajikistan",2020,27931.6890728574,27931.6890728574,0
"Pulmonary rehabilitation",1.2,"Tajikistan",2021,29008.8625394426,29008.8625394426,0
"Pulmonary rehabilitation",1.2,"Tajikistan",2022,30088.7761119087,30088.7761119087,0
"Pulmonary rehabilitation",1.2,"Tajikistan",2023,36810.790506148,31175.3399970841,5635.45050906389
"Pulmonary rehabilitation",1.2,"Tajikistan",2024,43995.7832663278,32271.9519964379,11723.8312698898
"Pulmonary rehabilitation",1.2,"Tajikistan",2025,51672.5445104014,33385.5716486883,18286.9728617131
"Pulmonary rehabilitation",1.2,"Tajikistan",2026,60010.421852941,34593.3718718506,25417.0499810903
"Pulmonary rehabilitation",1.2,"Tajikistan",2027,68863.0991574576,35784.6579215384,33078.4412359192
"Pulmonary rehabilitation",1.2,"Tajikistan",2028,78274.8971123461,36978.5561116041,41296.341000742
"Pulmonary rehabilitation",1.2,"Tajikistan",2029,88293.6743107724,38191.373387425,50102.3009233474
"Pulmonary rehabilitation",1.2,"Tajikistan",2030,98946.012310987,39428.4007231955,59517.6115877915
"Depression chronic treatment",2.1,"Tajikistan",2020,145677.434525681,145677.434525681,0
"Depression chronic treatment",2.1,"Tajikistan",2021,149368.863251844,149368.863251844,0
"Depression chronic treatment",2.1,"Tajikistan",2022,153150.616531056,153150.616531056,0
"Depression chronic treatment",2.1,"Tajikistan",2023,185454.606568497,157062.924601762,28391.6819667355
"Depression chronic treatment",2.1,"Tajikistan",2024,219495.799859383,161134.682112797,58361.1177465856
"Depression chronic treatment",2.1,"Tajikistan",2025,255422.711252767,165388.436399249,90034.2748535183
"Depression chronic treatment",2.1,"Tajikistan",2026,293643.877315371,169977.677568948,123666.199746423
"Depression chronic treatment",2.1,"Tajikistan",2027,333783.4173684,174595.065390947,159188.351977452
"Depression chronic treatment",2.1,"Tajikistan",2028,376062.246040554,179326.276583836,196735.969456718
"Depression chronic treatment",2.1,"Tajikistan",2029,420723.468297073,184241.452001463,236482.016295609
"Depression chronic treatment",2.1,"Tajikistan",2030,467920.256559819,189356.036800916,278564.219758903
"Bipolar disorder chronic treatment",2.11,"Tajikistan",2020,240444.347462805,240444.347462805,0
"Bipolar disorder chronic treatment",2.11,"Tajikistan",2021,245633.912779489,245633.912779489,0
"Bipolar disorder chronic treatment",2.11,"Tajikistan",2022,250968.873587061,250968.873587061,0
"Bipolar disorder chronic treatment",2.11,"Tajikistan",2023,917687.114944884,256501.780947767,661185.333997117
"Bipolar disorder chronic treatment",2.11,"Tajikistan",2024,1614656.2067979,262260.176843028,1352396.02995487
"Bipolar disorder chronic treatment",2.11,"Tajikistan",2025,2344154.1314045,268261.995403614,2075892.13600089
"Bipolar disorder chronic treatment",2.11,"Tajikistan",2026,3111194.72363519,274751.536451572,2836443.18718362
"Bipolar disorder chronic treatment",2.11,"Tajikistan",2027,3913476.31818028,281269.091997905,3632207.22618238
"Bipolar disorder chronic treatment",2.11,"Tajikistan",2028,4753642.54165611,287945.062321405,4465697.4793347
"Bipolar disorder chronic treatment",2.11,"Tajikistan",2029,5635140.8664083,294883.166943435,5340257.69946486
"Bipolar disorder chronic treatment",2.11,"Tajikistan",2030,6560496.25961467,302096.76498299,6258399.49463168
"Schizophrenia chronic treatment",2.12,"Tajikistan",2020,1305136.3301758,1305136.3301758,0
"Schizophrenia chronic treatment",2.12,"Tajikistan",2021,1337097.403942,1337097.403942,0
"Schizophrenia chronic treatment",2.12,"Tajikistan",2022,1368737.26634306,1368737.26634306,0
"Schizophrenia chronic treatment",2.12,"Tajikistan",2023,1575180.45531423,1400160.40472376,175020.05059047
"Schizophrenia chronic treatment",2.12,"Tajikistan",2024,1789576.98331665,1431373.53426557,358203.449051073
"Schizophrenia chronic treatment",2.12,"Tajikistan",2025,2012027.43798506,1462456.85317094,549570.584814126
"Schizophrenia chronic treatment",2.12,"Tajikistan",2026,2245050.75728806,1495071.8294384,749978.927849668
"Schizophrenia chronic treatment",2.12,"Tajikistan",2027,2484921.54714656,1526539.83599502,958381.711151539
"Schizophrenia chronic treatment",2.12,"Tajikistan",2028,2733035.93702172,1557877.11352599,1175158.82349573
"Schizophrenia chronic treatment",2.12,"Tajikistan",2029,2991437.60287576,1590176.96613685,1401260.63673891
"Schizophrenia chronic treatment",2.12,"Tajikistan",2030,3261432.35924125,1623894.24402956,1637538.11521169
"Epilepsy acute and chronic treatment",2.13,"Tajikistan",2020,275281.404053887,275281.404053887,0
"Epilepsy acute and chronic treatment",2.13,"Tajikistan",2021,281729.016752789,281729.016752789,0
"Epilepsy acute and chronic treatment",2.13,"Tajikistan",2022,288201.198378901,288201.198378901,0
"Epilepsy acute and chronic treatment",2.13,"Tajikistan",2023,316786.113250522,294684.756512113,22101.3567384085
"Epilepsy acute and chronic treatment",2.13,"Tajikistan",2024,346418.967223419,301155.844627218,45263.1225962013
"Epilepsy acute and chronic treatment",2.13,"Tajikistan",2025,377100.455891282,307613.351187735,69487.1047035468
"Epilepsy acute and chronic treatment",2.13,"Tajikistan",2026,408967.364914313,314146.837628218,94820.5272860947
"Epilepsy acute and chronic treatment",2.13,"Tajikistan",2027,441711.174138789,320514.36874751,121196.805391279
"Epilepsy acute and chronic treatment",2.13,"Tajikistan",2028,475413.225271939,326792.048618209,148621.17665373
"Epilepsy acute and chronic treatment",2.13,"Tajikistan",2029,510188.428754657,333065.00710696,177123.421647697
"Epilepsy acute and chronic treatment",2.13,"Tajikistan",2030,546143.717718001,339400.381969586,206743.335748415
"Asthma/COPD chronic treatment",2.14,"Tajikistan",2020,1902501.64040466,1902501.64040466,0
"Asthma/COPD chronic treatment",2.14,"Tajikistan",2021,1957903.79830138,1957903.79830138,0
"Asthma/COPD chronic treatment",2.14,"Tajikistan",2022,2013049.52078628,2013049.52078628,0
"Asthma/COPD chronic treatment",2.14,"Tajikistan",2023,2441234.53498452,2067500.19747756,373734.337506964
"Asthma/COPD chronic treatment",2.14,"Tajikistan",2024,2888998.86303009,2120776.506799,768222.356231085
"Asthma/COPD chronic treatment",2.14,"Tajikistan",2025,3356034.76505868,2172865.22625792,1183169.53880076
"Asthma/COPD chronic treatment",2.14,"Tajikistan",2026,3843904.3840114,2224628.28797034,1619276.09604106
"Asthma/COPD chronic treatment",2.14,"Tajikistan",2027,4348497.55178786,2273802.64129129,2074694.91049658
"Asthma/COPD chronic treatment",2.14,"Tajikistan",2028,4870132.52131361,2321032.04479393,2549100.47651968
"Asthma/COPD chronic treatment",2.14,"Tajikistan",2029,5410112.89268678,2367231.26494789,3042881.62773889
"Asthma/COPD chronic treatment",2.14,"Tajikistan",2030,5970211.42932915,2413297.99407853,3556913.43525062
"Diabetes screening and treatment",2.3,"Tajikistan",2020,20117130.7441191,20117130.7441191,0
"Diabetes screening and treatment",2.3,"Tajikistan",2021,20820379.8862238,20820379.8862238,0
"Diabetes screening and treatment",2.3,"Tajikistan",2022,21536391.3710603,21536391.3710603,0
"Diabetes screening and treatment",2.3,"Tajikistan",2023,26292987.8443264,22267732.485918,4025255.35840836
"Diabetes screening and treatment",2.3,"Tajikistan",2024,31362379.7046692,23014360.5579107,8348019.14675852
"Diabetes screening and treatment",2.3,"Tajikistan",2025,36762778.9984084,23777879.9178516,12984899.0805568
"Diabetes screening and treatment",2.3,"Tajikistan",2026,42524239.9204055,24563731.5158452,17960508.4045603
"Diabetes screening and treatment",2.3,"Tajikistan",2027,48610554.0024576,25342730.3340197,23267823.6684379
"Diabetes screening and treatment",2.3,"Tajikistan",2028,55058161.5160879,26130736.4845914,28927425.0314965
"Diabetes screening and treatment",2.3,"Tajikistan",2029,61914936.7196326,26944114.3042599,34970822.4153727
"Diabetes screening and treatment",2.3,"Tajikistan",2030,69215494.0718155,27789658.7813424,41425835.290473
"CVD primary prevention",2.4,"Tajikistan",2020,4558087.55300344,4558087.55300344,0
"CVD primary prevention",2.4,"Tajikistan",2021,4714833.94928434,4714833.94928434,0
"CVD primary prevention",2.4,"Tajikistan",2022,4868023.09589828,4868023.09589828,0
"CVD primary prevention",2.4,"Tajikistan",2023,5925565.19074536,5018406.47691388,907158.713831479
"CVD primary prevention",2.4,"Tajikistan",2024,7038618.58816407,5167133.13092322,1871485.45724085
"CVD primary prevention",2.4,"Tajikistan",2025,8208266.42593706,5314918.71642273,2893347.70951433
"CVD primary prevention",2.4,"Tajikistan",2026,9444883.36346602,5467287.2116597,3977596.15180632
"CVD primary prevention",2.4,"Tajikistan",2027,10733215.0724573,5614487.97565654,5118727.09680078
"CVD primary prevention",2.4,"Tajikistan",2028,12073146.2480479,5757427.84699555,6315718.40105231
"CVD primary prevention",2.4,"Tajikistan",2029,13462392.857286,5895832.02603674,7566560.83124928
"CVD primary prevention",2.4,"Tajikistan",2030,14897110.2730855,6028958.82749533,8868151.44559018
"Aspirin for suspected ACS",2.5,"Tajikistan",2020,2236.19700251963,2236.19700251963,0
"Aspirin for suspected ACS",2.5,"Tajikistan",2021,2311.54955128897,2311.54955128897,0
"Aspirin for suspected ACS",2.5,"Tajikistan",2022,2390.46114174051,2390.46114174051,0
"Aspirin for suspected ACS",2.5,"Tajikistan",2023,2921.67608486081,2474.38982033469,447.286264526123
"Aspirin for suspected ACS",2.5,"Tajikistan",2024,3495.15607758352,2565.08446707497,930.071610508555
"Aspirin for suspected ACS",2.5,"Tajikistan",2025,4116.76930707626,2663.51435967583,1453.25494740043
"Aspirin for suspected ACS",2.5,"Tajikistan",2026,4792.78920005084,2770.2441456258,2022.54505442504
"Aspirin for suspected ACS",2.5,"Tajikistan",2027,5522.53675059978,2882.19966152355,2640.33708907623
"Aspirin for suspected ACS",2.5,"Tajikistan",2028,6306.89157094768,2998.12962000568,3308.76195094201
