"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"The Gambia",2020,828.707568846482,828.707568846482,0
"IDU harm reduction measures",1.1,"The Gambia",2021,855.212325299769,855.212325299769,0
"IDU harm reduction measures",1.1,"The Gambia",2022,882.525468884924,882.525468884924,0
"IDU harm reduction measures",1.1,"The Gambia",2023,9904.45179332971,910.754187892387,8993.69760543732
"IDU harm reduction measures",1.1,"The Gambia",2024,19506.6327883451,940.048310331291,18566.5844780139
"IDU harm reduction measures",1.1,"The Gambia",2025,29724.1768140835,970.477089152218,28753.6997249312
"IDU harm reduction measures",1.1,"The Gambia",2026,40525.6706905465,1000.38375563372,39525.2869349128
"IDU harm reduction measures",1.1,"The Gambia",2027,51980.2576290543,1031.39911313016,50948.8585159241
"IDU harm reduction measures",1.1,"The Gambia",2028,64130.8092617384,1063.64554708247,63067.1637146559
"IDU harm reduction measures",1.1,"The Gambia",2029,77023.3148148541,1097.22199587256,75926.0928189816
"IDU harm reduction measures",1.1,"The Gambia",2030,90703.8456766843,1132.18282825628,89571.662848428
"Pulmonary rehabilitation",1.2,"The Gambia",2020,3235.17216535872,3235.17216535872,0
"Pulmonary rehabilitation",1.2,"The Gambia",2021,3353.80468794396,3353.80468794396,0
"Pulmonary rehabilitation",1.2,"The Gambia",2022,3476.48738704182,3476.48738704182,0
"Pulmonary rehabilitation",1.2,"The Gambia",2023,4444.53104665479,3602.91512799914,841.615918655653
"Pulmonary rehabilitation",1.2,"The Gambia",2024,5479.1481372187,3733.01439211192,1746.13374510677
"Pulmonary rehabilitation",1.2,"The Gambia",2025,6584.42423156284,3866.34590088103,2718.07833068181
"Pulmonary rehabilitation",1.2,"The Gambia",2026,7783.04213048114,4011.66441605794,3771.3777144232
"Pulmonary rehabilitation",1.2,"The Gambia",2027,9067.73256965432,4160.23145301305,4907.50111664127
"Pulmonary rehabilitation",1.2,"The Gambia",2028,10445.5962159918,4312.79026357245,6132.80595241937
"Pulmonary rehabilitation",1.2,"The Gambia",2029,11922.5020853358,4469.77751877273,7452.72456656303
"Pulmonary rehabilitation",1.2,"The Gambia",2030,13504.6864070266,4632.13100507578,8872.55540195087
"Depression chronic treatment",2.1,"The Gambia",2020,0,0,0
"Depression chronic treatment",2.1,"The Gambia",2021,0,0,0
"Depression chronic treatment",2.1,"The Gambia",2022,0,0,0
"Depression chronic treatment",2.1,"The Gambia",2023,0,0,0
"Depression chronic treatment",2.1,"The Gambia",2024,0,0,0
"Depression chronic treatment",2.1,"The Gambia",2025,0,0,0
"Depression chronic treatment",2.1,"The Gambia",2026,0,0,0
"Depression chronic treatment",2.1,"The Gambia",2027,0,0,0
"Depression chronic treatment",2.1,"The Gambia",2028,0,0,0
"Depression chronic treatment",2.1,"The Gambia",2029,0,0,0
"Depression chronic treatment",2.1,"The Gambia",2030,0,0,0
"Bipolar disorder chronic treatment",2.11,"The Gambia",2020,43683.024926333,43683.024926333,0
"Bipolar disorder chronic treatment",2.11,"The Gambia",2021,45063.7702985926,45063.7702985926,0
"Bipolar disorder chronic treatment",2.11,"The Gambia",2022,46507.2417779004,46507.2417779004,0
"Bipolar disorder chronic treatment",2.11,"The Gambia",2023,171779.165877098,48013.8178466677,123765.348030431
"Bipolar disorder chronic treatment",2.11,"The Gambia",2024,305228.698893407,49584.3957692677,255644.30312414
"Bipolar disorder chronic treatment",2.11,"The Gambia",2025,447366.163439022,51216.8180322459,396149.345406776
"Bipolar disorder chronic treatment",2.11,"The Gambia",2026,597896.43750726,52838.3880943799,545058.04941288
"Bipolar disorder chronic treatment",2.11,"The Gambia",2027,757846.014504084,54524.9473511039,703321.06715298
"Bipolar disorder chronic treatment",2.11,"The Gambia",2028,927793.616010985,56277.4181082465,871516.197902738
"Bipolar disorder chronic treatment",2.11,"The Gambia",2029,1108281.87583997,58094.4278386689,1050187.4480013
"Bipolar disorder chronic treatment",2.11,"The Gambia",2030,1299579.72003054,59962.8576845136,1239616.86234602
"Schizophrenia chronic treatment",2.12,"The Gambia",2020,103978.235488119,103978.235488119,0
"Schizophrenia chronic treatment",2.12,"The Gambia",2021,107515.884880077,107515.884880077,0
"Schizophrenia chronic treatment",2.12,"The Gambia",2022,111197.80566312,111197.80566312,0
"Schizophrenia chronic treatment",2.12,"The Gambia",2023,146658.696438147,115026.428578939,31632.2678592082
"Schizophrenia chronic treatment",2.12,"The Gambia",2024,184470.738011153,119006.868887943,65463.8691232094
"Schizophrenia chronic treatment",2.12,"The Gambia",2025,224775.025923266,123141.106479921,101633.919443345
"Schizophrenia chronic treatment",2.12,"The Gambia",2026,267304.963516693,127234.46398916,140070.499527532
"Schizophrenia chronic treatment",2.12,"The Gambia",2027,312495.125016488,131477.047353393,181018.077663095
"Schizophrenia chronic treatment",2.12,"The Gambia",2028,360517.328836909,135880.736663403,224636.592173506
"Schizophrenia chronic treatment",2.12,"The Gambia",2029,411552.048114507,140456.141767345,271095.906347162
"Schizophrenia chronic treatment",2.12,"The Gambia",2030,465768.815412371,145207.22284233,320561.592570041
"Epilepsy acute and chronic treatment",2.13,"The Gambia",2020,2262.35762740655,2262.35762740655,0
"Epilepsy acute and chronic treatment",2.13,"The Gambia",2021,2326.93806425363,2326.93806425363,0
"Epilepsy acute and chronic treatment",2.13,"The Gambia",2022,2392.6264643209,2392.6264643209,0
"Epilepsy acute and chronic treatment",2.13,"The Gambia",2023,10349.646193423,2459.32186774407,7890.3243256789
"Epilepsy acute and chronic treatment",2.13,"The Gambia",2024,18743.2853609286,2527.03498910397,16216.2503718246
"Epilepsy acute and chronic treatment",2.13,"The Gambia",2025,27582.5489853137,2595.47826125182,24987.0707240619
"Epilepsy acute and chronic treatment",2.13,"The Gambia",2026,36891.0405748395,2665.59578776498,34225.4447870745
"Epilepsy acute and chronic treatment",2.13,"The Gambia",2027,46674.313253846,2736.53520268795,43937.778051158
"Epilepsy acute and chronic treatment",2.13,"The Gambia",2028,56943.8585839374,2808.27168094522,54135.5869029922
"Epilepsy acute and chronic treatment",2.13,"The Gambia",2029,67709.5081101255,2880.75072674795,64828.7573833776
"Epilepsy acute and chronic treatment",2.13,"The Gambia",2030,78976.9602369349,2953.83052300686,76023.1297139281
"Asthma/COPD chronic treatment",2.14,"The Gambia",2020,459015.338643862,459015.338643862,0
"Asthma/COPD chronic treatment",2.14,"The Gambia",2021,472567.852201445,472567.852201445,0
"Asthma/COPD chronic treatment",2.14,"The Gambia",2022,486361.563303078,486361.563303078,0
"Asthma/COPD chronic treatment",2.14,"The Gambia",2023,617207.177015166,500332.892679713,116874.284335453
"Asthma/COPD chronic treatment",2.14,"The Gambia",2024,754866.504181857,514454.456065778,240412.048116079
"Asthma/COPD chronic treatment",2.14,"The Gambia",2025,899220.524411775,528551.682678175,370668.8417336
"Asthma/COPD chronic treatment",2.14,"The Gambia",2026,1051325.66738856,543124.862453166,508200.804935394
"Asthma/COPD chronic treatment",2.14,"The Gambia",2027,1210797.3483238,557794.797286594,653002.551037209
"Asthma/COPD chronic treatment",2.14,"The Gambia",2028,1377760.52408978,572543.581305557,805216.942784219
"Asthma/COPD chronic treatment",2.14,"The Gambia",2029,1552329.79235508,587365.628745773,964964.163609311
"Asthma/COPD chronic treatment",2.14,"The Gambia",2030,1734736.285545,602309.717328074,1132426.56821692
"Diabetes screening and treatment",2.3,"The Gambia",2020,1488965.1038206,1488965.1038206,0
"Diabetes screening and treatment",2.3,"The Gambia",2021,1539675.54727904,1539675.54727904,0
"Diabetes screening and treatment",2.3,"The Gambia",2022,1592332.06163917,1592332.06163917,0
"Diabetes screening and treatment",2.3,"The Gambia",2023,2031852.87627722,1647101.43521613,384751.441061089
"Diabetes screening and treatment",2.3,"The Gambia",2024,2501367.52433839,1704265.04003342,797102.484304969
"Diabetes screening and treatment",2.3,"The Gambia",2025,3003658.57320263,1763904.0476863,1239754.52551633
"Diabetes screening and treatment",2.3,"The Gambia",2026,3542797.63359239,1826512.4365033,1716285.19708909
"Diabetes screening and treatment",2.3,"The Gambia",2027,4120416.94846127,1891266.2615587,2229150.68690257
"Diabetes screening and treatment",2.3,"The Gambia",2028,4740332.47891063,1958598.89100242,2781733.58790821
"Diabetes screening and treatment",2.3,"The Gambia",2029,5406148.23980159,2028833.68760676,3377314.55219483
"Diabetes screening and treatment",2.3,"The Gambia",2030,6121491.80352279,2102341.30731801,4019150.49620478
"CVD primary prevention",2.4,"The Gambia",2020,643323.328670425,643323.328670425,0
"CVD primary prevention",2.4,"The Gambia",2021,667924.464341955,667924.464341955,0
"CVD primary prevention",2.4,"The Gambia",2022,693793.266401816,693793.266401816,0
"CVD primary prevention",2.4,"The Gambia",2023,889063.004786202,720710.130284612,168352.87450159
"CVD primary prevention",2.4,"The Gambia",2024,1098214.350667,748413.180569943,349801.17009706
"CVD primary prevention",2.4,"The Gambia",2025,1321738.34355649,776767.89698059,544970.446575901
"CVD primary prevention",2.4,"The Gambia",2026,1559610.67843493,805405.387951124,754205.290483807
"CVD primary prevention",2.4,"The Gambia",2027,1812884.9663923,834612.819255384,978272.147136919
"CVD primary prevention",2.4,"The Gambia",2028,2082379.62314959,864470.595779495,1217909.02737009
