"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Timor-Leste",2020,418.803614886832,418.803614886832,0
"IDU harm reduction measures",1.1,"Timor-Leste",2021,429.892115496684,429.892115496684,0
"IDU harm reduction measures",1.1,"Timor-Leste",2022,441.944565688788,441.944565688788,0
"IDU harm reduction measures",1.1,"Timor-Leste",2023,4941.27002041862,454.369657049988,4486.90036336863
"IDU harm reduction measures",1.1,"Timor-Leste",2024,9678.31321722378,466.382746241851,9211.93047098193
"IDU harm reduction measures",1.1,"Timor-Leste",2025,14631.0942645755,477.630283308219,14153.4639812673
"IDU harm reduction measures",1.1,"Timor-Leste",2026,19825.6084425413,489.289083207849,19336.3193593335
"IDU harm reduction measures",1.1,"Timor-Leste",2027,25204.3679871845,499.961294012726,24704.4066931717
"IDU harm reduction measures",1.1,"Timor-Leste",2028,30751.2292949304,509.854834630912,30241.3744602995
"IDU harm reduction measures",1.1,"Timor-Leste",2029,36472.6907538468,519.386032959059,35953.3047208878
"IDU harm reduction measures",1.1,"Timor-Leste",2030,42375.0532077957,528.765737092924,41846.2874707027
"Pulmonary rehabilitation",1.2,"Timor-Leste",2020,6455.05540874026,6455.05540874026,0
"Pulmonary rehabilitation",1.2,"Timor-Leste",2021,6638.40702703008,6638.40702703008,0
"Pulmonary rehabilitation",1.2,"Timor-Leste",2022,6833.14743187764,6833.14743187764,0
"Pulmonary rehabilitation",1.2,"Timor-Leste",2023,9062.05907549762,7032.00848704545,2030.05058845217
"Pulmonary rehabilitation",1.2,"Timor-Leste",2024,11411.9007751741,7224.9628993162,4186.93787585786
"Pulmonary rehabilitation",1.2,"Timor-Leste",2025,13876.0415781445,7408.16969386878,6467.87188427576
"Pulmonary rehabilitation",1.2,"Timor-Leste",2026,16587.9441460427,7643.14834481043,8944.79580123231
"Pulmonary rehabilitation",1.2,"Timor-Leste",2027,19431.3560354874,7862.171542879,11569.1844926083
"Pulmonary rehabilitation",1.2,"Timor-Leste",2028,22409.8791283863,8070.64302391197,14339.2361044743
"Pulmonary rehabilitation",1.2,"Timor-Leste",2029,25544.226107848,8278.46783065888,17265.7582771891
"Pulmonary rehabilitation",1.2,"Timor-Leste",2030,28845.3720524394,8490.23917245994,20355.1328799794
"Depression chronic treatment",2.1,"Timor-Leste",2020,15901.5175212975,15901.5175212975,0
"Depression chronic treatment",2.1,"Timor-Leste",2021,16229.1096255673,16229.1096255673,0
"Depression chronic treatment",2.1,"Timor-Leste",2022,16589.5440525125,16589.5440525125,0
"Depression chronic treatment",2.1,"Timor-Leste",2023,21862.7446317908,16965.1295053401,4897.61512645063
"Depression chronic treatment",2.1,"Timor-Leste",2024,27348.7632608154,17334.5907722081,10014.1724886073
"Depression chronic treatment",2.1,"Timor-Leste",2025,33031.8308327501,17691.2029488955,15340.6278838546
"Depression chronic treatment",2.1,"Timor-Leste",2026,38978.2863763093,18069.6996742028,20908.5867021065
"Depression chronic treatment",2.1,"Timor-Leste",2027,45102.7522689695,18426.7984326456,26675.9538363238
"Depression chronic treatment",2.1,"Timor-Leste",2028,51423.8476644455,18775.7468086594,32648.1008557861
"Depression chronic treatment",2.1,"Timor-Leste",2029,57996.7741769777,19137.0275673534,38859.7466096243
"Depression chronic treatment",2.1,"Timor-Leste",2030,64845.8877677572,19514.8654061699,45331.0223615873
"Bipolar disorder chronic treatment",2.11,"Timor-Leste",2020,30379.5905078986,30379.5905078986,0
"Bipolar disorder chronic treatment",2.11,"Timor-Leste",2021,31052.3188573458,31052.3188573458,0
"Bipolar disorder chronic treatment",2.11,"Timor-Leste",2022,31791.7066829485,31791.7066829485,0
"Bipolar disorder chronic treatment",2.11,"Timor-Leste",2023,116505.232862786,32564.2577217986,83940.9751409875
"Bipolar disorder chronic treatment",2.11,"Timor-Leste",2024,205188.191831418,33328.9428505092,171859.248980909
"Bipolar disorder chronic treatment",2.11,"Timor-Leste",2025,297697.91138304,34072.1992418342,263625.712141206
"Bipolar disorder chronic treatment",2.11,"Timor-Leste",2026,394591.590584929,34854.9141555545,359736.676429374
"Bipolar disorder chronic treatment",2.11,"Timor-Leste",2027,495112.281869913,35598.8218989571,459513.459970956
"Bipolar disorder chronic treatment",2.11,"Timor-Leste",2028,599363.34555544,36327.2879147181,563036.057640722
"Bipolar disorder chronic treatment",2.11,"Timor-Leste",2029,707960.495244609,37078.2231377285,670882.27210688
