"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Togo",2020,2637.69635490084,2637.69635490084,0
"IDU harm reduction measures",1.1,"Togo",2021,2711.93887598667,2711.93887598667,0
"IDU harm reduction measures",1.1,"Togo",2022,2789.40297828726,2789.40297828726,0
"IDU harm reduction measures",1.1,"Togo",2023,31212.0559579661,2870.07411107734,28341.9818468887
"IDU harm reduction measures",1.1,"Togo",2024,61299.8056821892,2953.88234210502,58345.9233400842
"IDU harm reduction measures",1.1,"Togo",2025,93150.8274206251,3040.72342886756,90110.1039917575
"IDU harm reduction measures",1.1,"Togo",2026,126754.88520208,3127.9391109745,123626.946091105
"IDU harm reduction measures",1.1,"Togo",2027,162271.87141949,3218.35749277721,159053.513926713
"IDU harm reduction measures",1.1,"Togo",2028,199765.996328683,3311.38068514929,196454.615643534
"IDU harm reduction measures",1.1,"Togo",2029,239270.022817135,3406.31334697378,235863.709470162
"IDU harm reduction measures",1.1,"Togo",2030,280810.379476289,3502.73740126917,277307.64207502
"Pulmonary rehabilitation",1.2,"Togo",2020,12132.1566320701,12132.1566320701,0
"Pulmonary rehabilitation",1.2,"Togo",2021,12562.7775410538,12562.7775410538,0
"Pulmonary rehabilitation",1.2,"Togo",2022,13004.4562514798,13004.4562514798,0
"Pulmonary rehabilitation",1.2,"Togo",2023,18383.4754964264,13458.8069314227,4924.66856500361
"Pulmonary rehabilitation",1.2,"Togo",2024,24144.3918702844,13927.6791260651,10216.7127442193
"Pulmonary rehabilitation",1.2,"Togo",2025,30316.401021294,14412.2217850924,15904.1792362016
"Pulmonary rehabilitation",1.2,"Togo",2026,36978.7152525919,14931.138504148,22047.5767484439
"Pulmonary rehabilitation",1.2,"Togo",2027,44126.1018875022,15465.888035485,28660.2138520171
"Pulmonary rehabilitation",1.2,"Togo",2028,51785.6869002359,16017.3200149551,35768.3668852808
"Pulmonary rehabilitation",1.2,"Togo",2029,59978.1923841854,16585.6584841589,43392.5339000265
"Pulmonary rehabilitation",1.2,"Togo",2030,68722.7194630042,17172.2663564513,51550.4531065529
"Depression chronic treatment",2.1,"Togo",2020,128983.749369342,128983.749369342,0
"Depression chronic treatment",2.1,"Togo",2021,132908.214970125,132908.214970125,0
"Depression chronic treatment",2.1,"Togo",2022,136958.637701154,136958.637701154,0
"Depression chronic treatment",2.1,"Togo",2023,192777.116540449,141134.900896115,51642.2156443345
"Depression chronic treatment",2.1,"Togo",2024,251957.521961136,145431.66676449,106525.855196645
"Depression chronic treatment",2.1,"Togo",2025,314666.300362604,149843.554650036,164822.745712568
"Depression chronic treatment",2.1,"Togo",2026,380862.965939018,154280.206608835,226582.759330183
"Depression chronic treatment",2.1,"Togo",2027,450879.082569924,158836.031103251,292043.051466673
"Depression chronic treatment",2.1,"Togo",2028,524855.7300955,163504.950095482,361350.780000018
"Depression chronic treatment",2.1,"Togo",2029,602906.972031479,168279.706198989,434627.26583249
"Depression chronic treatment",2.1,"Togo",2030,685091.847930105,173145.529797318,511946.318132787
"Bipolar disorder chronic treatment",2.11,"Togo",2020,186135.238233067,186135.238233067,0
"Bipolar disorder chronic treatment",2.11,"Togo",2021,191599.657115157,191599.657115157,0
"Bipolar disorder chronic treatment",2.11,"Togo",2022,197254.554360785,197254.554360785,0
"Bipolar disorder chronic treatment",2.11,"Togo",2023,726596.349439697,203090.197765959,523506.151673738
"Bipolar disorder chronic treatment",2.11,"Togo",2024,1287241.12966672,209086.433156503,1078154.69651022
"Bipolar disorder chronic treatment",2.11,"Togo",2025,1880528.71318075,215225.852317995,1665302.86086275
"Bipolar disorder chronic treatment",2.11,"Togo",2026,2504945.7718805,221256.568912938,2283689.20296756
"Bipolar disorder chronic treatment",2.11,"Togo",2027,3163534.61295136,227444.418262179,2936090.19468918
"Bipolar disorder chronic treatment",2.11,"Togo",2028,3857378.94929976,233771.448717516,3623607.50058225
"Bipolar disorder chronic treatment",2.11,"Togo",2029,4587336.15161369,240219.059671474,4347117.09194221
"Bipolar disorder chronic treatment",2.11,"Togo",2030,5353630.98386385,246749.498578161,5106881.48528569
"Schizophrenia chronic treatment",2.12,"Togo",2020,457397.539525606,457397.539525606,0
"Schizophrenia chronic treatment",2.12,"Togo",2021,470908.254078115,470908.254078115,0
"Schizophrenia chronic treatment",2.12,"Togo",2022,484918.357415314,484918.357415314,0
"Schizophrenia chronic treatment",2.12,"Togo",2023,636791.931235823,499444.651949665,137347.279286158
"Schizophrenia chronic treatment",2.12,"Togo",2024,797620.075424922,514500.439448086,283119.635976836
"Schizophrenia chronic treatment",2.12,"Togo",2025,967904.012383725,530089.357599283,437814.654784442
"Schizophrenia chronic treatment",2.12,"Togo",2026,1146680.25684368,545518.770628268,601161.486215416
"Schizophrenia chronic treatment",2.12,"Togo",2027,1335624.55773824,561531.528967949,774093.028770295
"Schizophrenia chronic treatment",2.12,"Togo",2028,1535134.56583135,578081.884320521,957052.681510826
"Schizophrenia chronic treatment",2.12,"Togo",2029,1745539.60613193,595119.51001378,1150420.09611815
"Schizophrenia chronic treatment",2.12,"Togo",2030,1967164.57836736,612611.089544187,1354553.48882318
"Epilepsy acute and chronic treatment",2.13,"Togo",2020,11232.5365466096,11232.5365466096,0
"Epilepsy acute and chronic treatment",2.13,"Togo",2021,11502.9591170683,11502.9591170683,0
"Epilepsy acute and chronic treatment",2.13,"Togo",2022,11776.637098613,11776.637098613,0
"Epilepsy acute and chronic treatment",2.13,"Togo",2023,50726.1892236593,12053.7479343349,38672.4412893244
"Epilepsy acute and chronic treatment",2.13,"Togo",2024,91497.5896980818,12334.5305896176,79163.0591084642
"Epilepsy acute and chronic treatment",2.13,"Togo",2025,134139.511788195,12618.5258736456,121520.985914549
"Epilepsy acute and chronic treatment",2.13,"Togo",2026,178752.534927046,12909.3567071395,165843.178219906
"Epilepsy acute and chronic treatment",2.13,"Togo",2027,225364.327673907,13203.8966909796,212160.430982927
"Epilepsy acute and chronic treatment",2.13,"Togo",2028,274024.99303178,13502.2469341471,260522.746097633
"Epilepsy acute and chronic treatment",2.13,"Togo",2029,324779.923895858,13804.4500553271,310975.47384053
"Epilepsy acute and chronic treatment",2.13,"Togo",2030,377658.649826072,14110.1340808561,363548.515745216
"Asthma/COPD chronic treatment",2.14,"Togo",2020,1532577.05805681,1532577.05805681,0
"Asthma/COPD chronic treatment",2.14,"Togo",2021,1569810.77173564,1569810.77173564,0
"Asthma/COPD chronic treatment",2.14,"Togo",2022,1607463.88665041,1607463.88665041,0
"Asthma/COPD chronic treatment",2.14,"Togo",2023,2247718.96891631,1645587.39965258,602131.569263726
"Asthma/COPD chronic treatment",2.14,"Togo",2024,2917647.13538723,1684295.98318136,1233351.15220588
"Asthma/COPD chronic treatment",2.14,"Togo",2025,3617747.37841371,1723352.36448247,1894395.01393124
"Asthma/COPD chronic treatment",2.14,"Togo",2026,4351034.56951143,1763640.34114871,2587394.22836273
"Asthma/COPD chronic treatment",2.14,"Togo",2027,5117910.68746485,1804718.13403284,3313192.55343201
"Asthma/COPD chronic treatment",2.14,"Togo",2028,5919546.77260889,1846606.58877355,4072940.18383534
"Asthma/COPD chronic treatment",2.14,"Togo",2029,6757079.69043243,1889342.93746933,4867736.75296311
"Asthma/COPD chronic treatment",2.14,"Togo",2030,7631800.2904756,1933025.64226267,5698774.64821293
"Diabetes screening and treatment",2.3,"Togo",2020,3869103.45090868,3869103.45090868,0
"Diabetes screening and treatment",2.3,"Togo",2021,4000213.05564785,4000213.05564785,0
"Diabetes screening and treatment",2.3,"Togo",2022,4135631.26141623,4135631.26141623,0
"Diabetes screening and treatment",2.3,"Togo",2023,5840674.81751335,4276042.07558119,1564632.74193216
"Diabetes screening and treatment",2.3,"Togo",2024,7665578.91563165,4422057.66354161,3243521.25209004
"Diabetes screening and treatment",2.3,"Togo",2025,9621154.25368769,4574254.70592661,5046899.54776108
"Diabetes screening and treatment",2.3,"Togo",2026,11717857.7414024,4732342.63147977,6985515.10992266
"Diabetes screening and treatment",2.3,"Togo",2027,13963078.24586,4895643.29787664,9067434.94798339
"Diabetes screening and treatment",2.3,"Togo",2028,16366716.6982184,5064758.04760503,11301958.6506134
"Diabetes screening and treatment",2.3,"Togo",2029,18937919.1059795,5240144.96865977,13697774.1373197
"Diabetes screening and treatment",2.3,"Togo",2030,21686593.9587247,5422579.79308673,16264014.165638
"CVD primary prevention",2.4,"Togo",2020,2025335.36926251,2025335.36926251,0
"CVD primary prevention",2.4,"Togo",2021,2087314.20695679,2087314.20695679,0
"CVD primary prevention",2.4,"Togo",2022,2150409.75005089,2150409.75005089,0
"CVD primary prevention",2.4,"Togo",2023,3025657.16076475,2215127.1436854,810530.01707935
"CVD primary prevention",2.4,"Togo",2024,3953876.9609523,2282152.74978154,1671724.21117076
"CVD primary prevention",2.4,"Togo",2025,4939362.18074708,2351960.15598124,2587402.02476584
"CVD primary prevention",2.4,"Togo",2026,5979805.69771544,2422019.98297563,3557785.71473982
"CVD primary prevention",2.4,"Togo",2027,7083882.54788308,2495084.04493831,4588798.50294477
"CVD primary prevention",2.4,"Togo",2028,8256230.77285105,2571416.0102496,5684814.76260145
"CVD primary prevention",2.4,"Togo",2029,9501845.56862394,2651325.53280445,6850520.03581949
"CVD primary prevention",2.4,"Togo",2030,10825822.3558108,2735084.28006152,8090738.07574929
"Aspirin for suspected ACS",2.5,"Togo",2020,904.15398019411,904.15398019411,0
"Aspirin for suspected ACS",2.5,"Togo",2021,938.036054562114,938.036054562114,0
"Aspirin for suspected ACS",2.5,"Togo",2022,973.302731136987,973.302731136987,0
"Aspirin for suspected ACS",2.5,"Togo",2023,1379.41634368312,1009.89055368171,369.525790001408
"Aspirin for suspected ACS",2.5,"Togo",2024,1815.5329159801,1047.67839101432,767.854524965781
"Aspirin for suspected ACS",2.5,"Togo",2025,2283.33317360146,1086.5788634158,1196.75431018567
"Aspirin for suspected ACS",2.5,"Togo",2026,2780.48215224606,1124.89243505774,1655.58971718832
"Aspirin for suspected ACS",2.5,"Togo",2027,3311.77041644895,1164.38374616526,2147.38667028369
"Aspirin for suspected ACS",2.5,"Togo",2028,3878.29391615414,1204.87859689401,2673.41531926013
"Aspirin for suspected ACS",2.5,"Togo",2029,4480.42722594782,1246.11233053333,3234.31489541449
"Aspirin for suspected ACS",2.5,"Togo",2030,5118.7610879916,1288.01283285157,3830.74825514003
"CVD secondary prevention",2.6,"Togo",2020,2481671.57959328,2481671.57959328,0
"CVD secondary prevention",2.6,"Togo",2021,2573836.22276679,2573836.22276679,0
"CVD secondary prevention",2.6,"Togo",2022,2667348.53802319,2667348.53802319,0
"CVD secondary prevention",2.6,"Togo",2023,3773737.6068081,2762807.60239014,1010930.00441796
"CVD secondary prevention",2.6,"Togo",2024,4962210.32114233,2860832.9429039,2101377.37823843
"CVD secondary prevention",2.6,"Togo",2025,6240529.27723635,2962106.47474265,3278422.8024937
"CVD secondary prevention",2.6,"Togo",2026,7641324.85017242,3076352.33485893,4564972.5153135
"CVD secondary prevention",2.6,"Togo",2027,9151146.48478054,3192715.15619542,5958431.32858512
"CVD secondary prevention",2.6,"Togo",2028,10776827.9750494,3311895.27530798,7464932.69974138
"CVD secondary prevention",2.6,"Togo",2029,12524032.3829009,3434426.60082878,9089605.78207217
"CVD secondary prevention",2.6,"Togo",2030,14399295.2853491,3561312.41383252,10837982.8715166
"Heart failure chronic treatment",2.7,"Togo",2020,330777.7699349,330777.7699349,0
"Heart failure chronic treatment",2.7,"Togo",2021,344538.117348738,344538.117348738,0
"Heart failure chronic treatment",2.7,"Togo",2022,357813.630263383,357813.630263383,0
"Heart failure chronic treatment",2.7,"Togo",2023,506197.712806481,370594.62924269,135603.083563791
"Heart failure chronic treatment",2.7,"Togo",2024,664764.543597281,382872.655088101,281891.88850918
"Heart failure chronic treatment",2.7,"Togo",2025,833622.079013371,394627.497698012,438994.581315359
"Heart failure chronic treatment",2.7,"Togo",2026,1028529.31084261,411939.96671023,616589.344132383
"Heart failure chronic treatment",2.7,"Togo",2027,1239171.12194923,428766.962524148,810404.159425087
"Heart failure chronic treatment",2.7,"Togo",2028,1465526.26370628,445130.031090237,1020396.23261604
"Heart failure chronic treatment",2.7,"Togo",2029,1706785.50234204,460985.985870202,1245799.51647183
"Heart failure chronic treatment",2.7,"Togo",2030,1961818.53811712,476411.980418359,1485406.55769876
"Alcohol use screening/brief intervention",2.9,"Togo",2020,16474.0127105678,16474.0127105678,0
"Alcohol use screening/brief intervention",2.9,"Togo",2021,16949.8475936064,16949.8475936064,0
"Alcohol use screening/brief intervention",2.9,"Togo",2022,17443.5653683955,17443.5653683955,0
"Alcohol use screening/brief intervention",2.9,"Togo",2023,195267.425856107,17955.6253660788,177311.800490029
"Alcohol use screening/brief intervention",2.9,"Togo",2024,383666.361195832,18486.2290836903,365180.132112142
"Alcohol use screening/brief intervention",2.9,"Togo",2025,583279.648092765,19035.1946482884,564244.453444477
"Alcohol use screening/brief intervention",2.9,"Togo",2026,794054.351669103,19585.4982764638,774468.853392639
"Alcohol use screening/brief intervention",2.9,"Togo",2027,1017023.13869562,20155.3587687629,996867.77992686
"Alcohol use screening/brief intervention",2.9,"Togo",2028,1252696.08219778,20742.585588106,1231953.49660967
