"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Tunisia",2020,13857.4130177987,13857.4130177987,0
"IDU harm reduction measures",1.1,"Tunisia",2021,13894.7507018307,13894.7507018307,0
"IDU harm reduction measures",1.1,"Tunisia",2022,13909.483468412,13909.483468412,0
"IDU harm reduction measures",1.1,"Tunisia",2023,151305.003755256,13913.1037935868,137391.89996167
"IDU harm reduction measures",1.1,"Tunisia",2024,288897.12618894,13921.4981073641,274975.628081576
"IDU harm reduction measures",1.1,"Tunisia",2025,427131.902014403,13942.9785260805,413188.923488322
"IDU harm reduction measures",1.1,"Tunisia",2026,566351.664316715,13974.7581200546,552376.90619666
"IDU harm reduction measures",1.1,"Tunisia",2027,706878.378907415,14015.7043026007,692862.674604814
"IDU harm reduction measures",1.1,"Tunisia",2028,849306.417335428,14069.927110329,835236.490225099
"IDU harm reduction measures",1.1,"Tunisia",2029,994265.507485335,14139.814766299,980125.692719036
"IDU harm reduction measures",1.1,"Tunisia",2030,1142373.96266914,14226.5810362391,1128147.3816329
"Pulmonary rehabilitation",1.2,"Tunisia",2020,227510.306303405,227510.306303405,0
"Pulmonary rehabilitation",1.2,"Tunisia",2021,234233.387483522,234233.387483522,0
"Pulmonary rehabilitation",1.2,"Tunisia",2022,240458.457258393,240458.457258393,0
"Pulmonary rehabilitation",1.2,"Tunisia",2023,282668.69202348,246352.643218793,36316.0488046871
"Pulmonary rehabilitation",1.2,"Tunisia",2024,326826.95267294,252144.443838874,74682.5088340664
"Pulmonary rehabilitation",1.2,"Tunisia",2025,373344.598013554,257983.762638433,115360.835375121
"Pulmonary rehabilitation",1.2,"Tunisia",2026,425135.307291237,265458.384956723,159676.922334514
"Pulmonary rehabilitation",1.2,"Tunisia",2027,480129.380243864,272779.224723005,207350.155520859
"Pulmonary rehabilitation",1.2,"Tunisia",2028,538698.035000582,280021.309361153,258676.725639429
"Pulmonary rehabilitation",1.2,"Tunisia",2029,601130.441834366,287230.883009811,313899.558824555
"Pulmonary rehabilitation",1.2,"Tunisia",2030,667735.226928792,294491.026452901,373244.200475891
"Depression chronic treatment",2.1,"Tunisia",2020,0,0,0
"Depression chronic treatment",2.1,"Tunisia",2021,0,0,0
"Depression chronic treatment",2.1,"Tunisia",2022,0,0,0
"Depression chronic treatment",2.1,"Tunisia",2023,0,0,0
