"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Uganda",2020,8632.75749493283,8632.75749493283,0
"IDU harm reduction measures",1.1,"Uganda",2021,8975.44345971828,8975.44345971828,0
"IDU harm reduction measures",1.1,"Uganda",2022,9316.90390496364,9316.90390496364,0
"IDU harm reduction measures",1.1,"Uganda",2023,105087.928594575,9663.25780180002,95424.6707927752
"IDU harm reduction measures",1.1,"Uganda",2024,207959.074883329,10021.8634131035,197937.211470225
"IDU harm reduction measures",1.1,"Uganda",2025,318446.26420042,10397.2930150965,308048.971185324
"IDU harm reduction measures",1.1,"Uganda",2026,437070.113198455,10789.6074783462,426280.505720109
"IDU harm reduction measures",1.1,"Uganda",2027,564187.026298061,11195.4592236726,552991.567074388
"IDU harm reduction measures",1.1,"Uganda",2028,700201.284288701,11614.4248859603,688586.859402741
"IDU harm reduction measures",1.1,"Uganda",2029,845511.259707007,12046.199032428,833465.060674579
"IDU harm reduction measures",1.1,"Uganda",2030,1000440.90099917,12489.6791174559,987951.221881714
"Pulmonary rehabilitation",1.2,"Uganda",2020,30576.649288597,30576.649288597,0
"Pulmonary rehabilitation",1.2,"Uganda",2021,31938.6601811185,31938.6601811185,0
"Pulmonary rehabilitation",1.2,"Uganda",2022,33316.985137201,33316.985137201,0
"Pulmonary rehabilitation",1.2,"Uganda",2023,49271.9541592207,34737.6667236174,14534.2874356033
"Pulmonary rehabilitation",1.2,"Uganda",2024,66563.241295763,36228.7825444485,30334.4587513145
"Pulmonary rehabilitation",1.2,"Uganda",2025,85341.1945893938,37806.7977660453,47534.3968233485
"Pulmonary rehabilitation",1.2,"Uganda",2026,105928.196084264,39537.1857726013,66391.0103116628
"Pulmonary rehabilitation",1.2,"Uganda",2027,128332.468474137,41347.3108865478,86985.1575875895
"Pulmonary rehabilitation",1.2,"Uganda",2028,152708.2469164,43240.5036121252,109467.743304275
"Pulmonary rehabilitation",1.2,"Uganda",2029,179220.355358605,45222.9370063671,133997.418352238
"Pulmonary rehabilitation",1.2,"Uganda",2030,208019.590275307,47298.1063235152,160721.483951792
"Depression chronic treatment",2.1,"Uganda",2020,0,0,0
"Depression chronic treatment",2.1,"Uganda",2021,0,0,0
"Depression chronic treatment",2.1,"Uganda",2022,0,0,0
"Depression chronic treatment",2.1,"Uganda",2023,0,0,0
"Depression chronic treatment",2.1,"Uganda",2024,0,0,0
"Depression chronic treatment",2.1,"Uganda",2025,0,0,0
