"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Ukraine",2020,79208.7080083352,79208.7080083352,0
"IDU harm reduction measures",1.1,"Ukraine",2021,77864.3196917114,77864.3196917114,0
"IDU harm reduction measures",1.1,"Ukraine",2022,76485.8745865598,76485.8745865598,0
"IDU harm reduction measures",1.1,"Ukraine",2023,817200.529557019,75144.8762811052,742055.653275914
"IDU harm reduction measures",1.1,"Ukraine",2024,1533949.83050491,73920.5167238082,1460029.3137811
"IDU harm reduction measures",1.1,"Ukraine",2025,2231937.19048084,72859.2694994469,2159077.92098139
"IDU harm reduction measures",1.1,"Ukraine",2026,2911718.67263843,71842.3807397836,2839876.29189865
"IDU harm reduction measures",1.1,"Ukraine",2027,3581945.46939631,71003.0388509839,3510942.43054532
"IDU harm reduction measures",1.1,"Ukraine",2028,4247338.95468472,70321.6066101721,4177017.34807455
"IDU harm reduction measures",1.1,"Ukraine",2029,4910429.87534751,69759.2385972069,4840670.63675031
"IDU harm reduction measures",1.1,"Ukraine",2030,5573172.07674218,69290.9836881562,5503881.09305403
"Pulmonary rehabilitation",1.2,"Ukraine",2020,1844967.14823703,1844967.14823703,0
"Pulmonary rehabilitation",1.2,"Ukraine",2021,1860875.32336871,1860875.32336871,0
"Pulmonary rehabilitation",1.2,"Ukraine",2022,1870502.21704984,1870502.21704984,0
"Pulmonary rehabilitation",1.2,"Ukraine",2023,2024050.14374452,1873810.54245094,150239.601293582
"Pulmonary rehabilitation",1.2,"Ukraine",2024,2172750.20289121,1871539.09385864,301211.109032564
"Pulmonary rehabilitation",1.2,"Ukraine",2025,2319234.36191928,1865589.07076669,453645.29115259
"Pulmonary rehabilitation",1.2,"Ukraine",2026,2489701.19632994,1874902.14179755,614799.054532391
"Pulmonary rehabilitation",1.2,"Ukraine",2027,2663381.19567441,1880830.71657668,782550.479097735
"Pulmonary rehabilitation",1.2,"Ukraine",2028,2843008.97385345,1884826.46232848,958182.51152497
"Pulmonary rehabilitation",1.2,"Ukraine",2029,3030022.44679078,1887530.05516405,1142492.39162673
"Pulmonary rehabilitation",1.2,"Ukraine",2030,3224465.05276748,1889075.06201412,1335389.99075336
"Depression chronic treatment",2.1,"Ukraine",2020,0,0,0
"Depression chronic treatment",2.1,"Ukraine",2021,0,0,0
"Depression chronic treatment",2.1,"Ukraine",2022,0,0,0
"Depression chronic treatment",2.1,"Ukraine",2023,0,0,0
"Depression chronic treatment",2.1,"Ukraine",2024,0,0,0
"Depression chronic treatment",2.1,"Ukraine",2025,0,0,0
"Depression chronic treatment",2.1,"Ukraine",2026,0,0,0
"Depression chronic treatment",2.1,"Ukraine",2027,0,0,0
"Depression chronic treatment",2.1,"Ukraine",2028,0,0,0
"Depression chronic treatment",2.1,"Ukraine",2029,0,0,0
"Depression chronic treatment",2.1,"Ukraine",2030,0,0,0
"Bipolar disorder chronic treatment",2.11,"Ukraine",2020,3906005.18875229,3906005.18875229,0
"Bipolar disorder chronic treatment",2.11,"Ukraine",2021,3879923.57766067,3879923.57766067,0
"Bipolar disorder chronic treatment",2.11,"Ukraine",2022,3853696.3827539,3853696.3827539,0
"Bipolar disorder chronic treatment",2.11,"Ukraine",2023,13699278.8230499,3829071.32353424,9870207.49951563
"Bipolar disorder chronic treatment",2.11,"Ukraine",2024,23438414.6955572,3807441.84801921,19630972.847538
"Bipolar disorder chronic treatment",2.11,"Ukraine",2025,33104094.0194838,3789211.02868163,29314882.9908022
"Bipolar disorder chronic treatment",2.11,"Ukraine",2026,42637709.394312,3765989.92735451,38871719.4669575
"Bipolar disorder chronic treatment",2.11,"Ukraine",2027,52127025.1735338,3746016.39243617,48381008.7810976
"Bipolar disorder chronic treatment",2.11,"Ukraine",2028,61591852.4394521,3728206.06656346,57863646.3728886
"Bipolar disorder chronic treatment",2.11,"Ukraine",2029,71030812.046624,3710999.46199506,67319812.584629
"Bipolar disorder chronic treatment",2.11,"Ukraine",2030,80447867.5572182,3693938.99058586,76753928.5666324
"Schizophrenia chronic treatment",2.12,"Ukraine",2020,23416762.7055857,23416762.7055857,0
"Schizophrenia chronic treatment",2.12,"Ukraine",2021,23259835.726788,23259835.726788,0
"Schizophrenia chronic treatment",2.12,"Ukraine",2022,23083855.6958892,23083855.6958892,0
"Schizophrenia chronic treatment",2.12,"Ukraine",2023,25765175.247146,22902377.9974632,2862797.24968289
"Schizophrenia chronic treatment",2.12,"Ukraine",2024,28413110.0715127,22728774.469564,5684335.6019487
"Schizophrenia chronic treatment",2.12,"Ukraine",2025,31042868.3557008,22569297.489532,8473570.86616879
"Schizophrenia chronic treatment",2.12,"Ukraine",2026,33580475.1869107,22368308.1651462,11212167.0217645
"Schizophrenia chronic treatment",2.12,"Ukraine",2027,36105097.4190032,22181599.1937341,13923498.2252691
"Schizophrenia chronic treatment",2.12,"Ukraine",2028,38621005.3366061,22006448.4172914,16614556.9193147
"Schizophrenia chronic treatment",2.12,"Ukraine",2029,41127361.3883977,21838561.4366373,19288799.9517604
"Schizophrenia chronic treatment",2.12,"Ukraine",2030,43627777.3187509,21677483.716344,21950293.6024069
"Epilepsy acute and chronic treatment",2.13,"Ukraine",2020,2167271.9746277,2167271.9746277,0
"Epilepsy acute and chronic treatment",2.13,"Ukraine",2021,2157878.46658745,2157878.46658745,0
"Epilepsy acute and chronic treatment",2.13,"Ukraine",2022,2146521.26561242,2146521.26561242,0
"Epilepsy acute and chronic treatment",2.13,"Ukraine",2023,2293505.43295387,2133493.4260036,160012.006950269
"Epilepsy acute and chronic treatment",2.13,"Ukraine",2024,2437656.50664024,2119355.10074134,318301.405898899
"Epilepsy acute and chronic treatment",2.13,"Ukraine",2025,2580342.23660941,2104942.80536016,475399.431249248
"Epilepsy acute and chronic treatment",2.13,"Ukraine",2026,2725401.45140632,2092709.45746286,632691.993943461
"Epilepsy acute and chronic treatment",2.13,"Ukraine",2027,2870119.36076019,2079889.75971029,790229.601049899
"Epilepsy acute and chronic treatment",2.13,"Ukraine",2028,3015333.59945704,2066806.89331533,948526.706141718
"Epilepsy acute and chronic treatment",2.13,"Ukraine",2029,3161528.89208342,2053597.22988323,1107931.66220019
"Epilepsy acute and chronic treatment",2.13,"Ukraine",2030,3308890.23544445,2040333.40625026,1268556.8291942
"Asthma/COPD chronic treatment",2.14,"Ukraine",2020,33297929.6787312,33297929.6787312,0
"Asthma/COPD chronic treatment",2.14,"Ukraine",2021,33235287.3406189,33235287.3406189,0
"Asthma/COPD chronic treatment",2.14,"Ukraine",2022,33119464.6723462,33119464.6723462,0
"Asthma/COPD chronic treatment",2.14,"Ukraine",2023,35592881.0517303,32950920.6859614,2641960.36576888
"Asthma/COPD chronic treatment",2.14,"Ukraine",2024,37996686.0643258,32739501.0609349,5257185.00339086
"Asthma/COPD chronic treatment",2.14,"Ukraine",2025,40363501.2594573,32511175.1036934,7852326.15576387
"Asthma/COPD chronic treatment",2.14,"Ukraine",2026,42795129.2678164,32336106.6874704,10459022.580346
"Asthma/COPD chronic treatment",2.14,"Ukraine",2027,45212154.3257724,32140604.725744,13071549.6000284
"Asthma/COPD chronic treatment",2.14,"Ukraine",2028,47635851.8270455,31936132.7179104,15699719.1091351
"Asthma/COPD chronic treatment",2.14,"Ukraine",2029,50081660.8846489,31730044.5609787,18351616.3236703
"Asthma/COPD chronic treatment",2.14,"Ukraine",2030,52547547.5056771,31520427.8469142,21027119.6587629
"Diabetes screening and treatment",2.3,"Ukraine",2020,504615935.775344,504615935.775344,0
"Diabetes screening and treatment",2.3,"Ukraine",2021,505621433.200502,505621433.200502,0
"Diabetes screening and treatment",2.3,"Ukraine",2022,505855628.645505,505855628.645505,0
"Diabetes screening and treatment",2.3,"Ukraine",2023,546191559.485282,505649282.21977,40542277.2655113
"Diabetes screening and treatment",2.3,"Ukraine",2024,586575774.299277,505373610.143785,81202164.1554917
"Diabetes screening and treatment",2.3,"Ukraine",2025,627582170.806083,505306853.844153,122275316.961929
"Diabetes screening and treatment",2.3,"Ukraine",2026,669839574.983322,505666249.598065,164173325.385257
"Diabetes screening and treatment",2.3,"Ukraine",2027,713050287.762756,505984336.206369,207065951.556386
"Diabetes screening and treatment",2.3,"Ukraine",2028,757509510.318558,506318513.471412,251190996.847146
"Diabetes screening and treatment",2.3,"Ukraine",2029,803300242.965618,506619192.169589,296681050.796029
"Diabetes screening and treatment",2.3,"Ukraine",2030,850478313.406814,506885437.740651,343592875.666163
"CVD primary prevention",2.4,"Ukraine",2020,109550186.849895,109550186.849895,0
"CVD primary prevention",2.4,"Ukraine",2021,109538302.82773,109538302.82773,0
"CVD primary prevention",2.4,"Ukraine",2022,109282228.138028,109282228.138028,0
"CVD primary prevention",2.4,"Ukraine",2023,117583285.861866,108855406.248175,8727879.61369096
"CVD primary prevention",2.4,"Ukraine",2024,125745916.376312,108348978.158353,17396938.2179599
"CVD primary prevention",2.4,"Ukraine",2025,133861311.213677,107824386.222852,26036924.9908251
"CVD primary prevention",2.4,"Ukraine",2026,141865251.572611,107206107.08859,34659144.4840212
"CVD primary prevention",2.4,"Ukraine",2027,149850324.520972,106551536.226,43298788.2949712
"CVD primary prevention",2.4,"Ukraine",2028,157853288.237043,105871346.132398,51981942.1046451
"CVD primary prevention",2.4,"Ukraine",2029,165882238.497833,105161303.44698,60720935.0508533
"CVD primary prevention",2.4,"Ukraine",2030,173953875.820519,104430798.294237,69523077.5262819
"Aspirin for suspected ACS",2.5,"Ukraine",2020,114276.144732966,114276.144732966,0
"Aspirin for suspected ACS",2.5,"Ukraine",2021,114775.925661528,114775.925661528,0
"Aspirin for suspected ACS",2.5,"Ukraine",2022,115205.472510424,115205.472510424,0
"Aspirin for suspected ACS",2.5,"Ukraine",2023,124892.253898253,115621.849956769,9270.40394148395
"Aspirin for suspected ACS",2.5,"Ukraine",2024,134734.557532793,116088.439305418,18646.1182273748
"Aspirin for suspected ACS",2.5,"Ukraine",2025,144838.382608097,116643.523536961,28194.8590711367
"Aspirin for suspected ACS",2.5,"Ukraine",2026,155199.126081914,117226.238669602,37972.8874123124
"Aspirin for suspected ACS",2.5,"Ukraine",2027,165891.899837929,117851.501621049,48040.3982168801
"Aspirin for suspected ACS",2.5,"Ukraine",2028,176882.54399308,118461.754208134,58420.789784946
"Aspirin for suspected ACS",2.5,"Ukraine",2029,188029.913423935,118950.417139281,69079.496284654
"Aspirin for suspected ACS",2.5,"Ukraine",2030,199215.467074729,119255.870515172,79959.5965595572
"CVD secondary prevention",2.6,"Ukraine",2020,397027457.011148,397027457.011148,0
"CVD secondary prevention",2.6,"Ukraine",2021,400665755.934186,400665755.934186,0
"CVD secondary prevention",2.6,"Ukraine",2022,402920669.39091,402920669.39091,0
"CVD secondary prevention",2.6,"Ukraine",2023,436441204.797435,404045390.494361,32395814.3030737
"CVD secondary prevention",2.6,"Ukraine",2024,469562781.17648,404435745.874437,65127035.3020434
"CVD secondary prevention",2.6,"Ukraine",2025,503111065.911119,404572092.787715,98538973.1234037
"CVD secondary prevention",2.6,"Ukraine",2026,542167277.450063,407963538.048532,134203739.401532
"CVD secondary prevention",2.6,"Ukraine",2027,582579650.609067,410781891.493459,171797759.115608
"CVD secondary prevention",2.6,"Ukraine",2028,624951075.498688,413279808.368069,211671267.13062
"CVD secondary prevention",2.6,"Ukraine",2029,669521331.130037,415498533.018527,254022798.11151
"CVD secondary prevention",2.6,"Ukraine",2030,716295352.843161,417433321.358845,298862031.484316
"Heart failure chronic treatment",2.7,"Ukraine",2020,10311925.1647049,10311925.1647049,0
"Heart failure chronic treatment",2.7,"Ukraine",2021,10431479.1008256,10431479.1008256,0
"Heart failure chronic treatment",2.7,"Ukraine",2022,10510629.8997885,10510629.8997885,0
"Heart failure chronic treatment",2.7,"Ukraine",2023,11389787.5815085,10544355.3918204,845432.189688094
"Heart failure chronic treatment",2.7,"Ukraine",2024,12230491.9925329,10533564.638536,1696927.35399688
"Heart failure chronic treatment",2.7,"Ukraine",2025,13049802.636078,10491377.240899,2558425.39517896
"Heart failure chronic treatment",2.7,"Ukraine",2026,14051436.8692297,10566668.8927434,3484767.97648628
"Heart failure chronic treatment",2.7,"Ukraine",2027,15074252.0453282,10615930.9806869,4458321.06464126
"Heart failure chronic treatment",2.7,"Ukraine",2028,16140300.974128,10651886.1256815,5488414.84844654
"Heart failure chronic treatment",2.7,"Ukraine",2029,17260819.4573328,10679948.6093882,6580870.84794459
"Heart failure chronic treatment",2.7,"Ukraine",2030,18434054.3241772,10699841.1008399,7734213.22333728
"Alcohol use screening/brief intervention",2.9,"Ukraine",2020,925309.765936119,925309.765936119,0
"Alcohol use screening/brief intervention",2.9,"Ukraine",2021,920220.958042117,920220.958042117,0
"Alcohol use screening/brief intervention",2.9,"Ukraine",2022,914325.901245532,914325.901245532,0
"Alcohol use screening/brief intervention",2.9,"Ukraine",2023,9876177.15797748,908154.221423216,8968022.93655426
"Alcohol use screening/brief intervention",2.9,"Ukraine",2024,18723628.9882416,902244.271122379,17821384.7171192
"Alcohol use screening/brief intervention",2.9,"Ukraine",2025,27480753.0660623,896904.870559627,26583848.1955027
"Alcohol use screening/brief intervention",2.9,"Ukraine",2026,36096634.9797592,890185.696906544,35206449.2828527
"Alcohol use screening/brief intervention",2.9,"Ukraine",2027,44641205.4107024,884017.057652887,43757188.3530495
"Alcohol use screening/brief intervention",2.9,"Ukraine",2028,53143022.3498508,878363.880273827,52264658.469577
"Alcohol use screening/brief intervention",2.9,"Ukraine",2029,61621168.1212892,873090.020274344,60748078.1010149
"Alcohol use screening/brief intervention",2.9,"Ukraine",2030,70097802.9345212,868197.762788936,69229605.1717322
"Medical management of ACS",3.1,"Ukraine",2020,106258137.295354,106258137.295354,0
"Medical management of ACS",3.1,"Ukraine",2021,107900915.926904,107900915.926904,0
"Medical management of ACS",3.1,"Ukraine",2022,108988833.313576,108988833.313576,0
"Medical management of ACS",3.1,"Ukraine",2023,131046366.601199,109425922.279789,21620444.3214099
"Medical management of ACS",3.1,"Ukraine",2024,152461549.772616,109195342.439533,43266207.333083
"Medical management of ACS",3.1,"Ukraine",2025,173301119.014737,108458344.552913,64842774.4618235
"Medical management of ACS",3.1,"Ukraine",2026,197371519.260522,109342709.994646,88028809.2658765
"Medical management of ACS",3.1,"Ukraine",2027,221886703.623691,109824341.597792,112062362.0259
"Medical management of ACS",3.1,"Ukraine",2028,247271166.348543,110091079.068963,137180087.279579
