"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Uzbekistan",2020,11934.4525231411,11934.4525231411,0
"IDU harm reduction measures",1.1,"Uzbekistan",2021,12057.4104534153,12057.4104534153,0
"IDU harm reduction measures",1.1,"Uzbekistan",2022,12171.304627618,12171.304627618,0
"IDU harm reduction measures",1.1,"Uzbekistan",2023,133544.714185408,12279.9737181985,121264.74046721
"IDU harm reduction measures",1.1,"Uzbekistan",2024,257075.207832847,12386.5226462559,244688.685186591
"IDU harm reduction measures",1.1,"Uzbekistan",2025,382881.401405691,12494.6356317602,370386.765773931
"IDU harm reduction measures",1.1,"Uzbekistan",2026,511578.830405664,12616.7220609199,498962.108344744
"IDU harm reduction measures",1.1,"Uzbekistan",2027,642732.773053899,12734.8584678274,629997.914586071
"IDU harm reduction measures",1.1,"Uzbekistan",2028,776703.165188691,12856.1841796154,763846.981009076
"IDU harm reduction measures",1.1,"Uzbekistan",2029,914190.470922678,12988.7801605414,901201.690762136
"IDU harm reduction measures",1.1,"Uzbekistan",2030,1055803.77523265,13135.708937973,1042668.06629467
"Pulmonary rehabilitation",1.2,"Uzbekistan",2020,223496.611827104,223496.611827104,0
"Pulmonary rehabilitation",1.2,"Uzbekistan",2021,231237.135554345,231237.135554345,0
"Pulmonary rehabilitation",1.2,"Uzbekistan",2022,239051.072378411,239051.072378411,0
"Pulmonary rehabilitation",1.2,"Uzbekistan",2023,272771.937239003,246886.263193484,25885.6740455197
"Pulmonary rehabilitation",1.2,"Uzbekistan",2024,308543.283885155,254619.633240218,53923.6506449372
"Pulmonary rehabilitation",1.2,"Uzbekistan",2025,346354.275276719,262232.897985978,84121.3772907414
"Pulmonary rehabilitation",1.2,"Uzbekistan",2026,387911.820069134,270817.823335362,117093.996733772
"Pulmonary rehabilitation",1.2,"Uzbekistan",2027,431563.664368043,279051.233078789,152512.431289254
"Pulmonary rehabilitation",1.2,"Uzbekistan",2028,477484.044357473,287073.36881384,190410.675543633
"Pulmonary rehabilitation",1.2,"Uzbekistan",2029,525940.409859776,295069.984440699,230870.425419077
"Pulmonary rehabilitation",1.2,"Uzbekistan",2030,577072.987684027,303146.716968328,273926.270715699
"Depression chronic treatment",2.1,"Uzbekistan",2020,1076863.05932117,1076863.05932117,0
"Depression chronic treatment",2.1,"Uzbekistan",2021,1096018.62941706,1096018.62941706,0
