"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Vanuatu",2020,90.9620969966553,90.9620969966553,0
"IDU harm reduction measures",1.1,"Vanuatu",2021,93.0475298828044,93.0475298828044,0
"IDU harm reduction measures",1.1,"Vanuatu",2022,95.3005253304311,95.3005253304311,0
"IDU harm reduction measures",1.1,"Vanuatu",2023,1062.51709062764,97.7027209772539,964.814369650382
"IDU harm reduction measures",1.1,"Vanuatu",2024,2079.60962822503,100.214308131065,1979.39532009397
"IDU harm reduction measures",1.1,"Vanuatu",2025,3149.77724507339,102.82316034173,3046.95408473166
"IDU harm reduction measures",1.1,"Vanuatu",2026,4279.43223597108,105.60487051836,4173.82736545272
"IDU harm reduction measures",1.1,"Vanuatu",2027,5471.10594612111,108.497499543628,5362.60844657748
"IDU harm reduction measures",1.1,"Vanuatu",2028,6727.05532025958,111.474858968464,6615.58046129112
"IDU harm reduction measures",1.1,"Vanuatu",2029,8048.65800647851,114.513374928468,7934.14463155004
"IDU harm reduction measures",1.1,"Vanuatu",2030,9437.11183423531,117.600125485548,9319.51170874976
"Pulmonary rehabilitation",1.2,"Vanuatu",2020,775.815760849755,775.815760849755,0
"Pulmonary rehabilitation",1.2,"Vanuatu",2021,802.015255657145,802.015255657145,0
"Pulmonary rehabilitation",1.2,"Vanuatu",2022,828.76886500139,828.76886500139,0
"Pulmonary rehabilitation",1.2,"Vanuatu",2023,1376.02371659171,854.839877659508,521.183838932204
"Pulmonary rehabilitation",1.2,"Vanuatu",2024,1955.54507162005,880.284929380081,1075.26014223997
"Pulmonary rehabilitation",1.2,"Vanuatu",2025,2566.95706674854,904.583282351253,1662.37378439729
"Pulmonary rehabilitation",1.2,"Vanuatu",2026,3242.14058436507,936.494575925744,2305.64600843933
"Pulmonary rehabilitation",1.2,"Vanuatu",2027,3965.08671480031,967.700386057716,2997.3863287426
"Pulmonary rehabilitation",1.2,"Vanuatu",2028,4738.75961730611,998.366071703793,3740.39354560232
"Pulmonary rehabilitation",1.2,"Vanuatu",2029,5568.82733000552,1029.20986577784,4539.61746422768
"Pulmonary rehabilitation",1.2,"Vanuatu",2030,6458.165145265,1060.56432996809,5397.60081529691
"Depression chronic treatment",2.1,"Vanuatu",2020,0,0,0
