"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Yemen",2020,12163.6297188263,12163.6297188263,0
"IDU harm reduction measures",1.1,"Yemen",2021,12505.7739955855,12505.7739955855,0
"IDU harm reduction measures",1.1,"Yemen",2022,12839.444440462,12839.444440462,0
"IDU harm reduction measures",1.1,"Yemen",2023,143210.495266624,13168.7811739424,130041.714092681
"IDU harm reduction measures",1.1,"Yemen",2024,280134.251217962,13500.1641773927,266634.087040569
"IDU harm reduction measures",1.1,"Yemen",2025,423800.878722925,13837.1209631078,409963.757759818
"IDU harm reduction measures",1.1,"Yemen",2026,574251.664875916,14175.6581722403,560076.006703675
"IDU harm reduction measures",1.1,"Yemen",2027,731775.502145661,14519.5736903151,717255.928455346
"IDU harm reduction measures",1.1,"Yemen",2028,896577.027703175,14868.6350871043,881708.392616071
"IDU harm reduction measures",1.1,"Yemen",2029,1068784.74254992,15221.61113929,1053563.13141063
"IDU harm reduction measures",1.1,"Yemen",2030,1248520.52571531,15577.831169654,1232942.69454566
"Pulmonary rehabilitation",1.2,"Yemen",2020,170792.508126266,170792.508126266,0
"Pulmonary rehabilitation",1.2,"Yemen",2021,177658.780608412,177658.780608412,0
"Pulmonary rehabilitation",1.2,"Yemen",2022,184684.048311436,184684.048311436,0
"Pulmonary rehabilitation",1.2,"Yemen",2023,220444.087368687,191866.84068513,28577.2466835568
"Pulmonary rehabilitation",1.2,"Yemen",2024,258635.335424545,199223.861429502,59411.4739950421
"Pulmonary rehabilitation",1.2,"Yemen",2025,299490.1486465,206770.580468416,92719.5681780838
"Pulmonary rehabilitation",1.2,"Yemen",2026,343861.824742182,214867.670834436,128994.153907747
"Pulmonary rehabilitation",1.2,"Yemen",2027,391513.943420644,223116.32148957,168397.621931074
"Pulmonary rehabilitation",1.2,"Yemen",2028,442789.647228439,231545.783880725,211243.863347714
"Pulmonary rehabilitation",1.2,"Yemen",2029,498060.721535623,240202.578465335,257858.143070288
"Pulmonary rehabilitation",1.2,"Yemen",2030,557652.98609222,249126.545299351,308526.440792869
"Depression chronic treatment",2.1,"Yemen",2020,0,0,0
"Depression chronic treatment",2.1,"Yemen",2021,0,0,0
"Depression chronic treatment",2.1,"Yemen",2022,0,0,0
"Depression chronic treatment",2.1,"Yemen",2023,0,0,0
"Depression chronic treatment",2.1,"Yemen",2024,0,0,0
"Depression chronic treatment",2.1,"Yemen",2025,0,0,0
"Depression chronic treatment",2.1,"Yemen",2026,0,0,0
"Depression chronic treatment",2.1,"Yemen",2027,0,0,0
"Depression chronic treatment",2.1,"Yemen",2028,0,0,0
