"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Zimbabwe",2020,11269.4749451098,11269.4749451098,0
"IDU harm reduction measures",1.1,"Zimbabwe",2021,11537.8818706753,11537.8818706753,0
"IDU harm reduction measures",1.1,"Zimbabwe",2022,11794.6194043123,11794.6194043123,0
"IDU harm reduction measures",1.1,"Zimbabwe",2023,131101.755127747,12055.3338048503,119046.421322896
"IDU harm reduction measures",1.1,"Zimbabwe",2024,256112.659782265,12342.4228201676,243770.236962098
"IDU harm reduction measures",1.1,"Zimbabwe",2025,387928.876690533,12665.8336174381,375263.043073095
"IDU harm reduction measures",1.1,"Zimbabwe",2026,527925.211066413,13032.4182819081,514892.792784505
"IDU harm reduction measures",1.1,"Zimbabwe",2027,677150.79018965,13437.1294518965,663713.660737753
"IDU harm reduction measures",1.1,"Zimbabwe",2028,836413.428989998,13874.207694708,822539.22129529
"IDU harm reduction measures",1.1,"Zimbabwe",2029,1005883.79725245,14332.0773841736,991551.719868275
"IDU harm reduction measures",1.1,"Zimbabwe",2030,1185677.14648846,14804.2343490149,1170872.91213945
"Pulmonary rehabilitation",1.2,"Zimbabwe",2020,42827.9765969854,42827.9765969854,0
"Pulmonary rehabilitation",1.2,"Zimbabwe",2021,44232.3352585788,44232.3352585788,0
"Pulmonary rehabilitation",1.2,"Zimbabwe",2022,45611.3629950654,45611.3629950654,0
"Pulmonary rehabilitation",1.2,"Zimbabwe",2023,54315.1865950607,47020.7009857216,7294.48560933913
"Pulmonary rehabilitation",1.2,"Zimbabwe",2024,63635.1470215172,48545.3594287411,15089.7875927761
"Pulmonary rehabilitation",1.2,"Zimbabwe",2025,73693.6466783558,50217.3001744668,23476.346503889
"Pulmonary rehabilitation",1.2,"Zimbabwe",2026,84528.8466595633,51998.0355228409,32530.8111367224
"Pulmonary rehabilitation",1.2,"Zimbabwe",2027,96321.8608437799,53945.0008029301,42376.8600408497
"Pulmonary rehabilitation",1.2,"Zimbabwe",2028,109131.806878461,56035.8084075261,53095.9984709345
"Pulmonary rehabilitation",1.2,"Zimbabwe",2029,122931.368358353,58218.725730456,64712.6426278968
"Pulmonary rehabilitation",1.2,"Zimbabwe",2030,137707.438036498,60470.0929213741,77237.3451151238
"Depression chronic treatment",2.1,"Zimbabwe",2020,0,0,0
"Depression chronic treatment",2.1,"Zimbabwe",2021,0,0,0
"Depression chronic treatment",2.1,"Zimbabwe",2022,0,0,0
"Depression chronic treatment",2.1,"Zimbabwe",2023,0,0,0
"Depression chronic treatment",2.1,"Zimbabwe",2024,0,0,0
"Depression chronic treatment",2.1,"Zimbabwe",2025,0,0,0
"Depression chronic treatment",2.1,"Zimbabwe",2026,0,0,0
"Depression chronic treatment",2.1,"Zimbabwe",2027,0,0,0
"Depression chronic treatment",2.1,"Zimbabwe",2028,0,0,0
"Depression chronic treatment",2.1,"Zimbabwe",2029,0,0,0
"Depression chronic treatment",2.1,"Zimbabwe",2030,0,0,0
"Bipolar disorder chronic treatment",2.11,"Zimbabwe",2020,371787.191756173,371787.191756173,0
"Bipolar disorder chronic treatment",2.11,"Zimbabwe",2021,381666.761262781,381666.761262781,0
"Bipolar disorder chronic treatment",2.11,"Zimbabwe",2022,391345.039284434,391345.039284434,0
"Bipolar disorder chronic treatment",2.11,"Zimbabwe",2023,1435792.55641527,401316.899621265,1034475.65679401
"Bipolar disorder chronic treatment",2.11,"Zimbabwe",2024,2537577.9269798,412226.743366653,2125351.18361315
"Bipolar disorder chronic treatment",2.11,"Zimbabwe",2025,3705674.59292774,424237.781845079,3281436.81108266
"Bipolar disorder chronic treatment",2.11,"Zimbabwe",2026,4940864.82212459,436631.327182411,4504233.49494218
"Bipolar disorder chronic treatment",2.11,"Zimbabwe",2027,6256909.60013206,450152.800382027,5806756.79975003
"Bipolar disorder chronic treatment",2.11,"Zimbabwe",2028,7657149.44761339,464446.938684557,7192702.50892884
"Bipolar disorder chronic treatment",2.11,"Zimbabwe",2029,9136321.14527357,478900.795047488,8657420.35022608
"Bipolar disorder chronic treatment",2.11,"Zimbabwe",2030,10692088.6746285,493332.471069202,10198756.2035592
"Schizophrenia chronic treatment",2.12,"Zimbabwe",2020,863439.117112333,863439.117112333,0
"Schizophrenia chronic treatment",2.12,"Zimbabwe",2021,886907.778066493,886907.778066493,0
"Schizophrenia chronic treatment",2.12,"Zimbabwe",2022,909603.740459719,909603.740459719,0
"Schizophrenia chronic treatment",2.12,"Zimbabwe",2023,1189062.74427264,932598.230802071,256464.51347057
"Schizophrenia chronic treatment",2.12,"Zimbabwe",2024,1484144.68194841,957452.170994638,526692.510953773
"Schizophrenia chronic treatment",2.12,"Zimbabwe",2025,1797575.16566291,984762.876864236,812812.288798672
"Schizophrenia chronic treatment",2.12,"Zimbabwe",2026,2129282.54637212,1013474.31682903,1115808.22954309
"Schizophrenia chronic treatment",2.12,"Zimbabwe",2027,2484208.35821366,1045126.86326551,1439081.49494815
"Schizophrenia chronic treatment",2.12,"Zimbabwe",2028,2863730.96809871,1079277.46033022,1784453.50776849
"Schizophrenia chronic treatment",2.12,"Zimbabwe",2029,3267343.90207896,1115009.42963882,2152334.47244014
"Schizophrenia chronic treatment",2.12,"Zimbabwe",2030,3695110.56908041,1151905.05889992,2543205.51018049
"Epilepsy acute and chronic treatment",2.13,"Zimbabwe",2020,19035.515263837,19035.515263837,0
"Epilepsy acute and chronic treatment",2.13,"Zimbabwe",2021,19403.7669179627,19403.7669179627,0
"Epilepsy acute and chronic treatment",2.13,"Zimbabwe",2022,19765.9010339697,19765.9010339697,0
"Epilepsy acute and chronic treatment",2.13,"Zimbabwe",2023,84721.2601416701,20131.7845881196,64589.4755535505
"Epilepsy acute and chronic treatment",2.13,"Zimbabwe",2024,152180.986380266,20516.8464525367,131664.139927729
"Epilepsy acute and chronic treatment",2.13,"Zimbabwe",2025,222473.863915614,20932.1186317665,201541.745283847
"Epilepsy acute and chronic treatment",2.13,"Zimbabwe",2026,295791.385280169,21367.5649340696,274423.8203461
"Epilepsy acute and chronic treatment",2.13,"Zimbabwe",2027,372490.719462968,21830.1687074642,350660.550755504
"Epilepsy acute and chronic treatment",2.13,"Zimbabwe",2028,452761.362591992,22314.1820928159,430447.180499176
"Epilepsy acute and chronic treatment",2.13,"Zimbabwe",2029,536626.595610261,22810.260623853,513816.334986408
"Epilepsy acute and chronic treatment",2.13,"Zimbabwe",2030,624146.044504805,23315.5107617522,600830.533743053
"Asthma/COPD chronic treatment",2.14,"Zimbabwe",2020,2792884.29276101,2792884.29276101,0
"Asthma/COPD chronic treatment",2.14,"Zimbabwe",2021,2852980.6625364,2852980.6625364,0
"Asthma/COPD chronic treatment",2.14,"Zimbabwe",2022,2910141.87181826,2910141.87181826,0
"Asthma/COPD chronic treatment",2.14,"Zimbabwe",2023,3426000.88653957,2965891.73970441,460109.146835162
"Asthma/COPD chronic treatment",2.14,"Zimbabwe",2024,3961635.63787919,3023107.28006976,938528.35780943
