"","Code","sum_increment_all","sum_ly_all","ICER","ICER_rank","Country","NCD_region","World_bank","iso3","q30diff","ICER2","ICER_rank2"
"1",1.1,65012300.3261795,71950.0674291109,903.575252243276,19,"India","South Asia","LMIC","IND",0.0100357865771663,0.000154367504715489,25
"2",1.2,57174121.1029151,355056.30993313,161.028320025303,10,"India","South Asia","LMIC","IND",0.305033602853152,0.00533516907595453,9
"3",2.1,123221175.686186,308993.686371326,398.782179445919,14,"India","South Asia","LMIC","IND",0.0502614891664795,0.000407896523357992,22
"4",2.11,1034212010.68051,117908.200116191,8771.33235569162,29,"India","South Asia","LMIC","IND",0.0010069163040989,9.73607242712597e-07,29
"5",2.12,849002525.553107,285247.108739661,2976.37556890357,26,"India","South Asia","LMIC","IND",0.000487642510087559,5.74371094797239e-07,30
"6",2.13,238969943.982135,1204639.24098212,198.374696633083,11,"India","South Asia","LMIC","IND",0.142910629122197,0.000598027629503401,19
"7",2.14,1291184237.04977,366352.640036312,3524.43000525883,27,"India","South Asia","LMIC","IND",0.347272809755794,0.000268956822574972,23
"8",2.3,21458736814.8477,2017950.46113587,10633.9264655531,31,"India","South Asia","LMIC","IND",1.60031446439417,7.45763591865708e-05,27
"9",2.4,3082354364.28996,12040097.4506687,256.007426594274,13,"India","South Asia","LMIC","IND",14.4569393689622,0.00469022625576422,11
"10",2.5,2317141.1494126,43193.3883854821,53.6457369061469,6,"India","South Asia","LMIC","IND",0.0539590352737784,0.0232869004494859,5
"11",2.6,6772048180.72536,9261731.21713425,731.18599773194,17,"India","South Asia","LMIC","IND",10.9823400340652,0.00162171616931538,14
"12",2.7,217328379.367701,4434887.09897482,49.0042642614147,5,"India","South Asia","LMIC","IND",5.09597686634965,0.0234482808051851,4
"13",2.9,826708855.473541,386660.5629344,2138.07389406248,25,"India","South Asia","LMIC","IND",0.125453589476558,0.000151750629796626,26
"14",3.1,2454831752.15055,3876789.99432773,633.212465916983,16,"India","South Asia","LMIC","IND",4.61063414995407,0.00187818743419582,13
"15",3.2,2186398149.28677,9608567.52668663,227.546732977035,12,"India","South Asia","LMIC","IND",11.0367542027026,0.00504791600116515,10
"16",3.3,963084413.14044,638514.584477039,1508.32014891129,22,"India","South Asia","LMIC","IND",0.611638244180605,0.000635082694554432,18
"17",3.4,2999392589.94054,6280373.56644197,477.581876015663,15,"India","South Asia","LMIC","IND",5.65947380301335,0.00188687330294617,12
"18",3.6,689505001.05372,456008.979423271,1512.04259601589,23,"India","South Asia","LMIC","IND",0.36540275682673,0.000529949393069392,20
"19",3.7,81700666.3067731,109898.390040148,743.420047162897,18,"India","South Asia","LMIC","IND",0.0623673736193909,0.00076336432049662,17
"20",3.8,4170468879.77152,430045.2893118,9697.74343173369,30,"India","South Asia","LMIC","IND",0.136642735258248,3.27643579648852e-05,28
"21",3.9,27336653.8293973,23827.7665217981,1147.26043686844,21,"India","South Asia","LMIC","IND",0.0229689637313702,0.000840225869439434,16
"22",4.1,1893632338.80282,391283.780111112,4839.53701905325,28,"India","South Asia","LMIC","IND",0.475388206889078,0.000251045674045483,24
"23",4.2,140813284.867727,66905.1164111551,2104.67139766083,24,"India","South Asia","LMIC","IND",0.0586293717629864,0.000416362503140667,21
"24",4.3,9527671.71900868,94076.887790781,101.275371058165,8,"India","South Asia","LMIC","IND",0.0981235731119907,0.010298798699815,8
"25",4.4,78961752.2902184,76229.7712703547,1035.83876711599,20,"India","South Asia","LMIC","IND",0.0904284856432523,0.00114521883089535,15
"26",5.1,7997158.98725942,1566030.60017078,5.10664286278144,2,"India","South Asia","LMIC","IND",1.78932886096372,0.223745565620787,1
"27",5.2,5598173.84430679,68461.0744997244,81.7716327886341,7,"India","South Asia","LMIC","IND",0.0861000365088401,0.0153800219327597,6
"28",5.3,6699891.88034291,568799.052017942,11.7790137950715,3,"India","South Asia","LMIC","IND",0.650678715133133,0.0971177933545744,2
"29",5.4,5139314.79053396,150335.778158529,34.1855734774896,4,"India","South Asia","LMIC","IND",0.189072436701751,0.0367894251292024,3
"30",5.5,0,1.49011611938477e-08,0,1,"India","South Asia","LMIC","IND",0,NA,31
"31",5.6,77842916.6580462,738706.053013895,105.377391102252,9,"India","South Asia","LMIC","IND",0.858048451503999,0.0110228199088851,7
