"","unique_id","year_id","Country","Class","Region","adjusted_uc","base_pin","base_total","adjust_pin","adjust_total","incremental"
"1","1.1_a",2023,"India","LMIC","South Asia",32.6295873585567,24034.6892993059,784241.994127471,264381.582292365,8626661.93540218,7842419.94127471
"2","1.1_a",2024,"India","LMIC","South Asia",32.6295873585567,24310.3058278549,793235.247723221,267413.374147552,8725588.05259397,7932352.80487075
"3","1.1_a",2025,"India","LMIC","South Asia",32.6295873585567,24570.8690693888,801737.31877528,270279.580226511,8819111.17423497,8017373.85545969
"4","1.1_a",2026,"India","LMIC","South Asia",32.6295873585567,24822.0427747095,809933.013135215,273042.501797396,8909264.16499701,8099331.15186179
"5","1.1_a",2027,"India","LMIC","South Asia",32.6295873585567,25060.5948191123,817716.867907617,275666.585498069,8994886.93334427,8177170.06543666
"6","1.1_a",2028,"India","LMIC","South Asia",32.6295873585567,25283.2768175935,824982.889630238,278116.099098961,9074813.55137057,8249830.66174033
"7","1.1_a",2029,"India","LMIC","South Asia",32.6295873585567,25488.0865532613,831665.746792094,280369.018103682,9148325.36884687,8316659.62205478
"8","1.1_a",2030,"India","LMIC","South Asia",32.6295873585567,25673.5078451334,837715.96703337,282408.664542848,9214878.1905142,8377162.22348083
"9","1.2_a",2023,"India","LMIC","South Asia",78.5110852107369,245578.465741676,19280631.8497667,327648.853332907,25724067.0432201,6443435.19345336
"10","1.2_a",2024,"India","LMIC","South Asia",78.5110852107369,252774.642377423,19845611.4868074,337256.874440898,26478403.2071362,6632791.72032874
"11","1.2_a",2025,"India","LMIC","South Asia",78.5110852107369,259964.835619182,20410121.3610928,346856.561252796,27232085.0364215,6821963.67532869
"12","1.2_a",2026,"India","LMIC","South Asia",78.5110852107369,268124.493527384,21050744.9584141,357749.881599413,28087331.4383826,7036586.47996844
"13","1.2_a",2027,"India","LMIC","South Asia",78.5110852107369,276161.750806434,21681758.7495102,368479.740760143,28929744.3252498,7247985.57573962
"14","1.2_a",2028,"India","LMIC","South Asia",78.5110852107369,284095.137953383,22304617.5838141,379070.739831947,29761255.1558431,7456637.57202899
"15","1.2_a",2029,"India","LMIC","South Asia",78.5110852107369,291975.675161412,22923327.1120601,389590.798657428,30587196.3907123,7663869.27865228
"16","1.2_a",2030,"India","LMIC","South Asia",78.5110852107369,299848.26281863,23541412.5124449,400099.731592603,31412264.1198598,7870851.60741498
