"","unique_id","cost_2023","cost_2024","cost_2025","cost_2026","cost_2027","cost_2028","cost_2029","cost_2030","senario","Country","Class","Region","total_cost","adjusted_uc","pin_sum"
"1","1.1_a",784241.994127471,793235.247723221,801737.31877528,809933.013135215,817716.867907617,824982.889630238,831665.746792094,837715.96703337,"Baseline","India","LMIC","South Asia",6501229.04512451,32.6295873585567,269635.524400989
"2","1.2_a",19280631.8497667,19845611.4868074,20410121.3610928,21050744.9584141,21681758.7495102,22304617.5838141,22923327.1120601,23541412.5124449,"Baseline","India","LMIC","South Asia",171038225.61391,78.5110852107369,2872235.78011491
"3","2.1_a",5373365.28175464,5469589.26685218,5564715.60723076,5656835.45006587,5747697.04820118,5837398.91277597,5926603.14966772,6015529.30470644,"Baseline","India","LMIC","South Asia",45591734.0212548,50.6473601998983,1207192.25991099
"4","2.11_a",45653970.412068,46323374.305548,46973562.8320945,47582431.9433926,48174570.8475329,48751309.97502,49319266.4817223,49879940.7219841,"Baseline","India","LMIC","South Asia",382658427.519362,231.950958912351,2222809.0390582
"5","2.12_a",402723006.922919,409304249.096714,415759212.92293,421870431.716684,427879106.09765,433761963.716896,439530838.522599,445181012.838847,"Baseline","India","LMIC","South Asia",3396009821.83524,231.950958912351,19680334.7877617
"6","2.13_a",1133626.57924816,1140911.05616536,1148305.75492906,1155742.11557599,1163002.47086319,1170124.96849986,1177087.15286841,1183923.96466042,"Baseline","India","LMIC","South Asia",9272724.06281045,4.7549946577032,2655734.71613057
"7","2.13_b",142914155.347113,144447357.526602,145951066.322122,147502392.948162,149008855.633167,150476468.52013,151914815.554114,153329864.498208,"Baseline","India","LMIC","South Asia",1185544976.34962,69.7001994649077,23026621.8520407
"8","2.14_a",123130277.462474,126535608.605747,129931163.12432,133783511.053498,137572738.490152,141307103.045433,145010514.985528,148703504.37021,"Baseline","India","LMIC","South Asia",1085974421.13736,30.0222472649118,47797078.2103114
"9","2.14_b",326678845.14178,332449428.621242,338250717.36114,344139385.224918,350025868.994722,355923979.981033,361860438.917242,367868601.974114,"Baseline","India","LMIC","South Asia",2777197266.21619,30.0222472649118,124038793.652547
"10","2.3_a",172217539.087938,176468885.739221,180774211.830615,185026218.520184,189298168.411143,193600322.373903,197960252.034658,202395503.252608,"Baseline","India","LMIC","South Asia",1497741101.25027,6.31882741546878,314902379.841967
"11","2.3_b",7056212.47192136,7160017.38363746,7261724.70626439,7360082.29525787,7456759.57766857,7551796.07679957,7645864.2742222,7738957.66922347,"Baseline","India","LMIC","South Asia",59231414.4549949,6.31882741546878,12625704.4043161
"12","2.3_c",6862144740.58964,7031543027.30321,7203092167.71622,7372516754.17998,7542735993.35594,7714158737.78203,7887883600.82058,8064609711.17865,"Baseline","India","LMIC","South Asia",59678684732.9262,314.723376502405,251921903.873574
"13","2.3_d",351450493.654086,356620730.181333,361686491.577791,366585411.975092,371400640.933061,376134146.998483,380819424.624815,385456150.029459,"Baseline","India","LMIC","South Asia",2950153489.97412,314.723376502405,12625704.4043161
"14","2.3_e",0,0,0,0,0,0,0,0,"Baseline","India","LMIC","South Asia",0,314.723376502405,0
"15","2.3_f",0,0,0,0,0,0,0,0,"Baseline","India","LMIC","South Asia",0,314.723376502405,0
"16","2.4_a",133396197.359316,136142407.942072,138881065.662278,141556879.447263,144220666.121645,146872936.448952,149527411.050399,152189541.001744,"Baseline","India","LMIC","South Asia",1142787105.03367,0.641430317059524,2380219341.62704
"17","2.4_b",408223163.901946,416627202.360508,425008127.31578,433196735.319176,441348537.587175,449465097.174102,457588402.348846,465735134.661829,"Baseline","India","LMIC","South Asia",3497192400.66936,39.2584974138891,119010967.081352
"18","2.4_c",275300481.082253,280968057.141782,286620045.750284,292142338.26593,297639809.464322,303113513.449309,308591766.572451,314085818.658019,"Baseline","India","LMIC","South Asia",2358461830.38435,26.4754285898536,119010967.081352
"19","2.4_d",180320415.958952,184032649.473822,187734673.287489,191351746.819484,194952562.514827,198537810.80618,202126038.759906,205724614.953726,"Baseline","India","LMIC","South Asia",1544780512.57439,61.9331113257761,33323070.7827786
"20","2.4_e",77084134.7030307,78671055.9996989,80253612.8100797,81799854.7144604,83339146.6500102,84871783.7658064,86405694.6402863,87944029.2242454,"Baseline","India","LMIC","South Asia",660369312.507618,26.4754285898536,33323070.7827786
"21","2.5_a",794491.442166273,815157.87631679,836010.673736515,856376.932449532,876871.679864336,897451.990874649,918148.711145592,938972.185823612,"Baseline","India","LMIC","South Asia",6933481.4923773,1.12529473055159,8174626.51942954
"22","2.6_a",975554424.535383,1006721551.44566,1038295166.78395,1072906492.08597,1107182146.51586,1141284703.03581,1175490836.7895,1210051552.71877,"Baseline","India","LMIC","South Asia",8727486873.9109,78.5169948277782,146094889.881209
"23","2.6_b",70462650.6337421,72355194.9391049,74286150.9583442,76187013.3847107,78099564.5547133,80031683.6391166,81997759.0422769,84008351.8439734,"Baseline","India","LMIC","South Asia",617428368.995982,78.5169948277782,10417316.4582883
"24","2.6_c",1050464260.85284,1084024615.97942,1118022672.5354,1155291695.49928,1192199272.45285,1228920459.83815,1265753177.83573,1302967705.28814,"Baseline","India","LMIC","South Asia",9397643860.28181,84.5460743775828,146094889.881209
"25","2.6_d",75873261.7618519,77911128.7479107,79990356.9657065,82037180.7958039,84096590.9123609,86177071.5035325,88294115.8151763,90459095.8800416,"Baseline","India","LMIC","South Asia",664838802.382384,84.5460743775828,10417316.4582883
"26","2.6_e",14204399.3320366,14634845.7353936,15070718.907382,15535712.6508255,15998864.5026663,16462240.1749369,16929562.2557696,17403998.2112278,"Baseline","India","LMIC","South Asia",126240341.770238,36.1123282628024,4605983.47306355
"27","2.6_f",30434273.4520877,31296451.9254759,32147682.7195548,33129009.9242675,34091288.5941856,35036715.2608794,35972078.192732,36902589.5788183,"Baseline","India","LMIC","South Asia",269010089.648001,199.414691793996,1780634.09539249
"28","2.6_g",39485453.3872043,40545067.5417693,41611921.4862998,42723016.5372812,43834561.793793,44949141.2297978,46073988.425038,47213928.7391281,"Baseline","India","LMIC","South Asia",346437079.140311,199.414691793996,2300170.83923467
"29","2.7_a",11279300.2056582,11645578.9464572,11994531.610123,12467882.786398,12919922.2307089,13350621.4090702,13762137.6640914,14156832.0622281,"Baseline","India","LMIC","South Asia",101576806.914735,20.6321915915674,6449455.90991804
"30","2.7_b",2335519.70492929,2411362.28390451,2483617.2826384,2581630.5440451,2675230.94569623,2764412.57927444,2849622.14945846,2931348.54448881,"Baseline","India","LMIC","South Asia",21032744.0344352,4.27215245089492,6449455.90991804
"31","2.7_c",13223.0978665681,13543.7744454203,13836.5565082272,14268.1764555822,14672.5872577627,15049.6262096415,15401.5242422791,15730.7490202574,"Baseline","India","LMIC","South Asia",115726.092005738,4.27215245089492,35870.1502775568
"32","2.7_d",1438215.52677227,1486203.843323,1532243.27955195,1594272.45718599,1653565.01889193,1710195.40135521,1764531.52606141,1816960.26451648,"Baseline","India","LMIC","South Asia",12996187.3176582,4.27215245089492,3980528.66736638
"33","2.7_e",11720.0598498215,12070.9650449375,12427.4751357651,12801.6198589486,13175.4948483164,13549.926060151,13926.5725360648,14307.2947460858,"Baseline","India","LMIC","South Asia",103979.408080091,4.27215245089492,32088.1557207117
"34","2.7_f",16431.4610864153,16946.3844212047,17452.1309956805,18115.1154777706,18755.0542508834,19372.3677640834,19970.2223118648,20552.3812704296,"Baseline","India","LMIC","South Asia",147595.117578332,4.27215245089492,45336.7645924069
"35","2.7_g",243024.545291927,248918.192949061,254299.173140031,262231.825722909,269664.407127268,276593.927029662,283061.387244645,289112.140462566,"Baseline","India","LMIC","South Asia",2126905.59896807,78.5169948277782,35870.1502775568
"36","2.7_h",26432661.843131,27314629.0588885,28160778.2115258,29300799.4714046,30390525.0404947,31431322.9750424,32429955.2269473,33393532.0265631,"Baseline","India","LMIC","South Asia",238854203.853997,78.5169948277782,3980528.66736638
"37","2.7_i",215400.524486649,221849.737548835,228401.961815012,235278.289294592,242149.659392884,249031.252187359,255953.558856219,262950.772588323,"Baseline","India","LMIC","South Asia",1911015.75616987,78.5169948277782,32088.1557207117
"38","2.7_j",301990.380718894,311454.048806368,320749.059138682,332933.912031808,344695.212667994,356040.688392505,367028.531868476,377727.909398648,"Baseline","India","LMIC","South Asia",2712619.74302337,78.5169948277782,45336.7645924069
"39","2.7_k",263858.095074269,270256.9822401,276099.252950312,284711.941009824,292781.688732149,300305.249445033,307327.139889245,313896.600665017,"Baseline","India","LMIC","South Asia",2309236.95000595,85.2479516475492,35870.1502775568
"40","2.7_l",28698631.2155958,29656206.0531012,30574892.2841377,31812643.136071,32995786.6431123,34125808.1396534,35210049.2534505,36256229.7472725,"Baseline","India","LMIC","South Asia",259330246.472394,85.2479516475492,3980528.66736638
"41","2.7_m",211635.660994176,217972.151922231,224409.853579919,231165.993634923,237917.262955894,244678.576296344,251479.89189648,258354.805301824,"Baseline","India","LMIC","South Asia",1877614.19658179,77.1446408464204,32088.1557207117
"42","2.7_n",296712.062283243,306010.320288396,315142.86841155,327114.749177854,338670.480716682,349817.655311418,360613.44850867,371125.817692639,"Baseline","India","LMIC","South Asia",2665207.40239045,77.1446408464204,45336.7645924069
"43","2.9_a",9760883.4141153,9932224.22806551,10100431.2847645,10262723.1712469,10422106.5730175,10578212.1727031,10731563.1823978,10882292.511757,"Baseline","India","LMIC","South Asia",82670436.5380676,56.4724772438711,1964305.57072458
"44","3.1_a",854406517.392818,880298229.095616,906516365.477042,934486128.622815,962345100.445918,990217535.255346,1018327349.84529,1046865069.95252,"Baseline","India","LMIC","South Asia",7593462296.08736,524.178593177402,19087113.8146025
"45","3.2_a",456116018.329964,470927717.443032,485038779.001358,504180308.161657,522460026.557992,539876780.323762,556517808.782616,572478589.509505,"Baseline","India","LMIC","South Asia",4107596028.10989,1610.68505796474,3340803.86183488
"46","3.2_b",2582408.84722875,2645035.47547302,2702214.43587487,2786507.78240663,2865487.31080491,2939121.24552329,3007845.27690955,3072141.32825526,"Baseline","India","LMIC","South Asia",22600761.7024763,1610.68505796474,18580.6583137618
"47","3.2_c",280876730.856596,290248623.470167,299239908.919219,311353915.691677,322933474.239103,333993121.696214,344604711.399424,354843797.535037,"Baseline","India","LMIC","South Asia",2538094283.80744,1610.68505796474,2061905.02421018
"48","3.2_d",2288872.58883193,2357402.72371787,2427027.46838586,2500096.17384677,2573112.20156158,2646236.85690917,2719794.14291673,2794147.40063409,"Baseline","India","LMIC","South Asia",20306689.556804,1610.68505796474,16621.5935186189
"49","3.2_e",3208987.10049908,3309549.20696027,3408319.13527519,3537796.88772029,3662773.92154755,3783332.34848258,3900090.53095435,4013783.43864219,"Baseline","India","LMIC","South Asia",28824632.5700815,1610.68505796474,23484.3435398159
"50","3.3_a",717495.524743282,733210.541182625,749080.670160025,763716.285550958,778499.061300525,793460.585876494,808650.901654468,824036.143152613,"Baseline","India","LMIC","South Asia",6168149.71362099,257.840416645872,31921.7298637132
"51","3.3_b",147617833.727533,150032412.9781,152437856.980078,154701956.376443,156960201.54555,159190805.662088,161365278.26077,163457855.076111,"Baseline","India","LMIC","South Asia",1245764200.60667,12.7035095878902,131812324.292968
"52","3.4_a",441820174.104145,454766814.211567,467702689.595925,482382728.689517,496842556.832938,511115512.240143,525293385.331622,539456956.387647,"Baseline","India","LMIC","South Asia",3919380817.3935,426.530944292051,12115038.6650327
"53","3.4_b",629639198.732585,640761392.937265,651942768.309828,663292557.775817,674638137.629827,686006127.723722,697448029.467562,709028133.380755,"Baseline","India","LMIC","South Asia",5352756345.95736,426.530944292051,16827551.6835741
"54","3.6_a",23635620.5635473,24092713.4146447,24552171.403328,25019204.3006892,25483503.8684447,25945864.4832198,26408548.532363,26873294.8986839,"Baseline","India","LMIC","South Asia",202010921.464921,654.512753261923,412828.357598686
"55","3.6_b",545493.619956914,561411.340009672,577480.270248997,595198.584883731,612729.90641042,630182.966183672,647746.136877043,665552.61909766,"Baseline","India","LMIC","South Asia",4835795.44366811,654.512753261923,9745.26120463673
"56","3.7_a",754286.780768349,756312.241034443,757634.517835311,758774.962911045,759361.516651417,759508.321440587,759422.042704328,759073.182614563,"Baseline","India","LMIC","South Asia",6064373.56596004,306.266722173948,27133.9464213731
