"","unique_id","NCD","sub_id","Intervention","Epi1","Measure1","StartAge1","StopAge1","Sex1","Adjustment1","Cost.adjustment","Ancilary","HS","Traded","Unit cost","Original.Unit.Cost","Original.Currency","Year","Country","calc_ICER","Platform","ID","country","year","n","cpi_study","cpi_end","cpi_adjust","global_inflation","exchange","exchange_end","gni","gni_selected_country","gni_adjust","tradable_ratio","tradable_uc","nontradable_uc","adjusted_uc","pin_sum","year_id","total_cost","senario","Class","Region"
"1","1.1_a",1.1,"a","IDU harm reduction measures","Opioid use disorders","Prevalence",15,"95+","Both",1,1.17,1,1.17,0.3,40.87,40.87,"USD",2011,"India","yes","HC",1,"Ukraine",2011,53,107.9557247,289.3548945,2.68031079689468,1.28246742532182,7.96756283333333,26.9575243833333,3540,1900,0.536723163841808,0.3,15.7243331018708,12.1642031020238,32.6295873585567,24034.6892993059,2023,784241.994127471,"Baseline","LMIC","South Asia"
"2","1.2_a",1.2,"a","Pulmonary rehabilitation","Chronic obstructive pulmonary disease","Prevalence",30,"95+","Both",0.021,1.17,1,1.17,0,1583,1583,"Euros",2015,"India","yes","C",2,"France",2015,57,105.5790178,110.5729469,1.04730039362045,1.12304970955428,1.11,1.11,42290,1900,0.0449278789311894,0,0,67.1034916331084,78.5110852107369,245578.465741676,2023,19280631.8497667,"Baseline","LMIC","South Asia"
"3","2.1_a",2.1,"a","Depression chronic treatment","Major depressive disorder","Prevalence",0,"95+","Both",0.0775,1.2285,1.05,1.17,0.3,61.3625,61.3625,"USD",2008,"India","yes","HC",3,"South Africa",2008,50,89.58703112,164.0515915,1.83119799204258,1.48633892297772,8.26122333333333,16.4591053903333,5410,1900,0.351201478743068,0.3,27.3616416483661,13.8653507813435,50.6473601998983,106093.689000704,2023,5373365.28175464,"Baseline","LMIC","South Asia"
"4","2.11_a",2.11,"a","Bipolar disorder chronic treatment","Bipolar disorder","Prevalence",0,"95+","Both",1,1.2285,1.05,1.17,0.3,100,100,"USD",2020,"India","yes","HC",4,"LIC",2020,62,168.3279499,168.3279499,1,1.01936941266942,555.7178304,555.7178304,840.5635121,1900,2.26038838546915,0.3,30.5810823800827,158.227186982841,231.950958912351,196825.961083091,2023,45653970.412068,"Baseline","LMIC","South Asia"
"5","2.12_a",2.12,"a","Schizophrenia chronic treatment","Schizophrenia","Prevalence",0,"95+","Both",1,1.2285,1.05,1.17,0.3,100,100,"USD",2020,"India","yes","HC",5,"LIC",2020,62,168.3279499,168.3279499,1,1.01936941266942,555.7178304,555.7178304,840.5635121,1900,2.26038838546915,0.3,30.5810823800827,158.227186982841,231.950958912351,1736242.04362569,2023,402723006.922919,"Baseline","LMIC","South Asia"
"6","2.13_a",2.13,"a","Epilepsy acute and chronic treatment","Idiopathic epilepsy","Incidence",0,"95+","Both",1,1.2285,1.05,1.17,0.3,2.3985,2.05,"USD",2020,"India","yes","HC",6,"LIC",2020,62,168.3279499,168.3279499,1,1.01936941266942,555.7178304,555.7178304,840.5635121,1900,2.26038838546915,0.3,0.626912188791694,3.24365733314823,4.7549946577032,238407.540040378,2023,1133626.57924816,"Baseline","LMIC","South Asia"
"7","2.13_b",2.13,"b","Epilepsy acute and chronic treatment","Idiopathic epilepsy","Prevalence",0,"95+","Both",1,1.2285,1.05,1.17,0.3,1181.232,1009.6,"ETB",2018,"India","yes","HC",7,"Ethiopia",2018,60,249.0905327,249.0905327,1,1.0668838183942,23.8661044574125,34.9271654040404,890,1900,2.13483146067416,0.3,13.5396110199657,43.1964080804882,69.7001994649077,2050412.42986782,2023,142914155.347113,"Baseline","LMIC","South Asia"
"8","2.14_a",2.14,"a","Asthma/COPD chronic treatment","Chronic obstructive pulmonary disease","Prevalence",0,"95+","Both",0.33,1.25658,1.074,1.17,0.52,30.34395,24.7,"USD",2016,"India","yes","HC",8,"LIC+LMIC+UMIC",2016,58,136.8247238,141.5122414,1.0342592878671,1.1071693838465,NA,NA,2408.93617,1900,0.788729906446629,0.52,14.2204835661245,9.67154659901567,30.0222472649118,4101301.15763789,2023,123130277.462474,"Baseline","LMIC","South Asia"
"9","2.14_b",2.14,"b","Asthma/COPD chronic treatment","Asthma","Prevalence",0,"95+","Both",1,1.25658,1.074,1.17,0.52,30.34395,24.7,"USD",2016,"India","yes","HC",9,"LIC+LMIC+UMIC",2016,58,136.8247238,141.5122414,1.0342592878671,1.1071693838465,NA,NA,2408.93617,1900,0.788729906446629,0.52,14.2204835661245,9.67154659901567,30.0222472649118,10881225.5877855,2023,326678845.14178,"Baseline","LMIC","South Asia"
"10","2.3_a",2.3,"a","Diabetes screening and treatment","Diabetes mellitus type 2","Prevalence",0,"95+","Both",1,1.25658,1.074,1.17,0.3,88.452,72,"Yuan",2016,"India","yes","HC",10,"China",2016,58,117.220567,128.1094436,1.09289220209965,1.1071693838465,6.6444778294468,6.90076726944925,10610,1900,0.179076343072573,0.3,3.59920814019415,1.4293832869086,6.31882741546878,27254667.3242478,2023,172217539.087938,"Baseline","LMIC","South Asia"
