"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Epilepsy acute and chronic treatment",2.13,"Algeria",2020,3409020.31306323,3409020.31306323,0
"Epilepsy acute and chronic treatment",2.13,"Algeria",2021,3476878.9192628,3476878.9192628,0
"Epilepsy acute and chronic treatment",2.13,"Algeria",2022,3543030.04672562,3543030.04672562,0
"Epilepsy acute and chronic treatment",2.13,"Algeria",2023,3671369.90917395,3606959.91076739,64409.9984065602
"Epilepsy acute and chronic treatment",2.13,"Algeria",2024,3799470.29412154,3668355.15046282,131115.14365872
"Epilepsy acute and chronic treatment",2.13,"Algeria",2025,3926681.84266257,3726727.15834375,199954.68431882
"Epilepsy acute and chronic treatment",2.13,"Algeria",2026,4050693.10077669,3780059.3199187,270633.780857996
"Epilepsy acute and chronic treatment",2.13,"Algeria",2027,4173097.38783672,3830062.01051602,343035.377320696
"Epilepsy acute and chronic treatment",2.13,"Algeria",2028,4293815.62489304,3876824.55753462,416991.067358421
"Epilepsy acute and chronic treatment",2.13,"Algeria",2029,4413137.06714445,3920758.17311063,492378.894033819
"Epilepsy acute and chronic treatment",2.13,"Algeria",2030,4531913.14138559,3962740.07895499,569173.062430597
"Aspirin for suspected ACS",2.5,"Algeria",2020,55481.5147665809,55481.5147665809,0
"Aspirin for suspected ACS",2.5,"Algeria",2021,57495.1666359424,57495.1666359424,0
"Aspirin for suspected ACS",2.5,"Algeria",2022,59615.4446456889,59615.4446456889,0
"Aspirin for suspected ACS",2.5,"Algeria",2023,69811.2663678261,61816.1921318794,7995.07423594667
"Aspirin for suspected ACS",2.5,"Algeria",2024,80614.1345032922,64043.4577199563,16570.6767833359
"Aspirin for suspected ACS",2.5,"Algeria",2025,91990.9554620367,66265.1447943714,25725.8106676652
"Aspirin for suspected ACS",2.5,"Algeria",2026,104010.924093588,68527.3098277158,35483.6142658724
"Aspirin for suspected ACS",2.5,"Algeria",2027,116499.728749838,70713.9004075313,45785.8283423064
"Aspirin for suspected ACS",2.5,"Algeria",2028,129479.587247134,72853.354027022,56626.2332201117
"Aspirin for suspected ACS",2.5,"Algeria",2029,143018.624386387,74990.501331573,68028.1230548137
"Aspirin for suspected ACS",2.5,"Algeria",2030,157141.723359913,77137.5373336932,80004.1860262199
"Heart failure chronic treatment",2.7,"Algeria",2020,13799911.4506336,13799911.4506336,0
"Heart failure chronic treatment",2.7,"Algeria",2021,14343213.9013627,14343213.9013627,0
