"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Pulmonary rehabilitation",1.2,"Angola",2020,99155.6585735074,99155.6585735074,0
"Pulmonary rehabilitation",1.2,"Angola",2021,103004.54688193,103004.54688193,0
"Pulmonary rehabilitation",1.2,"Angola",2022,106942.732240799,106942.732240799,0
"Pulmonary rehabilitation",1.2,"Angola",2023,141997.61155066,110997.240895899,31000.3706547606
"Pulmonary rehabilitation",1.2,"Angola",2024,179594.22885458,115200.036345091,64394.1925094891
"Pulmonary rehabilitation",1.2,"Angola",2025,219909.514242637,119570.007502799,100339.506739838
"Pulmonary rehabilitation",1.2,"Angola",2026,263465.139861946,124275.023897086,139190.11596486
"Pulmonary rehabilitation",1.2,"Angola",2027,310197.934225855,129164.917903667,181033.016322188
"Pulmonary rehabilitation",1.2,"Angola",2028,360301.324730003,134249.341822029,226051.982907973
"Pulmonary rehabilitation",1.2,"Angola",2029,413952.912915042,139531.272677543,274421.640237498
"Pulmonary rehabilitation",1.2,"Angola",2030,471352.937606459,145022.237766699,326330.69983976
"Epilepsy acute and chronic treatment",2.13,"Angola",2020,2900470.35333185,2900470.35333185,0
"Epilepsy acute and chronic treatment",2.13,"Angola",2021,2995594.89482222,2995594.89482222,0
"Epilepsy acute and chronic treatment",2.13,"Angola",2022,3092826.38593793,3092826.38593793,0
"Epilepsy acute and chronic treatment",2.13,"Angola",2023,3249470.96805292,3192462.70545551,57008.2625974193
"Epilepsy acute and chronic treatment",2.13,"Angola",2024,3412633.22505455,3294849.25455682,117783.970497734
"Epilepsy acute and chronic treatment",2.13,"Angola",2025,3582227.2318043,3399770.73515759,182456.496646707
"Epilepsy acute and chronic treatment",2.13,"Angola",2026,3759271.05570373,3508042.16018114,251228.895522582
"Epilepsy acute and chronic treatment",2.13,"Angola",2027,3943699.53779924,3619443.84860828,324255.689190967
"Epilepsy acute and chronic treatment",2.13,"Angola",2028,4135532.3004675,3733846.99661798,401685.303849518
"Epilepsy acute and chronic treatment",2.13,"Angola",2029,4334698.28283575,3851053.70088664,483644.581949107
"Epilepsy acute and chronic treatment",2.13,"Angola",2030,4540664.94435471,3970478.06542196,570186.878932747
"Aspirin for suspected ACS",2.5,"Angola",2020,8263.59629411785,8263.59629411785,0
"Aspirin for suspected ACS",2.5,"Angola",2021,8580.55698060751,8580.55698060751,0
"Aspirin for suspected ACS",2.5,"Angola",2022,8911.48179460479,8911.48179460479,0
"Aspirin for suspected ACS",2.5,"Angola",2023,11845.3492459282,9259.31830393692,2586.03094199126
"Aspirin for suspected ACS",2.5,"Angola",2024,15007.1537355582,9627.34562555395,5379.8081100042
"Aspirin for suspected ACS",2.5,"Angola",2025,18417.717712619,10017.2010168559,8400.51669576313
"Aspirin for suspected ACS",2.5,"Angola",2026,22057.2769001657,10410.4228592417,11646.8540409239
"Aspirin for suspected ACS",2.5,"Angola",2027,25976.5789283866,10826.698644424,15149.8802839626
"Aspirin for suspected ACS",2.5,"Angola",2028,30191.7865068917,11264.6130203932,18927.1734864985
"Aspirin for suspected ACS",2.5,"Angola",2029,34712.9065313262,11721.2663307281,22991.6402005981
"Aspirin for suspected ACS",2.5,"Angola",2030,39552.3103237752,12195.5558632511,27356.7544605241
"Heart failure chronic treatment",2.7,"Angola",2020,1455684.95112591,1455684.95112591,0
"Heart failure chronic treatment",2.7,"Angola",2021,1515548.71307657,1515548.71307657,0
"Heart failure chronic treatment",2.7,"Angola",2022,1574128.77784107,1574128.77784107,0
"Heart failure chronic treatment",2.7,"Angola",2023,2087399.76187743,1631686.7001139,455713.061763528
"Heart failure chronic treatment",2.7,"Angola",2024,2633490.60325302,1688706.45654851,944784.146704506
"Heart failure chronic treatment",2.7,"Angola",2025,3212991.6916116,1745448.33021244,1467543.36139916
"Heart failure chronic treatment",2.7,"Angola",2026,3874319.52761575,1824420.17001005,2049899.35760569
"Heart failure chronic treatment",2.7,"Angola",2027,4583560.42877926,1903473.37437225,2680087.05440701
"Heart failure chronic treatment",2.7,"Angola",2028,5340086.7028039,1982197.14362139,3357889.55918251
"Heart failure chronic treatment",2.7,"Angola",2029,6141645.60316568,2059893.21595999,4081752.38720569
"Heart failure chronic treatment",2.7,"Angola",2030,6986046.7282803,2136249.85352287,4849796.87475743
"Heart failure acute treatment",3.2,"Angola",2020,20986256.8762479,20986256.8762479,0
"Heart failure acute treatment",3.2,"Angola",2021,21848856.7216052,21848856.7216052,0
"Heart failure acute treatment",3.2,"Angola",2022,22694462.9472601,22694462.9472601,0
"Heart failure acute treatment",3.2,"Angola",2023,24380419.0391267,23526630.0455386,853788.993588094
"Heart failure acute treatment",3.2,"Angola",2024,26134061.5461118,24351963.245287,1782098.30082471
"Heart failure acute treatment",3.2,"Angola",2025,27957776.6332406,25173838.1130015,2783938.52023914
"Heart failure acute treatment",3.2,"Angola",2026,30216191.7384761,26307894.508993,3908297.22948311
"Heart failure acute treatment",3.2,"Angola",2027,32576584.8406597,27444103.664531,5132481.17612868
"Heart failure acute treatment",3.2,"Angola",2028,35031410.8829946,28576651.7085188,6454759.17447584
"Heart failure acute treatment",3.2,"Angola",2029,37565781.015811,29695612.9178131,7870168.09799789
"Heart failure acute treatment",3.2,"Angola",2030,40168808.9933467,30796464.6811416,9372344.31220503
"Treatment of early-stage breast cancer",4.3,"Angola",2020,68033.3514610678,68033.3514610678,0
"Treatment of early-stage breast cancer",4.3,"Angola",2021,70697.4638114962,70697.4638114962,0
"Treatment of early-stage breast cancer",4.3,"Angola",2022,73547.8073395445,73547.8073395445,0
"Treatment of early-stage breast cancer",4.3,"Angola",2023,83687.8565241924,76609.7791067234,7078.07741746902
"Treatment of early-stage breast cancer",4.3,"Angola",2024,94667.106241906,79890.6139023642,14776.4923395418
"Treatment of early-stage breast cancer",4.3,"Angola",2025,106537.623322476,83381.9713872675,23155.6519352086
"Treatment of early-stage breast cancer",4.3,"Angola",2026,118900.363806083,86748.7728658394,32151.5909402433
"Treatment of early-stage breast cancer",4.3,"Angola",2027,132202.585469481,90319.4254934722,41883.159976009
"Treatment of early-stage breast cancer",4.3,"Angola",2028,146477.686064417,94078.3186593388,52399.3674050777
"Treatment of early-stage breast cancer",4.3,"Angola",2029,161780.088695625,98026.0829266988,63754.0057689265
"Treatment of early-stage breast cancer",4.3,"Angola",2030,178213.554516415,102190.92566178,76022.6288546346
"Alcohol tax",5.2,"Angola",2020,0,0,0
"Alcohol tax",5.2,"Angola",2021,0,0,0
"Alcohol tax",5.2,"Angola",2022,0,0,0
"Alcohol tax",5.2,"Angola",2023,3991.13707373516,0,3991.13707373516
"Alcohol tax",5.2,"Angola",2024,8232.74697974891,0,8232.74697974891
"Alcohol tax",5.2,"Angola",2025,12736.7042977652,0,12736.7042977652
"Alcohol tax",5.2,"Angola",2026,17515.6304504953,0,17515.6304504953
"Alcohol tax",5.2,"Angola",2027,22580.6824738992,0,22580.6824738992
"Alcohol tax",5.2,"Angola",2028,27943.6202298679,0,27943.6202298679
"Alcohol tax",5.2,"Angola",2029,33615.8654801185,0,33615.8654801185
"Alcohol tax",5.2,"Angola",2030,39608.8627493782,0,39608.8627493782
"Alcohol policy",5.4,"Angola",2020,0,0,0
"Alcohol policy",5.4,"Angola",2021,0,0,0
"Alcohol policy",5.4,"Angola",2022,0,0,0
"Alcohol policy",5.4,"Angola",2023,5587.59190322922,0,5587.59190322922
"Alcohol policy",5.4,"Angola",2024,11525.8507213841,0,11525.8507213841
"Alcohol policy",5.4,"Angola",2025,17831.4083071117,0,17831.4083071117
"Alcohol policy",5.4,"Angola",2026,24521.9427633544,0,24521.9427633544
"Alcohol policy",5.4,"Angola",2027,31613.0819649637,0,31613.0819649637
"Alcohol policy",5.4,"Angola",2028,39121.2978204951,0,39121.2978204951
"Alcohol policy",5.4,"Angola",2029,47062.5887288933,0,47062.5887288933
"Alcohol policy",5.4,"Angola",2030,55452.9846419664,0,55452.9846419664
