"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Pulmonary rehabilitation",1.2,"Bangladesh",2020,2300717.2849407,2300717.2849407,0
"Pulmonary rehabilitation",1.2,"Bangladesh",2021,2378164.12042046,2378164.12042046,0
"Pulmonary rehabilitation",1.2,"Bangladesh",2022,2456155.01946381,2456155.01946381,0
"Pulmonary rehabilitation",1.2,"Bangladesh",2023,2878338.64234824,2535007.17963974,343331.462708494
"Pulmonary rehabilitation",1.2,"Bangladesh",2024,3325744.56830134,2615293.38030283,710451.187998507
"Pulmonary rehabilitation",1.2,"Bangladesh",2025,3800194.29854013,2697525.04144251,1102669.25709762
"Pulmonary rehabilitation",1.2,"Bangladesh",2026,4315185.80597384,2789449.01144709,1525736.79452675
"Pulmonary rehabilitation",1.2,"Bangladesh",2027,4860447.70790862,2882279.01218835,1978168.69572027
"Pulmonary rehabilitation",1.2,"Bangladesh",2028,5437037.05546743,2976121.77189993,2460915.2835675
"Pulmonary rehabilitation",1.2,"Bangladesh",2029,6045996.1783415,3071087.70451435,2974908.47382715
"Pulmonary rehabilitation",1.2,"Bangladesh",2030,6688707.39639202,3167450.43327791,3521256.96311411
"Epilepsy acute and chronic treatment",2.13,"Bangladesh",2020,3932612.79244226,3932612.79244226,0
"Epilepsy acute and chronic treatment",2.13,"Bangladesh",2021,3967494.49691459,3967494.49691459,0
"Epilepsy acute and chronic treatment",2.13,"Bangladesh",2022,4001560.98833104,4001560.98833104,0
"Epilepsy acute and chronic treatment",2.13,"Bangladesh",2023,4337480.24035633,4034865.33986635,302614.900489976
"Epilepsy acute and chronic treatment",2.13,"Bangladesh",2024,4678157.71675682,4067463.50376765,610694.212989175
"Epilepsy acute and chronic treatment",2.13,"Bangladesh",2025,5023704.48951683,4099510.75259875,924193.736918082
"Epilepsy acute and chronic treatment",2.13,"Bangladesh",2026,5375287.10804981,4131904.20129382,1243382.90675599
"Epilepsy acute and chronic treatment",2.13,"Bangladesh",2027,5731234.94784847,4163313.01473665,1567921.93311182
"Epilepsy acute and chronic treatment",2.13,"Bangladesh",2028,6091535.48994288,4193825.75740217,1897709.73254072
"Epilepsy acute and chronic treatment",2.13,"Bangladesh",2029,6456192.06630748,4223528.74629813,2232663.32000935
"Epilepsy acute and chronic treatment",2.13,"Bangladesh",2030,6825253.12581611,4252521.73929203,2572731.38652408
"CVD primary prevention",2.4,"Bangladesh",2020,153875668.520631,153875668.520631,0
"CVD primary prevention",2.4,"Bangladesh",2021,157684167.057296,157684167.057296,0
"CVD primary prevention",2.4,"Bangladesh",2022,161498317.240797,161498317.240797,0
"CVD primary prevention",2.4,"Bangladesh",2023,187707828.571657,165317828.174496,22390000.3971615
"CVD primary prevention",2.4,"Bangladesh",2024,215009902.753203,169152304.611331,45857598.1418728
"CVD primary prevention",2.4,"Bangladesh",2025,243428789.112419,173007410.579591,70421378.5328287
"CVD primary prevention",2.4,"Bangladesh",2026,272935808.263778,176851234.236491,96084574.0272865
"CVD primary prevention",2.4,"Bangladesh",2027,303554667.387775,180694738.575005,122859928.81277
"CVD primary prevention",2.4,"Bangladesh",2028,335280717.736001,184530088.816105,150750628.919896
"CVD primary prevention",2.4,"Bangladesh",2029,368095249.057603,188344661.751333,179750587.30627
"CVD primary prevention",2.4,"Bangladesh",2030,401977054.375245,192128038.704436,209849015.670809
"Aspirin for suspected ACS",2.5,"Bangladesh",2020,111267.281416957,111267.281416957,0
"Aspirin for suspected ACS",2.5,"Bangladesh",2021,114829.934856417,114829.934856417,0
"Aspirin for suspected ACS",2.5,"Bangladesh",2022,118478.68299183,118478.68299183,0
"Aspirin for suspected ACS",2.5,"Bangladesh",2023,138750.125106951,122199.854508807,16550.2705981434
"Aspirin for suspected ACS",2.5,"Bangladesh",2024,160138.968094086,125973.502435815,34165.4656582711
"Aspirin for suspected ACS",2.5,"Bangladesh",2025,182652.62144237,129781.689045055,52870.9323973147
"Aspirin for suspected ACS",2.5,"Bangladesh",2026,206215.454175756,133557.491044605,72657.9631311508
"Aspirin for suspected ACS",2.5,"Bangladesh",2027,230903.928002295,137347.749222893,93556.1787794024
"Aspirin for suspected ACS",2.5,"Bangladesh",2028,256739.730141526,141155.204658922,115584.525482604
"Aspirin for suspected ACS",2.5,"Bangladesh",2029,283738.680815684,144979.102581244,138759.57823444
"Aspirin for suspected ACS",2.5,"Bangladesh",2030,311907.485196823,148814.63533309,163092.849863732
"Heart failure chronic treatment",2.7,"Bangladesh",2020,9454466.25401149,9454466.25401149,0
"Heart failure chronic treatment",2.7,"Bangladesh",2021,9792018.68571264,9792018.68571264,0
"Heart failure chronic treatment",2.7,"Bangladesh",2022,10119925.7354149,10119925.7354149,0
"Heart failure chronic treatment",2.7,"Bangladesh",2023,11856523.1307335,10442263.7488732,1414259.38186022
"Heart failure chronic treatment",2.7,"Bangladesh",2024,13698598.6716207,10765861.3538142,2932737.31780653
"Heart failure chronic treatment",2.7,"Bangladesh",2025,15659293.1774821,11096766.4776157,4562526.69986638
"Heart failure chronic treatment",2.7,"Bangladesh",2026,17924367.508845,11549144.9218037,6375222.58704132
"Heart failure chronic treatment",2.7,"Bangladesh",2027,20343464.9083903,12001385.0096901,8342079.89870024
"Heart failure chronic treatment",2.7,"Bangladesh",2028,22920906.7820412,12453776.3071883,10467130.4748528
"Heart failure chronic treatment",2.7,"Bangladesh",2029,25661071.5308366,12907056.5207955,12754015.0100411
"Heart failure chronic treatment",2.7,"Bangladesh",2030,28573481.9398007,13364609.9105647,15208872.029236
"Heart failure acute treatment",3.2,"Bangladesh",2020,57124229.5255852,57124229.5255852,0
"Heart failure acute treatment",3.2,"Bangladesh",2021,59164562.210191,59164562.210191,0
"Heart failure acute treatment",3.2,"Bangladesh",2022,61156182.1011638,61156182.1011638,0
"Heart failure acute treatment",3.2,"Bangladesh",2023,75593613.3295373,63121939.7499167,12471673.5796206
"Heart failure acute treatment",3.2,"Bangladesh",2024,90932763.8002879,65100455.6839304,25832308.1163575
"Heart failure acute treatment",3.2,"Bangladesh",2025,107273289.991078,67125938.7656509,40147351.2254268
"Heart failure acute treatment",3.2,"Bangladesh",2026,125884865.130171,69861293.9006754,56023571.2294954
"Heart failure acute treatment",3.2,"Bangladesh",2027,145819864.347802,72598841.9703611,73221022.3774414
"Heart failure acute treatment",3.2,"Bangladesh",2028,167115818.218317,75339155.1283645,91776663.0899527
"Heart failure acute treatment",3.2,"Bangladesh",2029,189809246.872323,78085381.8284697,111723865.043853
"Heart failure acute treatment",3.2,"Bangladesh",2030,213973184.805096,80856346.978208,133116837.826888
"Treatment of early-stage breast cancer",4.3,"Bangladesh",2020,163078.926461992,163078.926461992,0
"Treatment of early-stage breast cancer",4.3,"Bangladesh",2021,168380.823585689,168380.823585689,0
"Treatment of early-stage breast cancer",4.3,"Bangladesh",2022,173795.312396866,173795.312396866,0
"Treatment of early-stage breast cancer",4.3,"Bangladesh",2023,294922.304660461,179367.951372444,115554.353288017
"Treatment of early-stage breast cancer",4.3,"Bangladesh",2024,423862.165787253,185182.304264651,238679.861522602
"Treatment of early-stage breast cancer",4.3,"Bangladesh",2025,561288.497456643,191287.540770116,370000.956686527
"Treatment of early-stage breast cancer",4.3,"Bangladesh",2026,706977.836699863,197447.338101158,509530.498598705
"Treatment of early-stage breast cancer",4.3,"Bangladesh",2027,861968.253352626,203868.175631778,658100.077720848
"Treatment of early-stage breast cancer",4.3,"Bangladesh",2028,1026468.95833764,210476.782417385,815992.175920252
"Treatment of early-stage breast cancer",4.3,"Bangladesh",2029,1200614.80621845,217219.776198779,983395.03001967
"Treatment of early-stage breast cancer",4.3,"Bangladesh",2030,1384652.64892069,224082.218900326,1160570.43002036
"Tobacco policy",5.3,"Bangladesh",2020,506281.784530774,506281.784530774,0
