"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Epilepsy acute and chronic treatment",2.13,"Belize",2020,46097.3152430843,46097.3152430843,0
"Epilepsy acute and chronic treatment",2.13,"Belize",2021,46962.8033204788,46962.8033204788,0
"Epilepsy acute and chronic treatment",2.13,"Belize",2022,47816.5592300916,47816.5592300916,0
"Epilepsy acute and chronic treatment",2.13,"Belize",2023,49526.5754326241,48657.6881443324,868.887288291648
"Epilepsy acute and chronic treatment",2.13,"Belize",2024,51266.4442433875,49498.0229326117,1768.42131077587
"Epilepsy acute and chronic treatment",2.13,"Belize",2025,53037.348117608,50338.6977211051,2698.65039650284
"Epilepsy acute and chronic treatment",2.13,"Belize",2026,54832.2390801714,51173.0692586359,3659.1698215355
"Epilepsy acute and chronic treatment",2.13,"Belize",2027,56658.1414211622,52007.8655092371,4650.2759119251
"Epilepsy acute and chronic treatment",2.13,"Belize",2028,58508.413468624,52837.0296682817,5671.38380034237
"Epilepsy acute and chronic treatment",2.13,"Belize",2029,60382.0799598978,53659.9219268874,6722.15803301041
"Epilepsy acute and chronic treatment",2.13,"Belize",2030,62277.8000484866,54475.6170556219,7802.18299286478
"Heart failure chronic treatment",2.7,"Belize",2020,90736.6689609278,90736.6689609278,0
"Heart failure chronic treatment",2.7,"Belize",2021,94663.8581891202,94663.8581891202,0
"Heart failure chronic treatment",2.7,"Belize",2022,98688.176747464,98688.176747464,0
"Heart failure chronic treatment",2.7,"Belize",2023,112670.520459292,102797.671413946,9872.84904534588
"Heart failure chronic treatment",2.7,"Belize",2024,127691.03774923,107103.707551363,20587.3301978663
"Heart failure chronic treatment",2.7,"Belize",2025,143974.274456169,111734.125410291,32240.1490458782
"Heart failure chronic treatment",2.7,"Belize",2026,161776.643023856,116803.38272803,44973.2602958265
"Heart failure chronic treatment",2.7,"Belize",2027,180890.561603163,122083.524681809,58807.0369213548
"Heart failure chronic treatment",2.7,"Belize",2028,201473.772265118,127633.71758112,73840.0546839983
"Heart failure chronic treatment",2.7,"Belize",2029,223679.957618178,133496.970443013,90182.9871751656
"Heart failure chronic treatment",2.7,"Belize",2030,247692.904361522,139723.650773713,107969.253587808
"Treatment of early-stage breast cancer",4.3,"Belize",2020,2303.01690420914,2303.01690420914,0
"Treatment of early-stage breast cancer",4.3,"Belize",2021,2396.33754227785,2396.33754227785,0
"Treatment of early-stage breast cancer",4.3,"Belize",2022,2492.07416620358,2492.07416620358,0
"Treatment of early-stage breast cancer",4.3,"Belize",2023,2829.87867278187,2590.53570045704,239.342972324835
"Treatment of early-stage breast cancer",4.3,"Belize",2024,3190.9320466775,2693.20885194601,497.723194731494
"Treatment of early-stage breast cancer",4.3,"Belize",2025,3576.36701176343,2800.05299135949,776.314020403936
"Treatment of early-stage breast cancer",4.3,"Belize",2026,3977.37988329766,2903.78399761471,1073.59588568295
"Treatment of early-stage breast cancer",4.3,"Belize",2027,4403.44953117627,3011.46295888696,1391.98657228931
"Treatment of early-stage breast cancer",4.3,"Belize",2028,4855.0068006126,3122.65083549228,1732.35596512032
"Treatment of early-stage breast cancer",4.3,"Belize",2029,5331.87661169594,3236.63843704876,2095.23817464717
"Treatment of early-stage breast cancer",4.3,"Belize",2030,5835.04537298585,3353.53472594981,2481.51064703604
"Tobacco tax",5.1,"Belize",2020,0,0,0
"Tobacco tax",5.1,"Belize",2021,0,0,0
"Tobacco tax",5.1,"Belize",2022,0,0,0
"Tobacco tax",5.1,"Belize",2023,82.6316794857159,0,82.6316794857159
"Tobacco tax",5.1,"Belize",2024,168.07548969892,0,168.07548969892
"Tobacco tax",5.1,"Belize",2025,256.313157803227,0,256.313157803227
"Tobacco tax",5.1,"Belize",2026,347.303439350427,0,347.303439350427
"Tobacco tax",5.1,"Belize",2027,441.037642131435,0,441.037642131435
"Tobacco tax",5.1,"Belize",2028,537.430367627369,0,537.430367627369
"Tobacco tax",5.1,"Belize",2029,636.420587479266,0,636.420587479266
"Tobacco tax",5.1,"Belize",2030,737.934137802863,0,737.934137802863
"Alcohol policy",5.4,"Belize",2020,0,0,0
"Alcohol policy",5.4,"Belize",2021,0,0,0
"Alcohol policy",5.4,"Belize",2022,0,0,0
"Alcohol policy",5.4,"Belize",2023,115.684351280002,0,115.684351280002
"Alcohol policy",5.4,"Belize",2024,235.304957922105,0,235.304957922105
"Alcohol policy",5.4,"Belize",2025,358.834427560233,0,358.834427560233
"Alcohol policy",5.4,"Belize",2026,486.212295343065,0,486.212295343065
"Alcohol policy",5.4,"Belize",2027,617.4228713287,0,617.4228713287
"Alcohol policy",5.4,"Belize",2028,752.342333298041,0,752.342333298041
"Alcohol policy",5.4,"Belize",2029,890.880287988883,0,890.880287988883
"Alcohol policy",5.4,"Belize",2030,1032.92725354329,0,1032.92725354329
