"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Benin",2020,3878.91032726265,3878.91032726265,0
"IDU harm reduction measures",1.1,"Benin",2021,4001.21147218761,4001.21147218761,0
"IDU harm reduction measures",1.1,"Benin",2022,4126.86599543803,4126.86599543803,0
"IDU harm reduction measures",1.1,"Benin",2023,46284.4066814251,4256.03739599311,42028.369285432
"IDU harm reduction measures",1.1,"Benin",2024,91079.3122625753,4389.10090117855,86690.2113613968
"IDU harm reduction measures",1.1,"Benin",2025,138639.212432931,4526.229391207,134112.983041724
"IDU harm reduction measures",1.1,"Benin",2026,188897.167533,4662.63797920554,184234.529553795
"IDU harm reduction measures",1.1,"Benin",2027,242095.341833087,4803.44625220535,237291.895580882
"IDU harm reduction measures",1.1,"Benin",2028,298347.041634706,4948.29036112705,293398.751273579
"IDU harm reduction measures",1.1,"Benin",2029,357746.37116688,5096.74775336384,352649.623413516
"IDU harm reduction measures",1.1,"Benin",2030,420385.383936511,5248.58820954959,415136.795726961
"Pulmonary rehabilitation",1.2,"Benin",2020,29560.8598240164,29560.8598240164,0
"Pulmonary rehabilitation",1.2,"Benin",2021,30579.7008354029,30579.7008354029,0
"Pulmonary rehabilitation",1.2,"Benin",2022,31629.0438790898,31629.0438790898,0
"Pulmonary rehabilitation",1.2,"Benin",2023,41744.8668052131,32711.9304566495,9032.93634856353
"Pulmonary rehabilitation",1.2,"Benin",2024,52547.8191281707,33832.7363095,18715.0828186707
"Pulmonary rehabilitation",1.2,"Benin",2025,64084.9519544952,34993.3830326263,29091.5689218688
"Pulmonary rehabilitation",1.2,"Benin",2026,76432.6025923424,36206.7690026928,40225.8335896497
"Pulmonary rehabilitation",1.2,"Benin",2027,89615.4339636497,37460.3991326623,52155.0348309874
"Pulmonary rehabilitation",1.2,"Benin",2028,103675.042468334,38754.1903763122,64920.8520920217
"Pulmonary rehabilitation",1.2,"Benin",2029,118648.578761492,40087.9604310219,78560.6183304698
"Pulmonary rehabilitation",1.2,"Benin",2030,134575.740366047,41463.8348273802,93111.9055386669
"Depression chronic treatment",2.1,"Benin",2020,243171.658703501,243171.658703501,0
"Depression chronic treatment",2.1,"Benin",2021,250787.738510327,250787.738510327,0
"Depression chronic treatment",2.1,"Benin",2022,258645.411015459,258645.411015459,0
"Depression chronic treatment",2.1,"Benin",2023,340420.790711834,266759.055280362,73661.7354314726
"Depression chronic treatment",2.1,"Benin",2024,427195.77954931,275148.370484606,152047.409064704
"Depression chronic treatment",2.1,"Benin",2025,519238.313446586,283814.727853754,235423.585592832
"Depression chronic treatment",2.1,"Benin",2026,616216.988792031,292471.292550146,323745.696241885
"Depression chronic treatment",2.1,"Benin",2027,718894.049812502,301428.677063241,417465.372749261
"Depression chronic treatment",2.1,"Benin",2028,827523.620284128,310678.968895774,516844.651388354
"Depression chronic treatment",2.1,"Benin",2029,942323.936587975,320207.609442313,622116.327145661
"Depression chronic treatment",2.1,"Benin",2030,1063386.87733004,329968.297476913,733418.579853131
"Epilepsy acute and chronic treatment",2.13,"Benin",2020,22392.2010724179,22392.2010724179,0
"Epilepsy acute and chronic treatment",2.13,"Benin",2021,22983.8801064346,22983.8801064346,0
"Epilepsy acute and chronic treatment",2.13,"Benin",2022,23582.695501269,23582.695501269,0
"Epilepsy acute and chronic treatment",2.13,"Benin",2023,101796.105803517,24189.1736562813,77606.9321472359
"Epilepsy acute and chronic treatment",2.13,"Benin",2024,183986.086603041,24804.5921256812,159181.49447736
"Epilepsy acute and chronic treatment",2.13,"Benin",2025,270255.284615015,25428.4807474385,244826.803867576
"Epilepsy acute and chronic treatment",2.13,"Benin",2026,360821.100403833,26069.036799262,334752.063604571
"Epilepsy acute and chronic treatment",2.13,"Benin",2027,455733.558534525,26718.684162317,429014.874372208
"Epilepsy acute and chronic treatment",2.13,"Benin",2028,555095.525419883,27377.3886946192,527718.136725264
"Epilepsy acute and chronic treatment",2.13,"Benin",2029,659007.10339073,28045.1820060613,630961.921384668
"Epilepsy acute and chronic treatment",2.13,"Benin",2030,767549.839687318,28721.5545124038,738828.285174915
"CVD primary prevention",2.4,"Benin",2020,3925111.04104504,3925111.04104504,0
"CVD primary prevention",2.4,"Benin",2021,4056780.8985874,4056780.8985874,0
"CVD primary prevention",2.4,"Benin",2022,4194108.86964508,4194108.86964508,0
"CVD primary prevention",2.4,"Benin",2023,5534886.05720242,4337223.27187003,1197662.78533239
"CVD primary prevention",2.4,"Benin",2024,6965499.54631958,4486288.89439486,2479210.65192472
"CVD primary prevention",2.4,"Benin",2025,8491507.57940022,4641296.7634138,3850210.81598642
"CVD primary prevention",2.4,"Benin",2026,10104501.1201374,4795578.10858764,5308923.01154979
"CVD primary prevention",2.4,"Benin",2027,11821603.0548451,4956354.23406733,6865248.82077778
"CVD primary prevention",2.4,"Benin",2028,13648031.8739135,5123392.84839828,8524639.02551519
"CVD primary prevention",2.4,"Benin",2029,15588218.5422953,5296318.88286816,10291899.6594271
"CVD primary prevention",2.4,"Benin",2030,17646703.9168857,5474958.48289013,12171745.4339956
"Aspirin for suspected ACS",2.5,"Benin",2020,2152.38117653475,2152.38117653475,0
"Aspirin for suspected ACS",2.5,"Benin",2021,2224.41028645387,2224.41028645387,0
"Aspirin for suspected ACS",2.5,"Benin",2022,2299.65734707903,2299.65734707903,0
"Aspirin for suspected ACS",2.5,"Benin",2023,3035.11834354391,2378.36619877084,656.752144773067
"Aspirin for suspected ACS",2.5,"Benin",2024,3821.27401190202,2460.86520306818,1360.40880883384
"Aspirin for suspected ACS",2.5,"Benin",2025,4662.20019888922,2547.36239967987,2114.83779920935
"Aspirin for suspected ACS",2.5,"Benin",2026,5551.34545646685,2632.88000084613,2918.46545562072
"Aspirin for suspected ACS",2.5,"Benin",2027,6500.79658857488,2722.64153725964,3778.15505131523
"Aspirin for suspected ACS",2.5,"Benin",2028,7515.01074428656,2816.85229809672,4698.15844618984
"Aspirin for suspected ACS",2.5,"Benin",2029,8598.64285560882,2915.74128090006,5682.90157470877
"Aspirin for suspected ACS",2.5,"Benin",2030,9756.42941570546,3019.51723993087,6736.9121757746
"Heart failure chronic treatment",2.7,"Benin",2020,687341.57169814,687341.57169814,0
"Heart failure chronic treatment",2.7,"Benin",2021,713676.385062141,713676.385062141,0
"Heart failure chronic treatment",2.7,"Benin",2022,739319.182141939,739319.182141939,0
"Heart failure chronic treatment",2.7,"Benin",2023,975445.684233358,764374.492695609,211071.191537748
"Heart failure chronic treatment",2.7,"Benin",2024,1226483.50181181,789049.971980553,437433.529831257
"Heart failure chronic treatment",2.7,"Benin",2025,1492918.23309671,813428.165380663,679490.067716044
"Heart failure chronic treatment",2.7,"Benin",2026,1792802.36494888,845703.946589362,947098.418359514
"Heart failure chronic treatment",2.7,"Benin",2027,2113193.5889492,877432.274084502,1235761.3148647
"Heart failure chronic treatment",2.7,"Benin",2028,2453856.20510406,908525.189673915,1545331.01543014
"Heart failure chronic treatment",2.7,"Benin",2029,2814365.25081031,938978.136907197,1875387.11390311
"Heart failure chronic treatment",2.7,"Benin",2030,3194443.61412667,968957.961862134,2225485.65226453
"Heart failure acute treatment",3.2,"Benin",2020,580399.719982236,580399.719982236,0
"Heart failure acute treatment",3.2,"Benin",2021,602639.750240213,602639.750240213,0
