"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Bolivia",2020,7560.33988104978,7560.33988104978,0
"IDU harm reduction measures",1.1,"Bolivia",2021,7710.57060943178,7710.57060943178,0
"IDU harm reduction measures",1.1,"Bolivia",2022,7859.01068404681,7859.01068404681,0
"IDU harm reduction measures",1.1,"Bolivia",2023,87065.2815602972,8006.0029020963,79059.2786582009
"IDU harm reduction measures",1.1,"Bolivia",2024,169167.456360868,8152.55905147933,161014.897309389
"IDU harm reduction measures",1.1,"Bolivia",2025,254164.405730768,8298.97926945672,245865.426461311
"IDU harm reduction measures",1.1,"Bolivia",2026,341843.002473499,8440.03761371045,333402.964859788
"IDU harm reduction measures",1.1,"Bolivia",2027,432355.404740375,8581.85831414315,423773.546426232
"IDU harm reduction measures",1.1,"Bolivia",2028,525659.02886982,8723.31907564416,516935.709794176
"IDU harm reduction measures",1.1,"Bolivia",2029,621642.488202492,8862.94922146029,612779.538981031
"IDU harm reduction measures",1.1,"Bolivia",2030,720217.152752941,9000.28887188286,711216.863881059
"Depression chronic treatment",2.1,"Bolivia",2020,664733.200186571,664733.200186571,0
"Depression chronic treatment",2.1,"Bolivia",2021,678816.533763515,678816.533763515,0
"Depression chronic treatment",2.1,"Bolivia",2022,692900.830153306,692900.830153306,0
"Depression chronic treatment",2.1,"Bolivia",2023,762034.614446617,707065.790662644,54968.8237839732
"Depression chronic treatment",2.1,"Bolivia",2024,833643.688509729,721454.787389389,112188.901120341
"Depression chronic treatment",2.1,"Bolivia",2025,907848.820492615,736121.311957535,171727.50853508
"Depression chronic treatment",2.1,"Bolivia",2026,983704.647972236,750292.860098928,233411.787873308
"Depression chronic treatment",2.1,"Bolivia",2027,1062260.85011682,764806.626575404,297454.223541417
"Depression chronic treatment",2.1,"Bolivia",2028,1143473.11180051,779576.273932964,363896.837867548
"Depression chronic treatment",2.1,"Bolivia",2029,1227202.47962967,794471.586570561,432730.893059107
"Depression chronic treatment",2.1,"Bolivia",2030,1313420.45629764,809455.373591506,503965.082706138
"Epilepsy acute and chronic treatment",2.13,"Bolivia",2020,735056.858389036,735056.858389036,0
"Epilepsy acute and chronic treatment",2.13,"Bolivia",2021,746012.675847392,746012.675847392,0
"Epilepsy acute and chronic treatment",2.13,"Bolivia",2022,756875.541980023,756875.541980023,0
"Epilepsy acute and chronic treatment",2.13,"Bolivia",2023,825287.500939425,767709.303199466,57578.1977399598
"Epilepsy acute and chronic treatment",2.13,"Bolivia",2024,895410.600417921,778607.162438787,116803.437979134
"Epilepsy acute and chronic treatment",2.13,"Bolivia",2025,967338.035806147,789631.606645046,177706.429161101
"Epilepsy acute and chronic treatment",2.13,"Bolivia",2026,1040803.17751676,800553.774841251,240249.402675506
"Epilepsy acute and chronic treatment",2.13,"Bolivia",2027,1116084.65638144,811591.444703248,304493.211678194
"Epilepsy acute and chronic treatment",2.13,"Bolivia",2028,1193169.78836454,822716.444855274,370453.34350927
"Epilepsy acute and chronic treatment",2.13,"Bolivia",2029,1272000.58867018,833876.472160405,438124.116509775
"Epilepsy acute and chronic treatment",2.13,"Bolivia",2030,1352554.37698038,845051.069507466,507503.307472911
"Aspirin for suspected ACS",2.5,"Bolivia",2020,15401.0218443262,15401.0218443262,0
"Aspirin for suspected ACS",2.5,"Bolivia",2021,15824.0851090282,15824.0851090282,0
"Aspirin for suspected ACS",2.5,"Bolivia",2022,16257.7072137921,16257.7072137921,0
"Aspirin for suspected ACS",2.5,"Bolivia",2023,18002.8229729738,16704.2021690696,1298.62080390416
"Aspirin for suspected ACS",2.5,"Bolivia",2024,19837.3656021176,17167.5200140623,2669.84558805533
"Aspirin for suspected ACS",2.5,"Bolivia",2025,21767.7183275696,17649.5701998161,4118.14812775352
"Aspirin for suspected ACS",2.5,"Bolivia",2026,23754.4020198212,18116.8221728345,5637.57984698669
"Aspirin for suspected ACS",2.5,"Bolivia",2027,25841.7432203808,18603.6052467581,7238.13797362271
"Aspirin for suspected ACS",2.5,"Bolivia",2028,28032.3798349355,19108.5408868025,8923.838948133
"Aspirin for suspected ACS",2.5,"Bolivia",2029,30326.4928040901,19628.9380414114,10697.5547626788
"Aspirin for suspected ACS",2.5,"Bolivia",2030,32726.2096277432,20163.82013824,12562.3894895032
"Heart failure chronic treatment",2.7,"Bolivia",2020,1354504.08306474,1354504.08306474,0
"Heart failure chronic treatment",2.7,"Bolivia",2021,1407029.52695149,1407029.52695149,0
"Heart failure chronic treatment",2.7,"Bolivia",2022,1459562.98754602,1459562.98754602,0
"Heart failure chronic treatment",2.7,"Bolivia",2023,1630602.58162173,1512980.22658482,117622.355036912
"Heart failure chronic treatment",2.7,"Bolivia",2024,1812681.32276085,1568580.24008361,244101.082677246
"Heart failure chronic treatment",2.7,"Bolivia",2025,2007843.96976051,1627573.81600139,380270.15375912
"Heart failure chronic treatment",2.7,"Bolivia",2026,2217335.86622136,1690265.56341241,527070.302808954
"Heart failure chronic treatment",2.7,"Bolivia",2027,2438407.90507139,1754023.16938971,684384.735681676
"Heart failure chronic treatment",2.7,"Bolivia",2028,2671978.56101165,1819273.79248778,852704.768523867
"Heart failure chronic treatment",2.7,"Bolivia",2029,2918917.19427278,1886328.78129524,1032588.41297754
"Heart failure chronic treatment",2.7,"Bolivia",2030,3180691.25258075,1955808.37930486,1224882.8732759
"Treatment of early-stage breast cancer",4.3,"Bolivia",2020,21918.7215256423,21918.7215256423,0
"Treatment of early-stage breast cancer",4.3,"Bolivia",2021,22484.3001479574,22484.3001479574,0
"Treatment of early-stage breast cancer",4.3,"Bolivia",2022,23068.4830765213,23068.4830765213,0
"Treatment of early-stage breast cancer",4.3,"Bolivia",2023,38923.5283284893,23672.7891588473,15250.739169642
"Treatment of early-stage breast cancer",4.3,"Bolivia",2024,55613.9094197044,24301.395945879,31312.5134738254
"Treatment of early-stage breast cancer",4.3,"Bolivia",2025,73192.1728556975,24955.9164276959,48236.2564280016
"Treatment of early-stage breast cancer",4.3,"Bolivia",2026,91474.1405730707,25570.6489173401,65903.4916557306
"Treatment of early-stage breast cancer",4.3,"Bolivia",2027,110699.62354184,26220.4496221467,84479.1739196932
"Treatment of early-stage breast cancer",4.3,"Bolivia",2028,130914.350510117,26900.6461437081,104013.704366409
"Treatment of early-stage breast cancer",4.3,"Bolivia",2029,152148.333465781,27605.90462753,124542.428838251
"Treatment of early-stage breast cancer",4.3,"Bolivia",2030,174436.821750958,28333.9767423338,146102.845008624
"Tobacco tax",5.1,"Bolivia",2020,0,0,0
"Tobacco tax",5.1,"Bolivia",2021,0,0,0
"Tobacco tax",5.1,"Bolivia",2022,0,0,0
"Tobacco tax",5.1,"Bolivia",2023,1930.16655749086,0,1930.16655749086
"Tobacco tax",5.1,"Bolivia",2024,3910.74346142817,0,3910.74346142817
"Tobacco tax",5.1,"Bolivia",2025,5942.14296952327,0,5942.14296952327
"Tobacco tax",5.1,"Bolivia",2026,8024.79686031508,0,8024.79686031508
"Tobacco tax",5.1,"Bolivia",2027,10158.8497113973,0,10158.8497113973
"Tobacco tax",5.1,"Bolivia",2028,12344.1590865465,0,12344.1590865465
"Tobacco tax",5.1,"Bolivia",2029,14580.0470945353,0,14580.0470945353
"Tobacco tax",5.1,"Bolivia",2030,16865.6540435546,0,16865.6540435546
"Alcohol tax",5.2,"Bolivia",2020,0,0,0
"Alcohol tax",5.2,"Bolivia",2021,0,0,0
"Alcohol tax",5.2,"Bolivia",2022,0,0,0
"Alcohol tax",5.2,"Bolivia",2023,1930.16655749086,0,1930.16655749086
"Alcohol tax",5.2,"Bolivia",2024,3910.72889335719,0,3910.72889335719
"Alcohol tax",5.2,"Bolivia",2025,5942.06434339492,0,5942.06434339492
"Alcohol tax",5.2,"Bolivia",2026,8024.55398067121,0,8024.55398067121
"Alcohol tax",5.2,"Bolivia",2027,10158.278423741,0,10158.278423741
"Alcohol tax",5.2,"Bolivia",2028,12343.0199074981,0,12343.0199074981
"Alcohol tax",5.2,"Bolivia",2029,14578.0155354819,0,14578.0155354819
"Alcohol tax",5.2,"Bolivia",2030,16862.3119528999,0,16862.3119528999
"Tobacco policy",5.3,"Bolivia",2020,28561.5117618639,28561.5117618639,0
"Tobacco policy",5.3,"Bolivia",2021,28950.2654215828,28950.2654215828,0
"Tobacco policy",5.3,"Bolivia",2022,29337.5839177817,29337.5839177817,0
"Tobacco policy",5.3,"Bolivia",2023,37155.70620569,29724.5649556346,7431.14125005537
"Tobacco policy",5.3,"Bolivia",2024,45168.9445725536,30112.603811014,15056.3407615396
"Tobacco policy",5.3,"Bolivia",2025,53379.6595989762,30502.5704482486,22877.0891507276
"Tobacco policy",5.3,"Bolivia",2026,61789.3814301001,30894.4787719271,30894.902658173
"Tobacco policy",5.3,"Bolivia",2027,70397.5553540249,31287.4057605074,39110.1495935175
"Tobacco policy",5.3,"Bolivia",2028,79202.3346984883,31680.2775902585,47522.0571082297
"Tobacco policy",5.3,"Bolivia",2029,88199.1944782516,32071.4345265247,56127.7599517269
"Tobacco policy",5.3,"Bolivia",2030,97383.3452628115,32459.6798634394,64923.665399372
"Alcohol policy",5.4,"Bolivia",2020,0,0,0
"Alcohol policy",5.4,"Bolivia",2021,0,0,0
"Alcohol policy",5.4,"Bolivia",2022,0,0,0
"Alcohol policy",5.4,"Bolivia",2023,2702.2331804872,0,2702.2331804872
"Alcohol policy",5.4,"Bolivia",2024,5475.02232888678,0,5475.02232888678
"Alcohol policy",5.4,"Bolivia",2025,8318.89871880153,0,8318.89871880153
"Alcohol policy",5.4,"Bolivia",2026,11234.3990665226,0,11234.3990665226
"Alcohol policy",5.4,"Bolivia",2027,14221.6396709725,0,14221.6396709725
"Alcohol policy",5.4,"Bolivia",2028,17280.3192888231,0,17280.3192888231
"Alcohol policy",5.4,"Bolivia",2029,20409.373672295,0,20409.373672295
"Alcohol policy",5.4,"Bolivia",2030,23607.4721115974,0,23607.4721115974
"Trans fat policy",5.6,"Bolivia",2020,282429.173763762,282429.173763762,0
"Trans fat policy",5.6,"Bolivia",2021,286273.346153078,286273.346153078,0
"Trans fat policy",5.6,"Bolivia",2022,290103.326995021,290103.326995021,0
"Trans fat policy",5.6,"Bolivia",2023,330671.217257873,293929.970895887,36741.2463619859
"Trans fat policy",5.6,"Bolivia",2024,372209.691179959,297767.074975908,74442.6162040512
"Trans fat policy",5.6,"Bolivia",2025,414734.748408018,301623.241836678,113111.50657134
"Trans fat policy",5.6,"Bolivia",2026,458254.000741373,305498.608973073,152755.3917683
"Trans fat policy",5.6,"Bolivia",2027,502760.067126387,309384.049129724,193376.017996663
"Trans fat policy",5.6,"Bolivia",2028,548238.394281638,313268.943850872,234969.450430766
"Trans fat policy",5.6,"Bolivia",2029,594658.256768336,317136.880927968,277521.375840368
"Trans fat policy",5.6,"Bolivia",2030,641989.88659653,320976.026790998,321013.859805531
