"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Epilepsy acute and chronic treatment",2.13,"Burkina Faso",2020,22679.2588811621,22679.2588811621,0
"Epilepsy acute and chronic treatment",2.13,"Burkina Faso",2021,23311.7485394549,23311.7485394549,0
"Epilepsy acute and chronic treatment",2.13,"Burkina Faso",2022,23956.2651246124,23956.2651246124,0
"Epilepsy acute and chronic treatment",2.13,"Burkina Faso",2023,103577.622533854,24612.5043644802,78965.1181693739
"Epilepsy acute and chronic treatment",2.13,"Burkina Faso",2024,187497.420067385,25280.1085762954,162217.311491089
"Epilepsy acute and chronic treatment",2.13,"Burkina Faso",2025,275804.416442196,25956.7650817506,249847.651360446
"Epilepsy acute and chronic treatment",2.13,"Burkina Faso",2026,368712.50063575,26651.3087293687,342061.191906382
"Epilepsy acute and chronic treatment",2.13,"Burkina Faso",2027,466267.541777183,27356.0994069483,438911.442370235
"Epilepsy acute and chronic treatment",2.13,"Burkina Faso",2028,568573.609030416,28071.2318528209,540502.377177596
"Epilepsy acute and chronic treatment",2.13,"Burkina Faso",2029,675739.035475338,28796.9620141401,646942.073461198
"Epilepsy acute and chronic treatment",2.13,"Burkina Faso",2030,787831.315108704,29531.9266646442,758299.38844406
"Aspirin for suspected ACS",2.5,"Burkina Faso",2020,1712.6910176557,1712.6910176557,0
"Aspirin for suspected ACS",2.5,"Burkina Faso",2021,1779.07281675896,1779.07281675896,0
"Aspirin for suspected ACS",2.5,"Burkina Faso",2022,1848.99163482968,1848.99163482968,0
"Aspirin for suspected ACS",2.5,"Burkina Faso",2023,2604.46896496233,1922.20734717482,682.261617787515
"Aspirin for suspected ACS",2.5,"Burkina Faso",2024,3416.99220375937,1998.24642730899,1418.74577645038
"Aspirin for suspected ACS",2.5,"Burkina Faso",2025,4289.19797102669,2076.86564306554,2212.33232796115
"Aspirin for suspected ACS",2.5,"Burkina Faso",2026,5218.27127621331,2155.70120205895,3062.57007415436
"Aspirin for suspected ACS",2.5,"Burkina Faso",2027,6211.74917383772,2237.34143449872,3974.407739339
"Aspirin for suspected ACS",2.5,"Burkina Faso",2028,7273.48560928683,2322.02743526258,4951.45817402425
"Aspirin for suspected ACS",2.5,"Burkina Faso",2029,8408.22107007892,2410.16291121074,5998.05815886818
"Aspirin for suspected ACS",2.5,"Burkina Faso",2030,9620.91744210271,2502.06662753986,7118.85081456285
"Heart failure chronic treatment",2.7,"Burkina Faso",2020,582710.382137101,582710.382137101,0
"Heart failure chronic treatment",2.7,"Burkina Faso",2021,607046.754902654,607046.754902654,0
"Heart failure chronic treatment",2.7,"Burkina Faso",2022,630793.302019886,630793.302019886,0
"Heart failure chronic treatment",2.7,"Burkina Faso",2023,886069.395238371,653956.38210593,232113.013132441
"Heart failure chronic treatment",2.7,"Burkina Faso",2024,1157055.55121479,676494.067146308,480561.484068478
"Heart failure chronic treatment",2.7,"Burkina Faso",2025,1443217.70444145,698391.555465662,744826.148975785
"Heart failure chronic treatment",2.7,"Burkina Faso",2026,1769574.11314482,730148.90879715,1039425.20434767
"Heart failure chronic treatment",2.7,"Burkina Faso",2027,2117904.23024399,761352.836604505,1356551.39363949
"Heart failure chronic treatment",2.7,"Burkina Faso",2028,2487717.79377889,791993.167351825,1695724.62642706
"Heart failure chronic treatment",2.7,"Burkina Faso",2029,2878554.23828473,822101.379888752,2056452.85839597
"Heart failure chronic treatment",2.7,"Burkina Faso",2030,3290165.12196976,851787.190103623,2438377.93186613
"Treatment of early-stage breast cancer",4.3,"Burkina Faso",2020,3570.83472688173,3570.83472688173,0
"Treatment of early-stage breast cancer",4.3,"Burkina Faso",2021,3687.53230896058,3687.53230896058,0
"Treatment of early-stage breast cancer",4.3,"Burkina Faso",2022,3811.45679924794,3811.45679924794,0
"Treatment of early-stage breast cancer",4.3,"Burkina Faso",2023,10023.3087887925,3943.59690050851,6079.71188828395
"Treatment of early-stage breast cancer",4.3,"Burkina Faso",2024,16681.4220022213,4084.87792772553,12596.5440744958
"Treatment of early-stage breast cancer",4.3,"Burkina Faso",2025,23834.0091351318,4236.07430769591,19597.9348274359
"Treatment of early-stage breast cancer",4.3,"Burkina Faso",2026,31410.127941521,4380.68898884636,27029.4389526746
"Treatment of early-stage breast cancer",4.3,"Burkina Faso",2027,39511.9000681333,4533.79275996234,34978.107308171
"Treatment of early-stage breast cancer",4.3,"Burkina Faso",2028,48190.5594639946,4696.4279332606,43494.131530734
"Treatment of early-stage breast cancer",4.3,"Burkina Faso",2029,57502.1158894699,4869.49333805949,52632.6225514104
"Treatment of early-stage breast cancer",4.3,"Burkina Faso",2030,67504.4514184861,5053.60482673236,62450.8465917538
"Tobacco tax",5.1,"Burkina Faso",2020,0,0,0
"Tobacco tax",5.1,"Burkina Faso",2021,0,0,0
"Tobacco tax",5.1,"Burkina Faso",2022,0,0,0
"Tobacco tax",5.1,"Burkina Faso",2023,889.220389828523,0,889.220389828523
"Tobacco tax",5.1,"Burkina Faso",2024,1826.9202963182,0,1826.9202963182
"Tobacco tax",5.1,"Burkina Faso",2025,2814.61289362111,0,2814.61289362111
"Tobacco tax",5.1,"Burkina Faso",2026,3853.89282792646,0,3853.89282792646
"Tobacco tax",5.1,"Burkina Faso",2027,4945.98861774019,0,4945.98861774019
"Tobacco tax",5.1,"Burkina Faso",2028,6092.37409410044,0,6092.37409410044
"Tobacco tax",5.1,"Burkina Faso",2029,7294.5835615,0,7294.5835615
"Tobacco tax",5.1,"Burkina Faso",2030,8554.21338796193,0,8554.21338796193
"Alcohol tax",5.2,"Burkina Faso",2020,0,0,0
"Alcohol tax",5.2,"Burkina Faso",2021,0,0,0
"Alcohol tax",5.2,"Burkina Faso",2022,0,0,0
"Alcohol tax",5.2,"Burkina Faso",2023,889.220389828523,0,889.220389828523
"Alcohol tax",5.2,"Burkina Faso",2024,1826.91879401849,0,1826.91879401849
"Alcohol tax",5.2,"Burkina Faso",2025,2814.6043625594,0,2814.6043625594
