"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Pulmonary rehabilitation",1.2,"Burundi",2020,4572.95779988718,4572.95779988718,0
"Pulmonary rehabilitation",1.2,"Burundi",2021,4765.3658586148,4765.3658586148,0
"Pulmonary rehabilitation",1.2,"Burundi",2022,4960.74706328411,4960.74706328411,0
"Pulmonary rehabilitation",1.2,"Burundi",2023,6567.03324606585,5160.32282197769,1406.71042408816
"Pulmonary rehabilitation",1.2,"Burundi",2024,8291.37147416095,5365.63116467548,2925.74030948546
"Pulmonary rehabilitation",1.2,"Burundi",2025,10140.5177655374,5577.66833446195,4562.84943107541
"Pulmonary rehabilitation",1.2,"Burundi",2026,12119.0616687659,5795.85824581942,6323.20342294645
"Pulmonary rehabilitation",1.2,"Burundi",2027,14233.8666571307,6020.83455044924,8213.03210668146
"Pulmonary rehabilitation",1.2,"Burundi",2028,16494.4725933663,6253.96618015503,10240.5064132113
"Pulmonary rehabilitation",1.2,"Burundi",2029,18912.3793305234,6496.76405959686,12415.6152709266
"Pulmonary rehabilitation",1.2,"Burundi",2030,21500.154437943,6750.53900464996,14749.615433293
"Epilepsy acute and chronic treatment",2.13,"Burundi",2020,7160.69972539824,7160.69972539824,0
"Epilepsy acute and chronic treatment",2.13,"Burundi",2021,7377.35831075896,7377.35831075896,0
"Epilepsy acute and chronic treatment",2.13,"Burundi",2022,7596.14342977512,7596.14342977512,0
"Epilepsy acute and chronic treatment",2.13,"Burundi",2023,32897.8812391877,7817.31831426243,25080.5629249253
"Epilepsy acute and chronic treatment",2.13,"Burundi",2024,59641.4229280745,8041.4542551873,51599.9686728872
"Epilepsy acute and chronic treatment",2.13,"Burundi",2025,87854.2921633574,8268.36792838628,79585.9242349711
"Epilepsy acute and chronic treatment",2.13,"Burundi",2026,117646.778667178,8504.01481298589,109142.763854193
"Epilepsy acute and chronic treatment",2.13,"Burundi",2027,149003.788464887,8742.49605663674,140261.29240825
"Epilepsy acute and chronic treatment",2.13,"Burundi",2028,181942.20910016,8983.21981751491,172958.989282645
"Epilepsy acute and chronic treatment",2.13,"Burundi",2029,216470.523493877,9225.54940073944,207244.974093138
"Epilepsy acute and chronic treatment",2.13,"Burundi",2030,252578.657399331,9468.44931340066,243110.208085931
"Aspirin for suspected ACS",2.5,"Burundi",2020,403.058101320387,403.058101320387,0
"Aspirin for suspected ACS",2.5,"Burundi",2021,421.741575882393,421.741575882393,0
"Aspirin for suspected ACS",2.5,"Burundi",2022,441.944436380457,441.944436380457,0
"Aspirin for suspected ACS",2.5,"Burundi",2023,590.195398832027,463.770879771878,126.424519060149
"Aspirin for suspected ACS",2.5,"Burundi",2024,753.105752211021,487.359377714707,265.746374496314
"Aspirin for suspected ACS",2.5,"Burundi",2025,932.186919365711,512.734180327919,419.452739037792
"Aspirin for suspected ACS",2.5,"Burundi",2026,1127.00751621761,538.975229523942,588.032286693666
"Aspirin for suspected ACS",2.5,"Burundi",2027,1340.15278464028,566.860819114063,773.291965526219
"Aspirin for suspected ACS",2.5,"Burundi",2028,1572.17956150887,596.075065631167,976.104495877703
"Aspirin for suspected ACS",2.5,"Burundi",2029,1822.87297807567,626.153128262347,1196.71984981332
"Aspirin for suspected ACS",2.5,"Burundi",2030,2091.97960593934,656.775322836107,1435.20428310323
"Cervical cancer screening and treatment",3.3,"Burundi",2020,176192.47441639,176192.47441639,0
"Cervical cancer screening and treatment",3.3,"Burundi",2021,181947.006099578,181947.006099578,0
"Cervical cancer screening and treatment",3.3,"Burundi",2022,187833.960566092,187833.960566092,0
"Cervical cancer screening and treatment",3.3,"Burundi",2023,492935.844217699,193941.971495488,298993.872722211
