"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Cameroon",2020,18525.7785492193,18525.7785492193,0
"IDU harm reduction measures",1.1,"Cameroon",2021,19067.508355308,19067.508355308,0
"IDU harm reduction measures",1.1,"Cameroon",2022,19626.5547014624,19626.5547014624,0
"IDU harm reduction measures",1.1,"Cameroon",2023,219733.762135333,20205.4034147432,199528.358720589
"IDU harm reduction measures",1.1,"Cameroon",2024,431770.087559425,20806.9635469424,410963.124012482
"IDU harm reduction measures",1.1,"Cameroon",2025,656484.623855905,21432.677623211,635051.946232694
"IDU harm reduction measures",1.1,"Cameroon",2026,893750.539849573,22061.0269737971,871689.512875776
"IDU harm reduction measures",1.1,"Cameroon",2027,1144759.1652769,22713.6287472303,1122045.53652967
"IDU harm reduction measures",1.1,"Cameroon",2028,1410119.23452267,23388.322045793,1386730.91247688
"IDU harm reduction measures",1.1,"Cameroon",2029,1690294.93106429,24082.1566513981,1666212.77441289
"IDU harm reduction measures",1.1,"Cameroon",2030,1985721.48927596,24793.3309252289,1960928.15835073
"Pulmonary rehabilitation",1.2,"Cameroon",2020,60933.8510086273,60933.8510086273,0
"Pulmonary rehabilitation",1.2,"Cameroon",2021,63097.550362715,63097.550362715,0
"Pulmonary rehabilitation",1.2,"Cameroon",2022,65311.1460274767,65311.1460274767,0
"Pulmonary rehabilitation",1.2,"Cameroon",2023,94181.0298389868,67583.0462457569,26597.9835932299
"Pulmonary rehabilitation",1.2,"Cameroon",2024,125037.121882593,69921.5116412422,55115.6102413504
"Pulmonary rehabilitation",1.2,"Cameroon",2025,158003.121559198,72330.4602298927,85672.6613293051
"Pulmonary rehabilitation",1.2,"Cameroon",2026,193710.668785812,75001.3370575506,118709.331728262
"Pulmonary rehabilitation",1.2,"Cameroon",2027,231945.5831013,77746.7626788773,154198.820422423
"Pulmonary rehabilitation",1.2,"Cameroon",2028,272843.748254215,80574.0538886893,192269.694365526
"Pulmonary rehabilitation",1.2,"Cameroon",2029,316541.429762349,83492.5588191175,233048.870943232
"Pulmonary rehabilitation",1.2,"Cameroon",2030,363158.488590034,86509.9585353819,276648.530054652
"Depression chronic treatment",2.1,"Cameroon",2020,445916.055387073,445916.055387073,0
"Depression chronic treatment",2.1,"Cameroon",2021,459831.339635101,459831.339635101,0
"Depression chronic treatment",2.1,"Cameroon",2022,474193.49829523,474193.49829523,0
"Depression chronic treatment",2.1,"Cameroon",2023,681508.800884155,489041.592407583,192467.208476572
"Depression chronic treatment",2.1,"Cameroon",2024,901620.020879888,504403.703109141,397216.317770747
"Depression chronic treatment",2.1,"Cameroon",2025,1135222.8848014,520277.683957612,614945.200843789
"Depression chronic treatment",2.1,"Cameroon",2026,1382371.15002145,536404.369121663,845966.780899784
"Depression chronic treatment",2.1,"Cameroon",2027,1644188.45532221,553035.625940105,1091152.8293821
"Depression chronic treatment",2.1,"Cameroon",2028,1921279.59431174,570155.933075519,1351123.66123622
"Depression chronic treatment",2.1,"Cameroon",2029,2214160.22454925,587740.122743015,1626420.10180623
"Depression chronic treatment",2.1,"Cameroon",2030,2523112.08449579,605724.336322773,1917387.74817302
"Epilepsy acute and chronic treatment",2.13,"Cameroon",2020,1035759.85108038,1035759.85108038,0
"Epilepsy acute and chronic treatment",2.13,"Cameroon",2021,1062016.10555863,1062016.10555863,0
"Epilepsy acute and chronic treatment",2.13,"Cameroon",2022,1088583.55271722,1088583.55271722,0
"Epilepsy acute and chronic treatment",2.13,"Cameroon",2023,1199163.60969561,1115501.03227499,83662.577420624
"Epilepsy acute and chronic treatment",2.13,"Cameroon",2024,1314374.38970601,1142818.64404552,171555.745660491
"Epilepsy acute and chronic treatment",2.13,"Cameroon",2025,1434298.92174454,1170525.40446493,263773.517279605
"Epilepsy acute and chronic treatment",2.13,"Cameroon",2026,1559545.59232666,1198998.81780125,360546.774525417
"Epilepsy acute and chronic treatment",2.13,"Cameroon",2027,1689756.59861451,1227848.557171,461908.041443508
"Epilepsy acute and chronic treatment",2.13,"Cameroon",2028,1825002.37705042,1257062.76356182,567939.613488593
"Epilepsy acute and chronic treatment",2.13,"Cameroon",2029,1965335.76119927,1286626.84013196,678708.92106731
"Epilepsy acute and chronic treatment",2.13,"Cameroon",2030,2110747.3198097,1316497.1453056,794250.174504107
"CVD primary prevention",2.4,"Cameroon",2020,7055516.53309991,7055516.53309991,0
"CVD primary prevention",2.4,"Cameroon",2021,7301792.47010575,7301792.47010575,0
"CVD primary prevention",2.4,"Cameroon",2022,7554190.79070511,7554190.79070511,0
"CVD primary prevention",2.4,"Cameroon",2023,10888035.6715239,7813108.64376897,3074927.02775494
"CVD primary prevention",2.4,"Cameroon",2024,14441062.6701641,8078802.63330577,6362260.03685828
"CVD primary prevention",2.4,"Cameroon",2025,18223281.5983214,8351442.54363214,9871839.05468924
"CVD primary prevention",2.4,"Cameroon",2026,22226224.662849,8623815.55208134,13602409.1107677
"CVD primary prevention",2.4,"Cameroon",2027,26472827.7026662,8903306.99681065,17569520.7058556
