"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Epilepsy acute and chronic treatment",2.13,"Cape Verde",2020,53764.0080945626,53764.0080945626,0
"Epilepsy acute and chronic treatment",2.13,"Cape Verde",2021,54409.2919222437,54409.2919222437,0
"Epilepsy acute and chronic treatment",2.13,"Cape Verde",2022,55034.6308942822,55034.6308942822,0
"Epilepsy acute and chronic treatment",2.13,"Cape Verde",2023,59823.1163541642,55649.4105620132,4173.70579215099
"Epilepsy acute and chronic treatment",2.13,"Cape Verde",2024,64708.7645428869,56267.2896391818,8441.47490370516
"Epilepsy acute and chronic treatment",2.13,"Cape Verde",2025,69705.5879668532,56899.0457690425,12806.5421978107
"Epilepsy acute and chronic treatment",2.13,"Cape Verde",2026,74846.5497025636,57567.3532695137,17279.1964330499
"Epilepsy acute and chronic treatment",2.13,"Cape Verde",2027,80097.1553521826,58241.0350776592,21856.1202745234
"Epilepsy acute and chronic treatment",2.13,"Cape Verde",2028,85450.3693632738,58914.2957550401,26536.0736082338
"Epilepsy acute and chronic treatment",2.13,"Cape Verde",2029,90896.1367577676,59580.5291642727,31315.6075934949
"Epilepsy acute and chronic treatment",2.13,"Cape Verde",2030,96434.9283276134,60240.9535102147,36193.9748173986
"Heart failure chronic treatment",2.7,"Cape Verde",2020,144291.440403501,144291.440403501,0
"Heart failure chronic treatment",2.7,"Cape Verde",2021,148702.076062801,148702.076062801,0
"Heart failure chronic treatment",2.7,"Cape Verde",2022,152932.123409938,152932.123409938,0
"Heart failure chronic treatment",2.7,"Cape Verde",2023,181049.580070554,157106.916209019,23942.6638615348
"Heart failure chronic treatment",2.7,"Cape Verde",2024,210532.130680532,161319.860220233,49212.2704602992
"Heart failure chronic treatment",2.7,"Cape Verde",2025,241516.429285981,165648.400512333,75868.0287736475
"Heart failure chronic treatment",2.7,"Cape Verde",2026,278503.081962441,172843.403665127,105659.678297315
"Heart failure chronic treatment",2.7,"Cape Verde",2027,318080.792265718,180221.116383062,137859.675882656
"Heart failure chronic treatment",2.7,"Cape Verde",2028,360349.312494292,187787.035579136,172562.276915155
"Heart failure chronic treatment",2.7,"Cape Verde",2029,405394.522326808,195540.731377216,209853.790949592
"Heart failure chronic treatment",2.7,"Cape Verde",2030,453520.783300468,203581.760650652,249939.022649816
"Treatment of early-stage breast cancer",4.3,"Cape Verde",2020,831.697138789618,831.697138789618,0
"Treatment of early-stage breast cancer",4.3,"Cape Verde",2021,860.049658475908,860.049658475908,0
"Treatment of early-stage breast cancer",4.3,"Cape Verde",2022,891.241729904969,891.241729904969,0
"Treatment of early-stage breast cancer",4.3,"Cape Verde",2023,1520.4858266947,924.739917989756,595.745908704939
"Treatment of early-stage breast cancer",4.3,"Cape Verde",2024,2198.20756357962,960.527500288554,1237.68006329107
"Treatment of early-stage breast cancer",4.3,"Cape Verde",2025,2929.44922649788,998.7939719007,1930.65525459718
"Treatment of early-stage breast cancer",4.3,"Cape Verde",2026,3700.86990332395,1034.45286027049,2666.41704305346
"Treatment of early-stage breast cancer",4.3,"Cape Verde",2027,4527.15188062422,1072.15910509318,3454.99277553105
"Treatment of early-stage breast cancer",4.3,"Cape Verde",2028,5413.42487734394,1112.13470475971,4301.29017258423
"Treatment of early-stage breast cancer",4.3,"Cape Verde",2029,6359.64750077135,1153.55857609069,5206.08892468066
"Treatment of early-stage breast cancer",4.3,"Cape Verde",2030,7361.08126200895,1195.19442064,6165.88684136895
"Tobacco tax",5.1,"Cape Verde",2020,0,0,0
"Tobacco tax",5.1,"Cape Verde",2021,0,0,0
"Tobacco tax",5.1,"Cape Verde",2022,0,0,0
"Tobacco tax",5.1,"Cape Verde",2023,97.4257828487801,0,97.4257828487801
"Tobacco tax",5.1,"Cape Verde",2024,196.747399815927,0,196.747399815927
"Tobacco tax",5.1,"Cape Verde",2025,297.951148468127,0,297.951148468127
"Tobacco tax",5.1,"Cape Verde",2026,401.042897872847,0,401.042897872847
"Tobacco tax",5.1,"Cape Verde",2027,505.965986391758,0,505.965986391758
"Tobacco tax",5.1,"Cape Verde",2028,612.661387968825,0,612.661387968825
"Tobacco tax",5.1,"Cape Verde",2029,721.063137641679,0,721.063137641679
"Tobacco tax",5.1,"Cape Verde",2030,831.129973184141,0,831.129973184141
"Alcohol tax",5.2,"Cape Verde",2020,377.785047545972,377.785047545972,0
"Alcohol tax",5.2,"Cape Verde",2021,381.896865128903,381.896865128903,0
"Alcohol tax",5.2,"Cape Verde",2022,385.858163441417,385.858163441417,0
"Alcohol tax",5.2,"Cape Verde",2023,438.41602281951,389.70313139512,48.7128914243901
