"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Pulmonary rehabilitation",1.2,"Congo",2020,17253.2678363444,17253.2678363444,0
"Pulmonary rehabilitation",1.2,"Congo",2021,17933.4764266625,17933.4764266625,0
"Pulmonary rehabilitation",1.2,"Congo",2022,18624.8425611928,18624.8425611928,0
"Pulmonary rehabilitation",1.2,"Congo",2023,25031.9284032562,19335.0419731261,5696.88643013018
"Pulmonary rehabilitation",1.2,"Congo",2024,31913.7679492852,20072.204675163,11841.5632741222
"Pulmonary rehabilitation",1.2,"Congo",2025,39305.8940565719,20839.8702524527,18466.0238041192
"Pulmonary rehabilitation",1.2,"Congo",2026,47283.3973746855,21656.6262130049,25626.7711616806
"Pulmonary rehabilitation",1.2,"Congo",2027,55845.4776099172,22502.8682759565,33342.6093339607
"Pulmonary rehabilitation",1.2,"Congo",2028,65016.5221781556,23376.9117252943,41639.6104528613
"Pulmonary rehabilitation",1.2,"Congo",2029,74809.1832187555,24274.7318775046,50534.4513412509
"Pulmonary rehabilitation",1.2,"Congo",2030,85236.248380094,25194.6721014545,60041.5762786395
"Epilepsy acute and chronic treatment",2.13,"Congo",2020,283293.770496643,283293.770496643,0
"Epilepsy acute and chronic treatment",2.13,"Congo",2021,290797.626751356,290797.626751356,0
"Epilepsy acute and chronic treatment",2.13,"Congo",2022,298356.747755532,298356.747755532,0
"Epilepsy acute and chronic treatment",2.13,"Congo",2023,328962.113136269,306011.268033738,22950.8451025304
"Epilepsy acute and chronic treatment",2.13,"Congo",2024,360906.719499307,313813.099037286,47093.6204620206
"Epilepsy acute and chronic treatment",2.13,"Congo",2025,394240.516590923,321775.103865221,72465.4127257016
"Epilepsy acute and chronic treatment",2.13,"Congo",2026,429049.336640818,329932.426254174,99116.9103866445
"Epilepsy acute and chronic treatment",2.13,"Congo",2027,465346.671691101,338262.270513505,127084.401177596
"Epilepsy acute and chronic treatment",2.13,"Congo",2028,503154.197085857,346752.59373231,156401.603353547
"Epilepsy acute and chronic treatment",2.13,"Congo",2029,542474.775699168,355382.370740909,187092.404958259
"Epilepsy acute and chronic treatment",2.13,"Congo",2030,583286.8551849,364120.263585875,219166.591599024
"Aspirin for suspected ACS",2.5,"Congo",2020,1294.10044646313,1294.10044646313,0
"Aspirin for suspected ACS",2.5,"Congo",2021,1342.77960028606,1342.77960028606,0
"Aspirin for suspected ACS",2.5,"Congo",2022,1391.34949868826,1391.34949868826,0
"Aspirin for suspected ACS",2.5,"Congo",2023,1864.49340347498,1440.16304433484,424.330359140133
"Aspirin for suspected ACS",2.5,"Congo",2024,2367.913700202,1489.62010848122,878.293591720779
"Aspirin for suspected ACS",2.5,"Congo",2025,2902.67508653806,1539.88262017063,1362.79246636743
"Aspirin for suspected ACS",2.5,"Congo",2026,3464.19871588972,1588.42201882261,1875.77669706711
"Aspirin for suspected ACS",2.5,"Congo",2027,4057.58260862457,1637.8576557606,2419.72495286396
"Aspirin for suspected ACS",2.5,"Congo",2028,4683.78847257938,1688.21185345352,2995.57661912585
"Aspirin for suspected ACS",2.5,"Congo",2029,5343.50169263686,1739.42593596691,3604.07575666995
"Aspirin for suspected ACS",2.5,"Congo",2030,6037.90341390566,1791.62752515231,4246.27588875335
"Heart failure chronic treatment",2.7,"Congo",2020,266613.544422672,266613.544422672,0
"Heart failure chronic treatment",2.7,"Congo",2021,279486.836036222,279486.836036222,0
"Heart failure chronic treatment",2.7,"Congo",2022,292353.951456699,292353.951456699,0
