"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Cote d'Ivoire",2020,11618.3243856087,11618.3243856087,0
"IDU harm reduction measures",1.1,"Cote d'Ivoire",2021,11970.0278318857,11970.0278318857,0
"IDU harm reduction measures",1.1,"Cote d'Ivoire",2022,12334.5879549251,12334.5879549251,0
"IDU harm reduction measures",1.1,"Cote d'Ivoire",2023,138223.256017763,12710.1844614035,125513.071556359
"IDU harm reduction measures",1.1,"Cote d'Ivoire",2024,271735.419976306,13095.1909680336,258640.229008273
"IDU harm reduction measures",1.1,"Cote d'Ivoire",2025,413135.73261608,13488.7315403821,399647.001075697
"IDU harm reduction measures",1.1,"Cote d'Ivoire",2026,562276.040607098,13880.6258893616,548395.414717736
"IDU harm reduction measures",1.1,"Cote d'Ivoire",2027,719603.693312485,14280.5382969581,705323.155015527
"IDU harm reduction measures",1.1,"Cote d'Ivoire",2028,885422.221517757,14689.4376492126,870732.783868545
"IDU harm reduction measures",1.1,"Cote d'Ivoire",2029,1060118.81372094,15108.9634028247,1045009.85031811
"IDU harm reduction measures",1.1,"Cote d'Ivoire",2030,1244090.22364946,15540.087800699,1228550.13584876
"Pulmonary rehabilitation",1.2,"Cote d'Ivoire",2020,88976.1647073241,88976.1647073241,0
"Pulmonary rehabilitation",1.2,"Cote d'Ivoire",2021,91816.1285348571,91816.1285348571,0
"Pulmonary rehabilitation",1.2,"Cote d'Ivoire",2022,94750.1153732018,94750.1153732018,0
"Pulmonary rehabilitation",1.2,"Cote d'Ivoire",2023,127528.133563651,97778.064826936,29750.0687367154
"Pulmonary rehabilitation",1.2,"Cote d'Ivoire",2024,162346.782035559,100898.757835049,61448.0242005095
"Pulmonary rehabilitation",1.2,"Cote d'Ivoire",2025,199299.186820936,104106.929007026,95192.2578139095
"Pulmonary rehabilitation",1.2,"Cote d'Ivoire",2026,239220.717265383,107730.098312596,131490.618952786
"Pulmonary rehabilitation",1.2,"Cote d'Ivoire",2027,281695.709083791,111446.801996689,170248.907087102
"Pulmonary rehabilitation",1.2,"Cote d'Ivoire",2028,326812.726457138,115254.465931126,211558.260526012
"Pulmonary rehabilitation",1.2,"Cote d'Ivoire",2029,374652.786511181,119152.566700752,255500.219810429
