"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Epilepsy acute and chronic treatment",2.13,"Egypt",2020,4053042.420017,4053042.420017,0
"Epilepsy acute and chronic treatment",2.13,"Egypt",2021,4124298.00627096,4124298.00627096,0
"Epilepsy acute and chronic treatment",2.13,"Egypt",2022,4193958.62019067,4193958.62019067,0
"Epilepsy acute and chronic treatment",2.13,"Egypt",2023,4580786.38722361,4261196.63927778,319589.747945833
"Epilepsy acute and chronic treatment",2.13,"Egypt",2024,4974447.7080337,4325253.91318234,649193.79485136
"Epilepsy acute and chronic treatment",2.13,"Egypt",2025,5374986.90850789,4386706.80014787,988280.108360022
"Epilepsy acute and chronic treatment",2.13,"Egypt",2026,5788907.93345235,4450929.15228042,1337978.78117193
"Epilepsy acute and chronic treatment",2.13,"Egypt",2027,6211298.76327901,4513855.54753178,1697443.21574724
"Epilepsy acute and chronic treatment",2.13,"Egypt",2028,6641986.45583617,4575532.2966995,2066454.15913667
"Epilepsy acute and chronic treatment",2.13,"Egypt",2029,7081991.00606222,4636788.96289823,2445202.04316399
"Epilepsy acute and chronic treatment",2.13,"Egypt",2030,7530606.28404713,4697230.61042652,2833375.67362061
"CVD primary prevention",2.4,"Egypt",2020,121192729.733374,121192729.733374,0
"CVD primary prevention",2.4,"Egypt",2021,124515061.193353,124515061.193353,0
"CVD primary prevention",2.4,"Egypt",2022,127524003.917864,127524003.917864,0
"CVD primary prevention",2.4,"Egypt",2023,143532041.733873,130351267.181544,13180774.5523286
"CVD primary prevention",2.4,"Egypt",2024,160175418.277898,133208838.531099,26966579.7467988
"CVD primary prevention",2.4,"Egypt",2025,177591050.387445,136190760.628569,41400289.7588758
"CVD primary prevention",2.4,"Egypt",2026,195512276.265682,139075053.671036,56437222.5946457
"CVD primary prevention",2.4,"Egypt",2027,214156880.657902,142022734.61226,72134146.0456419
"CVD primary prevention",2.4,"Egypt",2028,233542253.717369,145029745.55535,88512508.1620186
"CVD primary prevention",2.4,"Egypt",2029,253579115.427692,148031086.539578,105548028.888114
"CVD primary prevention",2.4,"Egypt",2030,274215039.516768,150997170.052901,123217869.463867
"Aspirin for suspected ACS",2.5,"Egypt",2020,98907.7572874984,98907.7572874984,0
"Aspirin for suspected ACS",2.5,"Egypt",2021,102094.215547532,102094.215547532,0
"Aspirin for suspected ACS",2.5,"Egypt",2022,105185.57218249,105185.57218249,0
"Aspirin for suspected ACS",2.5,"Egypt",2023,119228.291123276,108279.368453667,10948.9226696092
"Aspirin for suspected ACS",2.5,"Egypt",2024,134120.548550923,111531.303852978,22589.2446979447
"Aspirin for suspected ACS",2.5,"Egypt",2025,149996.11326511,115002.224278219,34993.8889868916
"Aspirin for suspected ACS",2.5,"Egypt",2026,166573.491091584,118437.732002924,48135.7590886597
"Aspirin for suspected ACS",2.5,"Egypt",2027,184130.063774895,122024.976897282,62105.0868776131
"Aspirin for suspected ACS",2.5,"Egypt",2028,202649.756429855,125721.567293475,76928.1891363805
"Aspirin for suspected ACS",2.5,"Egypt",2029,221976.172994745,129413.697390411,92562.4756043346
"Aspirin for suspected ACS",2.5,"Egypt",2030,241990.257438749,133034.293148568,108955.964290182
"Heart failure chronic treatment",2.7,"Egypt",2020,20947131.220371,20947131.220371,0
"Heart failure chronic treatment",2.7,"Egypt",2021,21675860.3484374,21675860.3484374,0
"Heart failure chronic treatment",2.7,"Egypt",2022,22352009.3898877,22352009.3898877,0
"Heart failure chronic treatment",2.7,"Egypt",2023,25322893.7824359,22997452.3693073,2325441.4131286
"Heart failure chronic treatment",2.7,"Egypt",2024,28448956.5006304,23647382.4809154,4801574.01971497
"Heart failure chronic treatment",2.7,"Egypt",2025,31758853.134725,24320134.366986,7438718.76773906
"Heart failure chronic treatment",2.7,"Egypt",2026,35412411.9615495,25119359.689936,10293052.2716135
"Heart failure chronic treatment",2.7,"Egypt",2027,39259725.1095571,25917574.0754126,13342151.0341445
"Heart failure chronic treatment",2.7,"Egypt",2028,43315648.9080622,26722088.1401964,16593560.7678657
"Heart failure chronic treatment",2.7,"Egypt",2029,47580688.7134323,27530727.9203055,20049960.7931268
"Heart failure chronic treatment",2.7,"Egypt",2030,52055965.9168081,28342893.6344637,23713072.2823443
"Treatment of early-stage breast cancer",4.3,"Egypt",2020,145496.626051161,145496.626051161,0
"Treatment of early-stage breast cancer",4.3,"Egypt",2021,149924.074603587,149924.074603587,0
"Treatment of early-stage breast cancer",4.3,"Egypt",2022,154257.688458097,154257.688458097,0
"Treatment of early-stage breast cancer",4.3,"Egypt",2023,260814.787374941,158624.198169555,102190.589205386
"Treatment of early-stage breast cancer",4.3,"Egypt",2024,373484.363012602,163174.91233193,210309.450680672
"Treatment of early-stage breast cancer",4.3,"Egypt",2025,492746.552792622,167934.475289894,324812.077502728
"Treatment of early-stage breast cancer",4.3,"Egypt",2026,616672.487447865,172238.439235719,444434.048212145
"Treatment of early-stage breast cancer",4.3,"Egypt",2027,746875.449569197,176668.070833501,570207.378735696
"Treatment of early-stage breast cancer",4.3,"Egypt",2028,883756.474284351,181248.639204891,702507.835079461
"Treatment of early-stage breast cancer",4.3,"Egypt",2029,1027633.99457115,185978.342208597,841655.652362551
"Treatment of early-stage breast cancer",4.3,"Egypt",2030,1178991.54640215,190881.48183605,988110.064566102
"Tobacco tax",5.1,"Egypt",2020,56952.1461056282,56952.1461056282,0
"Tobacco tax",5.1,"Egypt",2021,58031.9727817558,58031.9727817558,0
"Tobacco tax",5.1,"Egypt",2022,59071.1414795182,59071.1414795182,0
"Tobacco tax",5.1,"Egypt",2023,67589.1334263182,60079.2297122829,7509.90371403535
"Tobacco tax",5.1,"Egypt",2024,76344.3711457825,61075.4897660282,15268.8813797543
"Tobacco tax",5.1,"Egypt",2025,85354.8716351705,62076.2449611122,23278.6266740583
"Tobacco tax",5.1,"Egypt",2026,94625.3760209249,63083.5254731005,31541.8505478244
"Tobacco tax",5.1,"Egypt",2027,104148.23687483,64091.1127783038,40057.1240965266
"Tobacco tax",5.1,"Egypt",2028,113926.347549716,65100.5879469159,48825.7596028002
"Tobacco tax",5.1,"Egypt",2029,123961.909179017,66112.7411491729,57849.1680298445
"Tobacco tax",5.1,"Egypt",2030,134258.418676511,67128.8129666634,67129.6057098477
"Alcohol tax",5.2,"Egypt",2020,56952.1461056282,56952.1461056282,0
"Alcohol tax",5.2,"Egypt",2021,58031.9727817558,58031.9727817558,0
"Alcohol tax",5.2,"Egypt",2022,59071.1414795182,59071.1414795182,0
"Alcohol tax",5.2,"Egypt",2023,67589.1334263182,60079.2297122829,7509.90371403535
"Alcohol tax",5.2,"Egypt",2024,76344.3830269985,61075.4897660282,15268.8932609703
"Alcohol tax",5.2,"Egypt",2025,85354.905902534,62076.2449611122,23278.6609414218
"Alcohol tax",5.2,"Egypt",2026,94625.4414147029,63083.5254731005,31541.9159416024
"Alcohol tax",5.2,"Egypt",2027,104148.338518735,64091.1127783038,40057.2257404315
"Alcohol tax",5.2,"Egypt",2028,113926.486188473,65100.5879469159,48825.8982415571
"Alcohol tax",5.2,"Egypt",2029,123962.080487798,66112.7411491729,57849.3393386252
"Alcohol tax",5.2,"Egypt",2030,134258.61283048,67128.8129666634,67129.7998638162
"Tobacco policy",5.3,"Egypt",2020,219265.762287404,219265.762287404,0
"Tobacco policy",5.3,"Egypt",2021,223423.094986338,223423.094986338,0
"Tobacco policy",5.3,"Egypt",2022,227423.894468722,227423.894468722,0
"Tobacco policy",5.3,"Egypt",2023,289131.29278797,231305.034160985,57826.2586269855
"Tobacco policy",5.3,"Egypt",2024,352711.369788311,235140.635364069,117570.734424242
"Tobacco policy",5.3,"Egypt",2025,418240.421100127,238993.542861289,179246.878238838
"Tobacco policy",5.3,"Egypt",2026,485747.693198121,242871.572828566,242876.120369554
"Tobacco policy",5.3,"Egypt",2027,555198.869350021,246750.78394972,308448.085400301
"Tobacco policy",5.3,"Egypt",2028,626610.839103571,250637.26334499,375973.575758581
"Tobacco policy",5.3,"Egypt",2029,699998.243750352,254534.053169782,445464.190580569
"Tobacco policy",5.3,"Egypt",2030,775383.98193254,258445.929663209,516938.052269331
"Salt policy",5.5,"Egypt",2020,4326928.73387192,4326928.73387192,0
"Salt policy",5.5,"Egypt",2021,4408968.36524723,4408968.36524723,0
"Salt policy",5.5,"Egypt",2022,4487919.01425962,4487919.01425962,0
"Salt policy",5.5,"Egypt",2023,5135071.87204906,4564508.33071027,570563.541338784
