"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Epilepsy acute and chronic treatment",2.13,"Eritrea",2020,3905.31651817592,3905.31651817592,0
"Epilepsy acute and chronic treatment",2.13,"Eritrea",2021,3968.3827301072,3968.3827301072,0
"Epilepsy acute and chronic treatment",2.13,"Eritrea",2022,4041.38593646296,4041.38593646296,0
"Epilepsy acute and chronic treatment",2.13,"Eritrea",2023,17342.3576709773,4120.95627825204,13221.4013927253
"Epilepsy acute and chronic treatment",2.13,"Eritrea",2024,31168.3791162208,4202.4727335334,26965.9063826874
"Epilepsy acute and chronic treatment",2.13,"Eritrea",2025,45496.8051570416,4282.03627606271,41214.7688809789
"Epilepsy acute and chronic treatment",2.13,"Eritrea",2026,60394.3124416233,4365.82160794506,56028.4908336783
"Epilepsy acute and chronic treatment",2.13,"Eritrea",2027,75793.905518746,4447.50991804466,71346.3956007013
"Epilepsy acute and chronic treatment",2.13,"Eritrea",2028,91682.6129953276,4527.45489954119,87155.1580957864
"Epilepsy acute and chronic treatment",2.13,"Eritrea",2029,108066.675944968,4606.63597974228,103460.039965226
"Epilepsy acute and chronic treatment",2.13,"Eritrea",2030,124942.707824393,4685.20043866013,120257.507385733
"Aspirin for suspected ACS",2.5,"Eritrea",2020,342.977763658852,342.977763658852,0
"Aspirin for suspected ACS",2.5,"Eritrea",2021,348.607198828488,348.607198828488,0
"Aspirin for suspected ACS",2.5,"Eritrea",2022,356.217633129375,356.217633129375,0
"Aspirin for suspected ACS",2.5,"Eritrea",2023,470.592978508058,365.653641016081,104.939337491977
"Aspirin for suspected ACS",2.5,"Eritrea",2024,592.673969360298,376.543019977705,216.130949382593
"Aspirin for suspected ACS",2.5,"Eritrea",2025,723.377281479569,388.705333580273,334.671947899296
"Aspirin for suspected ACS",2.5,"Eritrea",2026,864.986842561807,402.693033375988,462.293809185819
"Aspirin for suspected ACS",2.5,"Eritrea",2027,1017.69789054659,417.940315328756,599.757575217831
"Aspirin for suspected ACS",2.5,"Eritrea",2028,1181.58961482633,434.077336914876,747.512277911455
"Aspirin for suspected ACS",2.5,"Eritrea",2029,1356.08749675915,450.658083107072,905.429413652076
"Aspirin for suspected ACS",2.5,"Eritrea",2030,1540.41186972131,467.329637919385,1073.08223180193
"Treatment of early-stage breast cancer",4.3,"Eritrea",2020,740.988932200019,740.988932200019,0
"Treatment of early-stage breast cancer",4.3,"Eritrea",2021,753.273360737204,753.273360737204,0
"Treatment of early-stage breast cancer",4.3,"Eritrea",2022,769.4607569992,769.4607569992,0
"Treatment of early-stage breast cancer",4.3,"Eritrea",2023,2004.61976937415,788.702860081631,1215.91690929251
"Treatment of early-stage breast cancer",4.3,"Eritrea",2024,3304.81290955149,809.338491421858,2495.47441812963
"Treatment of early-stage breast cancer",4.3,"Eritrea",2025,4671.69941776616,830.513882988758,3841.1855347774
