"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"IDU harm reduction measures",1.1,"Haiti",2020,1815.05685636481,1815.05685636481,0
"IDU harm reduction measures",1.1,"Haiti",2021,1845.48861299912,1845.48861299912,0
"IDU harm reduction measures",1.1,"Haiti",2022,1874.94114378114,1874.94114378114,0
"IDU harm reduction measures",1.1,"Haiti",2023,20697.6825356185,1903.23517568906,18794.4473599295
"IDU harm reduction measures",1.1,"Haiti",2024,40060.6218033217,1930.18945656842,38130.4323467533
"IDU harm reduction measures",1.1,"Haiti",2025,59931.5408635983,1955.58478509554,57975.9560785027
"IDU harm reduction measures",1.1,"Haiti",2026,80286.959777841,1979.5761157942,78307.3836620468
"IDU harm reduction measures",1.1,"Haiti",2027,101065.778139168,2001.40401078403,99064.3741283844
"IDU harm reduction measures",1.1,"Haiti",2028,122195.059022383,2020.55833124311,120174.50069114
"IDU harm reduction measures",1.1,"Haiti",2029,143581.453878913,2036.46920933869,141544.984669575
"IDU harm reduction measures",1.1,"Haiti",2030,165110.100620774,2048.51900235271,163061.581618422
"Pulmonary rehabilitation",1.2,"Haiti",2020,39127.636286221,39127.636286221,0
"Pulmonary rehabilitation",1.2,"Haiti",2021,40245.8078037039,40245.8078037039,0
"Pulmonary rehabilitation",1.2,"Haiti",2022,41344.6134679191,41344.6134679191,0
"Pulmonary rehabilitation",1.2,"Haiti",2023,52138.4053289585,42420.2899617492,9718.11536720936
"Pulmonary rehabilitation",1.2,"Haiti",2024,63482.6637565573,43469.9440728577,20012.7196836996
"Pulmonary rehabilitation",1.2,"Haiti",2025,75392.7458131654,44487.4762864164,30905.269526749
"Pulmonary rehabilitation",1.2,"Haiti",2026,88036.51716768,45543.1244016991,42493.3927659808
"Pulmonary rehabilitation",1.2,"Haiti",2027,101283.945744913,46542.0248276837,54741.9209172291
"Pulmonary rehabilitation",1.2,"Haiti",2028,115118.16751855,47473.9739140629,67644.1936044867
"Pulmonary rehabilitation",1.2,"Haiti",2029,129507.820997654,48328.4986642035,81179.3223334503
"Pulmonary rehabilitation",1.2,"Haiti",2030,144409.695697683,49096.2178672021,95313.4778304806
"Depression chronic treatment",2.1,"Haiti",2020,283896.598569969,283896.598569969,0
"Depression chronic treatment",2.1,"Haiti",2021,289041.900638213,289041.900638213,0
"Depression chronic treatment",2.1,"Haiti",2022,294128.888268326,294128.888268326,0
"Depression chronic treatment",2.1,"Haiti",2023,367663.540994949,299134.465639414,68529.075355535
