"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Epilepsy acute and chronic treatment",2.13,"Indonesia",2020,12059425.9040334,12059425.9040334,0
"Epilepsy acute and chronic treatment",2.13,"Indonesia",2021,12189101.3945675,12189101.3945675,0
"Epilepsy acute and chronic treatment",2.13,"Indonesia",2022,12313719.9726049,12313719.9726049,0
"Epilepsy acute and chronic treatment",2.13,"Indonesia",2023,13366501.8176283,12433955.1791891,932546.63843918
"Epilepsy acute and chronic treatment",2.13,"Indonesia",2024,14434433.5667571,12551042.8661123,1883390.70064484
"Epilepsy acute and chronic treatment",2.13,"Indonesia",2025,15521094.9443705,12668396.2436416,2852698.7007289
"Epilepsy acute and chronic treatment",2.13,"Indonesia",2026,16637460.4627058,12794264.4448187,3843196.01788712
"Epilepsy acute and chronic treatment",2.13,"Indonesia",2027,17771862.951774,12918688.325429,4853174.62634498
"Epilepsy acute and chronic treatment",2.13,"Indonesia",2028,18924249.6965014,13041785.779284,5882463.91721738
"Epilepsy acute and chronic treatment",2.13,"Indonesia",2029,20094973.0727722,13163938.7543471,6931034.31842514
"Epilepsy acute and chronic treatment",2.13,"Indonesia",2030,21282550.7449188,13284332.2064325,7998218.53848629
"Aspirin for suspected ACS",2.5,"Indonesia",2020,200002.029461253,200002.029461253,0
"Aspirin for suspected ACS",2.5,"Indonesia",2021,205642.766034419,205642.766034419,0
"Aspirin for suspected ACS",2.5,"Indonesia",2022,211236.985632224,211236.985632224,0
"Aspirin for suspected ACS",2.5,"Indonesia",2023,305438.69210968,216749.948546996,88688.743562684
"Aspirin for suspected ACS",2.5,"Indonesia",2024,403976.40601245,222144.621958761,181831.784053689
"Aspirin for suspected ACS",2.5,"Indonesia",2025,506631.728546463,227377.149762841,279254.578783623
"Aspirin for suspected ACS",2.5,"Indonesia",2026,612242.728875987,232072.151641008,380170.577234979
"Aspirin for suspected ACS",2.5,"Indonesia",2027,721216.571577051,236572.250258447,484644.321318603
"Aspirin for suspected ACS",2.5,"Indonesia",2028,833601.3276194,240954.25942127,592647.068198129
"Aspirin for suspected ACS",2.5,"Indonesia",2029,949638.081205322,245313.127425263,704324.953780059
"Aspirin for suspected ACS",2.5,"Indonesia",2030,1069648.71299069,249727.079481459,819921.633509233
"Heart failure chronic treatment",2.7,"Indonesia",2020,48617491.497733,48617491.497733,0
"Heart failure chronic treatment",2.7,"Indonesia",2021,50704242.8344976,50704242.8344976,0
"Heart failure chronic treatment",2.7,"Indonesia",2022,52773767.629596,52773767.629596,0
"Heart failure chronic treatment",2.7,"Indonesia",2023,77293255.2060896,54849989.6107917,22443265.5952979
"Heart failure chronic treatment",2.7,"Indonesia",2024,103635960.801482,56976412.4972543,46659548.3042279
"Heart failure chronic treatment",2.7,"Indonesia",2025,131948141.162183,59181925.9192155,72766215.2429678
"Heart failure chronic treatment",2.7,"Indonesia",2026,163029779.681121,61722850.5021079,101306929.179013
"Heart failure chronic treatment",2.7,"Indonesia",2027,196381357.14338,64292860.2648809,132088496.878499
"Heart failure chronic treatment",2.7,"Indonesia",2028,232079801.776494,66897975.7158993,165181826.060595
"Heart failure chronic treatment",2.7,"Indonesia",2029,270168792.273885,69534079.8104214,200634712.463464
"Heart failure chronic treatment",2.7,"Indonesia",2030,310720521.591588,72206442.6869721,238514078.904616
"Medical management of ACS",3.1,"Indonesia",2020,41926773.7904313,41926773.7904313,0
"Medical management of ACS",3.1,"Indonesia",2021,43481220.293278,43481220.293278,0
"Medical management of ACS",3.1,"Indonesia",2022,45011138.1074368,45011138.1074368,0
"Medical management of ACS",3.1,"Indonesia",2023,55728495.6699578,46534232.0745775,9194263.59538025
"Medical management of ACS",3.1,"Indonesia",2024,67099688.330609,48082998.1086859,19016690.2219232
"Medical management of ACS",3.1,"Indonesia",2025,79176490.9082931,49676601.7125559,29499889.1957372
"Medical management of ACS",3.1,"Indonesia",2026,92183130.5088287,51420514.61056,40762615.8982687
"Medical management of ACS",3.1,"Indonesia",2027,105946901.161674,53179802.63921,52767098.5224638
"Medical management of ACS",3.1,"Indonesia",2028,120488107.948828,54956844.9400335,65531263.0087948
"Medical management of ACS",3.1,"Indonesia",2029,135808370.809956,56745965.8857477,79062404.9242078
"Medical management of ACS",3.1,"Indonesia",2030,151921455.949916,58548559.1408145,93372896.8091011
"Treatment of early-stage breast cancer",4.3,"Indonesia",2020,795614.604826376,795614.604826376,0
"Treatment of early-stage breast cancer",4.3,"Indonesia",2021,813706.016771821,813706.016771821,0
"Treatment of early-stage breast cancer",4.3,"Indonesia",2022,831242.642463548,831242.642463548,0
"Treatment of early-stage breast cancer",4.3,"Indonesia",2023,1395142.89326564,848507.958477351,546634.934788293
"Treatment of early-stage breast cancer",4.3,"Indonesia",2024,1981892.66752281,865993.417120728,1115899.25040208
"Treatment of early-stage breast cancer",4.3,"Indonesia",2025,2592503.49589953,883872.202573836,1708631.29332569
"Treatment of early-stage breast cancer",4.3,"Indonesia",2026,3219628.89943255,899858.679051508,2319770.22038105
"Treatment of early-stage breast cancer",4.3,"Indonesia",2027,3868965.49226397,916152.897769002,2952812.59449496
"Treatment of early-stage breast cancer",4.3,"Indonesia",2028,4540673.14018438,932652.400195586,3608020.7399888
