"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Pulmonary rehabilitation",1.2,"Laos",2020,78173.3264010442,78173.3264010442,0
"Pulmonary rehabilitation",1.2,"Laos",2021,80929.7367791222,80929.7367791222,0
"Pulmonary rehabilitation",1.2,"Laos",2022,83767.4698803343,83767.4698803343,0
"Pulmonary rehabilitation",1.2,"Laos",2023,103007.862232331,86668.5312366484,16339.3309956821
"Pulmonary rehabilitation",1.2,"Laos",2024,123474.941198258,89596.9828335356,33877.9583647226
"Pulmonary rehabilitation",1.2,"Laos",2025,145189.577636946,92539.7631784826,52649.8144584631
"Pulmonary rehabilitation",1.2,"Laos",2026,168828.566153548,95850.2647119343,72978.3014416137
"Pulmonary rehabilitation",1.2,"Laos",2027,193866.538414855,99137.9409765775,94728.5974382771
"Pulmonary rehabilitation",1.2,"Laos",2028,220354.844713019,102423.525694461,117931.319018558
"Pulmonary rehabilitation",1.2,"Laos",2029,248383.408553239,105743.014237538,142640.394315701
"Pulmonary rehabilitation",1.2,"Laos",2030,278023.899067607,109120.158466141,168903.740601467
"Epilepsy acute and chronic treatment",2.13,"Laos",2020,230883.0331831,230883.0331831,0
"Epilepsy acute and chronic treatment",2.13,"Laos",2021,233990.407166286,233990.407166286,0
"Epilepsy acute and chronic treatment",2.13,"Laos",2022,237065.286724941,237065.286724941,0
"Epilepsy acute and chronic treatment",2.13,"Laos",2023,258107.23705935,240099.755404046,18007.4816553034
"Epilepsy acute and chronic treatment",2.13,"Laos",2024,279597.410120793,243091.51319391,36505.8969268833
"Epilepsy acute and chronic treatment",2.13,"Laos",2025,301507.826564102,246022.731115617,55485.0954484846
"Epilepsy acute and chronic treatment",2.13,"Laos",2026,323867.034393847,248917.775182572,74949.2592112752
"Epilepsy acute and chronic treatment",2.13,"Laos",2027,346583.1271738,251713.255364474,94869.8718093255
"Epilepsy acute and chronic treatment",2.13,"Laos",2028,369652.592544059,254420.390181793,115232.202362265
"Epilepsy acute and chronic treatment",2.13,"Laos",2029,393077.488480626,257053.432479281,136024.056001345
"Epilepsy acute and chronic treatment",2.13,"Laos",2030,416880.803558737,259638.677754396,157242.125804342
"CVD primary prevention",2.4,"Laos",2020,5472677.98811869,5472677.98811869,0
"CVD primary prevention",2.4,"Laos",2021,5643690.74024088,5643690.74024088,0
"CVD primary prevention",2.4,"Laos",2022,5821786.61129226,5821786.61129226,0
"CVD primary prevention",2.4,"Laos",2023,7135756.2687129,6003867.0997479,1131889.168965
"CVD primary prevention",2.4,"Laos",2024,8518943.06259527,6184858.85558455,2334084.20701072
"CVD primary prevention",2.4,"Laos",2025,9966684.23012223,6361783.02612915,3604901.20399308
"CVD primary prevention",2.4,"Laos",2026,11484000.4299581,6538353.48372386,4945646.94623423
"CVD primary prevention",2.4,"Laos",2027,13062245.4697777,6709946.56246395,6352298.90731372
"CVD primary prevention",2.4,"Laos",2028,14700607.3238788,6877284.93087973,7823322.39299907
"CVD primary prevention",2.4,"Laos",2029,16401319.0896963,7042224.34198171,9359094.74771456
"CVD primary prevention",2.4,"Laos",2030,18165317.6020298,7205602.95130249,10959714.6507273
"Aspirin for suspected ACS",2.5,"Laos",2020,4124.7777819462,4124.7777819462,0
"Aspirin for suspected ACS",2.5,"Laos",2021,4257.25861424919,4257.25861424919,0
"Aspirin for suspected ACS",2.5,"Laos",2022,4397.79855933198,4397.79855933198,0
"Aspirin for suspected ACS",2.5,"Laos",2023,5403.34128918915,4546.25154969364,857.089739495507
"Aspirin for suspected ACS",2.5,"Laos",2024,6476.83279743944,4701.6402329062,1775.19256453323
"Aspirin for suspected ACS",2.5,"Laos",2025,7622.25526903234,4863.53673771986,2758.71853131248
"Aspirin for suspected ACS",2.5,"Laos",2026,8838.51640335956,5028.67001010965,3809.8463932499
"Aspirin for suspected ACS",2.5,"Laos",2027,10130.9904088585,5198.53259005643,4932.45781880211
"Aspirin for suspected ACS",2.5,"Laos",2028,11504.2396540891,5373.74662297304,6130.49303111602
"Aspirin for suspected ACS",2.5,"Laos",2029,12964.39012688,5555.47124620506,7408.91888067497
"Aspirin for suspected ACS",2.5,"Laos",2030,14515.6560606645,5743.82216324367,8771.8338974208
"Heart failure chronic treatment",2.7,"Laos",2020,736873.663889533,736873.663889533,0
"Heart failure chronic treatment",2.7,"Laos",2021,765584.465249945,765584.465249945,0
"Heart failure chronic treatment",2.7,"Laos",2022,794687.254964076,794687.254964076,0
"Heart failure chronic treatment",2.7,"Laos",2023,979565.867700162,824185.000671529,155380.867028633
"Heart failure chronic treatment",2.7,"Laos",2024,1177480.21010188,853940.631955548,323539.57814633
"Heart failure chronic treatment",2.7,"Laos",2025,1389103.19120414,884016.323695613,505086.867508524
"Heart failure chronic treatment",2.7,"Laos",2026,1627177.39109476,921102.016355627,706075.37473913
"Heart failure chronic treatment",2.7,"Laos",2027,1881394.78386794,957628.055946809,923766.727921132
"Heart failure chronic treatment",2.7,"Laos",2028,2152474.20349292,993915.122406734,1158559.08108618
"Heart failure chronic treatment",2.7,"Laos",2029,2441464.3280544,1030409.10947664,1411055.21857776
"Heart failure chronic treatment",2.7,"Laos",2030,2749408.00020183,1067512.75228691,1681895.24791492
"Medical management of ACS",3.1,"Laos",2020,1152396.30027892,1152396.30027892,0
"Medical management of ACS",3.1,"Laos",2021,1194270.40659287,1194270.40659287,0
"Medical management of ACS",3.1,"Laos",2022,1237147.69890319,1237147.69890319,0
"Medical management of ACS",3.1,"Laos",2023,1533939.65809112,1280865.43840605,253074.219685067
"Medical management of ACS",3.1,"Laos",2024,1850322.73314113,1325017.62754527,525305.105595868
"Medical management of ACS",3.1,"Laos",2025,2186891.74427842,1369507.61620095,817384.128077463
"Medical management of ACS",3.1,"Laos",2026,2556667.22590317,1420983.69932031,1135683.52658286
"Medical management of ACS",3.1,"Laos",2027,2949571.72482996,1472048.75041153,1477522.97441843
"Medical management of ACS",3.1,"Laos",2028,3366536.7878829,1523061.83964604,1843474.94823686
"Medical management of ACS",3.1,"Laos",2029,3809084.35981097,1574606.50501136,2234477.85479962
"Medical management of ACS",3.1,"Laos",2030,4278505.12468854,1627101.97497802,2651403.14971052
"Heart failure acute treatment",3.2,"Laos",2020,4958122.84702128,4958122.84702128,0
"Heart failure acute treatment",3.2,"Laos",2021,5153977.98089425,5153977.98089425,0
"Heart failure acute treatment",3.2,"Laos",2022,5351043.80178929,5351043.80178929,0
"Heart failure acute treatment",3.2,"Laos",2023,6645402.56528619,5549023.01747803,1096379.54780816
"Heart failure acute treatment",3.2,"Laos",2024,8028751.16299425,5746755.07854581,2281996.08444845
"Heart failure acute treatment",3.2,"Laos",2025,9504557.14179353,5944543.39542684,3560013.7463667
"Heart failure acute treatment",3.2,"Laos",2026,11177094.3374274,6197131.6867181,4979962.65070932
"Heart failure acute treatment",3.2,"Laos",2027,12962852.7974207,6444566.98059602,6518285.81682463
"Heart failure acute treatment",3.2,"Laos",2028,14865455.9189215,6688747.18446227,8176708.73445924
"Heart failure acute treatment",3.2,"Laos",2029,16890549.2349124,6932478.69667524,9958070.53823713
"Heart failure acute treatment",3.2,"Laos",2030,19043484.8934989,7178341.56736377,11865143.3261351
"Treatment of early-stage breast cancer",4.3,"Laos",2020,9373.55675846723,9373.55675846723,0
"Treatment of early-stage breast cancer",4.3,"Laos",2021,9672.13681473075,9672.13681473075,0
"Treatment of early-stage breast cancer",4.3,"Laos",2022,9990.25496853878,9990.25496853878,0
"Treatment of early-stage breast cancer",4.3,"Laos",2023,16978.7320161139,10326.2463723734,6652.48564374054
"Treatment of early-stage breast cancer",4.3,"Laos",2024,24438.4626122409,10676.0606539421,13762.4019582988
"Treatment of early-stage breast cancer",4.3,"Laos",2025,32394.7245894025,11037.5065926387,21357.2179967639
"Treatment of early-stage breast cancer",4.3,"Laos",2026,40791.8836757475,11387.5651777793,29404.3184979682
"Treatment of early-stage breast cancer",4.3,"Laos",2027,49694.0089288098,11745.7125329348,37948.296395875
"Treatment of early-stage breast cancer",4.3,"Laos",2028,59128.8030634957,12113.6900008861,47015.1130626096
"Treatment of early-stage breast cancer",4.3,"Laos",2029,69134.2834826974,12494.3046745625,56639.9788081349
"Treatment of early-stage breast cancer",4.3,"Laos",2030,79741.8940437171,12888.1098865101,66853.7841572069
"Tobacco tax",5.1,"Laos",2020,0,0,0
"Tobacco tax",5.1,"Laos",2021,0,0,0
"Tobacco tax",5.1,"Laos",2022,0,0,0
"Tobacco tax",5.1,"Laos",2023,922.984994634665,0,922.984994634665
"Tobacco tax",5.1,"Laos",2024,1870.69077228623,0,1870.69077228623
"Tobacco tax",5.1,"Laos",2025,2842.40229566657,0,2842.40229566657
"Tobacco tax",5.1,"Laos",2026,3837.16826890258,0,3837.16826890258
"Tobacco tax",5.1,"Laos",2027,4853.90913307455,0,4853.90913307455
"Tobacco tax",5.1,"Laos",2028,5891.89788727322,0,5891.89788727322
"Tobacco tax",5.1,"Laos",2029,6950.79936712733,0,6950.79936712733
"Tobacco tax",5.1,"Laos",2030,8030.499618572,0,8030.499618572
"Alcohol tax",5.2,"Laos",2020,3539.71789662787,3539.71789662787,0
"Alcohol tax",5.2,"Laos",2021,3590.91400040621,3590.91400040621,0
"Alcohol tax",5.2,"Laos",2022,3641.72058797998,3641.72058797998,0
"Alcohol tax",5.2,"Laos",2023,4153.43247585599,3691.93997853866,461.492497317332
"Alcohol tax",5.2,"Laos",2024,4676.68303227611,3741.34522260068,935.337809675435
"Alcohol tax",5.2,"Laos",2025,5210.89809224408,3789.7403192333,1421.15777301079
"Alcohol tax",5.2,"Laos",2026,5755.31235012325,3836.86708730219,1918.44526282106
"Alcohol tax",5.2,"Laos",2027,6309.17898125007,3882.55815640708,2426.62082484299
"Alcohol tax",5.2,"Laos",2028,6872.25708474797,3926.98304176361,2945.27404298436
"Alcohol tax",5.2,"Laos",2029,7444.61675502734,3970.43189097929,3474.18486404806
"Alcohol tax",5.2,"Laos",2030,8026.39613394139,4013.15631236994,4013.23982157144
"Tobacco policy",5.3,"Laos",2020,20441.8708530259,20441.8708530259,0
"Tobacco policy",5.3,"Laos",2021,20737.5283523459,20737.5283523459,0
