"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Epilepsy acute and chronic treatment",2.13,"Liberia",2020,4566.03310780164,4566.03310780164,0
"Epilepsy acute and chronic treatment",2.13,"Liberia",2021,4674.39654158771,4674.39654158771,0
"Epilepsy acute and chronic treatment",2.13,"Liberia",2022,4784.33353314244,4784.33353314244,0
"Epilepsy acute and chronic treatment",2.13,"Liberia",2023,20603.433900452,4895.86548129552,15707.5684191565
"Epilepsy acute and chronic treatment",2.13,"Liberia",2024,37149.4726775608,5008.91309687212,32140.5595806887
"Epilepsy acute and chronic treatment",2.13,"Liberia",2025,54432.678759444,5123.06179985557,49309.6169595885
"Epilepsy acute and chronic treatment",2.13,"Liberia",2026,72491.1282452875,5240.2944120911,67250.8338331964
"Epilepsy acute and chronic treatment",2.13,"Liberia",2027,91325.514713894,5358.90685002924,85966.6078638647
"Epilepsy acute and chronic treatment",2.13,"Liberia",2028,110946.448793042,5478.76457368034,105467.684219362
"Epilepsy acute and chronic treatment",2.13,"Liberia",2029,131361.920092252,5599.69478866994,125762.225303582
"Epilepsy acute and chronic treatment",2.13,"Liberia",2030,152573.919233584,5721.38280724947,146852.536426335
"Aspirin for suspected ACS",2.5,"Liberia",2020,439.345029522696,439.345029522696,0
"Aspirin for suspected ACS",2.5,"Liberia",2021,454.676330908476,454.676330908476,0
"Aspirin for suspected ACS",2.5,"Liberia",2022,470.735569433167,470.735569433167,0
"Aspirin for suspected ACS",2.5,"Liberia",2023,611.501879910437,487.442103996068,124.059775914369
"Aspirin for suspected ACS",2.5,"Liberia",2024,761.544144383121,504.658917692162,256.885226690959
"Aspirin for suspected ACS",2.5,"Liberia",2025,921.079142153684,522.287367423041,398.791774730643
"Aspirin for suspected ACS",2.5,"Liberia",2026,1088.90161383754,539.573834660622,549.327779176921
"Aspirin for suspected ACS",2.5,"Liberia",2027,1266.72602725649,557.387024485628,709.339002770857
"Aspirin for suspected ACS",2.5,"Liberia",2028,1454.71067753524,575.629815902139,879.080861633102
"Aspirin for suspected ACS",2.5,"Liberia",2029,1652.80023825637,594.163780320109,1058.63645793626
"Aspirin for suspected ACS",2.5,"Liberia",2030,1861.1168327183,612.955294331177,1248.16153838712
"Treatment of early-stage breast cancer",4.3,"Liberia",2020,837.308334757259,837.308334757259,0
"Treatment of early-stage breast cancer",4.3,"Liberia",2021,863.186654267618,863.186654267618,0
"Treatment of early-stage breast cancer",4.3,"Liberia",2022,890.587698922244,890.587698922244,0
"Treatment of early-stage breast cancer",4.3,"Liberia",2023,2337.15302103702,919.535614834239,1417.61740620278
"Treatment of early-stage breast cancer",4.3,"Liberia",2024,3880.25318628855,950.262949491333,2929.99023679722
"Treatment of early-stage breast cancer",4.3,"Liberia",2025,5529.80277078646,983.066407792459,4546.736362994
"Treatment of early-stage breast cancer",4.3,"Liberia",2026,7266.99745959309,1013.97992373029,6253.0175358628
"Treatment of early-stage breast cancer",4.3,"Liberia",2027,9117.00512685311,1046.89508494278,8070.11004191033
"Treatment of early-stage breast cancer",4.3,"Liberia",2028,11089.9603607662,1081.89523337513,10008.065127391
"Treatment of early-stage breast cancer",4.3,"Liberia",2029,13193.7579138669,1118.82986066489,12074.928053202
"Treatment of early-stage breast cancer",4.3,"Liberia",2030,15434.1448425686,1157.45670497741,14276.6881375912
"Tobacco tax",5.1,"Liberia",2020,0,0,0
"Tobacco tax",5.1,"Liberia",2021,0,0,0
"Tobacco tax",5.1,"Liberia",2022,0,0,0
"Tobacco tax",5.1,"Liberia",2023,142.707166699334,0,142.707166699334
"Tobacco tax",5.1,"Liberia",2024,292.112993070049,0,292.112993070049
"Tobacco tax",5.1,"Liberia",2025,448.399262988217,0,448.399262988217
"Tobacco tax",5.1,"Liberia",2026,611.76962671147,0,611.76962671147
"Tobacco tax",5.1,"Liberia",2027,782.356465558511,0,782.356465558511
"Tobacco tax",5.1,"Liberia",2028,960.302977399294,0,960.302977399294
"Tobacco tax",5.1,"Liberia",2029,1145.72623094582,0,1145.72623094582
"Tobacco tax",5.1,"Liberia",2030,1338.73545081844,0,1338.73545081844
"Alcohol tax",5.2,"Liberia",2020,0,0,0
"Alcohol tax",5.2,"Liberia",2021,0,0,0
"Alcohol tax",5.2,"Liberia",2022,0,0,0
"Alcohol tax",5.2,"Liberia",2023,142.707166699334,0,142.707166699334
"Alcohol tax",5.2,"Liberia",2024,292.112648908767,0,292.112648908767
"Alcohol tax",5.2,"Liberia",2025,448.397368206718,0,448.397368206718
"Alcohol tax",5.2,"Liberia",2026,611.76359840578,0,611.76359840578
"Alcohol tax",5.2,"Liberia",2027,782.341952724288,0,782.341952724288
"Alcohol tax",5.2,"Liberia",2028,960.273504086818,0,960.273504086818
"Alcohol tax",5.2,"Liberia",2029,1145.67293773096,0,1145.67293773096
"Alcohol tax",5.2,"Liberia",2030,1338.64693512102,0,1338.64693512102
"Alcohol policy",5.4,"Liberia",2020,0,0,0
"Alcohol policy",5.4,"Liberia",2021,0,0,0
"Alcohol policy",5.4,"Liberia",2022,0,0,0
"Alcohol policy",5.4,"Liberia",2023,199.790033379066,0,199.790033379066
"Alcohol policy",5.4,"Liberia",2024,408.957866960221,0,408.957866960221
"Alcohol policy",5.4,"Liberia",2025,627.757043822555,0,627.757043822555
"Alcohol policy",5.4,"Liberia",2026,856.471047708163,0,856.471047708163
"Alcohol policy",5.4,"Liberia",2027,1095.28306141478,0,1095.28306141478
"Alcohol policy",5.4,"Liberia",2028,1344.3909450358,0,1344.3909450358
"Alcohol policy",5.4,"Liberia",2029,1603.95564552854,0,1603.95564552854
"Alcohol policy",5.4,"Liberia",2030,1874.12693480471,0,1874.12693480471
